,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
52434|WDR5,0.000000000000000000000000000023946880924386798581631868823388985783006051381568186330395600067889532875554765308180765079751767675422644779398199224872649563902044073549238776964880934309989409410212611730226392577600212790138823,Homo sapiens,WDR5,cr,HEK293,Epithelium,Embryonic Kidney,0,WDR5
50380|EZH2,0.00000000000000000000025147220167223021174770577054326872400904402856473312317569743239925369452328139117200824283248453441774946858307726771794371501602770396982204839563418788696091704833268604342091227273952530302763828,Homo sapiens,EZH2,cr,None,Proerythroblast,Fetal Liver,1,EZH2
58334|MED1,0.000000000000000043451571776550634532162691098408138628600191809418156198269055993925494331209165621352825190551999709644529785709448449549842794549833371527078196685121121768781974990635888815777168558525314767017169,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1,MED1
55823|BRD4,0.00000000000000024918895943248198997918174189476703315805648578292682772163092312122995073288016282600863523140091003544350818474831200039110718921517432378320155112846893605697619764774225294462198122217311412842122,Homo sapiens,BRD4,cr,TC-797,None,None,0,BRD4
69456|TP53,2.042810365310288e-14,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
45635|KAT2B,2.914335439641036e-14,Homo sapiens,KAT2B,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,KAT2B
50378|EZH1,4.358180483166052e-13,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1,EZH1
75165|KLF10,2.885913730210632e-12,Homo sapiens,KLF10,tf,A549,Epithelium,Lung,1,KLF10
46373|CTCF,6.541822639150041e-12,Homo sapiens,CTCF,tf,T47D,Epithelium,Mammary Gland,1,CTCF
71925|GTF2B,8.533729278781266e-12,Homo sapiens,GTF2B,tf,K562,None,Haematopoietic and lymphoid,1,GTF2B
45947|NELFE,1.3017031896822573e-11,Homo sapiens,NELFE,not sure,K562,Erythroblast,Bone Marrow,1,NELFE
72343|MYC,1.6467938124264947e-11,Homo sapiens,MYC,tf,U87,Glioblastoma cell,None,1,MYC
65176|ZNF22,5.358391508281102e-11,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1,ZNF22
54255|NR3C2,7.415867919746688e-11,Homo sapiens,NR3C2,tf,None,None,Kidney,1,NR3C2
45868|CHD1,1.236851732144828e-10,Homo sapiens,CHD1,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,CHD1
49000|AFF4,5.171735262265997e-10,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
45867|MAZ,7.06557534702057e-10,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
50112|MAFB,9.331063699491438e-10,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
49267|BMI1,1.3706485391118406e-09,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
37767|TALE,1.4433287898185654e-09,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0,TALE
44692|LANA,1.4433287898185654e-09,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0,LANA
67762|RUNX1,1.4433287898185654e-09,Homo sapiens,RUNX1,tf,None,Hematopoietic stem and progenitor cell,Bone Marrow,0,RUNX1
49266|SCML2,3.007734838966769e-09,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
43194|FOXM1,9.813582113604724e-09,Homo sapiens,FOXM1,tf,HeLa,Epithelium,Cervix,1,FOXM1
38850|NFE2L2,1.1645687636452351e-08,Homo sapiens,NFE2L2,tf,LoVo,None,Colon,1,NFE2L2
49004|ELL2,1.3848093727286681e-08,Homo sapiens,ELL2,predicted chromatin regulator,HeLa,Epithelium,Cervix,1,ELL2
38589|E2F7,1.5309780554417785e-08,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1,E2F7
53637|STAT5B,1.905433261173428e-08,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,0,STAT5B
74650|DRAP1,2.8446335287313218e-08,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
62504|SMC3,3.724753511180623e-08,Homo sapiens,SMC3,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,SMC3
64318|ETV4,4.1128600192230635e-08,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1,ETV4
1226|TRRAP,4.499733347040902e-08,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1,TRRAP
63822|GTF2E2,5.937335656458487e-08,Homo sapiens,GTF2E2,tf,K562,Erythroblast,Bone Marrow,1,GTF2E2
63974|GATA4,6.498726734527338e-08,Homo sapiens,GATA4,tf,HepG2,Epithelium,Liver,1,GATA4
45878|GTF2F1,6.644580269332678e-08,Homo sapiens,GTF2F1,tf,K562,Erythroblast,Bone Marrow,1,GTF2F1
65084|SP2,6.704574467830682e-08,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
1214|ELK4,7.346500896510122e-08,Homo sapiens,ELK4,tf,HeLa-S3,Epithelium,Cervix,1,ELK4
43451|NELFA,8.616965735397386e-08,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0,NELFA
50412|KLF11,1.1382396586379073e-07,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
36356|POLR2B,1.2181733782812287e-07,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
45648|ZZZ3,1.5528769597983327e-07,Homo sapiens,ZZZ3,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,ZZZ3
55666|PAF1,1.6933222746207122e-07,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
64801|BCL3,1.7012508446434538e-07,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
64798|CREM,1.951502730523913e-07,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1,CREM
67425|SIX2,1.9873421575056227e-07,Homo sapiens,SIX2,tf,None,Cortex,Embryonic Kidney,1,SIX2
64177|TAF7,3.052844557704937e-07,Homo sapiens,TAF7,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,TAF7
45684|TBP,3.511539186651369e-07,Homo sapiens,TBP,tf,H1,Embryonic Stem Cell,Embryo,1,TBP
2748|CREBBP,3.793397444495916e-07,Homo sapiens,CREBBP,cr,T98G,None,Brain,1,CREBBP
63460|MTA3,3.842786998609071e-07,Homo sapiens,MTA3,tf,MCF-7,Epithelium,Breast,1,MTA3
49243|ETS1,4.062034120733138e-07,Homo sapiens,ETS1,tf,PANC-1,None,Pancreas,1,ETS1
45919|ZMIZ1,5.477503431383646e-07,Homo sapiens,ZMIZ1,not sure,K562,Erythroblast,Bone Marrow,1,ZMIZ1
45730|RFX5,5.542919931378343e-07,Homo sapiens,RFX5,tf,HeLa-S3,Epithelium,Cervix,1,RFX5
45866|MXI1,5.846237659534737e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
45969|IRF1,7.185960809730219e-07,Homo sapiens,IRF1,tf,K562,Erythroblast,Bone Marrow,1,IRF1
45778|MAX,8.058293802792882e-07,Homo sapiens,MAX,tf,HeLa-S3,Epithelium,Cervix,1,MAX
45937|STAT1,8.330974542447578e-07,Homo sapiens,STAT1,tf,K562,Erythroblast,Bone Marrow,1,STAT1
2400|TDRD3,9.406244023124621e-07,Homo sapiens,TDRD3,cr,MCF-7,Epithelium,Breast,1,TDRD3
46190|SP1,9.702713109072114e-07,Homo sapiens,SP1,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,1,SP1
45892|JUN,9.810490039785513e-07,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1,JUN
46191|JUND,9.952449623318316e-07,Homo sapiens,JUND,tf,H1,Embryonic Stem Cell,Embryo,1,JUND
8793|RBBP5,1.0219898421981455e-06,Homo sapiens,RBBP5,cr,K562,Erythroblast,Bone Marrow,1,RBBP5
49009|CPSF3L,1.1064912824876316e-06,Homo sapiens,CPSF3L,other,HeLa,Epithelium,Cervix,1,CPSF3L
76100|ESR1,1.4283564213068978e-06,Homo sapiens,ESR1,tf,MCF-7,None,Mammary Gland,1,ESR1
52496|TCF21,1.4499551455049442e-06,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1,TCF21
46062|USF1,1.5734257730048995e-06,Homo sapiens,USF1,tf,A549,Epithelium,Lung,1,USF1
46084|RAD21,1.648346649507637e-06,Homo sapiens,RAD21,not sure,A549,Epithelium,Lung,1,RAD21
63098|SMAD5,1.9923440252034297e-06,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
68228|NR3C1,2.001925113070957e-06,Homo sapiens,NR3C1,tf,BEAS-2B,Epithelium,Lung,1,NR3C1
45729|ELK1,2.113463233033297e-06,Homo sapiens,ELK1,tf,HeLa-S3,Epithelium,Cervix,1,ELK1
74668|BATF,2.168982206396386e-06,Homo sapiens,BATF,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BATF
68490|KAT5,2.2749404766653214e-06,Homo sapiens,KAT5,cr,K562,Lymphoblast,None,1,KAT5
63306|CREB1,2.6230250859682336e-06,Homo sapiens,CREB1,tf,HepG2,Epithelium,Liver,1,CREB1
72605|CDK9,2.7644282071248583e-06,Homo sapiens,CDK9,tf,A375,Melanoma Cell,None,1,CDK9
63407|POLR2AphosphoS5,2.7763855218188027e-06,Homo sapiens,POLR2AphosphoS5,,None,iPSC,None,1,POLR2AphosphoS5
33599|FAIRE,3.075034784694175e-06,Homo sapiens,FAIRE,other,None,Epithelium,Cervix,1,FAIRE
45800|NR2C2,3.173645609255704e-06,Homo sapiens,NR2C2,tf,HepG2,Epithelium,Liver,1,NR2C2
74208|BRD2,3.4518728281862643e-06,Homo sapiens,BRD2,predicted chromatin regulator,SF8628,None,Pontine,1,BRD2
42220|STAT3,3.4823340058220964e-06,Homo sapiens,STAT3,tf,U-2932,B Lymphocyte,None,1,STAT3
46299|SRF,3.560244776990018e-06,Homo sapiens,SRF,tf,K562,Erythroblast,Bone Marrow,1,SRF
46204|YY1,3.6377463149550593e-06,Homo sapiens,YY1,tf,HCT-116,None,Colon,1,YY1
5569|POLR2M,3.638209075396137e-06,Homo sapiens,POLR2M,tf,HeLa,Epithelium,Cervix,1,POLR2M
41412|ERCC2,3.9108941968235555e-06,Homo sapiens,ERCC2,tf,HT1080,None,Connective Tissue,1,ERCC2
64425|KLF16,4.302972857694876e-06,Homo sapiens,KLF16,,K562,Erythroblast,Bone Marrow,1,KLF16
4929|TAFII,4.367048478559621e-06,Homo sapiens,TAFII,not sure,H1,Embryonic Stem Cell,Embryo,1,TAFII
50894|SPI1,4.849190600786368e-06,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
47283|KDM5B,5.369858599835187e-06,Homo sapiens,KDM5B,cr,MDA-MB-231,Epithelium,Breast,1,KDM5B
54127|CEBPB,5.396463637230564e-06,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1,CEBPB
46210|TEAD4,5.748373540281904e-06,Homo sapiens,TEAD4,tf,HCT-116,None,Colon,1,TEAD4
