,0,TF
MS00096|TGIF2,3.484984972458679e-06,TGIF2
MS00057|HIC2,3.6132890530317233e-06,HIC2
MS00111|NFKB2,3.7056249947993467e-06,NFKB2
MC00364|NFYA,3.72787965348588e-06,NFYA
MS00021|ETV6,3.920408337533081e-06,ETV6
UP00087|Tcfap2c,3.9412235418699895e-06,Tcfap2c
MA0073|RREB1,4.00946142052654e-06,RREB1
MC00467|RXRA,4.016533797718893e-06,RXRA
MS00834|ELF4,4.058124317712031e-06,ELF4
UP00102|ZIC1,4.059195500506952e-06,ZIC1
UP00028|Tcfap2e,4.117774396350147e-06,Tcfap2e
MS00808|TFEC,4.239958980047152e-06,TFEC
MC00320|EGR1,4.292080673554042e-06,EGR1
MC00468|AR,4.411576951618499e-06,AR
M01109|ZNF589,4.457815411024707e-06,ZNF589
M00433|Hmx3,4.53309395672194e-06,Hmx3
MS00197|TBX1,4.562501346917253e-06,TBX1
MC00206|ELK1,5.4800604820552425e-06,ELK1
MC00192|ZNF263,5.658953426492733e-06,ZNF263
MA0101|REL,5.72562203205553e-06,REL
M00332|FOXN1,5.872515887490457e-06,FOXN1
MC00334|SIX5,5.886287472779482e-06,SIX5
MS00188|MGA,6.265805891239299e-06,MGA
MA0155|INSM1,6.469059197256565e-06,INSM1
MS00335|Mafb,6.477772377882941e-06,Mafb
MS00110|NFKB1,6.6349542111969555e-06,NFKB1
M00491|PATZ1,6.920129317666607e-06,PATZ1
MS00019|ETV5,7.184954772868377e-06,ETV5
MS00267|MNT,7.302473518910904e-06,MNT
M01592|TFCP2L1,7.920343006360957e-06,TFCP2L1
MS00445|ZNF740,8.215878153216751e-06,ZNF740
MS00093|Pknox2,8.417965364503706e-06,Pknox2
MC00427|ETV1,8.42464772052157e-06,ETV1
M00327|PAX3,8.671041381198683e-06,PAX3
MC00523|E2F4,9.19434701634826e-06,E2F4
MS00268|YY2,9.457187945923455e-06,YY2
MS00846|ERF,9.583639826784558e-06,ERF
UP00027|Osr1,9.703898042999487e-06,Osr1
MC00386|BCL6,1.115895334817117e-05,BCL6
MC00191|Nfya,1.122283348782063e-05,Nfya
UP00024|Glis2,1.1820009175162717e-05,Glis2
MC00342|YY1,1.2143869223606033e-05,YY1
UP00010|Tcfap2b,1.2569897398275358e-05,Tcfap2b
MS00146|KLF16,1.3428549847517946e-05,KLF16
M01105|ZNF350,1.3704126394043392e-05,ZNF350
UP00065|Zfp161,1.3705197130921272e-05,Zfp161
M01656|Trp63,1.386390659282379e-05,Trp63
MS00357|ZIC4,1.3864325177775069e-05,ZIC4
M00179|ATF2,1.5074166365536383e-05,ATF2
MC00333|ESR2,1.5313061775942425e-05,ESR2
MS00118|PAX2,1.5341241471991167e-05,PAX2
MS00711|THRB,1.5565628539625015e-05,THRB
MS00512|Zfp740,1.6007017010605097e-05,Zfp740
MC00439|TP63,1.6471238343019405e-05,TP63
MS00246|SP8,1.6643228103334398e-05,SP8
MC00144|Rfx1,1.7218429362197533e-05,Rfx1
MC00367|GABPA,1.8443216904806358e-05,GABPA
MS00327|MAFG,1.9358135602117937e-05,MAFG
MS00216|TBX5,2.029376938225155e-05,TBX5
MC00278|ETS1,2.0390363870528648e-05,ETS1
MS00101|Hic1,2.136353811362101e-05,Hic1
MS00843|GLI2,2.17481802610861e-05,GLI2
MS00060|HSF4,2.2051957241986773e-05,HSF4
UP00094|Zfp128,2.252303709224487e-05,Zfp128
MC00372|Yy1,2.2764109194952892e-05,Yy1
M00964|NR1I2,2.2828173190769396e-05,NR1I2
MS00258|HEY1,2.378599279423576e-05,HEY1
MS00091|PKNOX1,2.4238247224832258e-05,PKNOX1
MS00016|ETV2,2.4243640433324447e-05,ETV2
MS00024|GLIS1,2.4394002928069127e-05,GLIS1
MS00207|TBX21,2.5330832762284345e-05,TBX21
MC00126|TCF12,2.5836152665004426e-05,TCF12
MC00142|PPARG,2.711402437322431e-05,PPARG
MC00352|Nr5a2,2.7149037416319535e-05,Nr5a2
MA0163|PLAG1,2.8047437700829795e-05,PLAG1
MC00125|Rest,2.8240936014856447e-05,Rest
MS00095|TGIF2LX,2.8313281453723536e-05,TGIF2LX
UP00057|ZIC2,2.859040891818127e-05,ZIC2
MC00407|Myc,3.0066550770045473e-05,Myc
MS00323|ZBTB7C,3.0089767218518445e-05,ZBTB7C
MC00512|Esrrb,3.0451865292081243e-05,Esrrb
M01132|SF1,3.054593134034086e-05,SF1
MC00518|Tfcp2,3.1353806560910416e-05,Tfcp2
MS00018|ETV4,3.195658342806739e-05,ETV4
M00105|CUX1,3.336460099311055e-05,CUX1
MS00124|KLF13,3.3982618163330176e-05,KLF13
MS00214|TBX4,3.4109269437533375e-05,TBX4
UP00011|IRF6,3.4222702031532034e-05,IRF6
MC00373|Mxi1,3.433678010628347e-05,Mxi1
MC00532|Mycn,3.5322091276306654e-05,Mycn
M01037|GLI1,3.5390106461342114e-05,GLI1
UP00095|Zfp691,3.5597705113841804e-05,Zfp691
M00647|NR1H3,3.6017936184796797e-05,NR1H3
MC00158|E2f4,3.950131458039061e-05,E2f4
MC00160|ETV3,3.98799847938884e-05,ETV3
MS00475|HMX3,3.993640577582334e-05,HMX3
M01248|NR0B1,4.1044122582228367e-05,NR0B1
MS00304|CREB3L1,4.854513211132185e-05,CREB3L1
MC00461|Max,4.8658256293428186e-05,Max
MC00374|TFAP2C,4.8888249842002525e-05,TFAP2C
MC00182|E2F1,4.98291684050722e-05,E2F1
MS00727|ZBTB49,4.9915264966147295e-05,ZBTB49
M00222|TCF3,5.012728448035513e-05,TCF3
MS00243|Ascl2,5.04523545621533e-05,Ascl2
MC00109|Klf4,5.1667310635826454e-05,Klf4
MC00110|Klf1,5.170963635352969e-05,Klf1
UP00006|Zic3,5.191415564756693e-05,Zic3
M00514|ATF4,5.428741321464039e-05,ATF4
MS00135|KLF14,5.7809271190801296e-05,KLF14
MS00308|CREB3,6.342305580092195e-05,CREB3
MS00289|TFEB,6.438393435354557e-05,TFEB
MC00262|ARNT,6.499433731047994e-05,ARNT
MS00326|MAFF,6.669153035119067e-05,MAFF
MC00476|Rarg,7.045861000844433e-05,Rarg
MC00203|RFX3,7.34870682983277e-05,RFX3
MC00362|Arntl,7.36854648259228e-05,Arntl
MC00140|Stat3,7.822844078211293e-05,Stat3
M01229|GTF2IRD1,8.270604782339632e-05,GTF2IRD1
MC00193|RELA,8.583023908540508e-05,RELA
MA0116|Zfp423,8.636283325277273e-05,Zfp423
MS00211|TBX2,9.945729203331057e-05,TBX2
MS00235|SP4,9.967964092556298e-05,SP4
MS00103|MYBL2,0.00010245294633697664,MYBL2
MC00281|PBX3,0.0001063049718058534,PBX3
MS00684|RARG,0.00010779074747236083,RARG
UP00086|IRF3,0.00010837115395317887,IRF3
MS00729|ZNF282,0.00011343145224418514,ZNF282
M00737|E2F1::TFDP2,0.00011546645242213686,E2F1::TFDP2
M00736|E2F1::TFDP1,0.0001171050539945056,E2F1::TFDP1
M00993|TAL1,0.00012257663559240954,TAL1
M01728|NR2F6,0.00012748490021789917,NR2F6
MS00117|PAX1,0.00013474356318553908,PAX1
MS00253|CLOCK,0.00013565282556396484,CLOCK
MS00087|Meis2,0.0001386243511960384,Meis2
MS00022|Elf5,0.00014294663550175682,Elf5
MS00157|Klf12,0.0001442091221061331,Klf12
MS00100|MYBL1,0.00015208227861004557,MYBL1
MC00134|Ppara,0.00015312761675340594,Ppara
MC00357|Crx,0.00015341517427155485,Crx
M00115|CNTN2::CREB1,0.00015564889859186196,CNTN2::CREB1
UP00084|Gmeb1,0.00015634674918231736,Gmeb1
M01466|Obox3,0.0001627152428932491,Obox3
M00632|GATA4,0.00017571829872184083,GATA4
MC00337|Ikzf3,0.00017592944809860996,Ikzf3
M01243|MTF1,0.00019565057512722705,MTF1
MS00169|RFX5,0.00019673680212459687,RFX5
M00526|NR6A1,0.00020433309226314364,NR6A1
M00085|ZBTB6,0.00022584999198666704,ZBTB6
MS00311|Creb3l2,0.00023535601219989166,Creb3l2
MC00502|HMGN1,0.00024415637991082755,HMGN1
MS00638|ESRRG,0.00024876615120148437,ESRRG
UP00048|RARA,0.0002535856769430618,RARA
UP00092|MYB,0.00025502116085196074,MYB
MS00700|Rarb,0.00025742761958231515,Rarb
M01364|Obox2,0.00026463535478386894,Obox2
M00483|ATF6,0.0002780724295351151,ATF6
MC00170|PGR,0.0002861074666684211,PGR
MS00059|HSF2,0.0002978802944757788,HSF2
MS00479|ZNF784,0.0003100595051489576,ZNF784
UP00052|Osr2,0.00032375644801253676,Osr2
MS00260|HEY2,0.0003261779246100305,HEY2
MS00266|MLX,0.00032886589248385225,MLX
M00500|STAT6,0.0003294595382890137,STAT6
MS00330|MAFK,0.00033057111376104495,MAFK
MS00174|RUNX2,0.0003372647704728295,RUNX2
MC00186|Nr1d2,0.00034318176188383924,Nr1d2
MS00694|RXRG,0.0003548937333101097,RXRG
MS00812|ELF3,0.00036691981314683795,ELF3
MA0161|NFIC,0.00039722529586352424,NFIC
M01334|Nkx1-1,0.0003981330152781936,Nkx1-1
M00717|PAX8,0.00043089583788518006,PAX8
M01305|TEF,0.00044025320927126215,TEF
UP00040|Irf5,0.00046342974487683346,Irf5
MS00271|NEUROD2,0.0004918437296062818,NEUROD2
MS00468|ZNF75A,0.0005203698394747008,ZNF75A
UP00020|ATF1,0.0005232612727896955,ATF1
MS00325|Jdp2,0.000536741428281421,Jdp2
MS00061|HSFY2,0.0005439130045970631,HSFY2
MS00264|MESP1,0.0005466343506186975,MESP1
MC00339|NFE2L2,0.0005481963776454578,NFE2L2
MS00313|Creb5,0.000549334398060053,Creb5
UP00031|Zbtb3,0.0005718576512216741,Zbtb3
MC00385|Ets1,0.0005736545929273186,Ets1
MS00128|PAX9,0.0005898674048877318,PAX9
MS00433|DMBX1,0.0005899264005478962,DMBX1
UP00000|SMAD3,0.0006013717363072055,SMAD3
MS00383|FOXO4,0.0006111922724655548,FOXO4
MS00162|RFX2,0.0006229088391608614,RFX2
MA0131|HINFP,0.0006282305884104667,HINFP
M00694|E4F1,0.0006442062538586685,E4F1
MC00414|Atoh1,0.0006534952280801634,Atoh1
MS00265|MLXIPL,0.0006594457264518448,MLXIPL
MC00513|SFPI1,0.0006620041530365975,SFPI1
MC00174|REST,0.0006785138088748649,REST
MS00089|Meis3,0.0007150134836733896,Meis3
MS00247|BHLHB2,0.0007578250588058337,BHLHB2
MS00692|RXRB,0.0007588313093036647,RXRB
MS00717|Tp53,0.0008092651385553382,Tp53
M00646|HNF1B,0.0008296308578184387,HNF1B
UP00085|Sfpi1,0.0008630229342621866,Sfpi1
MS00270|Mlx,0.000874468031172575,Mlx
MC00293|Gfi1b,0.000885375145394637,Gfi1b
MC00355|SRF,0.0008902969693110574,SRF
MC00473|ATF3,0.000929772393289451,ATF3
M00792|SMAD1,0.0009453587713087011,SMAD1
MS00251|BHLHE41,0.0009496177201571009,BHLHE41
MS00386|FOXO6,0.0009580719096243421,FOXO6
MS00320|JDP2,0.0010970425994163012,JDP2
MS00820|NFIA,0.001098904160577531,NFIA
MS00261|ID4,0.0011002920509893678,ID4
M01450|Obox1,0.0011400492107298662,Obox1
M01123|NANOG,0.001194387206545422,NANOG
UP00119|Nkx2-9,0.0011973300611150324,Nkx2-9
MC00335|ESR1,0.0013758113272678237,ESR1
MS00778|EHF,0.0014440424865391655,EHF
MC00223|SMAD2/3,0.0014555401119577692,SMAD2/3
UP00045|MAFB,0.00151331367700639,MAFB
MC00348|STAT1,0.0016426975371797666,STAT1
MC00471|Rxra,0.0017345463176368548,Rxra
MS00708|Rxrb,0.0017552588166284153,Rxrb
MC00368|Hsf1,0.0017849163387904843,Hsf1
MC00396|Nr3c1,0.0019938977430464687,Nr3c1
UP00018|Irf4,0.002003869909651996,Irf4
MS00248|BHLHB3,0.002065127091912455,BHLHB3
MC00358|Ebf1,0.002108659843328059,Ebf1
MC00408|Myb,0.0021293252229708476,Myb
MC00321|JUN,0.0021485781856850055,JUN
MC00211|NFATC1,0.002152832252794465,NFATC1
MC00248|USF1,0.0024377490757512338,USF1
MC00224|EPAS1,0.002549205138212212,EPAS1
UP00056|RFX4,0.0026868844543762433,RFX4
M00467|ZNF423,0.002709446498367821,ZNF423
MC00163|Creb1,0.002713515329386192,Creb1
UP00193|Rhox11,0.0027744194517390817,Rhox11
MC00305|Sox6,0.003429385120289427,Sox6
M00712|MYOG,0.003463900892896867,MYOG
M00456|BPTF,0.003481720790419739,BPTF
MS00070|IRF7,0.0037516180152384446,IRF7
MC00169|Usf2,0.0037723850727924358,Usf2
MS00657|NR2F1,0.004059253411343466,NR2F1
MC00135|Rela,0.004141172570796101,Rela
UP00044|Mafk,0.004146216006166376,Mafk
MS00220|TEAD1,0.004157080914310352,TEAD1
MS00371|FOXK1,0.004276688730424924,FOXK1
M00454|ARID5B,0.004376165233928693,ARID5B
MS00829|ESRRA,0.004481154450703247,ESRRA
MC00448|Nr1h2,0.004537573684809986,Nr1h2
MS00218|T,0.004789516963346184,T
MS00254|FIGLA,0.004982946064647656,FIGLA
UP00389|NKX3-1,0.0050500740142685,NKX3-1
M01288|NEUROD1,0.005143229839376411,NEUROD1
M01734|NFATC4,0.0053185276855197,NFATC4
MS00838|ELF5,0.005343335264589662,ELF5
MS00486|HOXA1,0.005364613963930341,HOXA1
MC00316|HIF1A,0.005624965712416908,HIF1A
MS00380|FOXO3,0.0058569591639482665,FOXO3
UP00185|PBX1,0.006039833575774421,PBX1
MC00370|Npas4,0.00624014754791618,Npas4
MS00290|ZBED1,0.006327610848768773,ZBED1
M00648|MAF,0.0067122868671416445,MAF
MS00252|Bhlhb2,0.0068107044342518045,Bhlhb2
MS00296|BATF3,0.00694388772227435,BATF3
MS00294|ATF7,0.007263617732624447,ATF7
MS00065|IRF4,0.007294976304423909,IRF4
MS00463|GSC2,0.0073690143446699455,GSC2
M00490|BACH2,0.007921877628322907,BACH2
MC00304|FOXH1,0.00886632686135055,FOXH1
MS00730|ZNF435,0.00894826633032049,ZNF435
MS00392|Foxg1,0.009178251646037507,Foxg1
MC00129|Fli1,0.009326220433215307,Fli1
MC00265|Tcf3,0.009599752301378764,Tcf3
MC00205|Stat5a,0.010124532439943976,Stat5a
UP00177|Hoxd12,0.010130829449435705,Hoxd12
MS00040|SPIC,0.010685958186174271,SPIC
MC00157|Tead4,0.010955551884346375,Tead4
MS00709|THRA,0.011411597172851803,THRA
MS00480|HOXA10,0.011457718788060338,HOXA10
MC00413|Runx1,0.011930270140922017,Runx1
MC00295|Esr1,0.012144040981849792,Esr1
MS00669|Nr2f6,0.012231748980116166,Nr2f6
MS00376|FOXO1,0.012713244374237312,FOXO1
M01596|GLI3,0.012950039566440641,GLI3
MS00580|Nkx3-1,0.013503018267224769,Nkx3-1
M01306|ZNF217,0.014178295918047692,ZNF217
MS00668|Nr2e1,0.014491155473157694,Nr2e1
MS00201|SNAI2,0.014510485817728793,SNAI2
MC00354|Neurod1,0.014731659576087987,Neurod1
M01112|RBPJ,0.01507588628442886,RBPJ
M01282|PPARA,0.01521323166539068,PPARA
M00155|NR2F2,0.015648136413234946,NR2F2
MS00685|RORA,0.015884378713067887,RORA
MC00356|Tbx21,0.01592286447865415,Tbx21
UP00081|Mybl1,0.016030221709386516,Mybl1
MS00609|RHOXF1,0.016110619713908682,RHOXF1
MS00596|PITX3,0.01630177555347671,PITX3
M01067|GFI1,0.016375059120558276,GFI1
MC00312|RUNX1,0.017443824360768447,RUNX1
MS00168|PRDM1,0.017619885266566868,PRDM1
MS00398|Foxk1,0.018266928724993636,Foxk1
MS00221|TEAD3,0.018963339679546512,TEAD3
MC00104|Foxa1,0.019420715014514683,Foxa1
M00644|UBP1,0.019606665264899167,UBP1
MS00361|FOXG1,0.019849857587197456,FOXG1
MS00641|Esrra,0.0202172675075048,Esrra
MS00466|GSX2,0.021595571305765962,GSX2
M01722|RORB,0.021949928274519245,RORB
MS00573|NKX3-2,0.023069487326896468,NKX3-2
MS00072|IRF8,0.024019033950326618,IRF8
MS00473|HMX1,0.024614826524971267,HMX1
MA0051|IRF2,0.024972727600647955,IRF2
M00041|ATF2::JUN,0.02543462094113359,ATF2::JUN
UP00112|Gsc,0.026102496740238876,Gsc
MS00528|ISL2,0.027914004586861944,ISL2
UP00184|Lhx8,0.028035959508913532,Lhx8
MS00581|Nkx6-1,0.0286765804647251,Nkx6-1
UP00199|SIX4,0.030190402812750206,SIX4
MS00421|Barhl1,0.0311043434408283,Barhl1
MS00192|TBX15,0.03176779364367071,TBX15
MS00585|OTX2,0.032154879845988756,OTX2
MS00626|VSX1,0.032385206694290174,VSX1
MS00533|LBX2,0.03242640911108993,LBX2
MS00191|TBR1,0.0336760366892695,TBR1
MC00371|JUNB,0.034825975060509946,JUNB
MC00154|Jund,0.034832403277477254,Jund
MS00490|ZSCAN4,0.03776113293306487,ZSCAN4
MS00474|HMX2,0.03824753916012523,HMX2
MC00369|Myod1,0.0386991316705812,Myod1
MS00177|RUNX3,0.0389634397295992,RUNX3
M01709|MAFA,0.03949531727295299,MAFA
MC00524|Nr1d1,0.04169923777364258,Nr1d1
MC00452|STAT5B,0.041995946680193255,STAT5B
MS00245|BHLHA15,0.042605676178091294,BHLHA15
UP00107|Nkx2-4,0.04278905917138386,Nkx2-4
M00750|HMGA1,0.043138731294682306,HMGA1
M01069|GZF1,0.044250741490974695,GZF1
MS00194|TBX19,0.04530347860993493,TBX19
MS00465|GSX1,0.04691214114214051,GSX1
MS00394|Foxj3,0.0475059181320442,Foxj3
UP00192|SIX1,0.04892984156808681,SIX1
MS00291|Tcf21,0.04945039049995263,Tcf21
MS00556|GRHL1,0.04963767821231293,GRHL1
MS00202|TBX20,0.05105499307643829,TBX20
M00141|IKZF1,0.05137618438949665,IKZF1
MS00485|HOXA13,0.05184784272313035,HOXA13
MC00456|JUND,0.05186645207923053,JUND
MS00179|SCRT1,0.055959578435182414,SCRT1
M00159|CEBPA,0.058520524113628625,CEBPA
MS00582|OTX1,0.05954669142542698,OTX1
MS00414|BARHL2,0.06045696340405113,BARHL2
MC00141|Stat1,0.0607407479761965,Stat1
MS00744|SOX10,0.06328593468298893,SOX10
M01268|NR1H4,0.06508680816209003,NR1H4
