,0,TF
MC00347|STAT4,0.20275624490529204,STAT4
M01445|Obox6,0.20734984880320528,Obox6
MS00665|NR4A2,0.21206339917161335,NR4A2
MS00073|IRF9,0.21306772157915,IRF9
MC00508|Batf,0.21545350975695918,Batf
M00992|FOXP3,0.21657422134164073,FOXP3
MS00336|NFE2,0.2202019118811856,NFE2
UP00043|Bcl6b,0.22114246053725795,Bcl6b
MS00450|EN2,0.224699386307918,EN2
MS00369|FOXJ3,0.22767886614980698,FOXJ3
MS00762|SOX2,0.23339545206537968,SOX2
MS00503|HOXC12,0.23592495018977097,HOXC12
MS00510|HOXD13,0.2382921458318149,HOXD13
MS00532|Irx3,0.2383716214024837,Irx3
MA0041|FOXD3,0.24299487788898666,FOXD3
MC00276|EOMES,0.24363060889220836,EOMES
UP00263|Hoxb8,0.24615821087171266,Hoxb8
UP00114|Homez,0.2482469167385761,Homez
MS00571|NKX2-8,0.2494423305934829,NKX2-8
MS00295|Atf4,0.25082562389362834,Atf4
MA0152|NFATC2,0.25816360975102715,NFATC2
MS00575|NKX6-1,0.25830961279800757,NKX6-1
MS00362|FOXI1,0.2605930234687128,FOXI1
MS00464|GSC,0.26262575387991965,GSC
M01650|NR2E3,0.2639759252812129,NR2E3
MC00506|Spi1,0.2654840666862243,Spi1
M00624|DBP,0.26773191182880607,DBP
UP00159|SIX2,0.27334008341235044,SIX2
M00062|IRF1,0.27445571775457633,IRF1
MS00555|MIXL1,0.27614532073542725,MIXL1
MS00455|EVX2,0.27783453455256363,EVX2
MS00748|SOX14,0.27819599926743255,SOX14
MS00759|SOX21,0.2915833010082454,SOX21
UP00207|HOXB9,0.29244482529482285,HOXB9
M01146|DMRT1,0.2932387851860811,DMRT1
MS00033|SPDEF,0.29423017093751114,SPDEF
MS00788|SRY,0.29971546960651424,SRY
MS00595|PITX1,0.3038507341069116,PITX1
UP00147|Nkx2-6,0.3044502859093135,Nkx2-6
MA0031|FOXD1,0.31133397550473507,FOXD1
M01195|TBX22,0.3274259759459061,TBX22
MS00557|MNX1,0.32924137831044076,MNX1
MA0108|TBP,0.32942700851884954,TBP
UP00215|Vax1,0.3299777714754067,Vax1
MS00458|En2,0.33484563750650564,En2
MS00520|Hoxd13,0.3388149670181121,Hoxd13
M01480|Obox5,0.34278207801900135,Obox5
MS00516|Hoxa2,0.3457984544178182,Hoxa2
UP00019|ZBTB12,0.3519071057415896,ZBTB12
MS00766|SOX4,0.35516664532267633,SOX4
MS00513|HOXD8,0.3602706176221772,HOXD8
UP00388|SIX6,0.3613867699164517,SIX6
MS00280|OLIG3,0.37520593734199026,OLIG3
UP00237|Otp,0.3779408687832847,Otp
UP00164|HOXA7,0.3779411848612112,HOXA7
MA0103|ZEB1,0.3785734875553762,ZEB1
UP00148|Hdx,0.38052014524901423,Hdx
UP00175|Lhx9,0.3943023391109217,Lhx9
MS00356|FOXD2,0.39544654369659943,FOXD2
MS00540|LHX6,0.403919222786095,LHX6
MS00492|HOXB3,0.41109700029354024,HOXB3
MS00141|POU3F2,0.41199480932814003,POU3F2
MS00605|RAXL1,0.4120074540025537,RAXL1
MS00507|HOXD11,0.4123570024254294,HOXD11
MS00054|Tcf7,0.41308572274874367,Tcf7
MS00653|NR2E1,0.41365673036910666,NR2E1
MS00577|NKX6-2,0.4137104140819501,NKX6-2
MS00452|ESX1,0.41785380663549476,ESX1
MS00497|HOXC11,0.4178907213919456,HOXC11
MS00130|POU1F1,0.42822786582198247,POU1F1
MC00501|FOXP1,0.43132045024358434,FOXP1
UP00243|Isx,0.4355244884236936,Isx
M00405|MEF2A,0.4386718698514084,MEF2A
MS00454|EVX1,0.4391979813294288,EVX1
UP00195|SIX3,0.44348635738159214,SIX3
M01300|HMGA2,0.44486567725887993,HMGA2
MC00507|Meis1,0.4457591959749908,Meis1
MS00531|ISX,0.4517646295076547,ISX
MS00606|RAX,0.4521146177593771,RAX
MS00460|GBX2,0.4536380646049374,GBX2
MS00517|Hoxc10,0.4590268352372944,Hoxc10
MC00105|Foxa2,0.46142736229965153,Foxa2
MS00586|Otx1,0.4660723465088956,Otx1
MS00493|HOXB5,0.47887153798355353,HOXB5
MC00151|SPI1,0.4797532678443095,SPI1
MS00501|Zfp652,0.48331532070790895,Zfp652
MC00349|Jun,0.4921548156929988,Jun
MS00771|SOX8,0.496375925687923,SOX8
MS00152|POU5F1P1,0.4981708190873345,POU5F1P1
MC00311|FOXA1,0.4994362530253381,FOXA1
UP00241|HOXD3,0.5053806109543744,HOXD3
MS00805|Sox3,0.5066039690200773,Sox3
MS00467|Gbx1,0.5076116706172926,Gbx1
UP00187|ALX4,0.5100209700801683,ALX4
MS00541|LHX9,0.5130665554692883,LHX9
MS00731|ZNF713,0.5177737306358793,ZNF713
MS00613|SHOX2,0.5203900423836354,SHOX2
MS00628|Vsx1,0.525136080978295,Vsx1
UP00259|HOXB6,0.5255885928871431,HOXB6
UP00055|HBP1,0.5260122937038609,HBP1
MS00366|FOXJ2,0.526027102067727,FOXJ2
MS00419|BSX,0.5286060475256051,BSX
UP00170|Isl2,0.536198940461746,Isl2
M01694|Yy2,0.5425187016252245,Yy2
MS00412|ZNF410,0.5461753643320737,ZNF410
MS00603|PRRX2,0.5470216320850484,PRRX2
MS00276|OLIG1,0.5476125883940701,OLIG1
MC00411|BATF,0.5606022399132662,BATF
UP00139|Nkx1-2,0.5619864106365697,Nkx1-2
MS00459|GBX1,0.5675021978656251,GBX1
MS00615|Shox2,0.5690638556752141,Shox2
MS00604|Prrx2,0.5769807172969665,Prrx2
MS00106|NFAT5,0.5860639672374559,NFAT5
MS00302|CEBPG,0.5901311655704692,CEBPG
MC00309|TCF7L2,0.592838950063012,TCF7L2
MS00145|POU3F4,0.5941076295826648,POU3F4
MS00750|SOX15,0.5950218512722414,SOX15
MS00728|ZNF232,0.5972961194211149,ZNF232
MA0130|ZNF354C,0.5979579020801953,ZNF354C
MS00337|NFIL3,0.6040155967250682,NFIL3
MS00443|EMX2,0.6071225969008471,EMX2
UP00155|Hmx2,0.6077486603948024,Hmx2
MS00470|HESX1,0.6086124354278339,HESX1
MS00614|SHOX,0.6118669547977584,SHOX
MS00469|Gbx2,0.6172369740307804,Gbx2
MS00417|BARX1,0.618480574779274,BARX1
MS00800|Sox1,0.6197845251546502,Sox1
UP00132|Evx2,0.6221148523005358,Evx2
MS00354|FOXC2,0.623909744133841,FOXC2
MS00425|CDX1,0.6289253989975663,CDX1
MS00536|LHX2,0.6294455815331433,LHX2
UP00169|LMX1B,0.6299705601871414,LMX1B
MS00553|MEOX2,0.6315486633084909,MEOX2
MS00446|EN1,0.6348761180347862,EN1
UP00248|Pax7,0.6434251900519425,Pax7
MC00272|CEBPB,0.6441948180011673,CEBPB
MS00578|NOTO,0.6482162674716097,NOTO
MC00416|Rbfox2,0.6532139692972556,Rbfox2
MS00277|OLIG2,0.6563531541119705,OLIG2
MS00624|VENTX,0.6573391936018587,VENTX
MS00136|POU2F3,0.658757076232345,POU2F3
UP00391|HOXA3,0.6632832544181713,HOXA3
UP00196|HOXA4,0.6644576410441199,HOXA4
MS00487|HOXA2,0.6654686245907897,HOXA2
MS00287|TFAP4,0.6787735575965621,TFAP4
MS00491|HOXB2,0.6877849707269985,HOXB2
UP00078|ARID3A,0.6991926170849161,ARID3A
MC00287|POU2F2,0.7001247047759684,POU2F2
MS00547|Lhx4,0.7070980290652203,Lhx4
MS00551|MEOX1,0.7082844783482991,MEOX1
UP00012|Bbx,0.7193791534723113,Bbx
MS00559|MSX1,0.7208995979745876,MSX1
UP00144|Hoxb4,0.7225227496104599,Hoxb4
M01453|ALX1,0.7305060015009444,ALX1
MS00438|DUXA,0.7331228972473481,DUXA
MS00041|Spic,0.7332146552673462,Spic
MC00260|Pax3,0.7358527626122717,Pax3
UP00138|Bsx,0.7475922304944229,Bsx
UP00161|Hmbox1,0.7703251714582204,Hmbox1
MS00795|Sox11,0.7712202569922734,Sox11
M01479|POU6F1,0.7749645266873149,POU6F1
MS00437|DRGX,0.7783596231511941,DRGX
MS00769|SOX7,0.7805038961702624,SOX7
UP00194|IRX4,0.7812430327454425,IRX4
MS00316|Dbp,0.7821560463281064,Dbp
MS00055|HOMEZ,0.7827932802317298,HOMEZ
MS00249|BHLHE22,0.7838377930174323,BHLHE22
MS00300|CEBPE,0.8013467306869593,CEBPE
MS00149|POU4F2,0.8023028575938008,POU4F2
UP00101|Sox12,0.8029020335399715,Sox12
MS00634|CUX2,0.8069817942002706,CUX2
M01150|Dmrta2,0.8091143935743283,Dmrta2
M01230|ZNF333,0.8103757084609128,ZNF333
UP00080|Gata5,0.8114452455192107,Gata5
UP00238|Nkx6-3,0.8259796711670397,Nkx6-3
MS00428|DLX2,0.8262667027443971,DLX2
UP00218|Dbx2,0.8269626673732138,Dbx2
MS00588|PDX1,0.8281870971699608,PDX1
UP00113|HOXC4,0.8366118974127341,HOXC4
MS00618|Uncx,0.8369118121559956,Uncx
UP00213|HOXA9,0.8394310287048087,HOXA9
MS00543|LMX1A,0.839496116221736,LMX1A
M01295|ATF5,0.8479744709598152,ATF5
MS00131|POU2F1,0.8480971296330696,POU2F1
UP00140|Hoxd1,0.848755511787125,Hoxd1
MS00440|Dlx2,0.854101325600518,Dlx2
MS00797|Sox17,0.8546587888058569,Sox17
UP00166|BARHL1,0.8612723613558442,BARHL1
M01149|Dmrta1,0.8631000852302666,Dmrta1
MA0030|FOXF2,0.8636336426228348,FOXF2
UP00150|IRX6,0.8722593940101206,IRX6
MC00233|Pou5f1,0.8801608843690137,Pou5f1
UP00168|Hoxd8,0.8803002626537983,Hoxd8
UP00041|Foxj1,0.8846774019670611,Foxj1
UP00129|Pou3f1,0.8895227230902774,Pou3f1
UP00261|LHX4,0.893518112528181,LHX4
MS00045|GATA5,0.8942312487594085,GATA5
M01075|ZBTB16,0.8947934399679836,ZBTB16
MS00402|ALX3,0.8957331055818822,ALX3
M00478|CDC5L,0.8983295762983753,CDC5L
UP00037|Zfp105,0.8994349420403599,Zfp105
MS00269|MYF6,0.8996064431516154,MYF6
MC00389|CDX2,0.9000716433223388,CDX2
MS00318|Hlf,0.9029830660463495,Hlf
UP00252|HOXC5,0.904601716132688,HOXC5
MA0040|Foxq1,0.9070858892187176,Foxq1
MS00753|SOX18,0.9077764167273835,SOX18
MC00146|Smad2/3,0.9079817159917808,Smad2/3
UP00137|Hoxb3,0.9085400898819901,Hoxb3
MS00142|POU3F3,0.9135934105498953,POU3F3
MS00561|MSX2,0.9161206459212197,MSX2
MS00424|CART1,0.9193144233755619,CART1
M01148|DMRT3,0.9219008963628802,DMRT3
MS00148|POU4F1,0.9232469297327418,POU4F1
MS00388|Foxc1,0.924410034016971,Foxc1
M01723|SATB1,0.928833967629,SATB1
UP00121|Hoxd10,0.9324480164786166,Hoxd10
MC00455|Cdx2,0.9340043424791156,Cdx2
M01435|Rhox6,0.939800679208726,Rhox6
MS00476|HNF1A,0.9400987140440336,HNF1A
MS00408|Alx4,0.9420916509563342,Alx4
MS00051|LEF1,0.9445974336880623,LEF1
UP00212|LHX5,0.9450018892442678,LHX5
UP00244|TLX2,0.9452107345946086,TLX2
UP00064|Sox18,0.9479506741485229,Sox18
UP00096|SOX13,0.9494012056575789,SOX13
MS00075|MEF2B,0.9498813021732321,MEF2B
MC00122|Cebpa,0.9514829185987356,Cebpa
UP00130|LHX3,0.9534354679263803,LHX3
MC00504|Scx,0.9536105313528147,Scx
MS00564|Msx3,0.9538082862519907,Msx3
MS00076|MEF2D,0.9577558421790618,MEF2D
MC00474|BCL11A,0.961393778079677,BCL11A
MC00388|Tal1,0.9650113974180041,Tal1
UP00211|Pou3f3,0.9651886962141409,Pou3f3
M01127|ISL1,0.9652176135039718,ISL1
MS00627|VSX2,0.9680043104683059,VSX2
UP00242|HOXC8,0.9685697890333289,HOXC8
MS00732|CPEB1,0.9693543970197611,CPEB1
MS00407|Alx1,0.9703455139890261,Alx1
MS00593|PHOX2B,0.9708153730261124,PHOX2B
UP00260|Hoxc6,0.9721706661494787,Hoxc6
MS00427|DLX1,0.9721873832377841,DLX1
MS00667|ONECUT1,0.9747219175849674,ONECUT1
MS00126|PAX7,0.9780617969564491,PAX7
MC00117|GATA6,0.9786817958868068,GATA6
MS00151|POU4F3,0.9792912308410789,POU4F3
MC00402|Hoxc9,0.9798260607152784,Hoxc9
MC00303|Sox2,0.9799050804560235,Sox2
UP00262|Lhx1,0.9812839685186651,Lhx1
UP00082|Zfp187,0.9819206098421535,Zfp187
MS00429|DLX3,0.9819815302519691,DLX3
M01147|DMRT2,0.9820455466088112,DMRT2
MS00563|Meox2,0.983026145628161,Meox2
MC00327|Gata1,0.983634042567606,Gata1
MC00514|Cbfa2t2,0.9844683232549164,Cbfa2t2
MC00505|POLR2B,0.9854473174415027,POLR2B
M01399|Hlx,0.9867342672512348,Hlx
MS00597|PROP1,0.9878584349426589,PROP1
M01483|Dbx1,0.9879310126100422,Dbx1
MS00430|DLX4,0.987995294636055,DLX4
UP00206|Hoxb7,0.9881716531202931,Hoxb7
MS00432|DLX6,0.9881964473218432,DLX6
MC00165|Pdx1,0.9890154917878037,Pdx1
MS00620|VAX1,0.9895127346252457,VAX1
UP00151|BARX2,0.9901892482820227,BARX2
M00294|Foxf1a,0.9908510391991883,Foxf1a
UP00182|HOXA6,0.9908717661858428,HOXA6
MC00326|Gata3,0.9909829619225395,Gata3
MS00431|DLX5,0.9910277761655757,DLX5
MS00621|VAX2,0.9912296941707511,VAX2
UP00023|Sox30,0.9915502793570136,Sox30
MC00226|Nanog,0.9917376786736884,Nanog
UP00051|Sox8,0.9917974005044001,Sox8
MC00520|MEIS1,0.9921404598345663,MEIS1
MS00690|ONECUT3,0.9923295675870749,ONECUT3
MS00155|POU6F2,0.9923422683229257,POU6F2
UP00034|Sox7,0.9926242015303529,Sox7
MC00231|MEF2C,0.993442601540945,MEF2C
MS00439|Dlx1,0.9935993264026296,Dlx1
UP00091|SOX5,0.9936822573982083,SOX5
MC00324|Gata4,0.9940349469890853,Gata4
MS00679|ONECUT2,0.9941245687939025,ONECUT2
MC00378|POU5F1,0.9943208733101941,POU5F1
M01004|IKZF2,0.9944072776042324,IKZF2
UP00189|HOXA5,0.9945918251592624,HOXA5
MC00120|GATA1,0.9945979550923973,GATA1
MC00119|GATA3,0.9947050194753794,GATA3
MC00118|GATA2,0.9966336787269128,GATA2
UP00071|Sox21,0.997631581498783,Sox21
MC00162|LMO2,0.9976472722248622,LMO2
MC00325|Gata2,0.9989163050315082,Gata2
MS00405|ARX,0.9995034543867094,ARX
UP00004|Sox14,0.9996159039118071,Sox14
UP00075|Sox15,0.9999964748677862,Sox15
