,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45867|MAZ,8.270613663467946e-10,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
45565|CTCF,1.9584031160072947e-09,Homo sapiens,CTCF,tf,AG09309,Fibroblast,Skin,1,CTCF
69456|TP53,2.5176365424990007e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
65084|SP2,2.7904974748678594e-08,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
36356|POLR2B,4.066735500554373e-08,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
50412|KLF11,9.526641970969984e-08,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
45866|MXI1,2.1667475679728942e-07,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
45778|MAX,2.6870431035093897e-07,Homo sapiens,MAX,tf,HeLa-S3,Epithelium,Cervix,1,MAX
74650|DRAP1,3.406340115442376e-07,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
70561|MYC,5.969300407229878e-07,Homo sapiens,MYC,tf,U2OS,None,Bone,1,MYC
49267|BMI1,7.912675288982796e-07,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
40221|BRD4,8.474176236616156e-07,Homo sapiens,BRD4,cr,U87,None,Brain,1,BRD4
50112|MAFB,9.5501833793105e-07,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
56961|GTF2B,1.2315163268257406e-06,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
49266|SCML2,1.2524560842838585e-06,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
45919|ZMIZ1,1.4089007768972963e-06,Homo sapiens,ZMIZ1,not sure,K562,Erythroblast,Bone Marrow,1,ZMIZ1
63407|POLR2AphosphoS5,1.5664669673717404e-06,Homo sapiens,POLR2AphosphoS5,,None,iPSC,None,1,POLR2AphosphoS5
46169|EGR1,2.7015472788688983e-06,Homo sapiens,EGR1,tf,H1,Embryonic Stem Cell,Embryo,1,EGR1
