,0,TF
42442|STAG1,3.3365978594309128e-09,STAG1
63460|MTA3,3.745964339111608e-09,MTA3
33599|FAIRE,3.834902916741359e-09,FAIRE
45890|HCFC1,4.293659554650231e-09,HCFC1
72406|PARP1,4.367098342939351e-09,PARP1
63295|ZNF335,4.379922877556381e-09,ZNF335
72878|MYF5,4.518245859578363e-09,MYF5
51750|FOXP1,4.842472474345435e-09,FOXP1
35268|SNAPC1,5.812529287619178e-09,SNAPC1
63756|ZBTB33,5.850872918551746e-09,ZBTB33
46249|NR2F2,6.341118864504259e-09,NR2F2
64556|IKZF2,6.738613505099721e-09,IKZF2
46333|FOXP2,7.128904772954458e-09,FOXP2
59004|JMJD1C,7.714075910837292e-09,JMJD1C
70966|MED12,8.445863605202774e-09,MED12
49949|KLF9,8.474148746562369e-09,KLF9
50381|NFE2,9.401513935802942e-09,NFE2
69798|PPARG,9.543928413118442e-09,PPARG
38784|RFX1,1.0449066305221633e-08,RFX1
63362|C11orf30,1.0663105584565827e-08,C11orf30
43642|CDK8,1.1075255494684199e-08,CDK8
32850|TERC,1.179259435194147e-08,TERC
53309|TAL1,1.1872500093428822e-08,TAL1
43105|RBPJ,1.1909166602850887e-08,RBPJ
49481|RPE,1.2151817955801526e-08,RPE
65186|EGR3,1.218974729694222e-08,EGR3
45897|ARID3A,1.2422209167861698e-08,ARID3A
46236|SIN3A,1.2537055993852349e-08,SIN3A
63098|SMAD5,1.2647497476679422e-08,SMAD5
8793|RBBP5,1.2733815631685636e-08,RBBP5
56819|TFAP2A,1.3145017646328083e-08,TFAP2A
63029|MBD2,1.3170522110228997e-08,MBD2
45922|ZNF384,1.3451498658107495e-08,ZNF384
44333|E2F1,1.3474477234124253e-08,E2F1
39920|ICE1,1.4072225489174577e-08,ICE1
45800|NR2C2,1.4945098931030436e-08,NR2C2
44692|LANA,1.5110695246266406e-08,LANA
37767|TALE,1.5110695246266406e-08,TALE
2110|PRAME,1.6613575521965468e-08,PRAME
45627|ESRRA,1.703281649851912e-08,ESRRA
2094|NFYA,1.7136139867878455e-08,NFYA
63463|IKZF1,1.7659773189946557e-08,IKZF1
58843|XRN2,1.7801965512935586e-08,XRN2
45777|RCOR1,2.0274728676184212e-08,RCOR1
74052|NKX2-1,2.0878768187706058e-08,NKX2-1
34392|MECP2,2.1527721360808063e-08,MECP2
35766|AR,2.2140081018408555e-08,AR
77263|NFIA,2.2217459524505638e-08,NFIA
4929|TAFII,2.2567897708528103e-08,TAFII
74681|SMAD4,2.2624741203342553e-08,SMAD4
69799|NR1H3,2.2715180964821488e-08,NR1H3
36231|DCP1A,2.290149949848154e-08,DCP1A
70927|SUPT5H,2.2992187927697746e-08,SUPT5H
50573|MYB,2.3821962781610473e-08,MYB
65147|EGR2,2.3828966800738388e-08,EGR2
68490|KAT5,2.4147193307909966e-08,KAT5
46202|ELF1,2.7311951659024026e-08,ELF1
74659|ZBTB2,2.7468541701917577e-08,ZBTB2
46138|PAX5,2.7701374703545107e-08,PAX5
63176|ETV1,3.003110006527255e-08,ETV1
46242|RXRA,3.1380022940783084e-08,RXRA
39350|KLF1,3.154788139634622e-08,KLF1
77537|REL,3.212186661336393e-08,REL
64581|CBX1,3.411302029676728e-08,CBX1
1219|GATAD1,3.646845293665805e-08,GATAD1
46210|TEAD4,3.970438317957119e-08,TEAD4
74682|FOXO3,4.251073556762788e-08,FOXO3
64751|ZBTB11,4.318486502611113e-08,ZBTB11
46188|SIX5,5.132931952259361e-08,SIX5
35700|SUMO1,5.170022468169484e-08,SUMO1
77271|L3MBTL4,5.2615723384661405e-08,L3MBTL4
58936|NRF1,5.556793357511596e-08,NRF1
38163|SUZ12,5.771415612238376e-08,SUZ12
64546|HNF1A,5.883706883907965e-08,HNF1A
47601|KLF5,6.502087726496689e-08,KLF5
46362|TCF12,6.80553137245314e-08,TCF12
62509|ZEB2,7.300202805053117e-08,ZEB2
55779|CTCFL,7.39296739689128e-08,CTCFL
72426|ORC2,7.616846410842628e-08,ORC2
53296|ERG,7.911278749776484e-08,ERG
40053|CDK7,8.107812506790676e-08,CDK7
62980|ZBED1,8.520135610208273e-08,ZBED1
46243|FOSL2,9.095688762603216e-08,FOSL2
74678|STAT2,9.106582299538929e-08,STAT2
46239|HNF4G,1.1151233032995539e-07,HNF4G
2400|TDRD3,1.1755822722604563e-07,TDRD3
46140|TCF7L1,1.2016978036701077e-07,TCF7L1
1991|FOS,1.2369405330473482e-07,FOS
45736|BRCA1,1.2638543591388536e-07,BRCA1
74671|ZNF639,1.2656581875341765e-07,ZNF639
70174|DNMT3B,1.504874247397803e-07,DNMT3B
38804|E2F8,1.5659534482218175e-07,E2F8
63156|GABP,1.5909325614303547e-07,GABP
43305|CDK6,1.6031770638509446e-07,CDK6
64691|CBFB,1.655622404173625e-07,CBFB
53467|KDM1A,1.6882385459886262e-07,KDM1A
70759|OGT,1.801950119043564e-07,OGT
54676|YAP1,1.8433733752716503e-07,YAP1
1223|C17orf49,2.19252068819747e-07,C17orf49
65063|ZNF574,2.3055322154091388e-07,ZNF574
4126|HDAC6,2.3162465101526135e-07,HDAC6
392|NOTCH1,2.3690475771377175e-07,NOTCH1
65057|TGIF2,2.745987323789435e-07,TGIF2
77256|ZXDC,2.7922394794275927e-07,ZXDC
46245|ZEB1,2.922068463438929e-07,ZEB1
50898|PAX6,2.985540478524508e-07,PAX6
1006|EOMES,3.2361352086453247e-07,EOMES
75840|MYCN,3.373785557768366e-07,MYCN
63523|TARDBP,4.139201576410696e-07,TARDBP
37056|FLI1,4.4189178260662e-07,FLI1
45786|ZKSCAN1,4.4196818042391574e-07,ZKSCAN1
38742|NFATC1,4.6389790214032634e-07,NFATC1
38719|DLX1,4.785252372028817e-07,DLX1
54573|HSF1,5.347112749455671e-07,HSF1
37623|MYH11,5.482722275958108e-07,MYH11
63685|ZBTB8A,5.573103514696615e-07,ZBTB8A
74663|ZNF18,5.642640565784477e-07,ZNF18
45746|MAFK,5.723843560254689e-07,MAFK
45638|CHD2,5.862437469150385e-07,CHD2
64269|H2AFZ,5.864734588709067e-07,H2AFZ
76682|ASXL1,5.958182784027457e-07,ASXL1
62756|MTA2,6.04877716806428e-07,MTA2
63034|PRDM10,6.250307049868219e-07,PRDM10
45714|TCF7L2,6.428437586171119e-07,TCF7L2
4403|KAT8,6.693791385195306e-07,KAT8
58807|MAF,6.764345206973727e-07,MAF
1228|CCDC101,7.352984893858353e-07,CCDC101
63068|ZBTB40,9.058812831414012e-07,ZBTB40
76527|EPC1,9.637052901098592e-07,EPC1
63451|HDAC1,1.0198531286327463e-06,HDAC1
1|BTAF1,1.0872248201768916e-06,BTAF1
46294|CEBPD,1.1345870350341289e-06,CEBPD
53983|PR,1.3208377645266473e-06,PR
64008|ZNF589,1.4756628167000182e-06,ZNF589
8415|SMAD1,1.4761239664894246e-06,SMAD1
48279|CEBPA,1.535773573187824e-06,CEBPA
72854|TRAF7,1.5417609395126418e-06,TRAF7
76529|MBTD1,1.5904533999564714e-06,MBTD1
73701|KDM2B,1.598340869591219e-06,KDM2B
46123|MEF2A,1.7180782988426838e-06,MEF2A
63814|L3MBTL2,1.734382649910356e-06,L3MBTL2
64866|ZFX,1.7511847528035533e-06,ZFX
74352|OTX2,1.7530525511031325e-06,OTX2
62659|NBN,1.7911031626526183e-06,NBN
54104|DAXX,1.8211391146362389e-06,DAXX
63683|ATF3,1.919236997964452e-06,ATF3
46151|BCL11A,2.0047214295606064e-06,BCL11A
46235|HDAC2,2.1037676173211236e-06,HDAC2
38585|TAF3,2.1326760067688826e-06,TAF3
63738|ZNF654,2.250174579056356e-06,ZNF654
46209|CBX3,2.319884730367969e-06,CBX3
38712|ETS2,2.3636044590699623e-06,ETS2
5194|HMGN1,2.377963348025094e-06,HMGN1
1082|SMAD2/3,2.555519895136703e-06,SMAD2/3
37366|FOXA2,2.6840855808602696e-06,FOXA2
62529|ZNF175,2.788970817111459e-06,ZNF175
7341|HEY1,3.00162515455974e-06,HEY1
72366|TCF4,3.003106638499943e-06,TCF4
50210|DDX21,3.250873636285288e-06,DDX21
64144|NFRKB,3.6156006129492565e-06,NFRKB
65189|ZBTB6,3.8014652429307154e-06,ZBTB6
34017|SMAD3,3.811635410908689e-06,SMAD3
63019|DEK,4.141341616982696e-06,DEK
55543|RAG2,4.2446512237249865e-06,RAG2
76520|BPTF,4.263778197918557e-06,BPTF
46241|MYBL2,4.397066676687113e-06,MYBL2
2780|TRIM28,4.535733290462754e-06,TRIM28
57807|BRD3,4.885664115079753e-06,BRD3
55344|SUMO2,5.01337557309172e-06,SUMO2
68309|NR4A1,5.0626330653622815e-06,NR4A1
42715|GLI2,5.212164329130247e-06,GLI2
39777|REPIN1,5.284306452796495e-06,REPIN1
62947|ZNF766,5.492473273680227e-06,ZNF766
77262|HMG20A,5.572537154796959e-06,HMG20A
40215|IRF4,5.596953079772954e-06,IRF4
65197|KLF15,5.616104122500519e-06,KLF15
39978|TFAP2C,5.6360530181530594e-06,TFAP2C
68635|KMT2D,6.1246262230531595e-06,KMT2D
51839|MRE11A,6.332658749272708e-06,MRE11A
63875|MLLT1,6.381901277431822e-06,MLLT1
44562|EMX1,6.416454627657936e-06,EMX1
62632|ZNF76,6.575026369642479e-06,ZNF76
48442|KDM6B,7.254310338550321e-06,KDM6B
36230|TTF2,7.404624493168887e-06,TTF2
566|VDR,7.411314172152214e-06,VDR
65111|SP4,7.709332123817786e-06,SP4
41482|BCL6,8.102354013360277e-06,BCL6
77257|ZNF75A,8.333093919206777e-06,ZNF75A
63410|CBX5,8.66820179768939e-06,CBX5
55293|WWTR1,9.337797607898962e-06,WWTR1
76415|PMEL,9.355156846685065e-06,PMEL
64313|ZNF664,9.674721107280431e-06,ZNF664
72120|SMARCC1,1.0004040362869025e-05,SMARCC1
45876|TBL1XR1,1.1302788589314372e-05,TBL1XR1
41628|POLR3D,1.1405955385563764e-05,POLR3D
69516|INO80,1.2297045415001264e-05,INO80
63546|GATA3,1.3036436983649288e-05,GATA3
56665|FOXA1,1.3661358696884625e-05,FOXA1
46343|NFIC,1.5522598960985815e-05,NFIC
45617|E2F4,1.5810051627278844e-05,E2F4
9320|NIPBL,1.6762586122886093e-05,NIPBL
76519|SETD1A,1.7109607850033567e-05,SETD1A
2405|TRIM24,1.7849048969777023e-05,TRIM24
46173|NANOG,1.9185475594523298e-05,NANOG
63599|DDX20,2.099243023554335e-05,DDX20
50434|ELK3,2.1577606513671328e-05,ELK3
63743|FOXK2,2.208421088740502e-05,FOXK2
63771|NR2F6,2.215679594074622e-05,NR2F6
68774|TOP1,2.231700203319994e-05,TOP1
46297|E2F6,2.3367537768211708e-05,E2F6
44026|AGO1,2.3776411121390208e-05,AGO1
63127|MNT,2.3800389258989322e-05,MNT
63449|DEAF1,2.511824783385524e-05,DEAF1
52170|PRDM11,2.6425739421560068e-05,PRDM11
42882|ZNF12,2.6742715707516458e-05,ZNF12
63136|POU5F1,2.7077049897796217e-05,POU5F1
74673|RUVBL1,2.9596290781065624e-05,RUVBL1
38724|GMEB2,2.9671705818235646e-05,GMEB2
64321|ZNF362,2.9694383911435947e-05,ZNF362
68051|NFKB1,3.183234724203127e-05,NFKB1
48755|CBX8,3.294898036653977e-05,CBX8
72604|HEXIM1,3.3863696473909535e-05,HEXIM1
69805|NR1H2,3.457652381195364e-05,NR1H2
44876|5HMC,3.481312823182607e-05,5HMC
64770|SRSF3,3.485655743725745e-05,SRSF3
64653|FOXJ2,3.7300045678444986e-05,FOXJ2
73854|LMO1,3.7313143593681515e-05,LMO1
63718|ZC3H8,3.7379085594138916e-05,ZC3H8
36252|NKX3-1,3.8284236454788354e-05,NKX3-1
71069|MBD3,3.9951290887607666e-05,MBD3
75284|ZBTB48,4.029028296499554e-05,ZBTB48
64619|TRIM22,4.206322750294421e-05,TRIM22
48240|TEAD1,4.20917938619998e-05,TEAD1
63525|ZFP2,4.527727326762134e-05,ZFP2
76469|PHF2,4.836992679104831e-05,PHF2
62639|RNF2,4.84259212408819e-05,RNF2
356|CDX2,4.8751563550431176e-05,CDX2
65180|ZNF35,5.06213691599204e-05,ZNF35
67317|SOX2,5.123911388641705e-05,SOX2
63594|SOX13,5.213873417865584e-05,SOX13
1874|RBL2,5.448250116791754e-05,RBL2
70095|TET2,5.51093631368162e-05,TET2
76815|NEUROG2,5.9125984555254036e-05,NEUROG2
77098|ZNF534,6.218263798488101e-05,ZNF534
63654|SP7,6.670460252280392e-05,SP7
77114|ZNF460,6.745948698108934e-05,ZNF460
33988|TET3,6.786406792831555e-05,TET3
63956|ZNF197,7.221129073024915e-05,ZNF197
49446|HIF1A,7.338702455609256e-05,HIF1A
64303|E2F5,7.501683885539171e-05,E2F5
44084|STAT5,7.662065320574294e-05,STAT5
2095|NFYB,8.508204728494242e-05,NFYB
63077|FOSL1,8.754423597372622e-05,FOSL1
74669|ZMYM3,9.239107360504231e-05,ZMYM3
53076|RBP2,0.00010604390373229798,RBP2
48341|SNAI2,0.00010877228736928656,SNAI2
64173|ZNF580,0.00011213712955940624,ZNF580
49781|CHD7,0.00011306802463280858,CHD7
52245|CTNNB1,0.00011430855544348345,CTNNB1
