Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
ZIC2,UP00057;5.89E-05,M00449;6.54E-04,,,
ZNF740,MS00445;6.00E-05,,,,
Rfx1,MC00144;6.01E-05,,,,
GABPA,MC00367;6.07E-05,,,,
GLIS1,MS00024;6.19E-05,,,,
ERF,MS00846;6.24E-05,,,,
HNF4A,MC00432;6.30E-05,UP00066;7.76E-03,,,
ESR2,MC00333;6.37E-05,,,,
SIX5,MC00334;6.63E-05,,,,
Tcfap2c,UP00087;6.78E-05,,,,
TFEC,MS00808;6.88E-05,,,,
TFCP2L1,M01592;7.07E-05,,,,
NR1H3,M00647;7.79E-05,,,,
ZIC4,MS00357;8.01E-05,,,,
SPIB,MA0081;8.09E-05,MS00039;6.83E-01,,,
PKNOX2,MS00092;8.24E-05,,,,
PAX2,MS00118;8.48E-05,M00486;1.48E-03,MA0067;4.16E-02,,
Trp63,M01656;8.64E-05,,,,
SP4,MS00235;8.74E-05,,,,
NFKB2,MS00111;8.75E-05,,,,
Elf4,UP00413;8.86E-05,,,,
Arntl,MC00362;8.91E-05,,,,
ETV5,MS00019;9.09E-05,,,,
Zfp740,MS00512;9.73E-05,,,,
NKX2-3,UP00190;9.97E-05,MS00566;7.05E-02,,,
Zic3,UP00006;1.01E-04,MS00523;1.09E-03,,,
NRL,MS00338;1.04E-04,,,,
Rfx2,MS00171;1.04E-04,MS00170;3.69E-02,,,
PATZ1,M00491;1.05E-04,,,,
Glis2,UP00024;1.07E-04,,,,
HIC2,MS00057;1.08E-04,,,,
E2f4,MC00158;1.09E-04,,,,
ZNF263,MC00192;1.11E-04,,,,
TFAP2C,MC00374;1.13E-04,,,,
TP63,MC00439;1.16E-04,,,,
Mafb,MS00335;1.18E-04,MS00333;6.23E-04,,,
Zfp423,MA0116;1.18E-04,,,,
ZBTB7C,MS00323;1.21E-04,,,,
Hnf4a,MC00344;1.23E-04,,,,
TP73,MC00132;1.26E-04,,,,
NFKB1,MS00110;1.30E-04,,,,
