,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
69457|TP53,3.372190657070989e-09,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
49266|SCML2,1.0050471597862462e-06,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
74650|DRAP1,1.4896793057776358e-05,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1,DRAP1
46028|CTCF,4.2090020374714724e-05,Homo sapiens,CTCF,tf,RPTEC,Epithelium,Kidney,1,CTCF
45868|CHD1,5.233985568137262e-05,Homo sapiens,CHD1,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,CHD1
45867|MAZ,5.6162922469243565e-05,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
56665|FOXA1,5.6162922469243565e-05,Homo sapiens,FOXA1,tf,LHSAR,Epithelium,Prostate,1,FOXA1
49267|BMI1,7.99288909054261e-05,Homo sapiens,BMI1,cr,293T-Rex,None,None,1,BMI1
45888|JUN,0.00010133544164083304,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1,JUN
36075|MYOD1,0.00012521394745564605,Homo sapiens,MYOD1,tf,None,Myoblast,None,1,MYOD1
45884|GATA1,0.00013873510689630612,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
62505|SMC3,0.00014185016724726547,Homo sapiens,SMC3,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,SMC3
74843|JMJD6,0.0001495957344219195,Homo sapiens,JMJD6,cr,None,IN528,None,1,JMJD6
9319|SMC1A,0.00016775671839807944,Homo sapiens,SMC1A,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1,SMC1A
49980|BRD4,0.0001707273473496846,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
53596|RELA,0.00017450984722868504,Homo sapiens,RELA,tf,None,Adipocyte,None,1,RELA
70752|MYC,0.00018231115610073758,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1,MYC
