,coefficients,cell_line,cell_type,tissue
1822,0.6528914287775768,IMR90,Fibroblast,Lung
53130,0.6161777894268775,BJ,Fibroblast,Skin
38275,0.4847965101233264,HUES64,Embryonic Stem Cell,Embryo
55861,0.44592128652168433,293T-Rex,,
37928,-0.3154088592737895,,Endothelial Cell,Umbilical Vein
52038,-0.29600569110532804,BT-549,Epithelium,Mammary Gland
1821,-0.17909159000011685,IMR90,Fibroblast,Lung
62016,-0.13125327445523094,HeLa,Epithelium,Cervix
62110,-0.10797719020793299,HCT116,,
38242,0.08136292406091178,,Mesenchymal Stem Cell,Bone Marrow
