Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
WDR5,52434;2.39E-29,71281;3.69E-25,71280;1.09E-24,48249;1.03E-13,48250;1.56E-06
EZH2,50380;2.51E-22,50379;1.27E-07,74684;2.11E-03,45192;1.07E-02,35650;1.12E-02
MED1,58334;4.35E-17,58638;6.76E-13,58493;8.34E-10,72949;3.91E-09,58640;1.74E-08
BRD4,55823;2.49E-16,68710;1.44E-09,49977;1.64E-09,49980;7.89E-09,70965;3.77E-08
TP53,69456;2.04E-14,69457;4.78E-14,47299;1.89E-06,52092;1.10E-04,52090;1.47E-04
KAT2B,45635;2.91E-14,45742;6.01E-12,8788;1.91E-07,45418;1.91E-07,4418;4.35E-05
EZH1,50378;4.36E-13,50374;4.54E-04,50373;2.61E-02,50377;3.70E-01,
KLF10,75165;2.89E-12,75163;9.02E-11,75164;2.03E-10,74686;1.13E-05,74639;2.91E-04
CTCF,46373;6.54E-12,45565;4.97E-09,62852;6.32E-09,45568;3.14E-08,45832;3.32E-08
GTF2B,71925;8.53E-12,71922;2.22E-08,56958;2.60E-08,56978;5.59E-07,56982;9.76E-07
NELFE,45947;1.30E-11,69817;3.60E-08,69810;6.35E-08,69807;1.00E-07,69811;1.06E-07
MYC,72343;1.65E-11,5965;1.62E-09,47549;7.72E-09,8092;2.81E-08,8099;3.34E-08
ZNF22,65176;5.36E-11,65173;9.84E-03,65178;2.85E-02,65177;3.76E-02,65172;4.65E-01
NR3C2,54255;7.42E-11,54256;1.62E-03,42703;5.46E-01,,
CHD1,45868;1.24E-10,63387;9.45E-07,8769;5.58E-05,8806;6.97E-05,45646;1.37E-04
AFF4,49000;5.17E-10,48998;3.17E-06,38227;4.10E-06,48996;1.03E-04,48994;1.10E-04
MAZ,45867;7.07E-10,45924;3.07E-05,45761;4.41E-05,63210;9.73E-05,65115;1.20E-04
MAFB,50112;9.33E-10,42691;5.20E-01,,,
BMI1,49267;1.37E-09,50021;1.23E-02,8553;2.62E-02,32776;1.03E-01,49263;1.70E-01
