,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
33853|SF1,0.12729407483655691,Homo sapiens,SF1,not sure,H295R,Epithelium,Adrenal Gland,1,SF1
42772|MXD3,0.12938347352555296,Homo sapiens,MXD3,tf,LoVo,None,Colon,1,MXD3
77100|ZNF529,0.12959349193638015,Homo sapiens,ZNF529,tf,293T,None,None,1,ZNF529
73935|ZNF667,0.13070944956599734,Homo sapiens,ZNF667,,293T,None,None,1,ZNF667
36360|BRF2,0.13200590931529085,Homo sapiens,BRF2,tf,IMR90,Fibroblast,Lung,0,BRF2
77029|ZNF7,0.13506724467190598,Homo sapiens,ZNF7,tf,293T,None,None,0,ZNF7
42721|HOXA5,0.1371369682911343,Homo sapiens,HOXA5,tf,LoVo,None,Colon,0,HOXA5
38787|TBX3,0.14147846415886556,Homo sapiens,TBX3,tf,LoVo,None,Colon,0,TBX3
58463|ARID1A,0.14196973773809685,Homo sapiens,ARID1A,predicted transcription factor,HepG2,Epithelium,Liver,0,ARID1A
59015|EP400,0.14221581444320686,Homo sapiens,EP400,cr,U2OS,None,Bone,0,EP400
1010|FOXH1,0.1422575065367419,Homo sapiens,FOXH1,tf,H9,Embryonic Stem Cell,Embryo,1,FOXH1
45389|WHSC1,0.1426748933845502,Homo sapiens,WHSC1,cr,K562,Erythroblast,Bone Marrow,1,WHSC1
77156|ZNF235,0.1429557553725459,Homo sapiens,ZNF235,tf,293T,None,None,1,ZNF235
42888|ZNF395,0.14399151113135794,Homo sapiens,ZNF395,predicted transcription factor,LoVo,None,Colon,0,ZNF395
77055|ZNF714,0.14475263126301613,Homo sapiens,ZNF714,other,293T,None,None,1,ZNF714
49181|EGFA-T1,0.14651953582656013,Homo sapiens,EGFA-T1,other,HEK293T,Epithelium,Embryonic Kidney,0,EGFA-T1
8550|RYBP,0.1471059337807782,Homo sapiens,RYBP,tf,HEK293T,Epithelium,Embryonic Kidney,1,RYBP
38729|HOXB13,0.1476998073361548,Homo sapiens,HOXB13,tf,LoVo,None,Colon,1,HOXB13
65195|ZNF224,0.14982629830981153,Homo sapiens,ZNF224,,HEK293,Epithelium,Embryonic Kidney,1,ZNF224
63398|ZFP37,0.15079882729150768,Homo sapiens,ZFP37,,HEK293,Epithelium,Embryonic Kidney,1,ZFP37
77063|ZNF681,0.1515176121445661,Homo sapiens,ZNF681,tf,293T,None,None,1,ZNF681
65060|ZNF329,0.15205063793556295,Homo sapiens,ZNF329,,HEK293,Epithelium,Embryonic Kidney,1,ZNF329
65118|ZNF768,0.15226644585434995,Homo sapiens,ZNF768,,HEK293,Epithelium,Embryonic Kidney,1,ZNF768
63014|TSHZ1,0.15298066827230472,Homo sapiens,TSHZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,TSHZ1
77113|ZNF468,0.1542012061420392,Homo sapiens,ZNF468,other,293T,None,None,1,ZNF468
65210|ZFP28,0.15667032570660278,Homo sapiens,ZFP28,,HEK293,Epithelium,Embryonic Kidney,1,ZFP28
2685|ZNF711,0.1592529525218888,Homo sapiens,ZNF711,predicted transcription factor,SH-SY5Y,None,Bone Marrow,1,ZNF711
77018|ZNF93,0.1593588223978868,Homo sapiens,ZNF93,tf,293T,None,None,1,ZNF93
57662|BAHD1,0.15970975244478547,Homo sapiens,BAHD1,both predicted transcription factor and chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,BAHD1
55206|EGFR,0.16073085448791602,Homo sapiens,EGFR,not sure,HeLa,Epithelium,Cervix,1,EGFR
62555|ZNF600,0.16132198876494386,Homo sapiens,ZNF600,,HEK293,Epithelium,Embryonic Kidney,1,ZNF600
38849|MEIS2,0.1618949636472401,Homo sapiens,MEIS2,tf,LoVo,None,Colon,0,MEIS2
76941|SRPK1,0.16199422795742047,Homo sapiens,SRPK1,other,MCF-10A,Epithelium,None,1,SRPK1
42887|ZNF280D,0.1623490350557999,Homo sapiens,ZNF280D,predicted transcription factor,LoVo,None,Colon,0,ZNF280D
63679|ZNF423,0.16253060562401273,Homo sapiens,ZNF423,,HEK293,Epithelium,Embryonic Kidney,1,ZNF423
34444|LMNA,0.16365265124763684,Homo sapiens,LMNA,not sure,HGFDFN168,Fibroblast,Forearm Skin Biopsy,1,LMNA
58949|SMN1,0.1648348429105878,Homo sapiens,SMN1,not sure,HEK293,Epithelium,Embryonic Kidney,1,SMN1
77101|ZNF527,0.16521650799731752,Homo sapiens,ZNF527,tf,293T,None,None,0,ZNF527
966|PRDM14,0.16564322576591362,Homo sapiens,PRDM14,tf,H1,Embryonic Stem Cell,Embryo,1,PRDM14
64618|HDAC8,0.16820522556178974,Homo sapiens,HDAC8,cr,K562,Erythroblast,Bone Marrow,1,HDAC8
77080|ZNF587,0.16974142194149422,Homo sapiens,ZNF587,tf,293T,None,None,1,ZNF587
77093|ZNF552,0.17162559730589244,Homo sapiens,ZNF552,tf,293T,None,None,1,ZNF552
77450|NFKB2,0.17267698020482036,Homo sapiens,NFKB2,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB2
65081|ZIM3,0.1739653360345194,Homo sapiens,ZIM3,,HEK293,Epithelium,Embryonic Kidney,1,ZIM3
42707|ARNT2,0.1753644640593699,Homo sapiens,ARNT2,tf,LoVo,None,Colon,1,ARNT2
51498|HNF1B,0.17537573907596626,Homo sapiens,HNF1B,tf,HUES64,Embryonic Stem Cell,Embryo,1,HNF1B
71037|EHMT2,0.17539190710060346,Homo sapiens,EHMT2,cr,None,Cancer stem cell,Colon,1,EHMT2
64021|KLF13,0.176067052465596,Homo sapiens,KLF13,tf,K562,Erythroblast,Bone Marrow,1,KLF13
64307|ZNF837,0.17625474782613804,Homo sapiens,ZNF837,,HEK293,Epithelium,Embryonic Kidney,1,ZNF837
52241|ZTA,0.17636609713631535,Homo sapiens,ZTA,other,Akata,B Lymphocyte,None,1,ZTA
73931|ZNF707,0.17755661846242582,Homo sapiens,ZNF707,,293T,None,None,1,ZNF707
77132|ZNF354B,0.17780172019712126,Homo sapiens,ZNF354B,tf,293T,None,None,1,ZNF354B
51550|SALL4,0.178811610202738,Homo sapiens,SALL4,tf,HUES64,Embryonic Stem Cell,Embryo,0,SALL4
77136|ZNF334,0.17967796633945093,Homo sapiens,ZNF334,tf,293T,None,None,1,ZNF334
70762|HDAC4,0.1797600860330062,Homo sapiens,HDAC4,cr,MM1.S,B Lymphocyte,Blood,1,HDAC4
76667|PAX8,0.1804809673837076,Homo sapiens,PAX8,tf,FT194,None,Fallopian tube secretory,0,PAX8
42750|ATF7,0.1812896619316054,Homo sapiens,ATF7,tf,LoVo,None,Colon,0,ATF7
57945|SOX15,0.18227362076541812,Homo sapiens,SOX15,tf,CP-A,Epithelium,Esophagus,0,SOX15
65121|ZBTB26,0.18344321419771825,Homo sapiens,ZBTB26,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB26
