,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
52434|WDR5,0.000000000000000000000000000023946880924386798581631868823388985783006051381568186330395600067889532875554765308180765079751767675422644779398199224872649563902044073549238776964880934309989409410212611730226392577600212790138823,Homo sapiens,WDR5,cr,HEK293,Epithelium,Embryonic Kidney,0
71281|WDR5,0.00000000000000000000000036908751143634075618477501808030628297521938347755857401654865597100818749019643595528321262989077480778394273043004265790590424478514924847967613155719504251665661775616827392940086031402104314882585,Homo sapiens,WDR5,cr,BGC823,human gastric cancer cells,None,1
71280|WDR5,0.0000000000000000000000010906035402128496615325825492466989239735640095895791277720416678110009299102616105160590590006804236453509992820009934498632026792194349473529001850973002569255012420586008202031168894751746026731482,Homo sapiens,WDR5,cr,BGC823,human gastric cancer cells,None,1
50380|EZH2,0.00000000000000000000025147220167223021174770577054326872400904402856473312317569743239925369452328139117200824283248453441774946858307726771794371501602770396982204839563418788696091704833268604342091227273952530302763828,Homo sapiens,EZH2,cr,None,Proerythroblast,Fetal Liver,1
58334|MED1,0.000000000000000043451571776550634532162691098408138628600191809418156198269055993925494331209165621352825190551999709644529785709448449549842794549833371527078196685121121768781974990635888815777168558525314767017169,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
55823|BRD4,0.00000000000000024918895943248198997918174189476703315805648578292682772163092312122995073288016282600863523140091003544350818474831200039110718921517432378320155112846893605697619764774225294462198122217311412842122,Homo sapiens,BRD4,cr,TC-797,None,None,0
69456|TP53,2.042810365310288e-14,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
45635|KAT2B,2.914335439641036e-14,Homo sapiens,KAT2B,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1
69457|TP53,4.779510121011299e-14,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
48249|WDR5,1.0330625244137082e-13,Homo sapiens,WDR5,cr,LNCaP,Epithelium,Prostate,1
50378|EZH1,4.358180483166052e-13,Homo sapiens,EZH1,cr,None,Proerythroblast,Fetal Liver,1
58638|MED1,6.75626221635639e-13,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
75165|KLF10,2.885913730210632e-12,Homo sapiens,KLF10,tf,A549,Epithelium,Lung,1
45742|KAT2B,6.014522213604323e-12,Homo sapiens,KAT2B,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1
46373|CTCF,6.541822639150041e-12,Homo sapiens,CTCF,tf,T47D,Epithelium,Mammary Gland,1
71925|GTF2B,8.533729278781266e-12,Homo sapiens,GTF2B,tf,K562,None,Haematopoietic and lymphoid,1
45947|NELFE,1.3017031896822573e-11,Homo sapiens,NELFE,not sure,K562,Erythroblast,Bone Marrow,1
72343|MYC,1.6467938124264947e-11,Homo sapiens,MYC,tf,U87,Glioblastoma cell,None,1
65176|ZNF22,5.358391508281102e-11,Homo sapiens,ZNF22,,HEK293,Epithelium,Embryonic Kidney,1
54255|NR3C2,7.415867919746688e-11,Homo sapiens,NR3C2,tf,None,None,Kidney,1
75163|KLF10,9.015854729454986e-11,Homo sapiens,KLF10,tf,A549,Epithelium,Lung,1
45868|CHD1,1.236851732144828e-10,Homo sapiens,CHD1,predicted chromatin regulator,IMR90,Fibroblast,Lung,1
75164|KLF10,2.0325102711993281e-10,Homo sapiens,KLF10,tf,A549,Epithelium,Lung,1
49000|AFF4,5.171735262265997e-10,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1
45867|MAZ,7.06557534702057e-10,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1
58493|MED1,8.336907830752693e-10,Homo sapiens,MED1,predicted transcription factor,None,Embryonic Stem Cell,Embryo,1
50112|MAFB,9.331063699491438e-10,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1
49267|BMI1,1.3706485391118406e-09,Homo sapiens,BMI1,cr,293T-Rex,None,None,1
37767|TALE,1.4433287898185654e-09,Homo sapiens,TALE,other,K562,Erythroblast,Bone Marrow,0
44692|LANA,1.4433287898185654e-09,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0
44688|LANA,1.4433287898185654e-09,Homo sapiens,LANA,other,iSLK-219,Epithelium,Kidney,0
67762|RUNX1,1.4433287898185654e-09,Homo sapiens,RUNX1,tf,None,Hematopoietic stem and progenitor cell,Bone Marrow,0
68710|BRD4,1.4433287898185654e-09,Homo sapiens,BRD4,cr,IMR90,None,None,0
5965|MYC,1.615073075278417e-09,Homo sapiens,MYC,tf,Raji,B Lymphocyte,Blood,0
49977|BRD4,1.6396972668530907e-09,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
44095|RUNX1,2.0889751595198902e-09,Homo sapiens,RUNX1,tf,None,T Lymphocyte,Blood,1
49266|SCML2,3.007734838966769e-09,Homo sapiens,SCML2,tf,293T-Rex,None,None,1
72949|MED1,3.909082169073486e-09,Homo sapiens,MED1,predicted transcription factor,MHH-MED-1,Cardiomyocyte,None,1
45565|CTCF,4.968691735829367e-09,Homo sapiens,CTCF,tf,AG09309,Fibroblast,Skin,1
62852|CTCF,6.323450596479319e-09,Homo sapiens,CTCF,tf,None,None,gastroesophageal sphincter,1
47549|MYC,7.724381245743928e-09,Homo sapiens,MYC,tf,P493-6,B cell lymphoma,None,1
49980|BRD4,7.89116172406068e-09,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1
43194|FOXM1,9.813582113604724e-09,Homo sapiens,FOXM1,tf,HeLa,Epithelium,Cervix,1
38850|NFE2L2,1.1645687636452351e-08,Homo sapiens,NFE2L2,tf,LoVo,None,Colon,1
49004|ELL2,1.3848093727286681e-08,Homo sapiens,ELL2,predicted chromatin regulator,HeLa,Epithelium,Cervix,1
38589|E2F7,1.5309780554417785e-08,Homo sapiens,E2F7,tf,IMR90,Fibroblast,Lung,1
58640|MED1,1.736977894850611e-08,Homo sapiens,MED1,predicted transcription factor,LNCaP-abl,Epithelium,Prostate,1
53637|STAT5B,1.905433261173428e-08,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,0
71922|GTF2B,2.2240722374888833e-08,Homo sapiens,GTF2B,tf,K562,None,Haematopoietic and lymphoid,1
56958|GTF2B,2.5975573247905004e-08,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1
8092|MYC,2.8080986091971738e-08,Homo sapiens,MYC,tf,GM12878,B Lymphocyte,Blood,1
74650|DRAP1,2.8446335287313218e-08,Homo sapiens,DRAP1,tf,GM12878,B Lymphocyte,Blood,1
45568|CTCF,3.1432668190500834e-08,Homo sapiens,CTCF,tf,AG09319,Fibroblast,Gingiva,1
45832|CTCF,3.3186242698324264e-08,Homo sapiens,CTCF,tf,None,Embryonic Fibroblast,Foreskin,1
8099|MYC,3.3375720243089546e-08,Homo sapiens,MYC,tf,HeLa,Epithelium,Cervix,1
69817|NELFE,3.6037364870011857e-08,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
62504|SMC3,3.724753511180623e-08,Homo sapiens,SMC3,predicted chromatin regulator,IMR90,Fibroblast,Lung,1
70965|BRD4,3.76818209968377e-08,Homo sapiens,BRD4,cr,Raji,B Lymphocyte,Blood,1
64318|ETV4,4.1128600192230635e-08,Homo sapiens,ETV4,tf,HepG2,Epithelium,Liver,1
1226|TRRAP,4.499733347040902e-08,Homo sapiens,TRRAP,cr,HeLa,Epithelium,Cervix,1
