Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
ELF2,UP00404;3.63E-22,,,,
Zfp161,UP00065;9.50E-17,,,,
Elf4,UP00413;1.03E-16,,,,
Gmeb1,UP00084;1.04E-16,,,,
E2F1,MC00182;1.11E-16,MS00815;1.06E-11,,,
ETV5,MS00019;2.88E-16,,,,
Elf5,MS00022;2.88E-16,,,,
ETV4,MS00018;3.09E-16,,,,
ELF1,MC00457;3.71E-16,,,,
Egr3,MS00789;3.89E-16,,,,
E2F1::TFDP2,M00737;4.72E-16,,,,
E2f4,MC00158;6.12E-16,,,,
EGR4,MS00678;6.27E-16,,,,
PAX4,M00373;6.45E-16,M00378;1.13E-09,MS00121;9.86E-01,,
FOXN1,M00332;7.69E-16,,,,
EGR3,MS00567;8.99E-16,,,,
GMEB2,MS00183;1.10E-15,MS00721;1.67E-09,MS00182;3.76E-07,,
E2F3,UP00003;1.15E-15,MS00734;1.15E-03,,,
GABPA,MC00367;1.18E-15,,,,
ELK1,MC00206;1.37E-15,,,,
NR2C2,MC00509;1.49E-15,MS00651;7.91E-04,,,
E2F4,MC00523;2.28E-15,,,,
Etv5,UP00412;2.39E-15,,,,
Etv6,UP00418;2.50E-15,,,,
ETS1,MS00851;2.85E-15,MC00278;9.42E-11,,,
ELF4,MS00834;3.11E-15,,,,
ETV6,MS00021;4.66E-15,,,,
E2f3,MC00510;8.05E-15,,,,
DEAF1,M01002;8.33E-15,,,,
ETV1,MC00427;9.05E-15,,,,
HMGN1,MC00502;9.77E-15,,,,
Elk3,MS00023;1.00E-14,,,,
ETV3,MC00160;1.03E-14,,,,
Klf7,UP00093;1.13E-14,,,,
E2F2,UP00001;1.64E-14,MS00712;9.21E-03,,,
ERF,MS00846;2.05E-14,,,,
HINFP1,MS00079;2.19E-14,MS00090;4.21E-14,,,
TEAD2,M00695;2.36E-14,,,,
ELK3,MS00844;3.00E-14,,,,
Pax5,MC00257;3.69E-14,,,,
FEV,MS00025;3.75E-14,,,,
CENPB,MS00534;4.24E-14,,,,
Spdef,UP00038;7.72E-14,,,,
PAX8,M00717;7.89E-14,,,,
ELF5,MS00838;1.02E-13,,,,
Gm5454,UP00423;1.05E-13,,,,
E2F1::TFDP1,M00736;1.23E-13,,,,
PAX5,MA0014;1.38E-13,M00143;2.14E-13,MC00332;1.98E-11,,
Sfpi1,UP00085;1.89E-13,MC00180;1.51E-04,MC00395;1.51E-04,,
GABPB1,M00341;2.06E-13,,,,
ZBTB7A,MC00376;3.34E-13,M01100;2.95E-08,MS00301;6.17E-08,,
EHF,MS00778;3.79E-13,,,,
AHR,M00139;3.96E-13,,,,
BRCA1,MC00299;4.53E-13,,,,
E2F6,MC00254;5.11E-13,M01252;3.12E-03,,,
Tbx3,MC00221;6.53E-13,,,,
WT1,M01118;1.10E-12,,,,
ZBTB33,MC00418;1.19E-12,M01119;8.90E-02,,,
PAX3,M00327;1.94E-12,MS00119;1.00E+00,,,
SP1,MS00212;2.40E-12,MC00113;1.28E-02,,,
BCL6,MC00386;2.63E-12,M01171;9.34E-02,,,
HINFP,MA0131;2.95E-12,,,,
ELK4,MC00207;3.35E-12,,,,
Ikzf3,MC00337;3.64E-12,,,,
Tfcp2,MC00518;4.21E-12,,,,
MYBL1,MS00100;4.31E-12,MS00097;2.85E-07,,,
KLF13,MS00124;4.54E-12,,,,
PLAGL1,UP00088;4.57E-12,,,,
ZIC3,MS00346;6.00E-12,,,,
KLF14,MS00135;6.72E-12,,,,
SP3,MS00223;7.02E-12,M00665;4.89E-11,,,
ZIC1,UP00102;9.21E-12,M00448;1.78E-09,MS00334;1.07E-08,,
