,coefficients,cell_line,cell_type,tissue
44961,-0.4988094776330631,HepG2,Epithelium,Liver
64337,0.41192779246685507,K562,Erythroblast,
44972,0.370505168764889,HL-60,Myeloblast,Blood
44983,0.33109460132739743,,Endothelial Cell,Umbilical Vein
63925,0.14527089467843415,A549,Epithelium,
44971,-0.14400136493381932,HL-60,Myeloblast,Blood
44921,0.12983368447614538,GM12878,Lymphoblastoid,Blood
63698,0.12620735377565095,K562,Erythroblast,
41104,0.12599426762212662,,Fibroblast,Periodontal Ligament
45054,0.010712802228037561,PANC-1,Epithelium,Pancreas
