Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
PAF1,55666;8.52E-84,55664;6.38E-63,55665;2.14E-58,55669;3.07E-52,55667;6.55E-45
BRD4,49977;6.61E-81,56357;5.07E-65,67828;6.25E-65,67829;3.73E-63,69755;5.94E-63
PHF8,1312;1.52E-78,1628;1.78E-68,93;4.71E-68,2684;2.85E-60,1308;3.35E-59
KMT2D,68635;2.97E-78,68632;1.66E-76,68627;8.73E-70,56478;1.08E-65,68638;1.11E-61
TP53,52091;3.84E-78,52092;5.20E-77,69456;2.86E-60,52090;3.51E-51,75042;3.04E-36
TAF1,46077;7.06E-78,46320;1.59E-74,46106;8.26E-68,46162;1.13E-67,46334;8.98E-66
BRCA1,44028;6.32E-76,45736;6.40E-37,45809;1.19E-24,45698;5.05E-24,45654;5.54E-19
NELFA,43451;2.01E-74,55466;1.34E-66,55468;1.86E-65,55465;2.27E-57,55467;1.24E-56
RBP2,53076;2.82E-74,53075;1.15E-52,53077;2.72E-48,53078;2.60E-45,
NELFE,69813;3.91E-73,69807;1.00E-72,69814;7.04E-72,69816;9.53E-71,69809;9.79E-71
SCML2,49266;2.40E-72,50020;1.14E-13,49258;3.02E-08,50017;1.18E-05,50013;2.07E-05
KDM5A,45244;1.76E-71,69732;7.62E-71,8812;2.35E-70,8813;6.84E-05,
GTF2B,56961;2.46E-71,56978;6.62E-65,36362;1.10E-60,56958;1.85E-52,45932;2.99E-51
NEUROD1,74347;2.50E-71,74346;5.89E-60,74348;2.14E-48,74357;3.39E-41,74360;1.38E-40
PARP1,72405;3.20E-71,72406;5.80E-68,72407;9.73E-67,72408;1.46E-66,73342;2.65E-04
ETS1,49238;6.20E-71,46068;1.83E-67,63823;1.41E-64,63824;3.49E-62,1938;2.61E-60
WDR5,49852;6.37E-71,49877;3.71E-61,52436;1.56E-55,58506;5.12E-45,52432;4.36E-44
PML,46307;1.28E-70,46143;1.64E-52,46301;3.09E-45,2448;6.57E-30,2447;2.73E-25
BRD2,74209;3.21E-70,43045;2.01E-67,43046;1.48E-66,74202;3.04E-60,43047;4.83E-46
KLF10,74686;3.96E-70,74639;8.91E-53,38720;4.50E-15,75165;2.06E-08,75163;3.90E-08
YY1,5195;1.74E-69,46065;2.46E-60,46021;2.11E-56,46364;2.25E-54,46342;2.68E-54
HCFC1,9205;6.66E-69,64265;3.14E-63,64266;5.28E-60,45767;8.65E-60,9206;3.14E-57
SMAD5,63097;1.19E-68,63098;1.21E-61,42782;1.00E+00,,
E2F8,38804;1.53E-68,42758;8.00E-05,,,
SPI1,50894;4.98E-68,50877;1.00E-54,50876;1.27E-51,50878;2.79E-51,50879;2.17E-50
FOXP1,51750;7.06E-68,42760;1.26E-36,1012;3.66E-32,1013;1.56E-25,59437;4.86E-14
BCL3,62535;1.36E-67,64102;3.57E-67,62533;2.82E-65,63883;3.83E-64,63885;1.32E-63
NFATC1,38654;1.49E-67,38742;2.86E-64,46110;1.22E-13,38701;1.56E-04,
ELK1,45729;3.95E-67,45636;5.15E-61,63322;3.35E-52,63321;5.56E-51,63433;1.20E-45
MBD2,63029;6.22E-66,48824;2.78E-64,63028;6.43E-60,48827;1.85E-56,48825;8.85E-55
CDK7,49493;1.15E-65,69615;5.68E-61,49494;1.68E-60,43592;4.03E-60,40055;3.94E-56
SIX5,46054;3.49E-65,46142;2.23E-60,46302;7.50E-49,46188;5.90E-33,46273;1.85E-32
GABPA,56044;5.88E-65,46136;1.30E-63,5188;4.94E-62,46344;1.11E-58,46080;1.67E-58
GMEB2,38724;1.35E-64,42762;2.71E-29,,,
POLR2B,9216;1.85E-64,36356;7.41E-57,,,
ELF1,46355;2.17E-64,74429;2.97E-59,46059;2.60E-58,46202;3.20E-53,65013;5.93E-53
CHD8,51103;4.68E-64,49778;2.00E-63,53396;1.20E-35,51104;1.32E-16,53397;4.27E-03
MYC,70964;2.91E-63,45973;5.01E-62,34318;1.47E-61,45628;1.66E-60,48778;1.99E-60
CDK8,56379;1.11E-62,56353;4.47E-62,56375;6.33E-62,56351;2.81E-58,56369;1.98E-56
GABP,63156;2.14E-62,63155;7.25E-57,,,
AFF4,69873;5.22E-62,69872;3.06E-58,48996;4.98E-49,49000;8.05E-45,48994;1.03E-43
CREBBP,3038;5.55E-62,1935;3.65E-33,2748;3.29E-32,42637;5.39E-27,42638;3.60E-25
CDK9,43741;5.81E-62,43081;8.23E-62,40226;8.26E-59,53346;1.05E-57,69878;3.86E-55
TAFII,4929;1.04E-61,4930;1.22E-42,,,
STAT3,42219;2.91E-61,42218;7.67E-53,42212;1.29E-52,42214;1.85E-51,42213;1.04E-49
KAT7,8482;3.43E-61,,,,
SIN3A,45639;9.78E-61,63655;4.77E-59,64867;7.56E-58,46329;1.81E-56,46277;2.66E-54
RPE,49481;1.08E-60,,,,
NFYC,42774;2.25E-60,,,,
MED1,58316;2.36E-60,43634;1.39E-56,43110;2.87E-55,69868;5.81E-55,58636;1.55E-53
SUZ12,50372;2.43E-60,64382;5.77E-15,45233;1.01E-12,8823;1.01E-12,63520;6.26E-12
KDM1A,53468;2.68E-60,75942;1.43E-58,53469;6.93E-54,53467;4.86E-37,53470;3.99E-24
CEBPA,48263;3.01E-60,48277;5.30E-58,48280;2.16E-57,48279;4.41E-55,48278;2.53E-51
SUPT5H,64773;3.14E-60,64772;6.42E-58,70927;3.74E-56,53325;4.76E-34,43450;4.63E-26
DDX21,50210;5.41E-60,,,,
RFX1,38784;6.41E-60,62624;2.98E-21,62594;8.54E-16,62593;1.67E-13,62623;1.85E-11
CDK6,43305;2.21E-59,,,,
TBP,45791;3.08E-59,45618;3.12E-54,50163;1.42E-52,45684;3.77E-50,45881;1.54E-46
SETD1A,59170;3.37E-59,76519;2.33E-45,,,
SAP30,45419;4.13E-59,8800;1.68E-57,45234;1.66E-55,8821;1.66E-55,8799;5.18E-37
BRD1,41574;4.54E-59,56279;2.64E-12,56280;9.82E-07,56281;1.06E-04,56282;2.18E-04
ELK4,1214;4.62E-59,45755;2.05E-57,1215;7.39E-46,45724;5.87E-29,1173;5.49E-23
FOXK1,70731;4.81E-59,9505;7.33E-05,42657;8.56E-05,9506;1.46E-03,
ELK3,50434;8.49E-59,,,,
IRF1,45969;8.92E-59,45925;3.42E-55,45949;1.11E-47,42725;1.98E-45,67612;1.13E-40
