,0,TF
MS00050|GCM2,1.010056172089029e-13,GCM2
UP00011|IRF6,1.0876470044313115e-13,IRF6
MC00385|Ets1,1.4351769450667822e-13,Ets1
M01248|NR0B1,2.3318831838942855e-13,NR0B1
MC00262|ARNT,3.6700949914574e-13,ARNT
MS00323|ZBTB7C,3.719137794634699e-13,ZBTB7C
M01243|MTF1,4.908682846947084e-13,MTF1
M01009|HES1,4.950521084224575e-13,HES1
M00456|BPTF,5.286889705997766e-13,BPTF
MC00372|Yy1,5.652332648879234e-13,Yy1
MC00394|MYC,6.337831861385523e-13,MYC
MA0067|PAX2,7.930639478991851e-13,PAX2
MC00125|Rest,9.636481699585228e-13,Rest
MS00227|TFAP2A,1.1211382723434228e-12,TFAP2A
M00518|PPARG::RXRA,1.1378866728148798e-12,PPARG::RXRA
MC00319|EGR2,1.2529489225793993e-12,EGR2
MC00316|HIF1A,1.2794733138998587e-12,HIF1A
MC00328|Zfx,1.8172304092521631e-12,Zfx
MC00174|REST,2.2618040664608254e-12,REST
MS00211|TBX2,3.3178623678287075e-12,TBX2
MS00229|TFAP2B,3.6283814530883575e-12,TFAP2B
MS00146|KLF16,4.296831750828904e-12,KLF16
MC00407|Myc,5.775804529959213e-12,Myc
M00179|ATF2,7.0291560051050134e-12,ATF2
MC00183|Snai1,8.210172982010411e-12,Snai1
UP00028|Tcfap2e,8.922731842003181e-12,Tcfap2e
MS00312|ZBTB7B,1.0196678913444787e-11,ZBTB7B
MC00342|YY1,1.1367200683558305e-11,YY1
M01744|ZFP42,1.18291634321587e-11,ZFP42
M01241|GTF2IRD1,2.030667466189312e-11,GTF2IRD1
MS00274|NHLH1,2.397790552263584e-11,NHLH1
MS00304|CREB3L1,2.7114059231563074e-11,CREB3L1
M00085|ZBTB6,2.957162043590304e-11,ZBTB6
M00500|STAT6,4.4769765870804927e-11,STAT6
MS00285|TCF4,4.614415747663486e-11,TCF4
MS00067|IRF5,4.976709767886427e-11,IRF5
MC00110|Klf1,4.9825021286862946e-11,Klf1
MC00377|Trp53,5.110231855790177e-11,Trp53
MS00248|BHLHB3,5.29991563634039e-11,BHLHB3
M01104|Ovol2,5.789532135734125e-11,Ovol2
MS00117|PAX1,6.072029829932208e-11,PAX1
MC00289|HSF1,6.241078243888955e-11,HSF1
MS00423|ZNF524,6.48540945478923e-11,ZNF524
UP00087|Tcfap2c,7.100493314625725e-11,Tcfap2c
M01207|ETS2,7.756398037103644e-11,ETS2
MS00048|GCM1,7.934345796799704e-11,GCM1
MA0081|SPIB,8.588987753749761e-11,SPIB
MC00224|EPAS1,9.498884415453113e-11,EPAS1
MC00532|Mycn,9.561598824786671e-11,Mycn
MS00035|GLIS2,1.6313104251224163e-10,GLIS2
MC00448|Nr1h2,1.6856484995785983e-10,Nr1h2
MS00188|MGA,2.1376437893411826e-10,MGA
MS00260|HEY2,2.1594087623369447e-10,HEY2
UP00000|SMAD3,2.2013733727351348e-10,SMAD3
MS00258|HEY1,2.4590889623450934e-10,HEY1
MC00476|Rarg,3.4453126408016254e-10,Rarg
MC00128|CTCF,3.531516351578057e-10,CTCF
MC00461|Max,3.8627647836309623e-10,Max
MS00843|GLI2,4.369602027059003e-10,GLI2
MS00401|ZNF306,5.533012564745478e-10,ZNF306
M00491|PATZ1,5.943233129962305e-10,PATZ1
UP00086|IRF3,7.129308381714409e-10,IRF3
M01109|ZNF589,7.850144152278111e-10,ZNF589
MC00334|SIX5,7.998287526559881e-10,SIX5
MS00533|LBX2,8.38297140550946e-10,LBX2
MC00203|RFX3,1.0699478226662153e-09,RFX3
M00490|BACH2,1.0757609597147856e-09,BACH2
MS00252|Bhlhb2,1.0893430453900577e-09,Bhlhb2
MS00685|RORA,1.520780772928019e-09,RORA
MS00308|CREB3,2.097779709443584e-09,CREB3
MC00477|ZNF711,2.134766211976373e-09,ZNF711
UP00024|Glis2,2.2680813021839755e-09,Glis2
MC00142|PPARG,2.5739743923920044e-09,PPARG
MS00128|PAX9,2.8248597525795053e-09,PAX9
UP00052|Osr2,3.971713667500516e-09,Osr2
MA0101|REL,4.1549328026941e-09,REL
M01122|ZNF219,4.331399419657128e-09,ZNF219
UP00048|RARA,5.562229247679846e-09,RARA
MC00473|ATF3,6.93173073519532e-09,ATF3
MC00355|SRF,8.257074238440805e-09,SRF
MS00040|SPIC,1.4452395901509336e-08,SPIC
MS00288|TFE3,1.4749024450293461e-08,TFE3
M00222|TCF3,1.5237786558460004e-08,TCF3
UP00193|Rhox11,1.725665359256113e-08,Rhox11
MS00638|ESRRG,1.8635400777818612e-08,ESRRG
UP00020|ATF1,2.3370219314255994e-08,ATF1
MS00247|BHLHB2,2.3494237300785815e-08,BHLHB2
M01105|ZNF350,2.6958942567793046e-08,ZNF350
MC00140|Stat3,2.993592478907977e-08,Stat3
UP00021|Zfp281,3.0080727002631386e-08,Zfp281
UP00027|Osr1,3.0716568775974815e-08,Osr1
M01596|GLI3,3.316797300323102e-08,GLI3
MS00556|GRHL1,4.5413202426121916e-08,GRHL1
M01067|GFI1,5.6407578105019356e-08,GFI1
MC00187|Ctcf,5.753230074524331e-08,Ctcf
MS00111|NFKB2,6.793836654950296e-08,NFKB2
MS00290|ZBED1,6.95248847574933e-08,ZBED1
MS00267|MNT,7.890880498635262e-08,MNT
MS00684|RARG,9.351521500279418e-08,RARG
MS00445|ZNF740,9.751893732320922e-08,ZNF740
MS00264|MESP1,1.0372149935442446e-07,MESP1
MC00163|Creb1,1.0584978162591608e-07,Creb1
UP00009|Nr2f2,1.3412273471497488e-07,Nr2f2
M00678|ETV7,1.5075367889892925e-07,ETV7
