,0,TF
MS00624|VENTX,0.9255446368964692,VENTX
MA0152|NFATC2,0.9276004857992243,NFATC2
MS00811|RARB,0.9280755118787936,RARB
MC00122|Cebpa,0.9312305415197625,Cebpa
MC00272|CEBPB,0.9348283285659578,CEBPB
MS00473|HMX1,0.936690299821163,HMX1
UP00249|NKX2-5,0.9376100435535264,NKX2-5
MC00232|MEF2A,0.937646010483034,MEF2A
MS00486|HOXA1,0.9406937020814565,HOXA1
UP00259|HOXB6,0.9407935451744289,HOXB6
MS00418|BARX1,0.945826052754668,BARX1
MS00616|UNCX,0.9460584995743994,UNCX
MS00272|NEUROG2,0.949608901570341,NEUROG2
MS00316|Dbp,0.9503725435589976,Dbp
M01195|TBX22,0.9561628893317025,TBX22
M01262|TBX18,0.9572053843726737,TBX18
UP00041|Foxj1,0.9576836565311702,Foxj1
MC00327|Gata1,0.9579528648130876,Gata1
M00420|MEIS1::HOXA9,0.9624043477415818,MEIS1::HOXA9
MS00428|DLX2,0.9631044955823372,DLX2
UP00044|Mafk,0.9646571143652121,Mafk
MS00055|HOMEZ,0.9648774777376813,HOMEZ
UP00080|Gata5,0.9663488366572848,Gata5
MS00359|FOXD3,0.9669236230306854,FOXD3
MS00222|TEAD3,0.9671707954651938,TEAD3
M00454|ARID5B,0.9679620948852307,ARID5B
MS00497|HOXC11,0.9686960791445182,HOXC11
MC00205|Stat5a,0.9687514092051975,Stat5a
MS00487|HOXA2,0.9705688985970179,HOXA2
M01734|NFATC4,0.9705728047754862,NFATC4
UP00107|Nkx2-4,0.9710790641604818,Nkx2-4
MS00493|HOXB5,0.973717974890617,HOXB5
MS00452|ESX1,0.9738477166479955,ESX1
MC00118|GATA2,0.9742490732227789,GATA2
MS00318|Hlf,0.9745590922478735,Hlf
MS00280|OLIG3,0.9750836929006219,OLIG3
MC00508|Batf,0.9765662485152795,Batf
MS00033|SPDEF,0.9770343037031788,SPDEF
UP00161|Hmbox1,0.978167638894886,Hmbox1
MS00506|HOXD11,0.9782025137201926,HOXD11
MS00106|NFAT5,0.9782706796628589,NFAT5
UP00189|HOXA5,0.9783961813118611,HOXA5
M01295|ATF5,0.9786871863878015,ATF5
MS00355|FOXD2,0.9803943207690409,FOXD2
MS00559|MSX1,0.9804982928866609,MSX1
M01075|ZBTB16,0.9826673143655599,ZBTB16
UP00195|SIX3,0.9827616728253684,SIX3
MC00504|Scx,0.9831217070296451,Scx
UP00030|Sox11,0.9831390971168072,Sox11
MS00429|DLX3,0.9841525120595455,DLX3
MC00324|Gata4,0.9842734204037679,Gata4
UP00140|Hoxd1,0.9852015415003395,Hoxd1
UP00197|HOXC9,0.9858727062237016,HOXC9
MS00466|GSX2,0.9858983274370059,GSX2
MA0130|ZNF354C,0.9862135272376201,ZNF354C
MS00219|TEAD1,0.9863768328177872,TEAD1
MS00491|HOXB2,0.987120014579792,HOXB2
M00632|GATA4,0.9874648749671087,GATA4
MS00430|DLX4,0.9875869714156188,DLX4
MC00326|Gata3,0.9879430704172389,Gata3
MS00439|Dlx1,0.9882261488723914,Dlx1
MS00441|EMX1,0.9887556853579387,EMX1
MS00485|HOXA13,0.9891115717558636,HOXA13
MS00469|Gbx2,0.9893807728028229,Gbx2
MS00618|Uncx,0.989401022039176,Uncx
MS00432|DLX6,0.9895305480551853,DLX6
M01230|ZNF333,0.9903035049924288,ZNF333
UP00166|BARHL1,0.9907473225869075,BARHL1
UP00186|MEIS1,0.9910886304354086,MEIS1
MS00540|LHX6,0.9911766025473161,LHX6
MS00516|Hoxa2,0.9913543471768808,Hoxa2
MC00325|Gata2,0.9925805421402718,Gata2
M01282|PPARA,0.9926772176716927,PPARA
MS00496|HOXC10,0.9928169240084862,HOXC10
M01150|Dmrta2,0.993080755955408,Dmrta2
MS00094|TGIF1,0.9931291980191541,TGIF1
MS00191|TBR1,0.9931322341426876,TBR1
MS00555|MIXL1,0.9937660313686603,MIXL1
MS00459|GBX1,0.9938263149400185,GBX1
MS00054|Tcf7,0.994232494522651,Tcf7
MC00514|Cbfa2t2,0.9943395651902933,Cbfa2t2
MS00665|NR4A2,0.9943445740701804,NR4A2
MS00095|TGIF2LX,0.9947000524444468,TGIF2LX
MS00129|POU1F1,0.9947984544948165,POU1F1
MC00349|Jun,0.9949752192836958,Jun
MS00552|MEOX2,0.9951214274236202,MEOX2
UP00164|HOXA7,0.9952968476156496,HOXA7
MC00120|GATA1,0.9953078617592931,GATA1
MA0125|Nobox,0.9958646269098803,Nobox
UP00215|Vax1,0.9960041615841894,Vax1
MC00354|Neurod1,0.9960741956471583,Neurod1
UP00034|Sox7,0.9966234600413948,Sox7
MS00059|HSF2,0.9968151051956192,HSF2
MS00520|Hoxd13,0.9968421250104241,Hoxd13
MS00563|Meox2,0.9969193313346243,Meox2
MS00807|MSC,0.9970399607099216,MSC
MA0084|SRY,0.9970486514981245,SRY
MS00083|MEIS2,0.9971479030467465,MEIS2
MC00411|BATF,0.9971527008629988,BATF
MS00245|BHLHA15,0.9971826537927223,BHLHA15
M01479|POU6F1,0.9975293523851977,POU6F1
M01127|ISL1,0.9977262469310115,ISL1
MS00269|MYF6,0.9980200577132324,MYF6
MS00465|GSX1,0.9980820234453791,GSX1
MS00369|FOXJ3,0.9981007671157707,FOXJ3
MS00352|FOXC2,0.9982191091647387,FOXC2
MS00424|CART1,0.9982993386561266,CART1
UP00182|HOXA6,0.9983346090601892,HOXA6
MS00091|PKNOX1,0.9985436549586336,PKNOX1
MC00309|TCF7L2,0.9985769833512512,TCF7L2
UP00023|Sox30,0.9986291184792278,Sox30
MS00431|DLX5,0.9987694031795817,DLX5
UP00391|HOXA3,0.9987756032379511,HOXA3
MA0030|FOXF2,0.9987777601358704,FOXF2
UP00206|Hoxb7,0.9988336588062804,Hoxb7
UP00139|Nkx1-2,0.9988919141043936,Nkx1-2
MS00634|CUX2,0.9988951893881121,CUX2
MS00461|GBX2,0.9989089542000674,GBX2
MC00507|Meis1,0.9989793405506363,Meis1
UP00037|Zfp105,0.998982601614958,Zfp105
UP00075|Sox15,0.9990032798920686,Sox15
MS00757|SOX21,0.9992175156194926,SOX21
MS00051|LEF1,0.9992535665400086,LEF1
MS00387|FOXP3,0.99930775100185,FOXP3
UP00243|Isx,0.9993381953534222,Isx
MS00096|TGIF2,0.999391471217942,TGIF2
MA0031|FOXD1,0.9994033842560329,FOXD1
UP00207|HOXB9,0.9994788754325601,HOXB9
MS00517|Hoxc10,0.9995141159512618,Hoxc10
MS00287|TFAP4,0.9995289020815886,TFAP4
MS00602|PRRX1,0.99959073721325,PRRX1
MC00117|GATA6,0.9996016725841413,GATA6
MS00621|VAX2,0.9996190948840217,VAX2
MS00467|Gbx1,0.999637314062944,Gbx1
MS00769|SOX7,0.9996396153053988,SOX7
MA0103|ZEB1,0.9996533395881964,ZEB1
MC00104|Foxa1,0.999659472401298,Foxa1
UP00055|HBP1,0.9996655418198401,HBP1
MS00458|En2,0.9996747286265479,En2
UP00187|ALX4,0.9996987966283963,ALX4
UP00064|Sox18,0.9997114739995862,Sox18
MS00075|MEF2B,0.9997397947881481,MEF2B
MS00372|FOXL1,0.9997447066079332,FOXL1
MS00551|MEOX1,0.9997601993604811,MEOX1
MS00427|DLX1,0.9997771272572427,DLX1
MS00802|Sox1,0.9997800232422622,Sox1
M01300|HMGA2,0.9997839366295852,HMGA2
UP00263|Hoxb8,0.9997954723454684,Hoxb8
MS00591|PHOX2A,0.9997965743633652,PHOX2A
MS00438|DUXA,0.9998023072534252,DUXA
UP00252|HOXC5,0.999811008555616,HOXC5
MS00362|FOXI1,0.999831967876533,FOXI1
MS00440|Dlx2,0.9998386495649908,Dlx2
MS00679|ONECUT2,0.999840087293703,ONECUT2
MS00412|ZNF410,0.9998451756490151,ZNF410
MS00443|EMX2,0.999846872412058,EMX2
MS00606|RAX,0.9998475797984786,RAX
MS00537|LHX2,0.9998719635914273,LHX2
UP00004|Sox14,0.99987321441886,Sox14
MS00450|EN2,0.9998963715408871,EN2
UP00218|Dbx2,0.9999015103048717,Dbx2
UP00175|Lhx9,0.9999064310599334,Lhx9
MC00303|Sox2,0.9999158845697044,Sox2
M00712|MYOG,0.9999303659264326,MYOG
MS00152|POU5F1P1,0.9999336735236359,POU5F1P1
MC00178|Nkx2-5,0.9999350449444732,Nkx2-5
MS00350|FOXC1,0.9999414083372358,FOXC1
MS00532|Irx3,0.9999433519715453,Irx3
MS00011|BCL6B,0.9999434256381692,BCL6B
UP00129|Pou3f1,0.9999434412568693,Pou3f1
MS00603|PRRX2,0.9999458998368146,PRRX2
MS00472|HMBOX1,0.9999507297751916,HMBOX1
MC00501|FOXP1,0.9999543883338663,FOXP1
MS00142|POU3F3,0.9999590125304888,POU3F3
MC00389|CDX2,0.9999598264793329,CDX2
MS00437|DRGX,0.9999603052375008,DRGX
M01151|Dmrtc2,0.9999637591793005,Dmrtc2
MS00780|SOX9,0.9999641865857903,SOX9
UP00151|BARX2,0.999964952259005,BARX2
MS00690|ONECUT3,0.9999679272569111,ONECUT3
MS00403|ALX3,0.9999704739898096,ALX3
MS00589|PDX1,0.9999708319335417,PDX1
MS00620|VAX1,0.999972512236369,VAX1
MS00136|POU2F3,0.9999733788238336,POU2F3
MS00578|NOTO,0.9999745016184548,NOTO
MS00605|RAXL1,0.9999745304801783,RAXL1
UP00194|IRX4,0.999975691774986,IRX4
MC00231|MEF2C,0.999975993101873,MEF2C
UP00241|HOXD3,0.9999765422375948,HOXD3
MC00119|GATA3,0.999977220718543,GATA3
MS00388|Foxc1,0.9999772508271749,Foxc1
MS00762|SOX2,0.9999775728725188,SOX2
M01004|IKZF2,0.9999777187262994,IKZF2
M01435|Rhox6,0.9999803381599992,Rhox6
UP00152|Arx,0.9999821260106757,Arx
MS00249|BHLHE22,0.9999850573296447,BHLHE22
UP00120|Lbx2,0.9999872093298807,Lbx2
MC00226|Nanog,0.9999873300677374,Nanog
MS00277|OLIG2,0.9999875505717951,OLIG2
M00640|HOXA4,0.999988018392591,HOXA4
UP00051|Sox8,0.9999880821253606,Sox8
MS00076|MEF2D,0.9999883051667684,MEF2D
UP00244|TLX2,0.9999887190653819,TLX2
UP00211|Pou3f3,0.9999899627863191,Pou3f3
MS00140|POU3F2,0.9999901088927148,POU3F2
MS00593|PHOX2B,0.9999911966296849,PHOX2B
UP00242|HOXC8,0.9999914481893258,HOXC8
MS00667|ONECUT1,0.9999922592415333,ONECUT1
MS00628|Vsx1,0.9999927495137452,Vsx1
UP00168|Hoxd8,0.999993323713709,Hoxd8
MC00474|BCL11A,0.9999938961305115,BCL11A
UP00213|HOXA9,0.9999940247593152,HOXA9
M01149|Dmrta1,0.9999940541710454,Dmrta1
MS00390|ZNF238,0.9999948473370276,ZNF238
MS00513|HOXD8,0.9999952563338322,HOXD8
UP00101|Sox12,0.9999957066177858,Sox12
UP00121|Hoxd10,0.9999960384356721,Hoxd10
MS00774|SOX8,0.9999962221093436,SOX8
M01146|DMRT1,0.9999965070595107,DMRT1
UP00105|POU3F4,0.9999971736940513,POU3F4
MS00405|ARX,0.9999974737205423,ARX
UP00113|HOXC4,0.9999977535259094,HOXC4
MC00146|Smad2/3,0.9999978765047728,Smad2/3
MS00750|SOX15,0.9999980349633932,SOX15
MS00407|Alx1,0.9999984730208991,Alx1
MS00276|OLIG1,0.9999985967953412,OLIG1
UP00248|Pax7,0.9999986684844852,Pax7
MS00753|SOX18,0.9999987790951013,SOX18
UP00185|PBX1,0.9999990220823192,PBX1
UP00078|ARID3A,0.9999990256550089,ARID3A
MS00425|CDX1,0.9999991259381327,CDX1
MS00541|LHX9,0.9999991450157123,LHX9
UP00260|Hoxc6,0.9999991586276866,Hoxc6
M01723|SATB1,0.9999991620593955,SATB1
MS00604|Prrx2,0.9999992218930307,Prrx2
MS00408|Alx4,0.9999993705091407,Alx4
MS00805|Sox3,0.9999994137484125,Sox3
MC00233|Pou5f1,0.9999994573557756,Pou5f1
MS00581|Nkx6-1,0.9999996373600187,Nkx6-1
M01399|Hlx,0.9999997555354175,Hlx
MC00217|FOXA2,0.9999997739590771,FOXA2
MC00311|FOXA1,0.9999998160027658,FOXA1
M01483|Dbx1,0.9999998289397966,Dbx1
UP00237|Otp,0.9999998491117696,Otp
MS00732|CPEB1,0.9999998566700848,CPEB1
M00416|ALX1,0.9999998578764051,ALX1
UP00014|Sox17,0.9999998834532603,Sox17
MS00613|SHOX2,0.9999999029837576,SHOX2
M00294|Foxf1a,0.999999918797724,Foxf1a
UP00082|Zfp187,0.9999999253491542,Zfp187
MS00597|PROP1,0.9999999300226543,PROP1
UP00071|Sox21,0.999999938428526,Sox21
MS00134|POU2F2,0.9999999424677307,POU2F2
MC00455|Cdx2,0.9999999498837631,Cdx2
MS00149|POU4F2,0.9999999559215087,POU4F2
MS00794|Sox10,0.9999999580498278,Sox10
MS00564|Msx3,0.9999999621588038,Msx3
MS00366|FOXJ2,0.9999999708290033,FOXJ2
UP00091|SOX5,0.9999999819768599,SOX5
MC00105|Foxa2,0.9999999826436828,Foxa2
MS00155|POU6F2,0.999999984871796,POU6F2
MS00131|POU2F1,0.9999999874589217,POU2F1
MS00748|SOX14,0.9999999881449799,SOX14
MS00557|MNX1,0.9999999888559432,MNX1
MS00577|NKX6-2,0.9999999903450153,NKX6-2
MS00561|MSX2,0.9999999903937918,MSX2
MS00126|PAX7,0.9999999905750363,PAX7
MS00470|HESX1,0.9999999906229027,HESX1
UP00096|SOX13,0.9999999911738913,SOX13
UP00130|LHX3,0.9999999957910706,LHX3
MA0040|Foxq1,0.9999999962154932,Foxq1
MC00402|Hoxc9,0.9999999964373082,Hoxc9
MC00416|Rbfox2,0.9999999968378723,Rbfox2
MC00165|Pdx1,0.9999999971913339,Pdx1
UP00150|IRX6,0.999999998139153,IRX6
UP00212|LHX5,0.9999999985818191,LHX5
MS00476|HNF1A,0.999999999216119,HNF1A
MS00614|SHOX,0.9999999994865948,SHOX
UP00012|Bbx,0.9999999995313553,Bbx
UP00262|Lhx1,0.99999999957618,Lhx1
MS00148|POU4F1,0.9999999995896527,POU4F1
MS00615|Shox2,0.9999999996225476,Shox2
M01148|DMRT3,0.9999999996492034,DMRT3
MS00151|POU4F3,0.9999999996947639,POU4F3
UP00238|Nkx6-3,0.9999999997596968,Nkx6-3
MS00575|NKX6-1,0.9999999997670161,NKX6-1
M01147|DMRT2,0.9999999999191992,DMRT2
MS00531|ISX,0.999999999926882,ISX
MS00627|VSX2,0.9999999999440101,VSX2
UP00169|LMX1B,0.9999999999577117,LMX1B
MC00378|POU5F1,0.9999999999615808,POU5F1
MC00260|Pax3,0.999999999987088,Pax3
MS00547|Lhx4,0.999999999993577,Lhx4
MS00543|LMX1A,0.9999999999999137,LMX1A
