,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45895|CCNT2,2.3318890963137356e-19,Homo sapiens,CCNT2,tf,K562,Erythroblast,Bone Marrow,1,CCNT2
72367|TCF4,2.774422451585398e-19,Homo sapiens,TCF4,tf,CAL-1,Plasmacytoid dendritic cell,None,1,TCF4
77271|L3MBTL4,3.8740422184072474e-19,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
62841|SP3,3.9726757053446044e-19,Homo sapiens,SP3,tf,HEK293,Epithelium,Embryonic Kidney,1,SP3
9509|TFAP2C,4.826022001163607e-19,Homo sapiens,TFAP2C,predicted transcription factor,MDA-MB-453,Epithelium,Mammary Gland,1,TFAP2C
64746|ZKSCAN1,6.915105887397935e-19,Homo sapiens,ZKSCAN1,tf,K562,Erythroblast,Bone Marrow,1,ZKSCAN1
45632|BHLHE40,8.132126767674963e-19,Homo sapiens,BHLHE40,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BHLHE40
46295|ZBTB7A,8.41548849266932e-19,Homo sapiens,ZBTB7A,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZBTB7A
35087|BCOR,8.547491452027119e-19,Homo sapiens,BCOR,both predicted transcription factor and chromatin regulator,None,B Lymphocyte,None,1,BCOR
46212|FOSL1,1.0110106877004309e-18,Homo sapiens,FOSL1,tf,HCT-116,None,Colon,1,FOSL1
53300|RARA,1.2997013577038349e-18,Homo sapiens,RARA,tf,TSU-1621-MT,None,None,1,RARA
64633|SMARCA4,1.5359495349159506e-18,Homo sapiens,SMARCA4,cr,None,Neuron,None,1,SMARCA4
6710|SRC,1.6592248412672124e-18,Homo sapiens,SRC,not sure,OCI-Ly2,Epithelium,Mammary Gland,1,SRC
46240|NFIC,1.7059542302019215e-18,Homo sapiens,NFIC,tf,HepG2,Epithelium,Liver,1,NFIC
63653|SP7,1.7271376647921289e-18,Homo sapiens,SP7,,HEK293,Epithelium,Embryonic Kidney,1,SP7
46249|NR2F2,2.189448624208582e-18,Homo sapiens,NR2F2,tf,HepG2,Epithelium,Liver,1,NR2F2
33679|GATA3,3.1255488419311048e-18,Homo sapiens,GATA3,tf,None,Th1,None,1,GATA3
48576|KDM6B,3.664342876989931e-18,Homo sapiens,KDM6B,cr,CUTLL1,T Lymphocyte,Blood,1,KDM6B
72426|ORC2,3.847864163005348e-18,Homo sapiens,ORC2,tf,K562,Erythroblast,Bone Marrow,1,ORC2
62888|ZNF518A,4.427541448060195e-18,Homo sapiens,ZNF518A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF518A
50898|PAX6,4.454611168109831e-18,Homo sapiens,PAX6,tf,6540 cells,Epithelium,None,1,PAX6
65186|EGR3,4.705706388716089e-18,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
534|ETV1,5.613660896148832e-18,Homo sapiens,ETV1,tf,GIST48,Mesenchymal Stem Cell,Stomach,1,ETV1
41572|ING2,6.3192846496834785e-18,Homo sapiens,ING2,predicted chromatin regulator,RKO,Epithelium,Colon,1,ING2
64298|NFE2L2,6.858366909635177e-18,Homo sapiens,NFE2L2,tf,HeLa-S3,Epithelium,Cervix,1,NFE2L2
77536|REL,6.963063539690616e-18,Homo sapiens,REL,tf,GM12878,Lymphoblastoid,None,1,REL
47578|TTF1,1.0128725276776507e-17,Homo sapiens,TTF1,tf,NCI-H441,Epithelium,Lung,1,TTF1
9317|SMC1A,1.0159305966674343e-17,Homo sapiens,SMC1A,predicted chromatin regulator,BCBL1,B cell lymphoma,None,1,SMC1A
76965|CNOT3,1.1989241171364245e-17,Homo sapiens,CNOT3,tf,None,None,Snap-frozen tissue,1,CNOT3
52087|TRIM28,1.235527335941018e-17,Homo sapiens,TRIM28,cr,None,Hematopoietic Stem Cell,None,1,TRIM28
4126|HDAC6,1.3643168047414047e-17,Homo sapiens,HDAC6,cr,None,T Lymphocyte,Blood,1,HDAC6
74673|RUVBL1,1.4443851721153034e-17,Homo sapiens,RUVBL1,cr,HepG2,Epithelium,Liver,1,RUVBL1
46123|MEF2A,1.4574443802395167e-17,Homo sapiens,MEF2A,tf,GM12878,B Lymphocyte,Blood,1,MEF2A
8564|TBL1X,2.1633064320059224e-17,Homo sapiens,TBL1X,cr,HEK293T,Epithelium,Embryonic Kidney,1,TBL1X
38817|HOXA1,2.330777601905644e-17,Homo sapiens,HOXA1,tf,LoVo,None,Colon,1,HOXA1
51863|HSF1,2.5411114043147688e-17,Homo sapiens,HSF1,tf,451Lu,Melanoma Cell,None,1,HSF1
70928|RBBP4,2.586911291567674e-17,Homo sapiens,RBBP4,cr,T98G,Glioblastoma cell,None,1,RBBP4
33678|TBX21,2.7455370125344133e-17,Homo sapiens,TBX21,tf,None,Th1,None,1,TBX21
72604|HEXIM1,2.778394638376559e-17,Homo sapiens,HEXIM1,other,A375,Melanoma Cell,None,1,HEXIM1
41788|EZH2,2.9573650398669706e-17,Homo sapiens,EZH2,cr,None,iPSC,None,1,EZH2
64303|E2F5,3.816708888090221e-17,Homo sapiens,E2F5,,K562,Erythroblast,Bone Marrow,1,E2F5
49448|EGLN2,4.097661986508081e-17,Homo sapiens,EGLN2,other,T47D,Epithelium,Mammary Gland,1,EGLN2
63477|POLR2H,4.1219750167304415e-17,Homo sapiens,POLR2H,,K562,Erythroblast,Bone Marrow,1,POLR2H
49669|PROX1,4.4909216349531325e-17,Homo sapiens,PROX1,tf,SW480,None,Colon,1,PROX1
38811|SMC3,6.192613980930458e-17,Homo sapiens,SMC3,predicted chromatin regulator,LoVo,None,Colon,1,SMC3
1990|FOS,6.302848867935778e-17,Homo sapiens,FOS,tf,K562,Erythroblast,Bone Marrow,1,FOS
46179|SP4,1.6570718558983778e-16,Homo sapiens,SP4,tf,H1,Embryonic Stem Cell,Embryo,1,SP4
63524|ZFP2,1.9489299028058742e-16,Homo sapiens,ZFP2,,HEK293,Epithelium,Embryonic Kidney,1,ZFP2
8412|GATA2,2.3380888079749844e-16,Homo sapiens,GATA2,tf,None,Haematopoietic Progenitor Cell,Blood,1,GATA2
62905|DIDO1,2.4912757655403243e-16,Homo sapiens,DIDO1,,K562,Erythroblast,Bone Marrow,1,DIDO1
74663|ZNF18,2.586400517879945e-16,Homo sapiens,ZNF18,,K562,Erythroblast,Bone Marrow,1,ZNF18
62946|ZNF766,2.654343813178529e-16,Homo sapiens,ZNF766,,K562,Erythroblast,Bone Marrow,1,ZNF766
45961|UBTF,3.599740665408541e-16,Homo sapiens,UBTF,tf,K562,Erythroblast,Bone Marrow,1,UBTF
53632|STAT5B,4.2503004080967615e-16,Homo sapiens,STAT5B,tf,None,T Lymphocyte,Blood,1,STAT5B
1345|SMARCB1,4.889167301150187e-16,Homo sapiens,SMARCB1,cr,HeLa,Epithelium,Cervix,1,SMARCB1
63393|POU5F1,5.527127862476735e-16,Homo sapiens,POU5F1,tf,None,Neuron,None,1,POU5F1
49416|RB1,6.089013930346197e-16,Homo sapiens,RB1,tf,IMR90,Fibroblast,Lung,1,RB1
35474|NKX2-1,6.822394618443661e-16,Homo sapiens,NKX2-1,tf,NCI-H3122,None,Lung,1,NKX2-1
45798|RCOR1,7.556416294986844e-16,Homo sapiens,RCOR1,both predicted transcription factor and chromatin regulator,HepG2,Epithelium,Liver,1,RCOR1
76999|PITX3,7.929558128223198e-16,Homo sapiens,PITX3,tf,SH-SY5Y,Neuron,Midbrain,1,PITX3
1223|C17orf49,1.2530485165798963e-15,Homo sapiens,C17orf49,cr,HeLa,Epithelium,Cervix,1,C17orf49
39350|KLF1,1.2672348103503456e-15,Homo sapiens,KLF1,predicted transcription factor,None,Erythroid Cell,None,1,KLF1
65180|ZNF35,1.2924423676212885e-15,Homo sapiens,ZNF35,,HEK293,Epithelium,Embryonic Kidney,1,ZNF35
45660|TBL1XR1,1.3144413641071663e-15,Homo sapiens,TBL1XR1,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1,TBL1XR1
38704|HINFP,1.4958062133944466e-15,Homo sapiens,HINFP,tf,LoVo,None,Colon,1,HINFP
