,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
55666|PAF1,2.8385963463144677e-84,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1,PAF1
49977|BRD4,2.2049554779985457e-81,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
1312|PHF8,5.060779899607599e-79,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,0,PHF8
68635|KMT2D,9.895613946856418e-79,Homo sapiens,KMT2D,cr,None,patient derived xenograft cells,None,1,KMT2D
52091|TP53,1.2794339569913592e-78,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
46077|TAF1,2.353427686291092e-78,Homo sapiens,TAF1,tf,A549,Epithelium,Lung,1,TAF1
44028|BRCA1,2.105361311855338e-76,Homo sapiens,BRCA1,predicted chromatin regulator,MCF-10A,Epithelium,Breast,1,BRCA1
43451|NELFA,6.706463376092949e-75,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,0,NELFA
53076|RBP2,9.415846634999217e-75,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
69813|NELFE,1.3035625724961383e-73,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,NELFE
49266|SCML2,8.009947400680552e-73,Homo sapiens,SCML2,tf,293T-Rex,None,None,1,SCML2
45244|KDM5A,5.863955604449834e-72,Homo sapiens,KDM5A,cr,H1,Embryonic Stem Cell,Embryo,1,KDM5A
56961|GTF2B,8.196239605564642e-72,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1,GTF2B
74347|NEUROD1,8.34600976942734e-72,Homo sapiens,NEUROD1,tf,D-341,None,None,1,NEUROD1
72405|PARP1,1.066282740412208e-71,Homo sapiens,PARP1,not sure,MCF-7,Human Breast Cancer Cell,Breast,1,PARP1
49238|ETS1,2.0675773400024913e-71,Homo sapiens,ETS1,tf,DU145,Epithelium,Prostate,1,ETS1
49852|WDR5,2.121892496406421e-71,Homo sapiens,WDR5,cr,SK-N-MC,None,Brain,1,WDR5
46307|PML,4.270084423246138e-71,Homo sapiens,PML,tf,MCF-7,Epithelium,Breast,1,PML
74209|BRD2,1.0708659351416155e-70,Homo sapiens,BRD2,predicted chromatin regulator,SF8628,None,Pontine,1,BRD2
74686|KLF10,1.3205017120823474e-70,Homo sapiens,KLF10,tf,HepG2,Epithelium,Liver,1,KLF10
5195|YY1,5.790293305619015e-70,Homo sapiens,YY1,tf,None,T Lymphocyte,Blood,1,YY1
9205|HCFC1,2.2190250955487653e-69,Homo sapiens,HCFC1,tf,HeLa,Epithelium,Cervix,1,HCFC1
63097|SMAD5,3.954751602147481e-69,Homo sapiens,SMAD5,tf,GM12878,B Lymphocyte,Blood,1,SMAD5
38804|E2F8,5.088847414345988e-69,Homo sapiens,E2F8,tf,LoVo,None,Colon,1,E2F8
50894|SPI1,1.6605725470371751e-68,Homo sapiens,SPI1,predicted transcription factor,None,None,None,1,SPI1
51750|FOXP1,2.3545172745837556e-68,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1,FOXP1
62535|BCL3,4.538725217430615e-68,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
38654|NFATC1,4.950980367922789e-68,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
