Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
E2f3,MC00510;1.40E-14,,,,
Klf12,MS00157;5.08E-14,,,,
ERG,MS00848;5.48E-14,MC00168;1.26E-10,,,
E2F2,UP00001;7.27E-14,MS00712;9.81E-03,,,
GABPB1,M00341;7.96E-14,,,,
KLF14,MS00135;1.02E-13,,,,
SP4,MS00235;1.26E-13,,,,
Zfp161,UP00065;1.30E-13,,,,
PAX4,M00373;1.45E-13,M00378;2.34E-08,MS00121;2.61E-01,,
E2f4,MC00158;2.02E-13,,,,
ETV6,MS00021;2.21E-13,,,,
KLF16,MS00146;3.02E-13,,,,
Egr2,MC00430;3.21E-13,,,,
ZIC1,UP00102;3.57E-13,M00448;5.08E-11,MS00334;1.91E-10,,
E2F3,UP00003;3.75E-13,MS00734;7.69E-05,,,
E2F1,MC00182;6.64E-13,MS00815;1.62E-09,,,
Zic3,UP00006;7.06E-13,MS00523;3.10E-11,,,
ETV1,MC00427;7.22E-13,,,,
PLAGL1,UP00088;7.69E-13,,,,
E2F1::TFDP1,M00736;8.96E-13,,,,
E2F6,MC00254;9.56E-13,M01252;5.21E-03,,,
ELF2,UP00404;1.21E-12,,,,
Ikzf3,MC00337;1.30E-12,,,,
Etv5,UP00412;1.88E-12,,,,
ZIC3,MS00346;1.99E-12,,,,
ZIC2,UP00057;2.09E-12,M00449;1.67E-07,,,
SP8,MS00246;2.38E-12,,,,
PPARG,MC00142;2.75E-12,MA0066;4.32E-05,,,
Tbx3,MC00221;2.92E-12,,,,
ZIC4,MS00357;3.71E-12,,,,
SP2,M01783;3.87E-12,,,,
FLI1,MS00027;4.11E-12,MC00398;8.01E-04,,,
ZBTB33,MC00418;4.31E-12,M01119;7.36E-04,,,
WT1,M01118;4.64E-12,,,,
PATZ1,M00491;4.73E-12,,,,
GLIS1,MS00024;4.76E-12,,,,
PLAG1,MA0163;5.09E-12,,,,
EGR1,MC00320;5.24E-12,,,,
Klf7,UP00093;6.56E-12,,,,
PAX5,MA0014;6.87E-12,M00143;3.59E-10,MC00332;7.53E-09,,
Spdef,UP00038;7.55E-12,,,,
Klf1,MC00110;8.80E-12,,,,
YY2,MS00268;1.00E-11,,,,
Zscan10,M01742;1.39E-11,,,,
HMGN1,MC00502;1.50E-11,,,,
HINFP1,MS00090;1.51E-11,MS00079;7.12E-11,,,
BRCA1,MC00299;1.63E-11,,,,
Tcfap2a,MS00240;1.77E-11,MS00241;4.67E-09,MS00239;1.54E-08,,
Tcfap2c,UP00087;2.35E-11,,,,
ETV3,MC00160;2.57E-11,,,,
KLF13,MS00124;2.73E-11,,,,
ZBTB7A,MC00376;3.18E-11,MS00301;4.53E-11,M01100;1.32E-07,,
FEV,MS00025;3.50E-11,,,,
EGR3,MS00567;3.74E-11,,,,
Klf4,MC00109;4.09E-11,,,,
Elf4,UP00413;4.79E-11,,,,
GLIS2,MS00035;5.15E-11,,,,
SP1,MS00212;5.47E-11,MC00113;2.93E-08,,,
Gm5454,UP00423;5.89E-11,,,,
ETV4,MS00018;5.98E-11,,,,
Pax5,MC00257;6.55E-11,,,,
EGR4,MS00678;6.66E-11,,,,
Tcfap2e,UP00028;7.21E-11,,,,
Gmeb1,UP00084;7.46E-11,,,,
PAX8,M00717;7.80E-11,,,,
Zfx,MC00328;8.63E-11,,,,
