,coefficients,cell_line,cell_type,tissue
41063,2.101761027551452,,Fibroblast,Foreskin
41048,-1.1023242291256579,,Fibroblast,Foreskin
40858,-0.728147296632219,,Fibroblast,Foreskin
44976,0.7255543975150881,,Epithelium,Mammary Gland
40522,0.3299695151085551,U87MG,Glial Cell,Brain
44975,-0.3111376538387317,,Epithelium,Mammary Gland
44921,0.19991887947293224,GM12878,Lymphoblastoid,Blood
40521,-0.16665625164192308,U87MG,Glial Cell,Brain
64337,0.12390289432296746,K562,Erythroblast,
45000,-0.03161859189664246,,Fibroblast,Lung
