Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
BRD4,49977;5.60E-38,49980;9.29E-36,67829;5.38E-33,73518;4.14E-32,57808;2.08E-31
TP53,69456;8.30E-38,69457;2.51E-36,52091;2.22E-34,52092;1.61E-30,75042;6.50E-22
SCML2,49266;5.33E-36,50020;1.23E-07,50013;6.92E-04,49258;1.55E-02,49250;2.39E-02
MYC,45857;5.23E-33,8112;5.23E-33,33174;1.70E-30,53192;8.51E-30,70561;2.07E-28
MED1,53594;5.42E-33,53593;8.75E-31,49484;3.80E-30,39017;1.04E-28,33198;5.07E-28
MAZ,45867;1.80E-32,45661;8.31E-32,65115;1.12E-25,45761;2.96E-25,45788;6.71E-25
SP1,70811;4.07E-32,70812;1.08E-28,72612;1.13E-27,70813;1.26E-25,46300;2.64E-24
E2F4,46000;5.87E-32,45951;1.21E-26,45752;2.31E-18,45617;3.88E-13,3225;4.96E-12
TAF1,46077;1.09E-31,46221;7.21E-29,46334;8.01E-29,46345;2.45E-28,46196;1.60E-26
KLF11,50414;1.18E-30,50415;2.54E-28,50413;4.06E-28,50412;4.24E-26,42728;3.05E-01
GTF2B,56961;2.01E-30,56978;1.50E-27,36362;2.32E-27,56982;1.22E-23,56958;4.77E-23
POLR2B,36356;3.53E-30,9216;6.34E-26,,,
KDM2B,73701;4.44E-30,58074;6.63E-13,58083;2.00E-10,58079;4.47E-09,58086;5.43E-08
WDR5,49877;5.00E-30,52436;7.01E-26,52432;2.39E-24,49852;1.58E-22,58506;3.09E-21
BCL3,64914;5.48E-30,62933;1.23E-29,63884;3.29E-29,64102;5.36E-29,63001;5.82E-29
CDK9,33125;7.60E-30,40227;5.95E-27,33123;7.84E-26,53347;1.34E-25,53346;4.62E-25
YY1,46342;7.71E-30,46204;2.90E-26,46364;4.51E-26,46065;7.87E-26,46269;1.06E-25
FOXP2,46333;7.99E-30,46340;9.11E-23,42659;1.00E+00,,
BMI1,49267;1.57E-29,8553;8.26E-06,49259;2.64E-05,50021;1.74E-02,49263;7.26E-02
NELFA,55468;2.46E-29,55466;2.72E-24,55465;3.26E-24,55467;2.11E-22,43451;2.33E-20
MXI1,45866;4.13E-29,45810;1.61E-26,45633;6.01E-25,45774;1.75E-23,45879;2.97E-21
OGT,70759;1.31E-28,39911;5.40E-11,34001;7.00E-07,,
BRD2,74202;2.29E-28,74209;7.56E-25,43045;5.47E-21,43046;1.59E-19,35878;1.51E-15
CTCF,33934;2.35E-28,46044;3.13E-27,45562;4.51E-24,62852;5.82E-24,45974;8.52E-24
TET2,70095;2.84E-28,70093;1.46E-26,50981;1.26E-13,33992;1.60E-09,70096;3.58E-02
SP2,64559;3.89E-28,64560;6.33E-27,65084;9.02E-24,46287;1.43E-10,46176;5.50E-09
ZNF143,45629;4.15E-28,71042;3.71E-21,71040;1.14E-19,64895;1.35E-19,71041;1.87E-19
NELFE,69813;4.82E-28,69807;7.62E-28,69809;8.30E-28,53324;3.70E-26,69816;2.34E-25
NFATC1,38654;8.13E-28,38742;2.35E-27,46110;2.08E-05,38701;3.57E-01,
BRD3,43050;1.19E-27,57806;3.36E-19,43052;4.92E-19,43053;4.19E-18,43051;1.22E-15
PHF8,1314;1.25E-27,1312;8.11E-27,93;2.67E-25,45411;1.28E-24,8789;3.53E-24
TAF3,38585;1.58E-27,,,,
ELF1,46355;1.79E-27,46254;2.17E-25,46202;2.54E-25,74430;3.56E-25,46323;5.73E-23
KDM5B,47283;2.36E-27,47273;7.66E-25,47276;2.36E-23,8791;5.86E-20,45390;7.69E-18
MAX,33194;4.09E-27,46349;5.22E-27,33162;7.59E-27,33175;4.01E-26,46070;4.15E-25
AFF4,69872;4.15E-27,69873;2.23E-23,48998;1.44E-15,48994;5.77E-15,48996;2.17E-14
NFYA,2094;5.37E-27,42738;1.51E-15,45626;3.23E-13,45769;4.75E-13,45945;1.10E-11
REST,46377;5.75E-27,46338;6.86E-23,46359;4.67E-19,46337;1.44E-18,46198;2.91E-17
FLI1,37057;9.95E-27,37056;6.05E-23,5443;5.37E-20,72360;4.66E-19,35309;3.79E-16
CREB1,37349;1.31E-26,56051;6.51E-26,56047;1.39E-23,63306;2.31E-23,56050;3.32E-22
TBP,45791;2.16E-26,45781;2.35E-26,45684;4.16E-26,45881;5.28E-25,45618;7.12E-25
HCFC1,45890;2.16E-26,45767;3.53E-26,9205;2.78E-17,64266;1.13E-15,9206;2.06E-15
FOXK1,70731;2.65E-26,9506;1.47E-04,9505;1.08E-01,42657;2.73E-01,
CDK8,57169;2.78E-26,57171;2.24E-21,56351;5.29E-20,56353;1.57E-19,57165;1.67E-19
RPE,49481;2.79E-26,,,,
CDK7,40055;2.93E-26,69615;5.12E-26,40053;1.55E-22,49493;7.72E-21,49494;2.29E-20
CBFB,37621;3.17E-26,64692;1.19E-19,37640;5.13E-19,64691;5.56E-19,37607;9.76E-18
RELA,69874;3.35E-26,5388;1.07E-25,32899;2.23E-24,42744;5.39E-24,5389;6.26E-24
MBD3,71069;3.87E-26,59413;5.84E-08,59412;3.69E-06,41402;1.01E-03,40335;1.97E-02
KLF9,62637;6.18E-26,49949;6.21E-23,62636;4.28E-19,62800;1.13E-14,49951;2.05E-07
IRF1,45949;7.91E-26,45969;3.70E-24,45925;9.31E-21,42725;2.38E-18,67612;1.26E-13
NIPBL,9320;9.41E-26,50516;9.83E-20,38785;1.47E-15,50517;1.50E-15,53672;3.89E-15
GABP,63155;1.09E-25,63156;5.98E-20,,,
SMC1A,9319;1.10E-25,9317;1.50E-18,38778;4.57E-16,56558;6.66E-15,56557;1.35E-13
PAF1,55666;1.55E-25,55664;3.21E-20,55669;8.79E-18,55665;6.88E-15,55667;7.34E-14
USF1,46365;1.60E-25,68456;1.00E-22,46279;1.39E-19,46062;5.07E-19,46078;1.79E-18
E2F1,2280;1.69E-25,56252;1.01E-24,2283;1.41E-24,75043;4.30E-24,44312;4.65E-24
GMEB2,38724;1.79E-25,42762;4.60E-12,,,
PARP1,72406;1.83E-25,72405;3.43E-25,72408;7.91E-25,72407;1.24E-24,73342;2.08E-02
RUNX1,55493;2.10E-25,49536;2.10E-25,43099;4.01E-22,53305;4.53E-21,55492;2.24E-20
IRF4,40215;2.19E-25,48628;1.61E-12,48632;2.73E-11,46128;3.06E-11,48636;3.67E-08
JMJD6,74838;2.57E-25,74843;8.99E-15,74836;9.55E-12,74844;7.88E-11,43089;5.01E-09
SIN3A,46208;2.70E-25,45639;7.08E-23,46236;3.68E-21,46277;4.32E-21,46335;5.14E-21
KLF5,47601;3.37E-25,67599;4.86E-16,67611;3.19E-14,38831;6.81E-14,42925;3.17E-11
KDM1A,75942;3.65E-25,53469;5.13E-13,53468;2.06E-11,53467;1.26E-08,8783;1.60E-07
JUN,45874;3.70E-25,2078;3.70E-25,45888;3.36E-19,45892;2.43E-18,37354;1.08E-16
SETD1A,59170;3.79E-25,76519;2.24E-22,,,
SPI1,53298;4.04E-25,50894;1.34E-24,50878;1.45E-22,50876;8.16E-22,50877;8.81E-21
GLIS2,63825;4.81E-25,63826;4.23E-19,38768;6.00E-02,,
H2AFZ,64688;5.07E-25,64753;8.61E-23,64270;2.03E-22,62610;2.99E-22,62609;4.35E-22
PAX5,46160;5.85E-25,46158;2.44E-23,46116;3.44E-15,46138;7.94E-14,34475;1.14E-09
ASXL1,76682;7.94E-25,,,,
SUPT5H,70927;8.88E-25,53325;4.32E-19,64772;1.38E-16,64773;1.86E-16,43450;1.28E-12
TRAF7,72854;1.04E-24,72855;1.16E-19,72856;1.45E-12,72857;3.80E-10,
NR2F1,56818;1.07E-24,56817;1.33E-19,35628;5.10E-11,64997;9.11E-11,64996;1.26E-10
POLR2M,5570;1.82E-24,5569;1.99E-15,5662;2.19E-05,,
NRF1,64622;1.85E-24,58937;2.04E-24,64621;2.06E-24,74665;4.11E-23,74666;5.08E-23
ELK1,63321;2.15E-24,45636;3.05E-24,45729;4.82E-23,63322;1.13E-18,45953;1.21E-18
ATF1,56053;2.63E-24,56054;1.24E-20,45871;6.84E-20,62671;5.92E-19,63104;3.28E-17
CHD2,45638;3.78E-24,45764;3.19E-23,45802;7.95E-16,45905;4.02E-12,45701;9.89E-12
GABPA,56046;4.57E-24,46344;6.71E-24,46268;4.19E-23,63207;9.29E-23,46136;9.65E-23
RFX1,38784;4.68E-24,62624;9.79E-13,62594;6.98E-10,62593;1.13E-09,64987;1.04E-07
FOXM1,34997;4.97E-24,34999;7.48E-13,53256;1.17E-12,39460;4.92E-12,53253;4.96E-12
FAIRE,36031;5.27E-24,33610;1.58E-23,33611;2.71E-20,32874;7.49E-16,52158;1.88E-13
NFE2,50381;5.98E-24,67768;2.51E-22,39357;8.95E-18,67769;4.73E-08,45608;3.01E-07
GATA1,8458;7.09E-24,3273;1.27E-20,39352;2.18E-19,73729;1.06E-15,46025;4.50E-15
HDAC1,63451;8.06E-24,63450;5.69E-23,70763;1.60E-21,37597;6.03E-20,4118;1.95E-18
STAG1,42312;8.22E-24,42519;1.25E-23,42293;1.98E-22,42295;8.95E-22,42367;2.13E-21
SUMO2,55338;8.32E-24,55339;6.37E-21,55344;6.43E-13,55348;4.48E-12,55721;2.69E-11
TFAP4,74432;1.19E-23,74431;2.35E-20,62715;5.52E-16,62716;1.54E-07,
