Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
GLIS3,MS00046;7.83E-08,,,,
GLIS1,MS00024;1.17E-07,,,,
SP3,M00665;1.82E-07,MS00223;1.25E-05,,,
BCL6,MC00386;2.54E-07,M01171;4.78E-01,,,
ETS1,MC00278;5.69E-07,MS00851;1.41E-01,,,
Rest,MC00125;6.87E-07,,,,
KLF15,M01714;7.74E-07,,,,
ZNF740,MS00445;7.97E-07,,,,
TEAD2,M00695;1.10E-06,,,,
TFAP2A,MC00530;1.19E-06,MS00227;2.37E-04,,,
SP4,MS00235;1.25E-06,,,,
Rara,MC00252;1.38E-06,MS00698;3.21E-01,,,
E2F1::TFDP1,M00736;2.01E-06,,,,
Zfp740,MS00512;2.27E-06,,,,
PATZ1,M00491;2.28E-06,,,,
SP1,MS00212;2.29E-06,MC00113;4.92E-02,,,
ZBTB7A,MC00376;4.10E-06,MS00301;1.64E-04,M01100;3.38E-04,,
EGR3,MS00567;4.23E-06,,,,
GLIS2,MS00035;5.05E-06,,,,
Pax5,MC00257;5.18E-06,,,,
Ovol2,M01104;5.29E-06,,,,
Rfx1,MC00144;5.66E-06,,,,
WT1,M01118;7.07E-06,,,,
PPARG::RXRA,M00518;7.63E-06,M00515;9.28E-02,,,
E2f4,MC00158;8.28E-06,,,,
ZBTB7B,M01175;9.06E-06,MS00312;6.56E-04,,,
Zfp281,UP00021;9.34E-06,,,,
EGR2,MC00319;9.82E-06,,,,
KLF16,MS00146;9.95E-06,,,,
ETV1,MC00427;1.18E-05,,,,
Klf4,MC00109;1.22E-05,,,,
EGR4,MS00678;1.53E-05,,,,
GLI2,MS00843;1.55E-05,,,,
EGR1,MC00320;1.62E-05,,,,
Egr3,MS00789;1.73E-05,,,,
Klf1,MC00110;1.84E-05,,,,
Egr2,MC00430;2.00E-05,,,,
E2F1,MC00182;2.02E-05,MS00815;7.90E-03,,,
SREBF2,M01177;2.33E-05,MS00281;8.99E-02,,,
ZNF219,M01122;2.35E-05,,,,
HINFP1,MS00090;2.62E-05,MS00079;3.74E-05,,,
Zfx,MC00328;2.64E-05,,,,
Ppara,MC00134;3.05E-05,,,,
Ctcf,MC00187;3.09E-05,,,,
PAX4,M00378;3.24E-05,M00373;8.11E-05,MS00121;9.54E-01,,
PAX5,M00143;3.65E-05,MA0014;4.35E-05,MC00332;5.45E-03,,
ZIC3,MS00346;3.67E-05,,,,
E2f3,MC00510;3.78E-05,,,,
