Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
TFAP2C,9509;2.35E-11,39978;1.22E-05,9510;1.33E-05,9508;2.09E-05,9507;1.43E-04
BCL3,62535;1.97E-10,62932;7.57E-09,63885;2.44E-08,64102;2.55E-08,63664;5.51E-08
BRD4,39025;5.00E-10,68711;9.93E-10,57808;2.74E-09,33932;3.01E-08,40217;3.84E-08
MED1,53593;5.52E-10,39017;6.55E-09,53594;8.92E-09,40233;1.20E-07,50691;2.31E-07
RPE,49481;5.56E-10,,,,
BIRA,69216;1.50E-09,69217;2.01E-02,69218;5.62E-02,56247;1.09E-01,
NFATC1,38742;1.54E-09,38654;8.61E-08,38701;1.57E-01,46110;4.84E-01,
MITF,42179;2.23E-09,42176;3.44E-05,42731;8.61E-03,42177;2.45E-02,52548;5.58E-02
PHF8,1314;4.26E-09,8790;2.36E-08,8789;5.32E-08,45411;5.71E-08,8818;3.63E-06
TP53,52091;5.36E-09,52092;5.80E-09,69456;2.94E-08,52090;9.64E-07,69457;5.29E-06
CDK9,40227;6.80E-09,43081;6.35E-08,33123;4.59E-06,33125;1.14E-05,53346;5.82E-05
SP1,46060;7.59E-09,65151;1.40E-06,46190;2.52E-06,46215;6.55E-06,72612;7.94E-06
USF1,46365;7.92E-09,68456;1.14E-06,46124;1.90E-05,46078;5.21E-05,46279;5.88E-05
KDM5B,47273;8.66E-09,47283;2.10E-07,45390;4.23E-06,8791;1.28E-05,47266;4.50E-05
MAZ,45867;9.46E-09,45924;9.11E-08,45788;2.66E-06,45761;3.22E-06,45661;1.59E-05
CHD2,45764;1.08E-08,45638;1.55E-05,45701;1.28E-04,45905;1.14E-03,45802;5.64E-03
JUND,46232;1.72E-08,45743;9.76E-08,45880;8.71E-07,46191;1.39E-05,46036;1.00E-04
GTF2B,56961;1.89E-08,36362;2.94E-07,56978;1.55E-06,56982;5.19E-06,56958;8.12E-05
HEY1,7341;1.89E-08,7527;2.26E-05,42664;1.00E+00,,
CREB1,56051;1.96E-08,67718;1.56E-07,37349;2.28E-07,56047;3.93E-07,56052;6.67E-07
NRF1,58937;2.63E-08,58939;1.06E-07,58936;4.50E-07,58940;4.96E-07,64621;9.49E-07
POLR2AphosphoS5,64760;2.63E-08,63406;1.35E-07,64761;1.32E-06,63407;5.15E-06,
MAX,33197;2.73E-08,33162;4.32E-07,33194;4.85E-07,45907;2.42E-06,46349;2.59E-06
FOXA1,46067;3.04E-08,46368;1.32E-06,67738;3.56E-06,36842;6.98E-06,7323;1.00E-05
KDM1A,75942;3.16E-08,64822;8.43E-04,63384;2.83E-03,53468;6.07E-03,45400;1.17E-02
RUNX1,55493;3.70E-08,49536;3.70E-08,55492;2.27E-05,55172;2.90E-05,8481;2.90E-05
POLR2B,36356;3.84E-08,9216;7.89E-05,,,
RELA,5388;4.95E-08,53598;3.90E-07,53599;8.15E-07,50893;8.49E-07,5389;1.37E-06
NFE2,50381;5.00E-08,67768;1.32E-07,39357;9.17E-06,63878;9.38E-03,45906;2.83E-02
MBD2,48824;5.65E-08,48827;4.47E-07,48825;9.11E-07,63028;7.74E-06,64901;4.30E-05
ATF1,56054;5.98E-08,45871;2.58E-06,56053;7.55E-06,63104;4.83E-05,62671;1.16E-04
T,55895;5.99E-08,69884;3.53E-06,73453;1.44E-04,73454;5.35E-04,53302;3.34E-03
TAF1,46258;5.99E-08,46108;8.71E-08,46345;1.02E-07,46106;3.47E-07,46221;6.04E-07
GATA4,63975;6.21E-08,47598;2.59E-04,51472;4.03E-04,63974;3.88E-03,72928;4.36E-03
E2F1,75043;6.90E-08,53013;4.50E-07,75924;3.18E-06,44316;4.54E-06,44313;6.40E-06
ESR1,36104;8.24E-08,33506;1.39E-06,36819;3.34E-06,71859;3.29E-05,33498;3.94E-05
ZNF143,71040;8.62E-08,45629;1.14E-06,71042;1.31E-05,64895;3.53E-04,71041;6.89E-04
SIN3A,46360;9.01E-08,46236;1.49E-07,46183;1.77E-06,63655;4.08E-06,46327;1.58E-05
YY1,46364;9.11E-08,46226;3.12E-07,62486;5.10E-07,7060;1.10E-06,46269;1.38E-06
NKX2-1,74052;9.86E-08,35474;3.58E-04,74050;1.69E-02,35475;1.80E-02,74051;3.83E-02
USF2,68455;1.20E-07,45611;7.15E-05,63383;2.03E-04,74655;7.66E-04,74645;1.05E-03
NELFE,53324;1.38E-07,69810;3.50E-06,69815;5.42E-06,69807;6.14E-06,69813;7.34E-06
