,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
65084|SP2,1.9444961472875793e-07,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
32856|TERC,2.546684000802064e-07,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1
42179|MITF,4.568933264569697e-07,Homo sapiens,MITF,tf,COLO-829,Fibroblast,Skin,1
65110|SP4,5.254586835711541e-07,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1
65151|SP1,1.2595116408360118e-06,Homo sapiens,SP1,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
32853|TERC,1.819729126844595e-06,Homo sapiens,TERC,other,HeLa,Epithelium,Cervix,1
50691|MED1,3.2659187448074652e-06,Homo sapiens,MED1,predicted transcription factor,hMADS-3,Adipocyte,Adipose,1
52092|TP53,4.4099941489453714e-06,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
58937|NRF1,5.747052159494724e-06,Homo sapiens,NRF1,tf,None,Epithelium,None,1
9509|TFAP2C,8.72194102526916e-06,Homo sapiens,TFAP2C,predicted transcription factor,MDA-MB-453,Epithelium,Mammary Gland,1
53592|MED1,9.13641315909478e-06,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
65197|KLF15,9.668493887335544e-06,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1
52091|TP53,1.0282563815161355e-05,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1
65111|SP4,1.550811481271631e-05,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1
9508|TFAP2C,1.784087564538823e-05,Homo sapiens,TFAP2C,predicted transcription factor,BT-474,Epithelium,Mammary Gland,1
33506|ESR1,1.9223946505378847e-05,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,1
53593|MED1,1.990365950024172e-05,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
64560|SP2,2.263337965115228e-05,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
71042|ZNF143,2.3892045327241334e-05,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1
1314|PHF8,2.5715682491088716e-05,Homo sapiens,PHF8,cr,HeLa,Epithelium,Cervix,1
74909|POLR3D,2.58418351782241e-05,Homo sapiens,POLR3D,tf,THP-1,Monocyte,None,0
38742|NFATC1,2.622382155827219e-05,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1
62800|KLF9,2.622382155827219e-05,Homo sapiens,KLF9,tf,MCF-7,Epithelium,Breast,1
50692|MED1,2.635233501961226e-05,Homo sapiens,MED1,predicted transcription factor,hMADS-3,Adipocyte,Adipose,1
69456|TP53,3.0944049056146305e-05,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
53594|MED1,3.247873391011808e-05,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
49481|RPE,3.2794194002260184e-05,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1
68841|FOXA1,3.295300936623823e-05,Homo sapiens,FOXA1,tf,T47D,Embryonic Stem Cell,Breast,1
46172|REST,3.474869933934262e-05,Homo sapiens,REST,tf,H1,Embryonic Stem Cell,Embryo,1
55895|T,3.752658304043474e-05,Homo sapiens,T,tf,None,Fibroblast,None,1
56982|GTF2B,3.955680592805712e-05,Homo sapiens,GTF2B,tf,HeLa,Epithelium,Cervix,1
49467|598-SKD,3.9936919130478506e-05,Homo sapiens,598-SKD,other,MCF-7,Epithelium,Breast,1
74052|NKX2-1,4.628857352958566e-05,Homo sapiens,NKX2-1,tf,A549,Epithelium,Lung,1
64559|SP2,4.853329340701829e-05,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1
9510|TFAP2C,5.695849450431595e-05,Homo sapiens,TFAP2C,predicted transcription factor,SKBR-3,None,Mammary Gland,1
58939|NRF1,5.8308115282313147e-05,Homo sapiens,NRF1,tf,HCC1954,Epithelium,Mammary Gland,1
47273|KDM5B,5.913230434184835e-05,Homo sapiens,KDM5B,cr,T47D,Epithelium,Mammary Gland,1
50693|MED1,6.254019751062417e-05,Homo sapiens,MED1,predicted transcription factor,hMADS-3,Adipocyte,Adipose,1
50163|TBP,6.552067702530437e-05,Homo sapiens,TBP,tf,K562,Erythroblast,Bone Marrow,1
74155|NR3C1,6.737268596731945e-05,Homo sapiens,NR3C1,tf,MCF-7,None,Breast,1
36104|ESR1,6.800090497071116e-05,Homo sapiens,ESR1,tf,None,Epithelium,Mammary Gland,1
74153|NR3C1,6.895358934820635e-05,Homo sapiens,NR3C1,tf,MCF-7,None,Breast,1
45781|TBP,7.089680011880505e-05,Homo sapiens,TBP,tf,HeLa-S3,Epithelium,Cervix,1
46190|SP1,7.775323102851233e-05,Homo sapiens,SP1,predicted chromatin regulator,H1,Embryonic Stem Cell,Embryo,1
37100|NR3C1,7.811192746769848e-05,Homo sapiens,NR3C1,tf,LNCaP,Epithelium,Prostate,1
65147|EGR2,8.178557216228057e-05,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1
53324|NELFE,8.216174521606543e-05,Homo sapiens,NELFE,not sure,HeLa,Epithelium,Cervix,1
45936|NFYB,8.29189801336725e-05,Homo sapiens,NFYB,tf,K562,Erythroblast,Bone Marrow,1
58940|NRF1,8.523026947538902e-05,Homo sapiens,NRF1,tf,HCC1954,Epithelium,Mammary Gland,1
39017|MED1,8.562132689436372e-05,Homo sapiens,MED1,predicted transcription factor,MM1.S,B Lymphocyte,Blood,1
71040|ZNF143,8.601407149067366e-05,Homo sapiens,ZNF143,predicted transcription factor,MCF-7,MCF 7 Cells,None,1
50411|PPARG,9.772405455051107e-05,Homo sapiens,PPARG,tf,hMADS-3,Adipocyte,Adipose,1
65214|GLIS1,0.00010507192237851253,Homo sapiens,GLIS1,tf,HEK293,Epithelium,Embryonic Kidney,1
46067|FOXA1,0.00010844710719546493,Homo sapiens,FOXA1,tf,A549,Epithelium,Lung,1
63406|POLR2AphosphoS5,0.0001114208819062629,Homo sapiens,POLR2AphosphoS5,,None,iPSC,None,1
38865|E2F2,0.00011498700131331426,Homo sapiens,E2F2,tf,LoVo,None,Colon,1
76151|MYC,0.00011812865464113335,Homo sapiens,MYC,tf,LNCaP,Epithelium,Prostate,1
