,coefficients,cell_line,cell_type,tissue
38266,0.35209063631769494,,Mesenchymal Stem Cell,Bone Marrow
61845,0.2340414823735634,,,Pancreas
62069,0.22869507232832187,IMR90,Fibroblast,Lung
1821,0.17337767683379218,IMR90,Fibroblast,Lung
38020,-0.16590494070811684,,Mesenchymal Stem Cell,Bone Marrow
33141,0.14309175543602942,MCF-7,Epithelium,Mammary Gland
49412,0.11202411374744735,IMR90,Fibroblast,Lung
38278,-0.08403838361176878,,Mesenchymal Stem Cell,Bone Marrow
38260,0.053344770489945105,,Epithelium,Liver
33153,-0.05006024772965495,MCF-7,Epithelium,Mammary Gland
