,0,TF
M00444|VDR,6.558290488373847e-06,VDR
M00632|GATA4,7.4363703113496095e-06,GATA4
MC00477|ZNF711,8.135786803238902e-06,ZNF711
UP00087|Tcfap2c,8.352554444637165e-06,Tcfap2c
M01742|Zscan10,8.557001219033673e-06,Zscan10
M01592|TFCP2L1,9.028268986600935e-06,TFCP2L1
UP00066|HNF4A,1.154229966147287e-05,HNF4A
M01783|SP2,1.1726773929542422e-05,SP2
M00500|STAT6,1.1731717086847274e-05,STAT6
MA0131|HINFP,1.236865969996224e-05,HINFP
M00694|E4F1,1.2640713340584612e-05,E4F1
MC00473|ATF3,1.3296253870823253e-05,ATF3
MA0155|INSM1,1.3972028054539306e-05,INSM1
MC00523|E2F4,1.5639393946684092e-05,E2F4
UP00001|E2F2,1.5934402295604913e-05,E2F2
MS00684|RARG,1.7062937290900977e-05,RARG
MS00050|GCM2,1.7419037396345393e-05,GCM2
MC00170|PGR,2.160556291316831e-05,PGR
MC00203|RFX3,2.16711585323709e-05,RFX3
UP00418|Etv6,2.2783537577632683e-05,Etv6
MC00342|YY1,2.2972930342064996e-05,YY1
MC00512|Esrrb,2.402804689620146e-05,Esrrb
MS00333|Mafb,2.4427745995518385e-05,Mafb
MS00694|RXRG,2.5860658849943027e-05,RXRG
M00648|MAF,3.356558243713353e-05,MAF
UP00003|E2F3,3.569007818059146e-05,E2F3
MC00168|ERG,4.006364193778739e-05,ERG
M00717|PAX8,4.0388591758641654e-05,PAX8
MC00439|TP63,4.061460533565467e-05,TP63
MS00308|CREB3,4.099664313522175e-05,CREB3
UP00031|Zbtb3,4.33931338470581e-05,Zbtb3
MC00305|Sox6,4.4087266642951506e-05,Sox6
MC00348|STAT1,4.445013017134893e-05,STAT1
M00468|KLF12,4.7035482940730476e-05,KLF12
MS00662|NR3C2,5.4498930640646854e-05,NR3C2
MS00048|GCM1,5.829677575177101e-05,GCM1
MS00304|CREB3L1,5.966775765437765e-05,CREB3L1
MC00130|Pparg,6.262109354035161e-05,Pparg
MS00256|HES7,6.40762746755377e-05,HES7
MS00207|TBX21,6.668893576585732e-05,TBX21
MS00778|EHF,8.143162843570846e-05,EHF
MS00338|NRL,8.203561676181595e-05,NRL
M00115|CNTN2::CREB1,8.307064898236354e-05,CNTN2::CREB1
UP00011|IRF6,8.435236832509786e-05,IRF6
M01037|GLI1,8.573559344770159e-05,GLI1
UP00035|HIC1,8.590911884079198e-05,HIC1
MS00040|SPIC,8.896313776439315e-05,SPIC
M01067|GFI1,8.988649915538905e-05,GFI1
MS00285|TCF4,9.050064017703239e-05,TCF4
M00647|NR1H3,9.34047407274746e-05,NR1H3
MS00019|ETV5,9.690513456580963e-05,ETV5
M00749|SREBF1,0.00010416768105875558,SREBF1
MC00281|PBX3,0.00011064718489913786,PBX3
MC00414|Atoh1,0.00011094850572122507,Atoh1
MS00247|BHLHB2,0.00011338467759236759,BHLHB2
M00490|BACH2,0.00011756818258926175,BACH2
MS00392|Foxg1,0.00011834066932595022,Foxg1
MS00401|ZNF306,0.00012302213897159804,ZNF306
MS00022|Elf5,0.00012571396290070942,Elf5
MS00727|ZBTB49,0.00013038567227009157,ZBTB49
MS00267|MNT,0.00014101372040914217,MNT
MC00192|ZNF263,0.00014466105717997533,ZNF263
M01744|ZFP42,0.0001451133126679922,ZFP42
MS00729|ZNF282,0.00014910122197392907,ZNF282
MS00248|BHLHB3,0.00015150532125397735,BHLHB3
MC00163|Creb1,0.00016182339472157388,Creb1
MC00224|EPAS1,0.00016195664113092913,EPAS1
MC00128|CTCF,0.00017287637928800205,CTCF
MS00264|MESP1,0.00017486734860638767,MESP1
M01288|NEUROD1,0.00017536065882031512,NEUROD1
MC00453|STAT5A,0.00018383960220178048,STAT5A
M01132|SF1,0.0001932806109291494,SF1
MC00385|Ets1,0.00020190982949248076,Ets1
MS00668|Nr2e1,0.00020403325232235483,Nr2e1
M00979|PAX6,0.0002043958421318463,PAX6
MS00327|MAFG,0.0002066405601858983,MAFG
MS00252|Bhlhb2,0.00020893554019262947,Bhlhb2
UP00404|ELF2,0.00020935150040473973,ELF2
MS00323|ZBTB7C,0.00021058397772177266,ZBTB7C
M00467|ZNF423,0.0002172207709882327,ZNF423
M00294|Foxf1a,0.00021847848310200057,Foxf1a
M01241|GTF2IRD1,0.00024495756788642914,GTF2IRD1
M00737|E2F1::TFDP2,0.0002633235659577628,E2F1::TFDP2
MC00183|Snai1,0.0002642115064466404,Snai1
M00483|ATF6,0.0002645041074688181,ATF6
MC00458|TAL1,0.0002809633718676218,TAL1
MC00372|Yy1,0.00028777827009220564,Yy1
UP00000|SMAD3,0.00031056115831987896,SMAD3
M00327|PAX3,0.00032716313366859003,PAX3
MS00289|TFEB,0.0003279637907305094,TFEB
MS00128|PAX9,0.00033219359533618475,PAX9
MS00299|CEBPD,0.00043171888884722346,CEBPD
UP00081|Mybl1,0.000442787025903782,Mybl1
M01733|MZF1,0.00047915174100418784,MZF1
M01069|GZF1,0.0004886193017917197,GZF1
MS00065|IRF4,0.0005035277107940105,IRF4
MS00018|ETV4,0.0005165263323095164,ETV4
MC00355|SRF,0.0005258426147235066,SRF
MC00476|Rarg,0.0005375757919633272,Rarg
MC00396|Nr3c1,0.0005470401653594831,Nr3c1
MS00274|NHLH1,0.0005543567533220725,NHLH1
MC00475|Nfic,0.0005684641253792263,Nfic
MC00124|MAX,0.0005977576064679148,MAX
MS00725|MTF1,0.0006034966080800134,MTF1
MS00726|PRDM4,0.0006040992899286089,PRDM4
MC00207|ELK4,0.0006125603930415482,ELK4
M01248|NR0B1,0.0006262455985834779,NR0B1
MS00192|TBX15,0.0006473317390298785,TBX15
MS00168|PRDM1,0.0007280660112493875,PRDM1
MS00194|TBX19,0.000735651823931804,TBX19
MC00223|SMAD2/3,0.0007511205621384034,SMAD2/3
MS00102|MYBL2,0.0008589607419589176,MYBL2
MC00337|Ikzf3,0.0008600720045769469,Ikzf3
MC00341|Olig2,0.0008744817668461707,Olig2
UP00094|Zfp128,0.0008821487907294432,Zfp128
MS00386|FOXO6,0.0008847745315165579,FOXO6
UP00018|Irf4,0.0009229382528141328,Irf4
MS00268|YY2,0.0009438909737528915,YY2
MS00174|RUNX2,0.0009946565152482714,RUNX2
MS00027|FLI1,0.0010403618444845178,FLI1
MC00467|RXRA,0.0010855316506040913,RXRA
MS00271|NEUROD2,0.0010944256503941578,NEUROD2
M01596|GLI3,0.001101910646183367,GLI3
MS00258|HEY1,0.0011375465278510896,HEY1
MC00186|Nr1d2,0.0011631926264367095,Nr1d2
MS00188|MGA,0.0011741344368182008,MGA
M00646|HNF1B,0.0012672233520942024,HNF1B
UP00199|SIX4,0.001290118097407687,SIX4
MC00344|Hnf4a,0.0013204004896889693,Hnf4a
MC00193|RELA,0.0013230970557536533,RELA
MS00433|DMBX1,0.0013880229301296235,DMBX1
MC00452|STAT5B,0.0014770134946656024,STAT5B
MS00343|FOXB1,0.0015385348447923498,FOXB1
MC00132|TP73,0.0015560541288984775,TP73
MS00846|ERF,0.0015783407711065997,ERF
MS00110|NFKB1,0.0015839718906621484,NFKB1
UP00040|Irf5,0.0016082096855043137,Irf5
MS00087|Meis2,0.0016137604857058621,Meis2
MC00377|Trp53,0.001661797389286257,Trp53
MS00311|Creb3l2,0.0016700649785416418,Creb3l2
MS00211|TBX2,0.0017995543520509885,TBX2
MC00359|TP53,0.001995035855871341,TP53
MC00289|HSF1,0.002089985302544965,HSF1
MS00117|PAX1,0.002108860750257368,PAX1
M01109|ZNF589,0.0021374712727901097,ZNF589
MS00572|NKX3-1,0.0021958180089189055,NKX3-1
MS00717|Tp53,0.002275987680945348,Tp53
MC00206|ELK1,0.0023710948556061686,ELK1
MC00465|NR3C1,0.002405137990937066,NR3C1
M01656|Trp63,0.0025896343880059086,Trp63
MS00100|MYBL1,0.002650275775332681,MYBL1
MC00347|STAT4,0.0027054232943129948,STAT4
MA0017|NR2F1,0.0028665627269041003,NR2F1
MS00243|Ascl2,0.0028693641351528135,Ascl2
M00964|NR1I2,0.0029021606528672373,NR1I2
MS00709|THRA,0.0031444173100123513,THRA
M00456|BPTF,0.00321996603432805,BPTF
MS00288|TFE3,0.0032897919914659677,TFE3
M00041|ATF2::JUN,0.0034579315735144963,ATF2::JUN
M00706|GTF2I,0.0035762899477614707,GTF2I
MC00280|NR4A1,0.0035816899479734743,NR4A1
UP00092|MYB,0.003667193981230415,MYB
UP00085|Sfpi1,0.0037494431692141374,Sfpi1
M01334|Nkx1-1,0.003828270988911354,Nkx1-1
MS00423|ZNF524,0.003866903777861809,ZNF524
MC00151|SPI1,0.00400163296665951,SPI1
MS00169|RFX5,0.004287239443940534,RFX5
M00141|IKZF1,0.004442623167786093,IKZF1
MC00265|Tcf3,0.004611041794089585,Tcf3
UP00148|Hdx,0.004622509100501767,Hdx
M01312|NKX2-1,0.004959905397698669,NKX2-1
MC00506|Spi1,0.005317882051660447,Spi1
MS00115|NFIX,0.005511357158712691,NFIX
MS00221|TEAD3,0.00583187546866244,TEAD3
MC00174|REST,0.006076009688021653,REST
MC00262|ARNT,0.0061341895165627595,ARNT
MS00807|MSC,0.006268287311832718,MSC
MS00114|NFIB,0.0063000828257658474,NFIB
M01123|NANOG,0.006623508429670915,NANOG
MC00352|Nr5a2,0.006752205832392866,Nr5a2
MS00217|TBX5,0.006834258013027586,TBX5
MC00293|Gfi1b,0.007517642265972198,Gfi1b
UP00041|Foxj1,0.007657400277516015,Foxj1
MS00325|Jdp2,0.007798205569361002,Jdp2
MC00364|NFYA,0.008007171982323423,NFYA
MS00586|Otx1,0.008011399821734152,Otx1
MS00062|HSFY2,0.008449202914551406,HSFY2
M00433|Hmx3,0.008870145917064786,Hmx3
M01112|RBPJ,0.00891839430245388,RBPJ
UP00027|Osr1,0.009019536719428433,Osr1
MS00300|CEBPE,0.009053872929739267,CEBPE
UP00030|Sox11,0.009306731496418197,Sox11
MC00357|Crx,0.009578260653671306,Crx
UP00190|NKX2-3,0.009655942507514698,NKX2-3
MS00844|ELK3,0.010160947724151775,ELK3
MS00255|HES5,0.010351597459925907,HES5
M00072|TFCP2,0.010443469977722412,TFCP2
UP00019|ZBTB12,0.010854570943388823,ZBTB12
MC00316|HIF1A,0.011051438782472065,HIF1A
MC00169|Usf2,0.01109025236224437,Usf2
MS00088|Meis3,0.011187778426435225,Meis3
MC00191|Nfya,0.011421512667194118,Nfya
MS00371|FOXK1,0.011551972029869493,FOXK1
MS00265|MLXIPL,0.011585314159672523,MLXIPL
MC00111|Bcl6,0.011916411854823204,Bcl6
MS00023|Elk3,0.012029006722457936,Elk3
MS00067|IRF5,0.012382618379404357,IRF5
UP00020|ATF1,0.012742595834069037,ATF1
MS00812|ELF3,0.01279535632852178,ELF3
MS00251|BHLHE41,0.012803592981959325,BHLHE41
M00792|SMAD1,0.0128072258198335,SMAD1
MA0101|REL,0.013261194669889237,REL
UP00112|Gsc,0.013286235142228863,Gsc
M00105|CUX1,0.01332168917553127,CUX1
MA0081|SPIB,0.01334213635257427,SPIB
M00085|ZBTB6,0.013424370602510038,ZBTB6
MS00302|CEBPG,0.013539910674508937,CEBPG
MS00700|Rarb,0.013592167262146928,Rarb
MC00511|Rxrg,0.01415242268240107,Rxrg
MC00461|Max,0.014159799797639105,Max
UP00213|HOXA9,0.014308569548886076,HOXA9
MS00057|HIC2,0.014544027998785274,HIC2
MS00218|T,0.015574329109304338,T
MS00526|IRX2,0.015670925530262274,IRX2
MS00710|THRB,0.01610261223708,THRB
MS00838|ELF5,0.01616525754368027,ELF5
MS00025|FEV,0.01618612122050282,FEV
M01728|NR2F6,0.016455594427485645,NR2F6
MS00291|Tcf21,0.017034109298940715,Tcf21
MS00692|RXRB,0.017224241444421095,RXRB
MS00367|FOXJ3,0.01761398727193872,FOXJ3
UP00401|SOX4,0.017714833247795974,SOX4
UP00184|Lhx8,0.018166205795189412,Lhx8
MS00085|MEIS3,0.018317929215609062,MEIS3
MA0051|IRF2,0.019006700784097826,IRF2
MS00739|E2F8,0.01910574199230991,E2F8
MS00503|HOXC12,0.019385665830134964,HOXC12
MC00273|CEBPA,0.019820402155133924,CEBPA
MS00224|TEAD4,0.020273024846203663,TEAD4
MC00388|Tal1,0.020301266970797052,Tal1
MS00177|RUNX3,0.020384478271872505,RUNX3
MC00370|Npas4,0.02041881389826773,Npas4
MC00524|Nr1d1,0.020724300869030755,Nr1d1
MS00160|PROX1,0.02115096266696023,PROX1
UP00177|Hoxd12,0.022002653318375448,Hoxd12
MS00585|OTX2,0.02353546249506863,OTX2
M00712|MYOG,0.023826035131469223,MYOG
MS00383|FOXO4,0.02382770234183118,FOXO4
UP00107|Nkx2-4,0.02435368963763431,Nkx2-4
MC00126|TCF12,0.025069984887526865,TCF12
MS00220|TEAD1,0.02661890780390941,TEAD1
MS00524|Hoxd9,0.026866692783987355,Hoxd9
MS00416|BARHL2,0.028954444162639238,BARHL2
MS00394|Foxj3,0.02963331231321871,Foxj3
UP00086|IRF3,0.030164041829221167,IRF3
MC00362|Arntl,0.03219506353300289,Arntl
M01480|Obox5,0.03243048690024691,Obox5
MS00515|Hoxa11,0.032483400061534794,Hoxa11
UP00413|Elf4,0.033011392644929465,Elf4
MS00296|BATF3,0.0332051310605977,BATF3
M01453|ALX1,0.033343772352414335,ALX1
UP00033|Zfp410,0.0337214314008854,Zfp410
UP00249|NKX2-5,0.03417856728769005,NKX2-5
MS00422|Barhl1,0.034589949441189934,Barhl1
M01010|HMGA1,0.03528777860761054,HMGA1
MS00580|Nkx3-1,0.035553186958877485,Nkx3-1
MC00295|Esr1,0.03570796107622737,Esr1
MC00505|POLR2B,0.036657700250250606,POLR2B
MS00270|Mlx,0.03687268431530266,Mlx
