,0,TF
MS00564|Msx3,0.29775136111521816,Msx3
MC00312|RUNX1,0.2991369092069148,RUNX1
MS00179|SCRT1,0.3003786108467735,SCRT1
M00133|POU3F1,0.30058972527350286,POU3F1
MS00740|SOX10,0.30326028341229805,SOX10
MS00140|POU3F2,0.30455918894604783,POU3F2
MS00757|SOX21,0.3050185433384492,SOX21
MS00356|FOXD2,0.30511316784635384,FOXD2
UP00091|SOX5,0.3054237392513161,SOX5
MS00202|TBX20,0.31137823180695473,TBX20
MS00294|ATF7,0.31170973833752463,ATF7
MC00402|Hoxc9,0.3134499781179383,Hoxc9
MS00337|NFIL3,0.31887043962647343,NFIL3
MC00276|EOMES,0.3233665824710168,EOMES
MC00368|Hsf1,0.3235190701602911,Hsf1
MS00455|EVX2,0.3265385884043316,EVX2
MS00463|GSC2,0.33160523606379777,GSC2
M00454|ARID5B,0.34527155928950354,ARID5B
M01146|DMRT1,0.3504847269274556,DMRT1
MS00604|Prrx2,0.3533264380598051,Prrx2
UP00014|Sox17,0.3559749280388675,Sox17
MS00315|DBP,0.3616495183706271,DBP
UP00080|Gata5,0.3638429439757794,Gata5
MS00518|Hoxc10,0.3670766539892344,Hoxc10
MS00626|VSX1,0.3754207881510412,VSX1
MS00774|SOX8,0.3766676303096094,SOX8
MS00408|Alx4,0.3786710711002965,Alx4
MS00811|RARB,0.383806245863083,RARB
MC00162|LMO2,0.3851630572961458,LMO2
UP00126|DLX2,0.38642560701328255,DLX2
MS00095|TGIF2LX,0.3865356859112577,TGIF2LX
MS00313|Creb5,0.388464773095242,Creb5
UP00207|HOXB9,0.3884716507320544,HOXB9
MS00130|POU1F1,0.392027515508565,POU1F1
MS00491|HOXB2,0.40751448849653293,HOXB2
MC00272|CEBPB,0.4093204845241071,CEBPB
MC00136|Hoxb4,0.40982725520406527,Hoxb4
M01195|TBX22,0.4152998153341425,TBX22
MS00144|POU3F3,0.4167877999450479,POU3F3
M01004|IKZF2,0.4215242576636554,IKZF2
MS00669|Nr2f6,0.42233196079051916,Nr2f6
M00999|AIRE,0.42339041548071743,AIRE
UP00248|Pax7,0.42627795519783884,Pax7
MS00531|ISX,0.4278999282496755,ISX
M00678|ETV7,0.428521925186366,ETV7
MS00336|NFE2,0.4307863497074278,NFE2
MS00498|HOXC11,0.43079381511748116,HOXC11
MS00402|ALX3,0.4366489403487708,ALX3
MS00316|Dbp,0.43679558479899916,Dbp
UP00195|SIX3,0.4426224612086155,SIX3
MC00514|Cbfa2t2,0.44270933485615716,Cbfa2t2
UP00096|SOX13,0.4457207976656029,SOX13
MS00450|EN2,0.44973187562388495,EN2
MS00083|MEIS2,0.45283442211645897,MEIS2
UP00075|Sox15,0.4535181229944246,Sox15
MS00537|LHX2,0.4554801897538514,LHX2
UP00147|Nkx2-6,0.45592617980111927,Nkx2-6
MS00053|TCF7L1,0.46061122104554897,TCF7L1
MS00214|TBX4,0.46318358977574625,TBX4
M01300|HMGA2,0.46394851227992073,HMGA2
MS00616|UNCX,0.4643648627262761,UNCX
M01734|NFATC4,0.47017691020217733,NFATC4
UP00120|Lbx2,0.47116138952006015,Lbx2
MS00272|NEUROG2,0.4722385154103951,NEUROG2
MS00730|ZNF435,0.47369392352795825,ZNF435
MS00441|EMX1,0.47889863229566376,EMX1
MS00665|NR4A2,0.48214957704149897,NR4A2
MS00059|HSF2,0.4843492299861766,HSF2
M00478|CDC5L,0.4872846899630502,CDC5L
MC00326|Gata3,0.4897825176319165,Gata3
M01230|ZNF333,0.4917416143687193,ZNF333
M01282|PPARA,0.49259334335731264,PPARA
MS00147|POU3F4,0.5004640566088431,POU3F4
M00526|NR6A1,0.5008716184651631,NR6A1
MS00563|Meox2,0.5013326411460767,Meox2
UP00215|Vax1,0.5018543102131101,Vax1
UP00125|PITX2,0.502322447120152,PITX2
UP00113|HOXC4,0.5071442267629505,HOXC4
MS00091|PKNOX1,0.5093879779596341,PKNOX1
MS00575|NKX6-1,0.5096292681401176,NKX6-1
MS00473|HMX1,0.512728644442553,HMX1
MS00510|HOXD13,0.5141074388555985,HOXD13
MS00571|NKX2-8,0.5169126176850649,NKX2-8
M01650|NR2E3,0.5178299440041384,NR2E3
UP00132|Evx2,0.5179553918112191,Evx2
MC00455|Cdx2,0.5206511857786303,Cdx2
MS00052|SOX9,0.5237281972162341,SOX9
MS00595|PITX1,0.5255012196276903,PITX1
M01450|Obox1,0.5309928694971243,Obox1
UP00155|Hmx2,0.5382312419432345,Hmx2
MS00539|LHX6,0.5429635360485312,LHX6
MS00553|MEOX2,0.5436109156505768,MEOX2
MC00141|Stat1,0.5456437481289531,Stat1
MC00416|Rbfox2,0.5490329858359867,Rbfox2
UP00139|Nkx1-2,0.5546441960151701,Nkx1-2
MC00389|CDX2,0.5577021058680702,CDX2
MC00358|Ebf1,0.5580545439478783,Ebf1
MS00197|TBX1,0.5581442849824293,TBX1
MA0084|SRY,0.5644762988289913,SRY
MC00165|Pdx1,0.5673569644321339,Pdx1
MS00606|RAX,0.5680285327837364,RAX
M01295|ATF5,0.570013541053417,ATF5
MS00769|SOX7,0.5718364254072129,SOX7
MS00418|BARX1,0.5723090620310406,BARX1
UP00175|Lhx9,0.5733739155890754,Lhx9
MS00615|Shox2,0.5845367413378992,Shox2
MS00438|DUXA,0.5845724630382623,DUXA
UP00044|Mafk,0.5847587243272827,Mafk
MS00349|FOXC1,0.5895813375182515,FOXC1
MC00456|JUND,0.5953821963059789,JUND
MS00437|DRGX,0.5955729683261687,DRGX
M01694|Yy2,0.5962739134044587,Yy2
MS00466|GSX2,0.5976794216035282,GSX2
MS00269|MYF6,0.5977422140996729,MYF6
MC00232|MEF2A,0.5993563738277297,MEF2A
MS00756|E2F7,0.5999085765863461,E2F7
MS00578|NOTO,0.6001162237040065,NOTO
UP00168|Hoxd8,0.6004004761542213,Hoxd8
UP00241|HOXD3,0.6026499465185131,HOXD3
MS00504|HOXC13,0.6026975077732124,HOXC13
MC00154|Jund,0.6027779484449185,Jund
M01151|Dmrtc2,0.6055444346016725,Dmrtc2
MS00137|POU2F3,0.6156118112649751,POU2F3
MS00555|MIXL1,0.6161625120806593,MIXL1
MS00254|FIGLA,0.6192045912175557,FIGLA
MC00104|Foxa1,0.6250748957084583,Foxa1
M00809|FOXH1,0.6260366491708216,FOXH1
MS00467|Gbx1,0.6277718574856881,Gbx1
M01483|Dbx1,0.6293582883026354,Dbx1
UP00051|Sox8,0.6367113780666873,Sox8
MC00157|Tead4,0.6367529229750419,Tead4
MS00613|SHOX2,0.637102235215264,SHOX2
MS00190|SCRT2,0.6374427580145037,SCRT2
MS00388|Foxc1,0.6374567033790242,Foxc1
MS00516|Hoxa2,0.6383285669705026,Hoxa2
UP00009|Nr2f2,0.6392084269916944,Nr2f2
M01075|ZBTB16,0.6398223034931853,ZBTB16
MS00558|MSX1,0.6399841829840273,MSX1
MS00354|FOXC2,0.6412964559606655,FOXC2
MS00051|LEF1,0.6511550031021125,LEF1
MC00117|GATA6,0.6527975692569885,GATA6
M00495|BACH1,0.6528946351832972,BACH1
MS00317|HLF,0.654082322595249,HLF
MS00561|MSX2,0.6658933968920207,MSX2
MS00476|HNF1A,0.6714041105083042,HNF1A
MS00295|Atf4,0.6751418827345508,Atf4
MS00589|PDX1,0.6755235841650005,PDX1
MS00470|HESX1,0.6756899945933539,HESX1
UP00391|HOXA3,0.6767890386854091,HOXA3
MS00732|CPEB1,0.6773129105161477,CPEB1
UP00231|NKX2-2,0.6773503198234151,NKX2-2
MC00327|Gata1,0.6788846904526145,Gata1
MS00541|LHX9,0.6798858189416548,LHX9
MC00507|Meis1,0.6800759110598471,Meis1
UP00166|BARHL1,0.6812139168331371,BARHL1
UP00212|LHX5,0.6828104955436622,LHX5
MS00803|Sox3,0.6847821246425507,Sox3
UP00262|Lhx1,0.6864422038635107,Lhx1
MS00033|SPDEF,0.6917946531098915,SPDEF
MS00075|MEF2B,0.6975162527563843,MEF2B
MC00354|Neurod1,0.6975938449228059,Neurod1
MS00557|MNX1,0.6986490420839748,MNX1
MS00762|SOX2,0.7020876828328786,SOX2
UP00196|HOXA4,0.7039724057879286,HOXA4
UP00221|PHOX2A,0.707161335151691,PHOX2A
MS00427|DLX1,0.7088947115171924,DLX1
MC00226|Nanog,0.7094457531253744,Nanog
MC00260|Pax3,0.7105361484255803,Pax3
UP00238|Nkx6-3,0.7124960366412636,Nkx6-3
MC00288|POU2F1,0.7137629786339869,POU2F1
MS00126|PAX7,0.7141248826838471,PAX7
UP00185|PBX1,0.7146468284553912,PBX1
MS00054|Tcf7,0.7172194575523421,Tcf7
MS00454|EVX1,0.7175561160229034,EVX1
MC00413|Runx1,0.717610140678608,Runx1
MS00820|NFIA,0.7189289854384482,NFIA
MS00464|GSC,0.723747057604882,GSC
M01148|DMRT3,0.7271343623857436,DMRT3
MS00513|HOXD8,0.7272419413059288,HOXD8
MS00468|ZNF75A,0.7281310218889299,ZNF75A
MS00614|SHOX,0.730604969538879,SHOX
MC00349|Jun,0.731384001082183,Jun
MS00627|VSX2,0.7342149019897592,VSX2
UP00170|Isl2,0.7346646684941601,Isl2
MC00217|FOXA2,0.7383610575848916,FOXA2
MC00105|Foxa2,0.7400748981902785,Foxa2
MS00191|TBR1,0.7412247749184456,TBR1
M01108|HOXA7,0.74787639844286,HOXA7
MS00060|HSF4,0.7486316286148419,HSF4
UP00237|Otp,0.7504123037943582,Otp
UP00138|Bsx,0.750875700643304,Bsx
MC00311|FOXA1,0.7510984368150581,FOXA1
MS00458|En2,0.7513524434180099,En2
MS00603|PRRX2,0.7665623559733135,PRRX2
MS00366|FOXJ2,0.7669520923380516,FOXJ2
MS00794|Sox10,0.7672076195751654,Sox10
MS00405|ARX,0.7678308431925168,ARX
MC00120|GATA1,0.7731872720457493,GATA1
MS00507|HOXD11,0.7733814205173032,HOXD11
MS00486|HOXA1,0.7767337408917195,HOXA1
UP00244|TLX2,0.788021164841171,TLX2
MS00153|POU5F1P1,0.7882463995972854,POU5F1P1
MS00106|NFAT5,0.7887290998557464,NFAT5
MS00641|Esrra,0.7888000956608856,Esrra
UP00012|Bbx,0.7920343878187749,Bbx
MS00521|Hoxd3,0.7958756198192201,Hoxd3
UP00252|HOXC5,0.8029485523579691,HOXC5
MS00728|ZNF232,0.8100291130395559,ZNF232
MS00489|HOXB13,0.8112607328521606,HOXB13
MC00329|Srf,0.8138994748017163,Srf
UP00004|Sox14,0.8153163503227785,Sox14
UP00130|LHX3,0.8170419063445555,LHX3
MS00753|SOX18,0.8182753137673473,SOX18
MS00802|Sox1,0.8213558538770169,Sox1
UP00189|HOXA5,0.8226330836968875,HOXA5
MS00412|ZNF410,0.8239280137247165,ZNF410
UP00161|Hmbox1,0.8297860069656952,Hmbox1
M01479|POU6F1,0.8349862098785533,POU6F1
MS00148|POU4F1,0.8371368510404475,POU4F1
MS00605|RAXL1,0.8461398946042801,RAXL1
UP00151|BARX2,0.8514076851263465,BARX2
MS00443|EMX2,0.8540877857399479,EMX2
MS00577|NKX6-2,0.8609034467317831,NKX6-2
MS00748|SOX14,0.8671191754816157,SOX14
M01149|Dmrta1,0.8684691801764527,Dmrta1
UP00260|Hoxc6,0.8761981068977933,Hoxc6
MS00690|ONECUT3,0.88521000972045,ONECUT3
MC00504|Scx,0.8852729701878804,Scx
MS00599|PRRX1,0.8921545268979323,PRRX1
UP00223|Irx3,0.8921702322174763,Irx3
MS00011|BCL6B,0.8948876230161279,BCL6B
MC00474|BCL11A,0.9012917106994902,BCL11A
MS00460|GBX2,0.9014441570055541,GBX2
UP00194|IRX4,0.9029640787739708,IRX4
UP00206|Hoxb7,0.9100263531544964,Hoxb7
MS00318|Hlf,0.9130525589654853,Hlf
MS00134|POU2F2,0.9130686772115311,POU2F2
UP00129|Pou3f1,0.9171144243736579,Pou3f1
MS00277|OLIG2,0.9171296343637899,OLIG2
MC00118|GATA2,0.9173601879337572,GATA2
MS00597|PROP1,0.923316088887971,PROP1
MS00459|GBX1,0.924791460731211,GBX1
MS00469|Gbx2,0.9316757950038269,Gbx2
UP00218|Dbx2,0.9320110827558878,Dbx2
MC00520|MEIS1,0.9323747550420904,MEIS1
UP00055|HBP1,0.936891646552894,HBP1
MS00151|POU4F3,0.9386234047623724,POU4F3
MS00440|Dlx2,0.9397136702657405,Dlx2
MS00628|Vsx1,0.9405258269206239,Vsx1
UP00119|Nkx2-9,0.9405861234911601,Nkx2-9
MC00411|BATF,0.9436122171992914,BATF
MS00581|Nkx6-1,0.9453055541246665,Nkx6-1
MS00424|CART1,0.9473264918256312,CART1
MS00593|PHOX2B,0.9480449762921872,PHOX2B
MS00149|POU4F2,0.9529605114264037,POU4F2
MC00309|TCF7L2,0.955083609256555,TCF7L2
UP00121|Hoxd10,0.9606423540107086,Hoxd10
MS00667|ONECUT1,0.961714815110514,ONECUT1
UP00137|Hoxb3,0.9640408521661442,Hoxb3
MS00155|POU6F2,0.9653380238929802,POU6F2
MS00551|MEOX1,0.9661534760418806,MEOX1
M01147|DMRT2,0.9691047224269529,DMRT2
MS00679|ONECUT2,0.9693043342271589,ONECUT2
M01399|Hlx,0.9727557515788704,Hlx
UP00259|HOXB6,0.9766125132743366,HOXB6
MS00431|DLX5,0.9767331789085042,DLX5
UP00211|Pou3f3,0.9770009697802255,Pou3f3
MA0125|Nobox,0.9781675774413439,Nobox
MS00750|SOX15,0.9810069756238486,SOX15
MC00122|Cebpa,0.9817599552564807,Cebpa
UP00242|HOXC8,0.9846111044656801,HOXC8
UP00071|Sox21,0.9891299480298739,Sox21
MS00430|DLX4,0.9894860659619472,DLX4
UP00182|HOXA6,0.9898554195557343,HOXA6
UP00150|IRX6,0.9914595842975463,IRX6
UP00263|Hoxb8,0.99236883355326,Hoxb8
MC00233|Pou5f1,0.9937038285361854,Pou5f1
UP00082|Zfp187,0.9946356899823258,Zfp187
MS00439|Dlx1,0.9947796104066937,Dlx1
UP00388|SIX6,0.995046608426703,SIX6
MC00146|Smad2/3,0.9969029585587206,Smad2/3
MS00429|DLX3,0.9976546698380354,DLX3
MC00178|Nkx2-5,0.9988520559484791,Nkx2-5
M01723|SATB1,0.9990328992760442,SATB1
M00420|MEIS1::HOXA9,0.9992378006941673,MEIS1::HOXA9
MS00432|DLX6,0.9998478224283079,DLX6
