,coefficients,cell_line,cell_type,tissue
44939,-1.6601662518517553,HA-sp,Astrocyte,Spinal Cord
44999,1.1605760539987413,,Fibroblast,Periodontal Ligament
40598,0.8758436274869982,,Epithelium,
44612,0.659332789681172,,Fibroblast,
50401,0.45162299037166914,hMADS-3,Adipocyte,Adipose
63925,0.34620605344233885,A549,Epithelium,
41104,-0.22734096961100017,,Fibroblast,Periodontal Ligament
45017,0.19408743461512384,,Fibroblast,Connective Tissue
45046,-0.1865717885068681,NHDF-neo,Fibroblast,Skin
63927,0.09714633345488413,A549,Epithelium,
