,0,TF
M00294|Foxf1a,0.670902252672468,Foxf1a
MS00520|Hoxd13,0.6709252948445092,Hoxd13
MS00390|ZNF238,0.6808839846835615,ZNF238
M01112|RBPJ,0.6816283704146566,RBPJ
M01435|Rhox6,0.6832739949355158,Rhox6
MC00341|Olig2,0.6850332167501818,Olig2
MC00311|FOXA1,0.6855961911594926,FOXA1
MA0152|NFATC2,0.6881427857959184,NFATC2
M00678|ETV7,0.6901981589663317,ETV7
UP00071|Sox21,0.693607281391168,Sox21
MS00360|FOXG1,0.700083191623914,FOXG1
MS00261|ID4,0.7054712180939502,ID4
MS00350|FOXC1,0.706030185824468,FOXC1
MS00441|EMX1,0.7132075554222321,EMX1
MC00260|Pax3,0.7132916066158348,Pax3
MC00330|FOS,0.7138891050484323,FOS
MC00226|Nanog,0.7155678047952214,Nanog
MC00507|Meis1,0.7199276580419169,Meis1
MC00524|Nr1d1,0.7228789072277682,Nr1d1
MS00137|POU2F3,0.7244863371780186,POU2F3
UP00187|ALX4,0.7313034136662054,ALX4
UP00185|PBX1,0.735434652932216,PBX1
MS00149|POU4F2,0.7363584681382598,POU4F2
MS00129|POU1F1,0.737153319102172,POU1F1
MS00795|Sox11,0.7384247108160931,Sox11
UP00064|Sox18,0.7398175163448071,Sox18
MC00305|Sox6,0.7418064770106212,Sox6
MS00753|SOX18,0.7443870734273812,SOX18
MC00288|POU2F1,0.7474532011735863,POU2F1
MS00580|Nkx3-1,0.7477996392018609,Nkx3-1
MC00121|Cebpb,0.7530854169854344,Cebpb
UP00263|Hoxb8,0.7564079593641359,Hoxb8
MS00443|EMX2,0.7570926425534694,EMX2
MS00463|GSC2,0.759819119703674,GSC2
UP00252|HOXC5,0.761347345314806,HOXC5
UP00212|LHX5,0.7617021686777018,LHX5
M01306|ZNF217,0.7620144829324427,ZNF217
MS00458|En2,0.7626772940963166,En2
UP00166|BARHL1,0.7648339350967995,BARHL1
MS00554|MEOX2,0.7660299667085068,MEOX2
MS00479|ZNF784,0.7730764081021027,ZNF784
MS00362|FOXI1,0.773885902314613,FOXI1
MC00514|Cbfa2t2,0.7752609267089667,Cbfa2t2
MC00162|LMO2,0.7790036466376375,LMO2
UP00138|Bsx,0.7817920029611911,Bsx
MS00402|ALX3,0.782526255214139,ALX3
UP00117|Hoxd11,0.7853326796851555,Hoxd11
UP00215|Vax1,0.7863535764561406,Vax1
MS00192|TBX15,0.7879983403306822,TBX15
MS00501|Zfp652,0.7881046989769745,Zfp652
UP00145|BARHL2,0.7894442838856321,BARHL2
M00420|MEIS1::HOXA9,0.7954587860197038,MEIS1::HOXA9
MS00302|CEBPG,0.797871305693884,CEBPG
UP00177|Hoxd12,0.8015171280751948,Hoxd12
UP00078|ARID3A,0.8046517847590102,ARID3A
MC00120|GATA1,0.8052556688403593,GATA1
MC00118|GATA2,0.8074311499114148,GATA2
UP00004|Sox14,0.8079942862768935,Sox14
MS00750|SOX15,0.8081729746517248,SOX15
MC00165|Pdx1,0.8103694416949911,Pdx1
MS00317|HLF,0.8113263050446355,HLF
MC00327|Gata1,0.81317167704829,Gata1
MS00732|CPEB1,0.817888930008222,CPEB1
UP00128|POU3F2,0.821206116426196,POU3F2
MS00096|TGIF2,0.8223711231429381,TGIF2
MC00388|Tal1,0.8226846321500341,Tal1
MS00837|HOXD12,0.8239339703242046,HOXD12
M01151|Dmrtc2,0.8243862713857647,Dmrtc2
MS00502|HOXC12,0.8294048103977321,HOXC12
UP00045|MAFB,0.8311130447028015,MAFB
MS00692|RXRB,0.8344374120720263,RXRB
MS00369|FOXJ3,0.8352386709640487,FOXJ3
MS00398|Foxk1,0.8363889006521479,Foxk1
MS00581|Nkx6-1,0.8375199672036082,Nkx6-1
MS00476|HNF1A,0.8383268704847551,HNF1A
MA0031|FOXD1,0.8384410779821317,FOXD1
UP00211|Pou3f3,0.838751681788743,Pou3f3
MS00679|ONECUT2,0.8403803952776311,ONECUT2
MA0017|NR2F1,0.841296668485982,NR2F1
MS00450|EN2,0.8413349939208229,EN2
UP00262|Lhx1,0.842439642658001,Lhx1
MS00145|POU3F4,0.8443618433283242,POU3F4
M01326|GSX2,0.8444864454539762,GSX2
M01480|Obox5,0.8465854845967147,Obox5
M00712|MYOG,0.8466099328212376,MYOG
MC00370|Npas4,0.8488084284944135,Npas4
MS00667|ONECUT1,0.8493249828064624,ONECUT1
MS00521|Hoxd3,0.8493366163363127,Hoxd3
UP00237|Otp,0.8502510053104082,Otp
M01075|ZBTB16,0.8503502286607443,ZBTB16
MS00762|SOX2,0.8531032432114367,SOX2
MS00740|SOX10,0.8564495412881136,SOX10
MS00076|MEF2D,0.8589400322431405,MEF2D
MC00324|Gata4,0.8594865657085551,Gata4
MS00485|HOXA13,0.8596133586678388,HOXA13
MS00336|NFE2,0.8651627653036535,NFE2
MS00495|HOXC10,0.8676081103327792,HOXC10
UP00041|Foxj1,0.8722632207596119,Foxj1
UP00401|SOX4,0.8762959907726601,SOX4
MS00577|NKX6-2,0.880552199767393,NKX6-2
M01450|Obox1,0.8823683863268944,Obox1
MS00469|Gbx2,0.8829715190825698,Gbx2
MS00197|TBX1,0.8847502149518919,TBX1
MC00505|POLR2B,0.8861924796766737,POLR2B
UP00037|Zfp105,0.8883437209457459,Zfp105
UP00107|Nkx2-4,0.888577279944387,Nkx2-4
MC00504|Scx,0.888965205474344,Scx
MC00265|Tcf3,0.8894600035601167,Tcf3
MS00515|Hoxa11,0.8900829410487446,Hoxa11
MC00378|POU5F1,0.8903012017355308,POU5F1
MS00093|Pknox2,0.8904814614679548,Pknox2
UP00259|HOXB6,0.8920319172225714,HOXB6
MS00291|Tcf21,0.8937469891987929,Tcf21
MS00271|NEUROD2,0.896912125772668,NEUROD2
MC00508|Batf,0.8981058010378281,Batf
MS00465|GSX1,0.8990693937113127,GSX1
MS00106|NFAT5,0.8997139655472239,NFAT5
MC00309|TCF7L2,0.9012117820635583,TCF7L2
MS00092|PKNOX2,0.9012614279246348,PKNOX2
MS00397|Foxj3,0.9013924612486585,Foxj3
UP00241|HOXD3,0.9021045789543131,HOXD3
MC00272|CEBPB,0.90226243216224,CEBPB
MS00460|GBX2,0.9029490548623157,GBX2
M00478|CDC5L,0.9029513312638054,CDC5L
MS00153|POU5F1P1,0.905528430356237,POU5F1P1
M00454|ARID5B,0.9070916112422934,ARID5B
MS00287|TFAP4,0.9101772278440358,TFAP4
MC00411|BATF,0.9115478768576298,BATF
MS00151|POU4F3,0.9116350151466647,POU4F3
MS00467|Gbx1,0.9117386796452557,Gbx1
MC00141|Stat1,0.9129634098535373,Stat1
M01282|PPARA,0.9143707322576696,PPARA
UP00091|SOX5,0.915292919091192,SOX5
UP00391|HOXA3,0.9157614610518776,HOXA3
MC00351|FOSL1,0.9165527071846518,FOSL1
MS00518|Hoxc10,0.9166416164081612,Hoxc10
UP00150|IRX6,0.9182104028483761,IRX6
MS00148|POU4F1,0.9197520766073155,POU4F1
MS00528|ISL2,0.9202949257435141,ISL2
M01149|Dmrta1,0.9205588053873808,Dmrta1
MS00371|FOXK1,0.9216805496035437,FOXK1
MC00474|BCL11A,0.9225985902169656,BCL11A
MS00624|VENTX,0.922967237163471,VENTX
M01147|DMRT2,0.9229914335705769,DMRT2
UP00096|SOX13,0.9237011785319555,SOX13
UP00137|Hoxb3,0.925348415091056,Hoxb3
MA0040|Foxq1,0.9266801773383376,Foxq1
UP00170|Isl2,0.931486450273181,Isl2
UP00129|Pou3f1,0.9319513756510497,Pou3f1
MS00464|GSC,0.9360694253255453,GSC
MS00134|POU2F2,0.9361795207662086,POU2F2
MS00300|CEBPE,0.9366318532190668,CEBPE
M01483|Dbx1,0.936743737710688,Dbx1
MS00269|MYF6,0.937450820451308,MYF6
MS00555|MIXL1,0.9376053647842928,MIXL1
MS00596|PITX3,0.9390123184160741,PITX3
MS00473|HMX1,0.9416433443037963,HMX1
MS00559|MSX1,0.9423234480183014,MSX1
MS00748|SOX14,0.9427349980550181,SOX14
MC00416|Rbfox2,0.9432708074208559,Rbfox2
MC00105|Foxa2,0.9437124336652638,Foxa2
MC00195|Myf5,0.9466458331334165,Myf5
MS00052|SOX9,0.9469100917162288,SOX9
MS00387|FOXP3,0.9471532909946776,FOXP3
UP00175|Lhx9,0.9474149647453115,Lhx9
MS00543|LMX1A,0.9479324182000397,LMX1A
MS00551|MEOX1,0.9480409569165177,MEOX1
MS00412|ZNF410,0.9482315926847616,ZNF410
MS00366|FOXJ2,0.9484242741275155,FOXJ2
MS00459|GBX1,0.94895811475184,GBX1
MS00557|MNX1,0.9501006838332022,MNX1
MS00277|OLIG2,0.9504096135608567,OLIG2
MC00325|Gata2,0.951594720254263,Gata2
MS00452|ESX1,0.9533820232877872,ESX1
MS00757|SOX21,0.9550942871223473,SOX21
UP00051|Sox8,0.9557640612355236,Sox8
MC00146|Smad2/3,0.9563160862881053,Smad2/3
MS00280|OLIG3,0.9564688641537009,OLIG3
MC00501|FOXP1,0.9577830589098237,FOXP1
MS00095|TGIF2LX,0.9580944654343336,TGIF2LX
UP00119|Nkx2-9,0.9581432785074051,Nkx2-9
UP00080|Gata5,0.9584129025923991,Gata5
UP00151|BARX2,0.9597965075158758,BARX2
MS00708|Rxrb,0.9602446400835393,Rxrb
UP00244|TLX2,0.9603055224362785,TLX2
UP00014|Sox17,0.9604228928088963,Sox17
MS00561|MSX2,0.9625956134245052,MSX2
MC00178|Nkx2-5,0.9626657602771097,Nkx2-5
MS00472|HMBOX1,0.9667284792020692,HMBOX1
MC00117|GATA6,0.9671260169610647,GATA6
UP00194|IRX4,0.9686694022699953,IRX4
MS00571|NKX2-8,0.9693559920862397,NKX2-8
MS00769|SOX7,0.9712739081280247,SOX7
UP00182|HOXA6,0.9713920523975872,HOXA6
MC00369|Myod1,0.9716136289892611,Myod1
MS00201|SNAI2,0.9719271760016971,SNAI2
MC00154|Jund,0.9723456210071365,Jund
MS00439|Dlx1,0.972377918769406,Dlx1
MC00233|Pou5f1,0.9726121580491618,Pou5f1
UP00101|Sox12,0.9751001013247023,Sox12
M01195|TBX22,0.9753352085092263,TBX22
MS00506|HOXD11,0.9761591429288907,HOXD11
MA0164|NR2E3,0.9763034931756138,NR2E3
UP00147|Nkx2-6,0.9768258066858468,Nkx2-6
MS00440|Dlx2,0.977236619721668,Dlx2
MS00075|MEF2B,0.9783604931053742,MEF2B
M01399|Hlx,0.9783682926166655,Hlx
MS00033|SPDEF,0.978861320024069,SPDEF
MS00040|SPIC,0.9804067602183452,SPIC
MS00811|RARB,0.9805002770137153,RARB
MS00094|TGIF1,0.9811709566135793,TGIF1
MS00774|SOX8,0.9814477256211609,SOX8
MS00276|OLIG1,0.9834856308575652,OLIG1
MS00541|LHX9,0.9843263994641214,LHX9
MS00429|DLX3,0.9845890640981807,DLX3
MS00669|Nr2f6,0.98461522230483,Nr2f6
MC00456|JUND,0.9853093185545287,JUND
MC00402|Hoxc9,0.9869073256677419,Hoxc9
MS00430|DLX4,0.9870773805042935,DLX4
MS00470|HESX1,0.9871622900417155,HESX1
UP00206|Hoxb7,0.9876250600578641,Hoxb7
UP00189|HOXA5,0.988912876642305,HOXA5
MS00564|Msx3,0.9896776348082401,Msx3
MS00498|HOXC11,0.9900128354986266,HOXC11
MS00249|BHLHE22,0.990178624317964,BHLHE22
MS00547|Lhx4,0.9905056648221288,Lhx4
M01694|Yy2,0.9909371174310058,Yy2
M01268|NR1H4,0.9909888313656526,NR1H4
UP00140|Hoxd1,0.9910430097901615,Hoxd1
MC00371|JUNB,0.9911129542245675,JUNB
MC00231|MEF2C,0.9914070152592555,MEF2C
MS00318|Hlf,0.9924890753787937,Hlf
MS00575|NKX6-1,0.9924894007427313,NKX6-1
MS00728|ZNF232,0.9925009838310203,ZNF232
MS00536|LHX2,0.9926857461476059,LHX2
UP00231|NKX2-2,0.992829987318581,NKX2-2
MS00272|NEUROG2,0.9928872284416157,NEUROG2
MS00425|CDX1,0.9929731691547796,CDX1
MS00585|OTX2,0.9930470645028141,OTX2
MS00805|Sox3,0.9942255480165475,Sox3
MS00091|PKNOX1,0.9948450327212904,PKNOX1
UP00168|Hoxd8,0.9950847290648555,Hoxd8
MS00621|VAX2,0.9953939242184334,VAX2
MS00432|DLX6,0.9956006924112869,DLX6
MS00619|Uncx,0.9959502179844868,Uncx
UP00213|HOXA9,0.9960200892491367,HOXA9
MS00424|CART1,0.9960348672816057,CART1
MS00807|MSC,0.9962752201640711,MSC
MS00480|HOXA10,0.997102583250917,HOXA10
MC00389|CDX2,0.9972456677355042,CDX2
MS00593|PHOX2B,0.9974020656250855,PHOX2B
UP00207|HOXB9,0.99757620966518,HOXB9
MS00254|FIGLA,0.9975860431283432,FIGLA
M01722|RORB,0.9978757642107368,RORB
MS00604|Prrx2,0.9979819541460837,Prrx2
M01127|ISL1,0.9980413387203348,ISL1
MS00155|POU6F2,0.9983132669862232,POU6F2
MS00700|Rarb,0.9983719064296886,Rarb
MS00437|DRGX,0.9984153403907072,DRGX
MS00616|UNCX,0.9984837750096058,UNCX
MS00245|BHLHA15,0.9987498786015093,BHLHA15
MS00316|Dbp,0.9987549217727528,Dbp
MS00405|ARX,0.9990070724066035,ARX
MS00599|PRRX1,0.9990418543153625,PRRX1
MS00578|NOTO,0.9992868928288103,NOTO
MS00620|VAX1,0.9993062379438725,VAX1
MS00627|VSX2,0.9993336785832162,VSX2
MS00431|DLX5,0.9993536036762153,DLX5
MA0125|Nobox,0.9993880866675434,Nobox
MS00597|PROP1,0.9994461125006154,PROP1
MS00603|PRRX2,0.9994699579044768,PRRX2
M01148|DMRT3,0.9994916072764636,DMRT3
MS00606|RAX,0.9995595690596554,RAX
MS00408|Alx4,0.9995607330583691,Alx4
MS00605|RAXL1,0.9995687097588803,RAXL1
MS00011|BCL6B,0.9995717565291526,BCL6B
MS00407|Alx1,0.9996523839517396,Alx1
MS00126|PAX7,0.9996931220316895,PAX7
MC00455|Cdx2,0.9996963834325451,Cdx2
MS00595|PITX1,0.9997416827942753,PITX1
UP00082|Zfp187,0.9998318908557823,Zfp187
MS00250|BHLHE23,0.9998545103842924,BHLHE23
MS00613|SHOX2,0.9998828407113811,SHOX2
MS00615|Shox2,0.9999091043842979,Shox2
MS00531|ISX,0.9999457794554155,ISX
MS00628|Vsx1,0.9999542012353289,Vsx1
MS00614|SHOX,0.9999661962335301,SHOX
MC00349|Jun,0.9999834747187787,Jun
MS00794|Sox10,0.9999999812133689,Sox10
