Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
RFX3,MC00203;3.91E-11,,,,
RUNX2,MS00173;5.35E-11,MS00174;1.48E-10,MC00215;3.36E-01,,
ZBTB7C,MS00323;6.36E-11,,,,
Rfx1,MC00144;1.62E-10,,,,
KLF14,MS00135;2.90E-10,,,,
TBX21,MS00207;3.66E-10,MS00208;2.82E-02,,,
NR0B1,M01248;3.97E-10,,,,
EGR2,MC00319;5.16E-10,,,,
E2F2,UP00001;6.98E-10,MS00712;1.86E-02,,,
E2F1::TFDP1,M00736;8.08E-10,,,,
ZBTB7A,MC00376;1.04E-09,MS00301;3.33E-08,M01100;7.02E-06,,
E2F4,MC00523;1.06E-09,,,,
E2F3,UP00003;1.29E-09,MS00734;1.70E-02,,,
E2f3,MC00510;1.74E-09,,,,
ETV1,MC00427;2.48E-09,,,,
SP3,MS00223;3.32E-09,M00665;1.71E-07,,,
PAX4,M00373;3.47E-09,M00378;3.06E-07,MS00121;9.50E-01,,
XBP1,UP00330;3.83E-09,MS00342;1.17E-03,,,
E2F1::TFDP2,M00737;4.11E-09,,,,
SP4,MS00235;4.71E-09,,,,
E2f4,MC00158;6.00E-09,,,,
ZBTB7B,MS00312;6.01E-09,M01175;3.32E-07,,,
Zic3,UP00006;6.02E-09,MS00523;3.90E-08,,,
PLAG1,MA0163;6.16E-09,,,,
HMGN1,MC00502;7.17E-09,,,,
Klf7,UP00093;7.99E-09,,,,
EGR4,MS00678;8.24E-09,,,,
Gmeb1,UP00084;8.30E-09,,,,
PLAGL1,UP00088;9.25E-09,,,,
EGR1,MC00320;9.47E-09,,,,
ZIC1,M00448;1.16E-08,MS00334;1.68E-08,UP00102;3.01E-08,,
MTF1,M01243;1.29E-08,MS00725;2.78E-04,,,
NR2C2,MC00509;1.30E-08,MS00651;5.72E-01,,,
ZIC3,MS00346;1.36E-08,,,,
DEAF1,M01002;1.41E-08,,,,
Snai1,MC00183;1.43E-08,,,,
ZBTB33,MC00418;1.45E-08,M01119;1.28E-01,,,
HES1,M01009;1.46E-08,,,,
Zfp281,UP00021;1.49E-08,,,,
ZIC4,MS00357;1.85E-08,,,,
GLIS2,MS00035;1.91E-08,,,,
EGR3,MS00567;2.07E-08,,,,
SP1,MS00212;2.18E-08,MC00113;6.44E-04,,,
KLF16,MS00146;2.59E-08,,,,
HIC1,UP00035;2.98E-08,,,,
GCM1,MS00048;2.99E-08,MS00047;1.31E-03,,,
HES7,MS00256;3.12E-08,,,,
PAX5,MA0014;3.13E-08,M00143;3.34E-08,MC00332;9.18E-08,,
ZIC2,UP00057;3.48E-08,M00449;9.97E-07,,,
FOXN1,M00332;3.52E-08,,,,
SP8,MS00246;3.64E-08,,,,
Zbtb3,UP00031;3.95E-08,,,,
Zfp161,UP00065;3.98E-08,,,,
PAX8,M00717;4.32E-08,,,,
SMAD1,M00792;4.73E-08,M01590;1.78E-01,,,
Glis2,UP00024;4.76E-08,,,,
Ovol2,M01104;4.91E-08,,,,
