,coefficients,cell_line,cell_type,tissue
61915,0.39008139736066827,MDA-MB-231,Epithelium,Mammary Gland
42356,0.3866934226995673,GM18486,Lymphoblastoid,Blood
44081,-0.37365696763856726,,T Lymphocyte,Blood
50887,-0.35582762513020894,,,
43106,0.3467637223115992,CUTLL1,T Lymphocyte,Blood
53033,0.29082733216592205,FT246,Epithelium,Fallopian tube secretory
42357,-0.27524798079851165,GM18486,Lymphoblastoid,Blood
50458,0.23611679591779827,293T-Rex,,
56367,0.21583912655115217,MOLM-14,Myeloid Cell,
33170,0.1891493580273439,H128,Epithelium,Lung
61916,0.04253299223100458,MDA-MB-231,Epithelium,Mammary Gland
