,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
44325|E2F1,3.6663352543848885e-10,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,1,E2F1
3225|E2F4,8.25239436238719e-10,Homo sapiens,E2F4,tf,None,Adipocyte,Adipose,1,E2F4
58936|NRF1,3.3277699154855886e-09,Homo sapiens,NRF1,tf,None,Epithelium,None,1,NRF1
33459|ERG,4.936213404787667e-09,Homo sapiens,ERG,other,None,Hematopoietic Cell,None,1,ERG
65186|EGR3,1.3461169170811349e-08,Homo sapiens,EGR3,,HEK293,Epithelium,Embryonic Kidney,1,EGR3
57090|TRIM28,1.6723384504170048e-08,Homo sapiens,TRIM28,cr,HCT-116,None,Colon,1,TRIM28
37608|MYH11,1.0166757603392301e-07,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
76964|CNOT3,1.1258041866084282e-07,Homo sapiens,CNOT3,tf,HCT-116,Colorectal cancer cell line,None,1,CNOT3
76682|ASXL1,1.1646333875480039e-07,Homo sapiens,ASXL1,tf,HEK293,None,None,1,ASXL1
65084|SP2,1.5254320015663892e-07,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
65146|ZBTB14,1.927793637141971e-07,Homo sapiens,ZBTB14,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB14
43684|KDM4C,1.960157222763096e-07,Homo sapiens,KDM4C,cr,KYSE-150,Epitheloid Cell,Esophagus,1,KDM4C
55465|NELFA,2.7290619041847967e-07,Homo sapiens,NELFA,not sure,HeLa,Epithelium,Cervix,1,NELFA
37604|CBFB,3.036410116721439e-07,Homo sapiens,CBFB,predicted transcription factor,ME-1,Leukemia Cell,None,1,CBFB
65197|KLF15,3.4046595293770434e-07,Homo sapiens,KLF15,tf,HEK293,Epithelium,Embryonic Kidney,1,KLF15
