,coefficients,cell_line,cell_type,tissue
40732,-0.9126716316960324,,,Fetal Skin Quadriceps Left
45000,-0.87634386667035,,Fibroblast,Lung
45044,0.7309174400270922,NHDF-Ad,Fibroblast,Skin
44953,0.6739633667971471,,Epithelium,
41048,-0.6115335697927338,,Fibroblast,Foreskin
44999,0.544736958705048,,Fibroblast,Periodontal Ligament
41106,0.493683976729347,,Fibroblast,Umbilical Vein
45017,0.3067948833978007,,Fibroblast,Connective Tissue
40870,0.24337182613466105,,Epithelium,Fetal Lung Right
64337,0.23036871198206257,K562,Erythroblast,
