,0,TF
MS00218|T,0.3947324505334423,T
UP00213|HOXA9,0.3951433915371071,HOXA9
UP00214|HOXB5,0.39705394636361907,HOXB5
MS00054|Tcf7,0.39786011561119194,Tcf7
M01151|Dmrtc2,0.39822340508898363,Dmrtc2
UP00161|Hmbox1,0.40006211213058596,Hmbox1
MC00452|STAT5B,0.4018371114435518,STAT5B
MS00406|Alx1,0.4047183728082878,Alx1
MC00119|GATA3,0.41089840159668223,GATA3
M00467|ZNF423,0.4134387113156651,ZNF423
UP00137|Hoxb3,0.4141201266945692,Hoxb3
UP00215|Vax1,0.4236441771247953,Vax1
MS00202|TBX20,0.42367222823555284,TBX20
M01399|Hlx,0.42389406302668997,Hlx
MS00527|IRX5,0.43568315838784444,IRX5
M00294|Foxf1a,0.43721763830192284,Foxf1a
MS00419|BSX,0.4408371960489925,BSX
MS00494|HOXC10,0.4416417327176275,HOXC10
UP00212|LHX5,0.44500535075892256,LHX5
UP00181|BARX1,0.4484135707930146,BARX1
M00420|MEIS1::HOXA9,0.448860556954194,MEIS1::HOXA9
MS00467|Gbx1,0.45155891278238536,Gbx1
UP00014|Sox17,0.45314882265936085,Sox17
MS00465|GSX1,0.4551168533418013,GSX1
MC00293|Gfi1b,0.45858503907208614,Gfi1b
MS00443|EMX2,0.4629980135335262,EMX2
MS00486|HOXA1,0.4651284852947163,HOXA1
MS00221|TEAD3,0.4658160470043846,TEAD3
MS00153|POU5F1P1,0.46930784386473634,POU5F1P1
MS00143|POU3F3,0.46989507941093656,POU3F3
MS00585|OTX2,0.4717871170783067,OTX2
MS00299|CEBPD,0.4724941760522259,CEBPD
UP00206|Hoxb7,0.47340607908807353,Hoxb7
MS00628|Vsx1,0.4759291635608446,Vsx1
MS00148|POU4F1,0.4795177079691578,POU4F1
MS00129|POU1F1,0.48699688732341506,POU1F1
MS00470|HESX1,0.4909604075426406,HESX1
MS00539|LHX6,0.4935697457130267,LHX6
MS00432|DLX6,0.49413165582428975,DLX6
MC00311|FOXA1,0.494582038100293,FOXA1
MS00053|TCF7L1,0.4981287467419062,TCF7L1
UP00082|Zfp187,0.4983344991584132,Zfp187
UP00207|HOXB9,0.5020030076559692,HOXB9
MS00459|GBX1,0.503363103903745,GBX1
UP00114|Homez,0.5058786833729352,Homez
MS00771|SOX8,0.5091867827254236,SOX8
MS00561|MSX2,0.5096785224692776,MSX2
UP00164|HOXA7,0.5100409243118842,HOXA7
MS00829|ESRRA,0.5111197694915892,ESRRA
MS00717|Tp53,0.5119782597881777,Tp53
MS00351|FOXC1,0.5130150173278634,FOXC1
MS00040|SPIC,0.5135979311120149,SPIC
MC00508|Batf,0.5150838140696906,Batf
M00712|MYOG,0.5160669947930525,MYOG
MS00220|TEAD1,0.5245943108337803,TEAD1
MS00820|NFIA,0.5282924647480225,NFIA
MS00250|BHLHE23,0.532850338060866,BHLHE23
M01150|Dmrta2,0.5344922956992899,Dmrta2
MC00104|Foxa1,0.5372740234904152,Foxa1
MS00606|RAX,0.5402024631639846,RAX
UP00117|Hoxd11,0.5438366677813182,Hoxd11
MC00506|Spi1,0.5454948814329291,Spi1
MS00551|MEOX1,0.5487869483908543,MEOX1
MC00135|Rela,0.5554553924608049,Rela
UP00192|SIX1,0.5561228904825382,SIX1
MS00430|DLX4,0.5589920715880106,DLX4
MC00165|Pdx1,0.5600772562594488,Pdx1
MS00190|SCRT2,0.5632975133152796,SCRT2
M01479|POU6F1,0.565690995357516,POU6F1
MS00149|POU4F2,0.5663085339391104,POU4F2
MS00315|DBP,0.5725047545849591,DBP
MS00441|EMX1,0.5747868582864055,EMX1
MS00155|POU6F2,0.5755809967884282,POU6F2
UP00119|Nkx2-9,0.5761871181998213,Nkx2-9
MC00341|Olig2,0.5779091505548524,Olig2
MC00260|Pax3,0.5798778551285084,Pax3
MA0103|ZEB1,0.5801548453820826,ZEB1
MS00458|En2,0.5811176744001971,En2
UP00182|HOXA6,0.5811315216116725,HOXA6
MS00603|PRRX2,0.5852342891302875,PRRX2
MC00157|Tead4,0.5918135602204564,Tead4
UP00401|SOX4,0.5955446176197793,SOX4
UP00197|HOXC9,0.5962281499897819,HOXC9
MS00596|PITX3,0.5969511213084742,PITX3
M00478|CDC5L,0.6013622209094658,CDC5L
UP00004|Sox14,0.6066042988837661,Sox14
MS00280|OLIG3,0.6074135432269476,OLIG3
MS00277|OLIG2,0.6106157842072049,OLIG2
UP00237|Otp,0.6142494502020317,Otp
M00792|SMAD1,0.6181836284026045,SMAD1
MS00578|NOTO,0.6183927413781936,NOTO
MS00588|PDX1,0.6266735700769259,PDX1
UP00080|Gata5,0.6292528564902088,Gata5
MS00750|SOX15,0.6297080235642687,SOX15
M01069|GZF1,0.6298038462432294,GZF1
MS00439|Dlx1,0.6328766856395365,Dlx1
MS00604|Prrx2,0.6361671615655584,Prrx2
MS00476|HNF1A,0.6376819490575932,HNF1A
MS00802|Sox1,0.6378831278220175,Sox1
MA0084|SRY,0.639585072865282,SRY
MS00354|FOXC2,0.6404044765028445,FOXC2
MS00224|TEAD4,0.6410289017255241,TEAD4
MS00469|Gbx2,0.6410870051674081,Gbx2
MS00454|EVX1,0.6432350144017219,EVX1
MC00111|Bcl6,0.6460613739784948,Bcl6
UP00071|Sox21,0.6469942021749209,Sox21
UP00120|Lbx2,0.6477693024948965,Lbx2
MC00250|Nkx3-1,0.6539325693012616,Nkx3-1
M00062|IRF1,0.6585700278352798,IRF1
MS00536|LHX2,0.6614086697907696,LHX2
MS00276|OLIG1,0.6650378208816241,OLIG1
UP00175|Lhx9,0.6661700954837702,Lhx9
M01300|HMGA2,0.6662243030200794,HMGA2
UP00147|Nkx2-6,0.6682796447239386,Nkx2-6
MC00122|Cebpa,0.6699383794543362,Cebpa
MS00455|EVX2,0.6722838978183553,EVX2
MS00249|BHLHE22,0.6747516959127169,BHLHE22
MA0040|Foxq1,0.6749713708552796,Foxq1
UP00034|Sox7,0.6814112851574778,Sox7
M01445|Obox6,0.684348364576005,Obox6
MS00339|TEF,0.6843794689284446,TEF
MS00586|Otx1,0.6859142552653417,Otx1
MS00337|NFIL3,0.6866183838506335,NFIL3
M00405|MEF2A,0.688248403819504,MEF2A
M01067|GFI1,0.6919987196816996,GFI1
MS00510|HOXD13,0.6922633000749041,HOXD13
MS00502|HOXC12,0.6961418770671619,HOXC12
MS00179|SCRT1,0.696507287729506,SCRT1
MS00795|Sox11,0.6965158255041417,Sox11
MS00460|GBX2,0.6994052950923663,GBX2
MS00581|Nkx6-1,0.7023328019948711,Nkx6-1
MS00402|ALX3,0.703284927634499,ALX3
MC00352|Nr5a2,0.7056566600526786,Nr5a2
UP00078|ARID3A,0.7068031104155815,ARID3A
MS00563|Meox2,0.7160165354641226,Meox2
MC00288|POU2F1,0.7162730511018283,POU2F1
MS00366|FOXJ2,0.717870958662474,FOXJ2
MS00515|Hoxa11,0.723891519642224,Hoxa11
UP00242|HOXC8,0.7263625801738056,HOXC8
MS00466|GSX2,0.7272073117409292,GSX2
MC00178|Nkx2-5,0.7299886914014369,Nkx2-5
MS00464|GSC,0.730303456171908,GSC
M01146|DMRT1,0.73047803982074,DMRT1
MS00055|HOMEZ,0.7322360000330993,HOMEZ
UP00189|HOXA5,0.7363562765072303,HOXA5
UP00064|Sox18,0.7393158160244853,Sox18
MC00507|Meis1,0.739585097294799,Meis1
MS00513|HOXD8,0.7405417175811095,HOXD8
MC00348|STAT1,0.7416503625163533,STAT1
MS00619|Uncx,0.742882734939264,Uncx
MS00520|Hoxd13,0.7447379261169053,Hoxd13
MS00518|Hoxc10,0.7473933422711909,Hoxc10
UP00159|SIX2,0.7570422079375579,SIX2
MS00318|Hlf,0.7590017180682107,Hlf
MS00728|ZNF232,0.760046406344653,ZNF232
MS00605|RAXL1,0.7650597844279716,RAXL1
MS00316|Dbp,0.7654881127958928,Dbp
MS00730|ZNF435,0.766608834497269,ZNF435
MS00613|SHOX2,0.7715736236752677,SHOX2
UP00148|Hdx,0.7728376845864248,Hdx
UP00388|SIX6,0.773589756737378,SIX6
M00082|RUNX1,0.7747162581021192,RUNX1
MS00573|NKX3-2,0.7802641529686783,NKX3-2
M01734|NFATC4,0.7803484215684147,NFATC4
UP00169|LMX1B,0.7805865005382571,LMX1B
MS00425|CDX1,0.7844688874345649,CDX1
MS00564|Msx3,0.7852368109872035,Msx3
UP00241|HOXD3,0.7862717238387654,HOXD3
MS00615|Shox2,0.7876986218933242,Shox2
M01306|ZNF217,0.7887311493837855,ZNF217
MC00329|Srf,0.7923850900940039,Srf
MS00521|Hoxd3,0.7925443715779733,Hoxd3
MS00516|Hoxa2,0.7933900405619194,Hoxa2
MS00075|MEF2B,0.79651468681837,MEF2B
UP00155|Hmx2,0.800104331292091,Hmx2
MS00599|PRRX1,0.8033709419684859,PRRX1
MS00614|SHOX,0.8052863179054652,SHOX
MS00468|ZNF75A,0.8053493002127582,ZNF75A
UP00262|Lhx1,0.8095962907682084,Lhx1
MS00452|ESX1,0.8140512216354316,ESX1
UP00196|HOXA4,0.8154276174673754,HOXA4
MS00780|SOX9,0.8160607995006772,SOX9
MC00269|SOX2,0.8183904569637235,SOX2
MS00525|Hoxd9,0.821998272721266,Hoxd9
MS00542|LHX9,0.8274529331062896,LHX9
UP00177|Hoxd12,0.8297703400116929,Hoxd12
M01230|ZNF333,0.8317792577485629,ZNF333
MC00354|Neurod1,0.8334800288470499,Neurod1
M01127|ISL1,0.8344747108422903,ISL1
UP00186|MEIS1,0.8386982799094193,MEIS1
MC00347|STAT4,0.8387035557828596,STAT4
MS00770|SOX7,0.8454261349394375,SOX7
MS00595|PITX1,0.8527541125191993,PITX1
MS00627|VSX2,0.8538199960037891,VSX2
MC00474|BCL11A,0.854714554312585,BCL11A
M01723|SATB1,0.8555256735435228,SATB1
MS00507|HOXD11,0.8591035678781982,HOXD11
MS00531|ISX,0.8594528125390292,ISX
UP00129|Pou3f1,0.8630975219013286,Pou3f1
MC00378|POU5F1,0.8680742705557194,POU5F1
MS00295|Atf4,0.8697900058689523,Atf4
UP00055|HBP1,0.8713371318219651,HBP1
MC00453|STAT5A,0.8742036717891563,STAT5A
MC00407|Myc,0.8762415140946542,Myc
UP00037|Zfp105,0.8777886017081112,Zfp105
MC00121|Cebpb,0.8794044236696366,Cebpb
MC00205|Stat5a,0.8834389879581841,Stat5a
MS00731|ZNF713,0.8834573629344997,ZNF713
MS00272|NEUROG2,0.8850246786906284,NEUROG2
MS00577|NKX6-2,0.8857284591648575,NKX6-2
MS00759|SOX21,0.8909264697044483,SOX21
UP00168|Hoxd8,0.8916126081988385,Hoxd8
MA0030|FOXF2,0.9018405399579125,FOXF2
UP00012|Bbx,0.9047266939668654,Bbx
MS00557|MNX1,0.9082182139365717,MNX1
MS00412|ZNF410,0.9103336340332583,ZNF410
MS00317|HLF,0.9115798503818663,HLF
MC00272|CEBPB,0.9142187111557981,CEBPB
UP00238|Nkx6-3,0.9148698090536074,Nkx6-3
MC00226|Nanog,0.9167140893485236,Nanog
UP00195|SIX3,0.9173622437782363,SIX3
MS00756|E2F7,0.9234116593100591,E2F7
UP00051|Sox8,0.9240750040067007,Sox8
UP00170|Isl2,0.9254813147761259,Isl2
MS00667|ONECUT1,0.9270400160701193,ONECUT1
MS00498|HOXC11,0.9272120999143676,HOXC11
UP00218|Dbx2,0.9294003613145656,Dbx2
MC00389|CDX2,0.9306240448510852,CDX2
M01694|Yy2,0.9307676013045385,Yy2
MS00405|ARX,0.9331127320915845,ARX
MS00424|CART1,0.9333711416650848,CART1
MS00408|Alx4,0.9335812278186737,Alx4
UP00223|Irx3,0.9365144115611919,Irx3
MS00474|HMX2,0.9384162341753339,HMX2
MS00748|SOX14,0.938720697634499,SOX14
MS00437|DRGX,0.939342065570519,DRGX
UP00260|Hoxc6,0.9396818719547311,Hoxc6
MS00427|DLX1,0.9415314090231179,DLX1
MS00438|DUXA,0.9427290021549606,DUXA
MS00679|ONECUT2,0.9432163342421221,ONECUT2
MS00168|PRDM1,0.9437332529567932,PRDM1
MC00204|Stat5b,0.9442544028641425,Stat5b
UP00121|Hoxd10,0.9451316515120418,Hoxd10
MS00041|Spic,0.9485883530709711,Spic
MS00033|SPDEF,0.9512458950438633,SPDEF
MS00597|PROP1,0.954720236506024,PROP1
MC00303|Sox2,0.955915660082781,Sox2
MC00287|POU2F2,0.9586330646740278,POU2F2
UP00150|IRX6,0.9587611631270619,IRX6
MS00547|Lhx4,0.9587747594473225,Lhx4
M01004|IKZF2,0.9610932317571428,IKZF2
UP00194|IRX4,0.9623595869946339,IRX4
MC00211|NFATC1,0.9642712648688838,NFATC1
MS00431|DLX5,0.9652716378747324,DLX5
MS00126|PAX7,0.9660198871891088,PAX7
MS00543|LMX1A,0.9660520005250469,LMX1A
MS00593|PHOX2B,0.9664422488299131,PHOX2B
MC00233|Pou5f1,0.9673931901072513,Pou5f1
UP00075|Sox15,0.9683990656344252,Sox15
MS00690|ONECUT3,0.9711802925109836,ONECUT3
M01147|DMRT2,0.9733094337753609,DMRT2
UP00101|Sox12,0.9752478059597164,Sox12
MS00575|NKX6-1,0.9769552618983446,NKX6-1
MC00146|Smad2/3,0.977362752797188,Smad2/3
MS00076|MEF2D,0.9773837138930235,MEF2D
MS00621|VAX2,0.9779449113624517,VAX2
MS00481|HOXA10,0.9792989755124404,HOXA10
UP00185|PBX1,0.9797821098645335,PBX1
M00999|AIRE,0.9828841124134847,AIRE
M01081|ZNF628,0.9844258030448413,ZNF628
MC00141|Stat1,0.9854085479882653,Stat1
MS00440|Dlx2,0.9873040089314238,Dlx2
UP00211|Pou3f3,0.9899402703965238,Pou3f3
UP00096|SOX13,0.9899891603709199,SOX13
MS00803|Sox3,0.9907324590349115,Sox3
MC00455|Cdx2,0.9913289525472904,Cdx2
MS00620|VAX1,0.9920282181667865,VAX1
UP00091|SOX5,0.9937018626690376,SOX5
MS00388|Foxc1,0.993722650859618,Foxc1
MS00473|HMX1,0.9937349067954323,HMX1
MS00106|NFAT5,0.9965235417180035,NFAT5
MS00753|SOX18,0.9990967181787876,SOX18
MS00634|CUX2,0.9999735549398242,CUX2
