,0,TF
MS00057|HIC2,0.0005106002336377473,HIC2
M00678|ETV7,0.0005312714173023764,ETV7
MC00109|Klf4,0.00055108269808262,Klf4
MC00518|Tfcp2,0.0005549255803460841,Tfcp2
MC00206|ELK1,0.0005590505788311592,ELK1
MS00117|PAX1,0.0005745196437643171,PAX1
MC00321|JUN,0.0006005669265278538,JUN
UP00057|ZIC2,0.0006019102828454768,ZIC2
MS00393|Foxg1,0.0006059466074022328,Foxg1
MS00183|GMEB2,0.0006109340515870376,GMEB2
MC00439|TP63,0.0006411795648831554,TP63
M01002|DEAF1,0.0006442702378836701,DEAF1
MC00142|PPARG,0.0006450341805086428,PPARG
MS00018|ETV4,0.0006524953384435875,ETV4
MS00092|PKNOX2,0.0006941319362781289,PKNOX2
MS00095|TGIF2LX,0.0006959746286793185,TGIF2LX
MS00213|TBX2,0.0007208994084832852,TBX2
MC00467|RXRA,0.0007286353436913472,RXRA
UP00066|HNF4A,0.0007381135601674202,HNF4A
MC00110|Klf1,0.0007834000126897713,Klf1
UP00011|IRF6,0.000783788739062663,IRF6
MC00473|ATF3,0.0008252263925615299,ATF3
MS00096|TGIF2,0.0008478422119712349,TGIF2
M00341|GABPB1,0.0008490328660260471,GABPB1
MC00160|ETV3,0.0008648275383450699,ETV3
UP00052|Osr2,0.0008666320836435889,Osr2
MC00358|Ebf1,0.0008890740076329557,Ebf1
M01037|GLI1,0.0008920078396017804,GLI1
MS00024|GLIS1,0.0009430685775101515,GLIS1
UP00418|Etv6,0.0009576103134631538,Etv6
M01104|Ovol2,0.0009937557654835982,Ovol2
MS00088|Meis3,0.000996882590776268,Meis3
MS00335|Mafb,0.0010199224126472158,Mafb
UP00020|ATF1,0.0010264993631830604,ATF1
MS00372|FOXL1,0.0010580555928820735,FOXL1
UP00094|Zfp128,0.0010730896290087112,Zfp128
MS00684|RARG,0.001129143554484093,RARG
MS00135|KLF14,0.0011507351333664877,KLF14
MS00146|KLF16,0.0013525255334068797,KLF16
MS00399|Foxk1,0.0013685083705259277,Foxk1
M01714|KLF15,0.001446832611557974,KLF15
MC00509|NR2C2,0.001460171494511505,NR2C2
M00979|PAX6,0.0014812118466219699,PAX6
MC00374|TFAP2C,0.001613831135606934,TFAP2C
M00483|ATF6,0.0016161259641778913,ATF6
MC00477|ZNF711,0.0016753693340096879,ZNF711
MC00278|ETS1,0.001685490115212708,ETS1
MS00027|FLI1,0.0016980123473205367,FLI1
MS00727|ZBTB49,0.0017045245460271515,ZBTB49
UP00423|Gm5454,0.001838862538393786,Gm5454
MS00289|TFEB,0.0018497789266963582,TFEB
MC00252|Rara,0.0019813858590186375,Rara
MS00346|ZIC3,0.001995759998488082,ZIC3
MS00291|Tcf21,0.0020794765063506943,Tcf21
MS00188|MGA,0.0021771350169125184,MGA
M01480|Obox5,0.0021904629207409425,Obox5
M00327|PAX3,0.0022042474616774067,PAX3
MS00778|EHF,0.0022148695247664195,EHF
MS00844|ELK3,0.002251949953513528,ELK3
MS00021|ETV6,0.002379533326709989,ETV6
MS00356|FOXD2,0.002382285529011408,FOXD2
MA0031|FOXD1,0.0023929009371388608,FOXD1
MS00022|Elf5,0.0024768754303467967,Elf5
M00456|BPTF,0.002518903559073855,BPTF
M01122|ZNF219,0.0025732088240965918,ZNF219
MS00177|RUNX3,0.002583976819646006,RUNX3
MS00331|MAFK,0.0026446637994227665,MAFK
MS00445|ZNF740,0.0027247041288115934,ZNF740
UP00006|Zic3,0.002792780022841185,Zic3
M01592|TFCP2L1,0.002965036515861473,TFCP2L1
MS00325|Jdp2,0.002979215220167129,Jdp2
MC00169|Usf2,0.0029796576016519346,Usf2
MS00312|ZBTB7B,0.0034255028769596993,ZBTB7B
MS00708|Rxrb,0.003459084268970269,Rxrb
MS00161|RFX2,0.0034643695923067923,RFX2
MS00304|CREB3L1,0.003646813199655841,CREB3L1
MS00705|Rarg,0.0037372086075553052,Rarg
MA0365|RFX1,0.003767110584154842,RFX1
MS00111|NFKB2,0.0037723487621185324,NFKB2
MS00110|NFKB1,0.0039792243708507095,NFKB1
UP00132|Evx2,0.00409291820259991,Evx2
M00717|PAX8,0.004100291056743017,PAX8
MC00339|NFE2L2,0.0041478198986362015,NFE2L2
MC00334|SIX5,0.00422700676246784,SIX5
MC00130|Pparg,0.0043106473469474785,Pparg
M00649|MAZ,0.004314958864562018,MAZ
MS00086|Meis2,0.004413557977251389,Meis2
M01195|TBX22,0.00443374029486691,TBX22
MC00371|JUNB,0.004462900616480599,JUNB
MS00709|THRA,0.004497733620828793,THRA
UP00404|ELF2,0.00453040685385842,ELF2
UP00263|Hoxb8,0.004589760457824744,Hoxb8
MS00359|FOXD3,0.004642381062505558,FOXD3
MC00391|ZNF143,0.004662386276427079,ZNF143
UP00056|RFX4,0.004782180298894918,RFX4
MS00320|JDP2,0.004813852299321923,JDP2
MS00258|HEY1,0.005098914073569994,HEY1
M01742|Zscan10,0.005147674548968977,Zscan10
MC00367|GABPA,0.005219265619208327,GABPA
M01334|Nkx1-1,0.005386580069154156,Nkx1-1
MS00214|TBX4,0.005456140367373802,TBX4
MS00065|IRF4,0.005545470746531217,IRF4
M01112|RBPJ,0.005545810735356638,RBPJ
MS00371|FOXK1,0.005692870967142152,FOXK1
MS00216|TBX5,0.005731818089375237,TBX5
MC00289|HSF1,0.005847241443827767,HSF1
MC00325|Gata2,0.006549635798545704,Gata2
