Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
XBP1,MS00342;2.08E-06,UP00330;1.56E-02,,,
Tcfcp2l1,MA0145;2.93E-06,,,,
RUNX2,MS00173;6.63E-05,MS00174;1.92E-01,MC00215;2.57E-01,,
Nfya,MC00191;7.24E-05,,,,
KLF13,MS00124;7.33E-05,,,,
EGR1,MC00320;7.35E-05,,,,
ZNF263,MC00192;1.31E-04,,,,
NR0B1,M01248;1.41E-04,,,,
ELF1,MC00457;1.48E-04,,,,
CREB3,MS00308;1.78E-04,,,,
Gmeb1,UP00084;1.88E-04,,,,
Tcfap2a,MS00239;1.92E-04,MS00241;2.99E-03,MS00240;1.32E-02,,
NRL,MS00338;2.10E-04,,,,
HINFP1,MS00090;2.69E-04,MS00079;9.07E-04,,,
E4F1,M00694;2.82E-04,,,,
Egr2,MC00430;3.01E-04,,,,
EGR2,MC00319;3.02E-04,,,,
TEAD2,M00695;3.23E-04,,,,
Pax5,MC00257;3.29E-04,,,,
ESR2,MC00333;3.34E-04,,,,
EGR3,MS00567;3.60E-04,,,,
INSM1,MA0155;3.80E-04,,,,
ZNF350,M01105;3.88E-04,,,,
Ppara,MC00134;4.01E-04,,,,
Lhx8,UP00184;4.03E-04,MS00549;4.37E-01,MS00548;4.44E-01,MS00550;8.07E-01,
SP4,MS00235;4.10E-04,,,,
RFX3,MC00203;4.60E-04,,,,
SMAD2/3,MC00223;4.61E-04,,,,
SMAD3,MC00503;4.61E-04,UP00000;1.55E-03,MS00080;4.24E-01,,
Zfx,MC00328;4.70E-04,,,,
ZBTB7C,MS00323;5.10E-04,,,,
MYBL2,MS00102;5.23E-04,MS00103;4.23E-03,MS00105;2.65E-02,,
MAFF,MS00326;5.46E-04,,,,
Klf12,MS00157;5.74E-04,,,,
SMAD4,MC00392;5.75E-04,M00733;3.91E-03,,,
SP1,MS00212;5.86E-04,MC00113;1.39E-03,,,
Mybl1,UP00081;5.88E-04,,,,
PAX4,M00378;6.28E-04,M00373;1.72E-03,MS00121;4.48E-01,,
ESR1,MC00335;7.05E-04,,,,
Tcfap2b,UP00010;7.13E-04,,,,
TFAP2A,MC00530;7.25E-04,MS00227;2.61E-03,,,
PAX2,MA0067;7.45E-04,MS00118;7.01E-03,M00486;6.85E-01,,
GTF2I,M00706;7.68E-04,,,,
NR1H3,M00647;8.00E-04,,,,
MAFG,MS00327;8.14E-04,,,,
Egr3,MS00789;8.19E-04,,,,
Tal1,MC00388;8.32E-04,,,,
ESRRG,MS00638;8.84E-04,,,,
CENPB,MS00534;9.43E-04,,,,
Tcfap2c,UP00087;9.83E-04,,,,
TBX21,MS00207;1.01E-03,MS00208;2.43E-01,,,
Esr1,MC00295;1.02E-03,,,,
E2F2,UP00001;1.03E-03,MS00712;5.45E-01,,,
Nr1d2,MC00186;1.03E-03,,,,
E2F3,UP00003;1.04E-03,MS00734;2.10E-01,,,
ELF4,MS00834;1.10E-03,,,,
Sfpi1,UP00085;1.10E-03,MC00180;4.66E-01,MC00395;4.66E-01,,
GCM2,MS00050;1.16E-03,,,,
SP3,M00665;1.16E-03,MS00223;6.29E-03,,,
UBP1,M00644;1.16E-03,,,,
SP8,MS00246;1.16E-03,,,,
ETV7,M00678;1.20E-03,,,,
ATF4,M00514;1.22E-03,MS00293;5.49E-01,,,
PKNOX1,MS00091;1.22E-03,,,,
Yy1,MC00372;1.23E-03,,,,
RORA,MS00685;1.23E-03,MS00686;2.01E-01,,,
MYB,UP00092;1.24E-03,,,,
NFYA,MC00364;1.24E-03,,,,
ERG,MS00848;1.25E-03,MC00168;6.67E-03,,,
ZFP42,M01744;1.28E-03,,,,
ATF1,UP00020;1.29E-03,,,,
NR4A1,MC00280;1.30E-03,,,,
EGR4,MS00678;1.31E-03,,,,
AHR,M00139;1.31E-03,,,,
HINFP,MA0131;1.32E-03,,,,
Ctcf,MC00187;1.41E-03,,,,
E2F4,MC00523;1.42E-03,,,,
Rfx1,MC00144;1.42E-03,,,,
ZBTB7A,MC00376;1.49E-03,M01100;6.95E-03,MS00301;1.36E-02,,
Klf7,UP00093;1.57E-03,,,,
Tbx21,MC00356;1.65E-03,,,,
E2f4,MC00158;1.73E-03,,,,
E2f3,MC00510;1.78E-03,,,,
SREBF2,M01177;1.80E-03,MS00281;2.99E-02,,,
IRF6,UP00011;1.84E-03,,,,
PATZ1,M00491;1.87E-03,,,,
BATF3,MS00296;1.94E-03,,,,
KLF14,MS00135;1.94E-03,,,,
Glis2,UP00024;1.97E-03,,,,
Zfp161,UP00065;1.99E-03,,,,
ZBED1,MS00290;2.00E-03,,,,
Tcfap2e,UP00028;2.07E-03,,,,
