,0,TF
52092|TP53,3.226932159230848e-24,TP53
46360|SIN3A,6.895755664579637e-23,SIN3A
36356|POLR2B,3.6062117896311956e-22,POLR2B
64559|SP2,1.7026305915816197e-21,SP2
68711|BRD4,2.9375965475877473e-20,BRD4
38742|NFATC1,5.489132268687941e-20,NFATC1
3272|GATA1,9.683220525118145e-20,GATA1
73970|ZNF202,1.1555638385693685e-19,ZNF202
46333|FOXP2,1.184505483812361e-19,FOXP2
53594|MED1,9.654281065491266e-19,MED1
46345|TAF1,1.0521274750764855e-18,TAF1
45866|MXI1,1.610967259394522e-18,MXI1
36104|ESR1,3.383528991847381e-18,ESR1
46295|ZBTB7A,3.901860328564e-18,ZBTB7A
50414|KLF11,5.242829811973847e-18,KLF11
1314|PHF8,6.33561776370521e-18,PHF8
46365|USF1,8.137320977725366e-18,USF1
42179|MITF,1.0094801271799479e-17,MITF
53347|CDK9,1.2475333106225085e-17,CDK9
67519|GATA3,1.2820945158428877e-17,GATA3
46349|MAX,1.2905714840535405e-17,MAX
45867|MAZ,1.6939058005917115e-17,MAZ
64982|PATZ1,2.728112113164907e-17,PATZ1
74346|NEUROD1,2.9143666308318875e-17,NEUROD1
46362|TCF12,3.126158413145261e-17,TCF12
76814|NEUROG2,3.718168661859302e-17,NEUROG2
46036|JUND,3.7543357226879895e-17,JUND
68464|ATF3,4.4154362081657735e-17,ATF3
46377|REST,5.0751612805476745e-17,REST
67710|CREB1,7.577435060992101e-17,CREB1
45894|MYC,8.164915173950522e-17,MYC
50879|SPI1,1.0901238857310758e-16,SPI1
73716|KMT2A,1.4003111062297914e-16,KMT2A
48344|SNAI2,1.7120408939579282e-16,SNAI2
74352|OTX2,1.7230981689031403e-16,OTX2
63035|PRDM10,1.911096745112355e-16,PRDM10
64914|BCL3,2.0131226960310598e-16,BCL3
54243|FOXO1,2.143489074261436e-16,FOXO1
41831|ZBTB17,2.235093217265512e-16,ZBTB17
46243|FOSL2,2.414875505078789e-16,FOSL2
1990|FOS,3.208295177129547e-16,FOS
45895|CCNT2,3.467975224364308e-16,CCNT2
5389|RELA,4.0462417422038163e-16,RELA
45861|CEBPB,7.460358496934776e-16,CEBPB
46358|PBX3,8.342767372487138e-16,PBX3
1743|GATA2,9.056575898680664e-16,GATA2
7527|HEY1,9.413439100532713e-16,HEY1
58506|WDR5,9.800268745520827e-16,WDR5
49481|RPE,1.0042504662969453e-15,RPE
64760|POLR2AphosphoS5,1.045607194861105e-15,POLR2AphosphoS5
39978|TFAP2C,1.1060671193999093e-15,TFAP2C
34396|MECP2,1.1361691004601036e-15,MECP2
36765|NOTCH1,1.277766293590969e-15,NOTCH1
8791|KDM5B,1.5772399074719152e-15,KDM5B
50163|TBP,2.4960371471245242e-15,TBP
55300|JUN,2.5480738135378784e-15,JUN
46298|EGR1,3.77995609798194e-15,EGR1
70095|TET2,4.256122573894251e-15,TET2
8795|RBBP5,6.49937241276262e-15,RBBP5
8456|CEBPA,6.621607677293055e-15,CEBPA
52496|TCF21,6.940109014308011e-15,TCF21
53672|NIPBL,7.982792745804467e-15,NIPBL
55493|RUNX1,1.0235891440785783e-14,RUNX1
56054|ATF1,1.2535029332147393e-14,ATF1
70927|SUPT5H,1.288499532716575e-14,SUPT5H
55667|PAF1,1.3315487107922242e-14,PAF1
48825|MBD2,1.4509738391384057e-14,MBD2
75942|KDM1A,1.587896615114628e-14,KDM1A
59170|SETD1A,1.787011188352772e-14,SETD1A
4611|TAL1,1.8460446576172544e-14,TAL1
64946|BHLHE40,2.0557752080321865e-14,BHLHE40
45920|HMGN3,2.169168875696425e-14,HMGN3
38585|TAF3,2.1999387426286648e-14,TAF3
48755|CBX8,2.487206309889296e-14,CBX8
49949|KLF9,2.5355707841408787e-14,KLF9
43400|XBP1,2.6520838311267172e-14,XBP1
63525|ZFP2,3.424214899541266e-14,ZFP2
55338|SUMO2,3.7518241235185546e-14,SUMO2
74202|BRD2,4.1859361200374954e-14,BRD2
65056|TGIF2,4.198811577568185e-14,TGIF2
36842|FOXA1,4.3135843692077836e-14,FOXA1
55895|T,4.3628672377080585e-14,T
46342|YY1,4.366101554578026e-14,YY1
73701|KDM2B,5.479734001048304e-14,KDM2B
65123|ZFP64,5.72426941060293e-14,ZFP64
74838|JMJD6,6.226235212479305e-14,JMJD6
56961|GTF2B,9.22050009310638e-14,GTF2B
45793|SREBF1,1.203344856350701e-13,SREBF1
34997|FOXM1,1.3470488469773705e-13,FOXM1
74638|NRF1,1.8448246995573098e-13,NRF1
8775|HDAC1,1.8537213065421578e-13,HDAC1
8821|SAP30,2.111507559633212e-13,SAP30
47598|GATA4,2.519364639817451e-13,GATA4
44562|EMX1,2.5495181026439796e-13,EMX1
76282|EHF,3.086536775522857e-13,EHF
43165|NR2F2,3.1821601051745896e-13,NR2F2
63295|ZNF335,3.3693157005178903e-13,ZNF335
40166|TCF7L1,3.813479980328636e-13,TCF7L1
74682|FOXO3,3.8851068744080395e-13,FOXO3
