Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
POLR2B,36356;2.56E-16,9216;6.92E-07,,,
SIN3A,46360;3.28E-16,46335;2.68E-14,46327;3.29E-11,46208;1.47E-09,45639;1.90E-09
TCF12,46362;9.53E-16,46120;1.56E-07,37602;5.55E-07,46228;1.92E-06,46085;1.95E-06
BRD4,68711;1.11E-15,49980;2.04E-12,40217;3.20E-12,73517;5.20E-11,57808;7.47E-11
TAF1,46345;2.79E-14,46197;1.71E-11,46334;3.87E-11,46196;1.37E-10,46282;1.56E-10
NFATC1,38742;3.10E-14,38654;2.37E-12,46110;7.58E-02,38701;7.50E-01,
MAZ,45867;3.89E-14,45761;5.15E-11,65115;1.97E-10,45924;1.10E-09,45661;8.14E-09
PBX3,46358;7.81E-14,46121;6.75E-10,46082;6.62E-06,56901;7.53E-03,42859;1.00E+00
TP53,52092;7.87E-14,52091;1.17E-10,75042;5.20E-09,6548;2.67E-08,52167;2.11E-06
USF1,46347;7.92E-14,46365;2.97E-13,46078;2.44E-09,46062;9.20E-09,46279;1.06E-08
FOXP2,46333;8.83E-14,46340;1.34E-08,42659;1.00E+00,,
SNAI2,48344;2.12E-13,48343;1.37E-11,48339;5.59E-08,48340;6.22E-06,48332;1.18E-04
BCL3,64914;3.36E-13,64102;1.68E-11,64913;4.41E-11,63884;4.55E-11,63002;5.37E-10
CREB1,67710;4.59E-13,46141;5.03E-11,67711;3.00E-10,56051;4.58E-10,67715;1.08E-09
KLF11,50414;4.88E-13,50415;5.82E-12,50413;6.84E-10,50412;8.87E-10,42728;7.24E-01
MITF,42179;5.15E-13,42176;3.16E-09,42177;4.97E-06,50897;1.11E-04,42178;5.29E-04
MECP2,34396;5.21E-13,34392;2.34E-12,34399;4.87E-09,34394;3.28E-07,34400;5.86E-02
MED1,53594;7.07E-13,49484;7.48E-13,33124;1.41E-11,39017;2.67E-10,73699;2.95E-10
MAX,46349;7.36E-13,45907;8.18E-12,33197;2.79E-11,46070;2.61E-10,33175;2.75E-10
FOXO1,54243;7.44E-13,58300;2.38E-03,75852;8.76E-02,75851;9.20E-02,58301;2.64E-01
SP2,64559;1.16E-12,64560;6.25E-12,65084;9.26E-11,46176;1.93E-05,46287;2.21E-05
JUND,46036;1.18E-12,46232;2.47E-11,46213;6.76E-11,45880;5.62E-10,46351;8.08E-10
RPE,49481;1.29E-12,,,,
MXI1,45866;1.75E-12,45774;6.49E-11,46038;1.05E-10,45633;7.11E-09,45810;1.54E-08
FOSL2,46243;2.33E-12,46346;3.58E-12,54241;5.68E-10,46072;5.10E-05,46317;1.18E-04
CDK9,53347;2.42E-12,40227;9.07E-10,33123;1.02E-09,33125;1.04E-09,53346;4.00E-09
CEBPB,45861;2.49E-12,54127;9.45E-10,71243;5.09E-09,54125;8.82E-09,54126;1.05E-08
GATA1,3272;4.15E-12,73729;1.05E-11,3273;3.22E-11,8411;1.37E-09,8409;2.16E-09
PHF8,8789;7.59E-12,8790;2.65E-11,1314;2.94E-11,45411;1.75E-10,1309;4.96E-08
MYC,45894;7.82E-12,38183;2.24E-11,38193;8.27E-11,666;8.88E-11,70561;5.55E-10
NEUROD1,74346;8.56E-12,74347;2.36E-10,74348;4.09E-10,74342;5.59E-10,74357;1.35E-09
RELA,5389;1.14E-11,53599;3.22E-11,5388;1.45E-10,53598;5.62E-10,4974;7.81E-10
MBD2,48825;1.16E-11,48827;9.89E-11,64901;1.25E-09,48824;3.39E-09,63028;1.03E-08
ATF3,68464;1.32E-11,68460;4.08E-09,46276;1.62E-08,63683;3.67E-08,46217;1.88E-07
GATA3,46361;1.48E-11,67494;3.20E-09,67516;2.66E-08,67519;4.65E-08,67517;6.50E-08
REST,46377;2.32E-11,46341;3.08E-09,46328;5.16E-07,46338;6.87E-07,46359;2.19E-06
YY1,46342;2.44E-11,46204;1.02E-10,63430;7.06E-09,46153;9.06E-09,7060;2.19E-08
SPI1,50879;2.75E-11,50878;6.45E-11,50877;2.78E-10,67928;4.43E-09,67929;9.30E-09
FAIRE,36031;2.79E-11,52158;2.46E-07,35740;9.25E-07,32874;2.65E-06,33610;3.34E-06
KDM5B,8791;2.84E-11,45390;1.70E-08,47273;4.35E-06,47276;2.25E-05,47285;2.57E-05
ZBTB7A,46295;3.32E-11,46102;4.11E-07,46224;8.66E-07,67686;2.39E-05,67685;1.20E-03
TFAP2C,39978;3.36E-11,45770;1.94E-06,9507;2.31E-06,2403;2.31E-06,9508;8.97E-06
WDR5,52436;3.40E-11,52432;3.07E-10,58506;7.03E-09,49852;5.41E-07,48250;8.29E-05
HEY1,7527;3.47E-11,7341;5.76E-09,42664;1.00E+00,,
ESR1,36104;3.48E-11,74401;1.99E-09,33506;1.20E-08,74399;4.77E-07,36825;2.96E-06
ZFP2,63525;3.59E-11,63524;1.27E-03,,,
NEUROG2,76814;4.55E-11,76817;9.68E-10,76818;3.28E-09,76809;3.94E-09,76810;5.01E-09
ATF1,56054;5.08E-11,45871;1.11E-10,56053;9.18E-10,63105;9.07E-09,63104;6.17E-08
ZBTB17,41831;5.23E-11,49276;5.88E-07,64073;1.46E-04,64074;4.10E-04,47490;6.67E-03
TCF21,52496;5.67E-11,52495;7.46E-10,52497;1.85E-03,52498;2.43E-02,
FOXO3,74682;6.34E-11,38806;3.19E-03,74680;4.16E-02,39906;5.15E-01,34350;8.29E-01
PATZ1,64982;6.63E-11,64981;2.78E-09,38668;3.08E-02,65119;6.53E-02,
SUPT5H,70927;6.94E-11,53325;1.16E-09,64773;5.36E-07,64772;1.86E-06,43450;8.74E-02
SUMO2,55338;7.20E-11,55339;1.11E-09,35704;6.76E-07,55344;1.13E-04,41743;3.04E-04
FOXM1,34997;9.25E-11,39460;5.20E-07,53256;1.17E-05,53259;1.01E-04,34999;3.71E-04
KMT2A,73716;9.28E-11,73707;2.39E-08,73708;2.60E-08,73710;3.09E-08,59165;5.50E-05
KDM1A,75942;1.05E-10,53469;6.30E-08,53470;7.61E-08,45400;6.14E-07,8783;6.14E-07
T,55895;1.06E-10,73453;9.50E-09,73454;1.95E-08,69884;2.34E-05,74831;2.06E-03
OTX2,74350;1.14E-10,74352;1.18E-10,74351;3.37E-09,74349;6.12E-09,74354;9.33E-07
PRDM10,63035;1.18E-10,63034;1.35E-08,,,
BHLHE40,64946;1.76E-10,64945;1.40E-09,45632;9.83E-09,45916;2.57E-08,45807;6.50E-05
BRD3,43050;1.78E-10,43051;1.46E-04,57806;1.90E-04,43052;1.17E-03,57807;1.50E-03
ZNF202,73970;1.82E-10,62487;4.89E-01,62488;7.75E-01,,
RBBP5,8795;1.87E-10,45421;8.89E-09,8820;5.83E-07,8819;2.18E-05,45232;1.77E-04
TBP,45618;1.92E-10,50163;5.50E-10,45781;6.58E-10,45791;2.45E-09,45881;1.24E-08
POLR2AphosphoS5,64760;2.20E-10,63407;2.57E-10,63406;1.52E-09,64761;8.86E-09,
PAF1,55667;2.22E-10,55664;3.41E-09,55669;2.45E-05,55668;7.42E-04,55665;1.81E-03
TGIF2,65056;2.49E-10,65057;2.87E-06,,,
MAF,58808;2.64E-10,58809;5.37E-10,58807;3.78E-05,50111;6.43E-01,
BPTF,76520;2.65E-10,,,,
SRF,46211;2.67E-10,46312;2.36E-06,46092;1.94E-05,46114;1.32E-04,46148;1.89E-04
JUN,45848;3.46E-10,55300;9.87E-10,37354;6.86E-09,2078;1.86E-08,45874;1.86E-08
CCNT2,45895;3.76E-10,,,,
RFX5,46037;4.17E-10,45863;4.49E-08,45823;2.37E-07,45730;1.43E-06,45893;1.56E-05
ZFP64,65123;4.24E-10,65122;6.70E-06,63981;9.88E-02,63982;6.40E-01,65130;7.03E-01
TAL1,73728;4.65E-10,44433;7.72E-10,4610;8.64E-10,4611;2.89E-09,44435;5.01E-09
NOTCH1,36765;4.71E-10,43104;6.19E-08,392;1.95E-07,43101;6.08E-06,393;8.09E-04
BRD2,74202;5.92E-10,35878;4.25E-08,43046;1.20E-03,57805;1.46E-03,74209;2.53E-03
EGR1,46298;5.96E-10,46214;5.60E-09,46126;6.44E-08,46319;2.32E-06,46132;1.57E-05
PARP1,72407;6.09E-10,72405;6.63E-10,72406;1.10E-08,72408;1.02E-07,73342;8.28E-02
KLF10,74686;6.53E-10,74639;2.20E-04,38720;1.30E-02,75164;8.35E-01,75163;8.46E-01
NELFE,53324;7.29E-10,69818;5.68E-08,69807;9.54E-08,69820;2.73E-07,69816;9.21E-07
SP1,46060;7.61E-10,46215;3.70E-09,72612;1.73E-08,46135;4.79E-08,46234;2.35E-07
KLF9,62637;9.19E-10,62800;5.41E-08,49949;9.86E-08,62636;4.10E-07,62799;1.39E-05
XBP1,43400;1.02E-09,42895;1.24E-07,43401;1.39E-03,43398;1.66E-03,43399;5.68E-02
CBX8,48755;1.23E-09,43558;3.86E-02,8768;8.50E-01,45398;8.50E-01,43569;8.64E-01
CEBPA,3006;1.23E-09,48277;2.76E-08,8456;8.00E-08,8444;1.30E-06,48279;1.36E-06
TAF3,38585;1.49E-09,,,,
5HMC,44876;1.52E-09,44875;1.06E-05,44877;1.46E-05,44874;4.80E-05,55290;2.12E-02
GATA4,47598;1.67E-09,63975;1.24E-05,63974;1.25E-05,51471;9.52E-03,51467;2.55E-02
CEBPD,46230;1.70E-09,46294;2.79E-05,,,
SREBF1,45793;1.76E-09,45620;1.04E-04,62956;2.85E-02,62957;4.16E-02,45824;3.27E-01
HMGN3,45920;1.89E-09,,,,
SETD1A,76519;1.99E-09,59170;2.54E-09,,,
