,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
36356|POLR2B,8.527781178551998e-17,Homo sapiens,POLR2B,tf,IMR90,Fibroblast,Lung,1,POLR2B
46360|SIN3A,1.0920816972518332e-16,Homo sapiens,SIN3A,tf,SK-N-SH,Neuroblastoma cell,Brain,1,SIN3A
46362|TCF12,3.1780671564351e-16,Homo sapiens,TCF12,tf,SK-N-SH,Neuroblastoma cell,Brain,1,TCF12
68711|BRD4,3.709808605074384e-16,Homo sapiens,BRD4,cr,IMR90,None,None,1,BRD4
46345|TAF1,9.288256575627185e-15,Homo sapiens,TAF1,tf,SK-N-SH,Neuroblastoma cell,Brain,1,TAF1
38742|NFATC1,1.0336789888661558e-14,Homo sapiens,NFATC1,tf,None,Endothelial Cell,Umbilical Vein,1,NFATC1
45867|MAZ,1.2957170190410753e-14,Homo sapiens,MAZ,tf,IMR90,Fibroblast,Lung,1,MAZ
46358|PBX3,2.6038251007225465e-14,Homo sapiens,PBX3,tf,SK-N-SH,Neuroblastoma cell,Brain,1,PBX3
52092|TP53,2.6251438651423342e-14,Homo sapiens,TP53,predicted transcription factor,IMR90,Fibroblast,Lung,1,TP53
46347|USF1,2.6385018314181185e-14,Homo sapiens,USF1,tf,SK-N-SH,Neuroblastoma cell,Brain,1,USF1
46333|FOXP2,2.94356872859273e-14,Homo sapiens,FOXP2,tf,PFSK-1,Neuron,Brain,1,FOXP2
48344|SNAI2,7.067634153756467e-14,Homo sapiens,SNAI2,tf,None,Keratinocyte,None,1,SNAI2
64914|BCL3,1.11871196504345e-13,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1,BCL3
67710|CREB1,1.5299225292342612e-13,Homo sapiens,CREB1,tf,LNCaP,Epithelium,Prostate,1,CREB1
50414|KLF11,1.6273090394158253e-13,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1,KLF11
42179|MITF,1.7152419504412617e-13,Homo sapiens,MITF,tf,COLO-829,Fibroblast,Skin,1,MITF
34396|MECP2,1.7367902853837845e-13,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
53594|MED1,2.356709106662512e-13,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1,MED1
46349|MAX,2.453572497577775e-13,Homo sapiens,MAX,tf,SK-N-SH,Neuroblastoma cell,Brain,1,MAX
54243|FOXO1,2.4802258064989244e-13,Homo sapiens,FOXO1,tf,None,Stromal Cell,Endometrium,1,FOXO1
64559|SP2,3.857964442939665e-13,Homo sapiens,SP2,predicted chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,SP2
46036|JUND,3.920185917219668e-13,Homo sapiens,JUND,tf,SK-N-SH,Neuroblastoma cell,Brain,1,JUND
49481|RPE,4.2875909157846653e-13,Homo sapiens,RPE,other,None,Retinal pigment cell,None,1,RPE
45866|MXI1,5.820868389635717e-13,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1,MXI1
46243|FOSL2,7.752184171859047e-13,Homo sapiens,FOSL2,tf,HepG2,Epithelium,Liver,1,FOSL2
