,0,TF
MC00502|HMGN1,0.00013616594066860935,HMGN1
M01248|NR0B1,0.00015012742401370295,NR0B1
MC00109|Klf4,0.00015294387057059343,Klf4
MS00638|ESRRG,0.0001539666932849977,ESRRG
MC00125|Rest,0.00016852487402977193,Rest
UP00412|Etv5,0.0001722282206231483,Etv5
MS00100|MYBL1,0.0001784953208717557,MYBL1
MC00364|NFYA,0.00018877929082170572,NFYA
MC00473|ATF3,0.0001894543474205548,ATF3
MS00057|HIC2,0.00019823293011737267,HIC2
UP00404|ELF2,0.00019959723044569983,ELF2
MS00182|GMEB2,0.00020512503743804703,GMEB2
MS00304|CREB3L1,0.00023103387653605937,CREB3L1
UP00084|Gmeb1,0.00024000398208581615,Gmeb1
M00733|SMAD4,0.00024070849008081966,SMAD4
MS00024|GLIS1,0.00024209204261069537,GLIS1
MC00385|Ets1,0.00024326020140343386,Ets1
MS00433|DMBX1,0.00024619939934730154,DMBX1
MC00110|Klf1,0.00025039353619680816,Klf1
MC00339|NFE2L2,0.0003066310787063896,NFE2L2
MC00130|Pparg,0.00034751040848902335,Pparg
M01037|GLI1,0.0003585900781550904,GLI1
MS00308|CREB3,0.0003660887735836947,CREB3
MA0145|Tcfcp2l1,0.0003706035429278111,Tcfcp2l1
MS00128|PAX9,0.0003716796340027182,PAX9
M00514|ATF4,0.0004245697314865429,ATF4
M00518|PPARG::RXRA,0.0004332221546048516,PPARG::RXRA
MS00268|YY2,0.0004378968820955561,YY2
MC00333|ESR2,0.0004379107259251447,ESR2
MC00168|ERG,0.0004826704868824235,ERG
MS00146|KLF16,0.0005184511530182417,KLF16
MA0365|RFX1,0.0005201386102943727,RFX1
MS00700|Rarb,0.0005235200394047476,Rarb
UP00027|Osr1,0.0005320666426942171,Osr1
MC00128|CTCF,0.0005405502021184848,CTCF
MS00844|ELK3,0.0005845757437927397,ELK3
MC00467|RXRA,0.0005994081099458315,RXRA
MC00187|Ctcf,0.0006089923436282494,Ctcf
M00649|MAZ,0.000634835986389695,MAZ
MS00311|Creb3l2,0.0006430242542728958,Creb3l2
MA0155|INSM1,0.0006435620986023851,INSM1
MA0131|HINFP,0.0006462523136769707,HINFP
MC00368|Hsf1,0.0006698252652033332,Hsf1
MS00101|Hic1,0.0007146978802265202,Hic1
MS00258|HEY1,0.0007261907541495798,HEY1
MC00377|Trp53,0.0007417946060897387,Trp53
UP00132|Evx2,0.0007642740348377043,Evx2
MC00129|Fli1,0.0007701024103824792,Fli1
MS00464|GSC,0.0008182733038273881,GSC
M00115|CNTN2::CREB1,0.000845761518370469,CNTN2::CREB1
MC00142|PPARG,0.0009499352332785159,PPARG
MS00046|GLIS3,0.0010181231315509603,GLIS3
UP00413|Elf4,0.0010470981160765691,Elf4
MC00183|Snai1,0.0011195232123432839,Snai1
MS00333|Mafb,0.0011477428227937504,Mafb
MS00445|ZNF740,0.0012087735725410185,ZNF740
MC00289|HSF1,0.0012502849847046572,HSF1
MS00177|RUNX3,0.001268058798258465,RUNX3
MC00532|Mycn,0.0013830048987546226,Mycn
M00483|ATF6,0.001449909174715475,ATF6
MC00295|Esr1,0.0014764939711302773,Esr1
MC00386|BCL6,0.0015243212713322131,BCL6
MS00117|PAX1,0.0015348336469989848,PAX1
M00964|NR1I2,0.0015494343756808028,NR1I2
MS00812|ELF3,0.0015741222727365795,ELF3
M00647|NR1H3,0.0015763666230163786,NR1H3
MC00373|Mxi1,0.001621198420944187,Mxi1
MC00174|REST,0.0016238503037912038,REST
M00490|BACH2,0.001625162357704026,BACH2
M00792|SMAD1,0.0016412910744704424,SMAD1
MS00060|HSF4,0.001651347708189397,HSF4
UP00035|HIC1,0.0016572262134943918,HIC1
MS00025|FEV,0.0017049260600248153,FEV
MA0161|NFIC,0.001893380737938815,NFIC
UP00056|RFX4,0.0019627852163074107,RFX4
MC00192|ZNF263,0.0019986342948579913,ZNF263
UP00000|SMAD3,0.0020123623086398344,SMAD3
MS00211|TBX2,0.0020448731293288024,TBX2
MS00274|NHLH1,0.0020493607636023494,NHLH1
MS00710|THRB,0.00224686670386821,THRB
M00648|MAF,0.0022740167754029044,MAF
M00706|GTF2I,0.002300930238394042,GTF2I
MC00475|Nfic,0.0023405354751793823,Nfic
MS00468|ZNF75A,0.0023630112048482815,ZNF75A
UP00066|HNF4A,0.0023810191208242042,HNF4A
MC00178|Nkx2-5,0.0024229197675512044,Nkx2-5
MS00383|FOXO4,0.0025464310242802805,FOXO4
MS00260|HEY2,0.0026026489460283094,HEY2
MC00512|Esrrb,0.0026091258304181395,Esrrb
MC00342|YY1,0.002621731161014398,YY1
MC00132|TP73,0.002637390047784275,TP73
MC00140|Stat3,0.0026997962273817592,Stat3
MA0116|Zfp423,0.002705684133205048,Zfp423
MS00778|EHF,0.0027852479341223583,EHF
M00750|HMGA1,0.0028295907205672863,HMGA1
MS00838|ELF5,0.002832357007885716,ELF5
MS00016|ETV2,0.0029641147736525937,ETV2
MS00289|TFEB,0.0030264564947625468,TFEB
MC00163|Creb1,0.003161202616264308,Creb1
MC00439|TP63,0.00317117541719324,TP63
MS00207|TBX21,0.003175153172706543,TBX21
UP00020|ATF1,0.003239754914409675,ATF1
MC00169|Usf2,0.0032744331426664093,Usf2
UP00094|Zfp128,0.003281883644161301,Zfp128
