,0,TF
MS00430|DLX4,0.25456752366234514,DLX4
MS00800|Sox1,0.2560339618486151,Sox1
MS00748|SOX14,0.2563525850192089,SOX14
M01445|Obox6,0.25821396754632153,Obox6
MC00416|Rbfox2,0.26184921899229774,Rbfox2
MS00459|GBX1,0.26225989125375077,GBX1
MS00626|VSX1,0.2637262231077174,VSX1
MS00277|OLIG2,0.2645362320133308,OLIG2
MS00473|HMX1,0.26510337613821866,HMX1
MC00411|BATF,0.26586388389745647,BATF
MS00083|MEIS2,0.26597924345416585,MEIS2
MC00117|GATA6,0.2687112038120952,GATA6
UP00169|LMX1B,0.2746403724573705,LMX1B
M01326|GSX2,0.28642884931071566,GSX2
UP00161|Hmbox1,0.2902536485338823,Hmbox1
MS00429|DLX3,0.2907810991070628,DLX3
MS00197|TBX1,0.29314498066704076,TBX1
MC00280|NR4A1,0.2965174902971998,NR4A1
MC00349|Jun,0.2990167743709929,Jun
UP00126|DLX2,0.30136160959254177,DLX2
MC00162|LMO2,0.30147151068104394,LMO2
MC00204|Stat5b,0.3041265779680015,Stat5b
MC00330|FOS,0.304342657065991,FOS
MS00192|TBX15,0.3044403021407596,TBX15
MS00536|LHX2,0.31162101533076525,LHX2
MC00325|Gata2,0.31926254274743177,Gata2
UP00113|HOXC4,0.3255122617589441,HOXC4
MS00605|RAXL1,0.32898269478601466,RAXL1
UP00189|HOXA5,0.32972409871929786,HOXA5
MS00086|Meis2,0.33264125004619227,Meis2
MS00606|RAX,0.3340301863934064,RAX
MS00388|Foxc1,0.3344889750518798,Foxc1
MS00634|CUX2,0.3386532687515917,CUX2
MS00563|Meox2,0.3401757573798598,Meox2
MC00105|Foxa2,0.34286899218935796,Foxa2
MC00287|POU2F2,0.344523266308632,POU2F2
M01709|MAFA,0.3446877321241365,MAFA
MS00519|Hoxd13,0.34570606335285103,Hoxd13
MS00617|UNCX,0.3458718286899456,UNCX
MS00556|GRHL1,0.34624408669557477,GRHL1
UP00206|Hoxb7,0.349894242940796,Hoxb7
MS00692|RXRB,0.35048191581745414,RXRB
MS00641|Esrra,0.3511351592409296,Esrra
MC00122|Cebpa,0.35177461471158583,Cebpa
MS00282|Srebf1,0.35660103572727603,Srebf1
MS00441|EMX1,0.35685611874736944,EMX1
M01108|HOXA7,0.3596039358295153,HOXA7
MS00487|HOXA2,0.36127481168029735,HOXA2
MS00771|SOX8,0.3614370243541858,SOX8
MS00614|SHOX,0.3621258165253368,SHOX
MS00599|PRRX1,0.36766188918725556,PRRX1
UP00262|Lhx1,0.3677650629108107,Lhx1
UP00078|ARID3A,0.36968746677095565,ARID3A
MC00389|CDX2,0.37209643782360763,CDX2
UP00168|Hoxd8,0.37874433555404885,Hoxd8
MS00106|NFAT5,0.3793735286199649,NFAT5
MS00740|SOX10,0.379548931303701,SOX10
MS00191|TBR1,0.38137717666228005,TBR1
MC00355|SRF,0.381591059778216,SRF
MS00264|MESP1,0.3829781768453714,MESP1
MS00222|TEAD3,0.38423124405957243,TEAD3
UP00129|Pou3f1,0.38470269172576793,Pou3f1
MS00475|HMX3,0.3856860800640205,HMX3
UP00254|POU2F1,0.38626885069218425,POU2F1
UP00170|Isl2,0.3864775399600348,Isl2
M00465|POU6F1,0.3887880006721441,POU6F1
MS00513|HOXD8,0.3911628401018731,HOXD8
MC00272|CEBPB,0.39292986272982466,CEBPB
UP00215|Vax1,0.3940554666012551,Vax1
MC00348|STAT1,0.4006970139087102,STAT1
MS00788|SRY,0.40643808758630307,SRY
MS00045|GATA5,0.40697979968390563,GATA5
MS00439|Dlx1,0.4072067873040025,Dlx1
MC00508|Batf,0.40930397047673406,Batf
MS00253|CLOCK,0.4101323865189773,CLOCK
MA0103|ZEB1,0.4116995426419494,ZEB1
MC00511|Rxrg,0.4117381119424004,Rxrg
MS00202|TBX20,0.41495903288423575,TBX20
MC00217|FOXA2,0.4166799998963757,FOXA2
MS00084|MEIS3,0.4217745278999624,MEIS3
MC00120|GATA1,0.4224093564530431,GATA1
MS00438|DUXA,0.42568844111799675,DUXA
UP00259|HOXB6,0.4301325267739079,HOXB6
UP00119|Nkx2-9,0.4302842256100352,Nkx2-9
MS00811|RARB,0.4325080397977601,RARB
MS00521|Hoxd3,0.43317484198878775,Hoxd3
MS00589|PDX1,0.4351278374109625,PDX1
MS00243|Ascl2,0.4354559178001398,Ascl2
MC00293|Gfi1b,0.43665042558228484,Gfi1b
MS00465|GSX1,0.4397236546791423,GSX1
MS00443|EMX2,0.441466116649219,EMX2
MS00532|Irx3,0.4491448962470125,Irx3
M00495|BACH1,0.450608542784004,BACH1
MS00474|HMX2,0.4523047508501786,HMX2
MC00507|Meis1,0.45979405471801416,Meis1
UP00197|HOXC9,0.46055740651677346,HOXC9
MS00144|POU3F3,0.46748966393933367,POU3F3
M01268|NR1H4,0.4679696907829286,NR1H4
MS00516|Hoxa2,0.4685834622026065,Hoxa2
UP00045|MAFB,0.47106377949831635,MAFB
UP00082|Zfp187,0.47218126511473646,Zfp187
M00105|CUX1,0.4735259353329747,CUX1
MS00454|EVX1,0.47434749978404955,EVX1
MS00470|HESX1,0.48113877631287283,HESX1
MS00355|FOXD2,0.48191019708355187,FOXD2
MS00249|BHLHE22,0.4880084668962703,BHLHE22
MA0152|NFATC2,0.4893257105926282,NFATC2
MS00717|Tp53,0.49145716173264153,Tp53
MS00254|FIGLA,0.49278817533936736,FIGLA
UP00105|POU3F4,0.4941346305146098,POU3F4
MS00547|Lhx4,0.49620451729371595,Lhx4
MS00152|POU5F1P1,0.4975609690342807,POU5F1P1
UP00041|Foxj1,0.49855133272568253,Foxj1
M01300|HMGA2,0.49915651651959514,HMGA2
MS00572|NKX3-1,0.5012843238230859,NKX3-1
MS00750|SOX15,0.5035617960978613,SOX15
MS00168|PRDM1,0.5046700193946974,PRDM1
M00454|ARID5B,0.5156729886827295,ARID5B
M00294|Foxf1a,0.5176425415336678,Foxf1a
UP00177|Hoxd12,0.5180926187743448,Hoxd12
M01483|Dbx1,0.5186205169777945,Dbx1
MS00586|Otx1,0.5189423009323015,Otx1
M00999|AIRE,0.5223445648659504,AIRE
MC00303|Sox2,0.5249761995735308,Sox2
UP00214|HOXB5,0.5265384892916125,HOXB5
UP00242|HOXC8,0.5282378423496088,HOXC8
MC00452|STAT5B,0.5312845962720475,STAT5B
MC00233|Pou5f1,0.5344135749281147,Pou5f1
MS00129|POU1F1,0.5382144480189746,POU1F1
UP00241|HOXD3,0.5384498837720045,HOXD3
MS00054|Tcf7,0.5437730415862487,Tcf7
UP00101|Sox12,0.5447271777616105,Sox12
UP00166|BARHL1,0.5448012088445473,BARHL1
MS00261|ID4,0.5455890820999413,ID4
MS00803|Sox3,0.5487067352689499,Sox3
UP00185|PBX1,0.5497147471851904,PBX1
UP00182|HOXA6,0.5504596484509732,HOXA6
MS00627|VSX2,0.5510205594331397,VSX2
MS00139|POU3F1,0.551570031905521,POU3F1
MS00280|OLIG3,0.5593905907519952,OLIG3
MS00425|CDX1,0.5594426773927559,CDX1
MS00551|MEOX1,0.5636975121335182,MEOX1
MS00728|ZNF232,0.5687885177518404,ZNF232
MS00604|Prrx2,0.5710775174970053,Prrx2
MS00490|ZSCAN4,0.5717087976375853,ZSCAN4
UP00212|LHX5,0.5718329301441636,LHX5
UP00145|BARHL2,0.5855326131961616,BARHL2
MS00452|ESX1,0.5880095661881423,ESX1
MS00149|POU4F2,0.5881762079599662,POU4F2
UP00040|Irf5,0.5921224535174237,Irf5
M01282|PPARA,0.5941103687909262,PPARA
UP00140|Hoxd1,0.5988936848042374,Hoxd1
MS00543|LMX1A,0.6009418455680668,LMX1A
MC00453|STAT5A,0.6017720895185342,STAT5A
UP00096|SOX13,0.606369136697636,SOX13
M00712|MYOG,0.6098528303814017,MYOG
MS00151|POU4F3,0.6123627858480323,POU4F3
MC00250|Nkx3-1,0.6139735818820542,Nkx3-1
MS00708|Rxrb,0.6162933503252939,Rxrb
UP00130|LHX3,0.622814390547163,LHX3
MS00201|SNAI2,0.6288697177787657,SNAI2
MC00154|Jund,0.6329836289566718,Jund
MS00406|Alx1,0.639131610133024,Alx1
MS00402|ALX3,0.6421441146901492,ALX3
MS00621|VAX2,0.6423297356806353,VAX2
M01230|ZNF333,0.6524639675657993,ZNF333
MC00347|STAT4,0.6608903331795666,STAT4
MC00146|Smad2/3,0.6609252677802314,Smad2/3
MS00756|E2F7,0.6663001724914737,E2F7
MC00226|Nanog,0.6704605409683021,Nanog
UP00147|Nkx2-6,0.6756658310243409,Nkx2-6
MS00075|MEF2B,0.6757578305936467,MEF2B
MS00730|ZNF435,0.6771882814342296,ZNF435
MS00137|POU2F3,0.6772057235517872,POU2F3
MS00455|EVX2,0.678080748147714,EVX2
MS00449|EN1,0.6790014361069583,EN1
MC00329|Srf,0.6802379843423121,Srf
M01262|TBX18,0.6870222690963695,TBX18
UP00260|Hoxc6,0.6918395710636374,Hoxc6
M00159|CEBPA,0.6939833071051571,CEBPA
MS00155|POU6F2,0.6964454515888463,POU6F2
MC00309|TCF7L2,0.6982122065090695,TCF7L2
MC00455|Cdx2,0.6997561536618473,Cdx2
UP00080|Gata5,0.7046085748325621,Gata5
UP00244|TLX2,0.7067610065818162,TLX2
MS00245|BHLHA15,0.7074035606399599,BHLHA15
UP00237|Otp,0.7218689066104418,Otp
UP00064|Sox18,0.7228162644099526,Sox18
UP00194|IRX4,0.7255675559958833,IRX4
M01399|Hlx,0.726011625844331,Hlx
MS00432|DLX6,0.7302560633289318,DLX6
MS00501|Zfp652,0.7302913062840806,Zfp652
MS00422|Barhl1,0.7307192740442467,Barhl1
MS00373|FOXL1,0.7367779854686263,FOXL1
UP00238|Nkx6-3,0.743432241097901,Nkx6-3
MS00528|ISL2,0.7439118069202002,ISL2
UP00121|Hoxd10,0.7441386729481372,Hoxd10
MS00575|NKX6-1,0.7442692606484971,NKX6-1
MC00195|Myf5,0.7494623837137327,Myf5
MC00205|Stat5a,0.7514760263140895,Stat5a
MA0031|FOXD1,0.7520743932028275,FOXD1
M01694|Yy2,0.764805149035954,Yy2
M01075|ZBTB16,0.7664203398482213,ZBTB16
M01149|Dmrta1,0.7668109821264966,Dmrta1
MS00250|BHLHE23,0.7696388015491116,BHLHE23
M00405|MEF2A,0.776051612297225,MEF2A
MC00396|Nr3c1,0.785937473836562,Nr3c1
MC00341|Olig2,0.791017964354846,Olig2
MS00479|ZNF784,0.7946265940610858,ZNF784
MS00539|LHX6,0.7998136729637821,LHX6
UP00207|HOXB9,0.8040871091042112,HOXB9
M01650|NR2E3,0.805539132243735,NR2E3
MS00564|Msx3,0.8148434388585144,Msx3
M01151|Dmrtc2,0.8157302613316715,Dmrtc2
MS00753|SOX18,0.8206753830367443,SOX18
MS00276|OLIG1,0.8215997235174106,OLIG1
MC00456|JUND,0.8224701105436749,JUND
M01723|SATB1,0.8239344613253948,SATB1
MS00076|MEF2D,0.8239702387522694,MEF2D
M01150|Dmrta2,0.8240228745347171,Dmrta2
MS00387|FOXP3,0.8263509459856222,FOXP3
M00062|IRF1,0.837182467019656,IRF1
MS00577|NKX6-2,0.8417796926252124,NKX6-2
MS00557|MNX1,0.8441766814268712,MNX1
MS00581|Nkx6-1,0.846843308415895,Nkx6-1
MS00620|VAX1,0.8491465418295353,VAX1
MS00051|LEF1,0.8507922390495744,LEF1
MS00033|SPDEF,0.8536348926271284,SPDEF
MS00440|Dlx2,0.8564195235939951,Dlx2
MC00265|Tcf3,0.8608832047560061,Tcf3
MS00609|RHOXF1,0.8665446305567194,RHOXF1
MS00269|MYF6,0.870828624438971,MYF6
UP00071|Sox21,0.8737602478916582,Sox21
MS00573|NKX3-2,0.8745093965373307,NKX3-2
M00289|FOXI1,0.879874745885822,FOXI1
MA0125|Nobox,0.8809787873216814,Nobox
MS00431|DLX5,0.882062045980581,DLX5
M01004|IKZF2,0.8903727978063147,IKZF2
MS00424|CART1,0.8938512599077196,CART1
MS00427|DLX1,0.8940305750235452,DLX1
MC00369|Myod1,0.8974040314115184,Myod1
MS00126|PAX7,0.9030713013159528,PAX7
MC00165|Pdx1,0.908875872962338,Pdx1
UP00261|LHX4,0.9095456608205513,LHX4
MS00291|Tcf21,0.9106637841883025,Tcf21
UP00150|IRX6,0.9145871084800012,IRX6
MS00437|DRGX,0.9204035439161669,DRGX
MS00092|PKNOX2,0.9231448624153633,PKNOX2
MC00305|Sox6,0.9256964352761895,Sox6
MS00148|POU4F1,0.9264834090679348,POU4F1
MS00807|MSC,0.9320096365436424,MSC
MS00662|NR3C2,0.9337169694640283,NR3C2
M01148|DMRT3,0.9376724123066816,DMRT3
MS00450|EN2,0.9411888807878456,EN2
MS00408|Alx4,0.941836549903153,Alx4
MC00474|BCL11A,0.9447192527011252,BCL11A
M01312|NKX2-1,0.9484372926163798,NKX2-1
MA0040|Foxq1,0.9485020715351892,Foxq1
M00420|MEIS1::HOXA9,0.9488048484608129,MEIS1::HOXA9
MS00578|NOTO,0.9512646288504173,NOTO
MS00055|HOMEZ,0.9542990170954928,HOMEZ
UP00211|Pou3f3,0.9575352343411186,Pou3f3
MS00593|PHOX2B,0.9576929833152195,PHOX2B
MS00624|VENTX,0.9583751488199465,VENTX
UP00004|Sox14,0.9601639654625154,Sox14
MS00731|ZNF713,0.9609342946965073,ZNF713
MS00287|TFAP4,0.9644212147562845,TFAP4
UP00044|Mafk,0.9648814540415276,Mafk
MS00561|MSX2,0.9752079615631905,MSX2
M01127|ISL1,0.9792490726842003,ISL1
MS00096|TGIF2,0.9811844639601618,TGIF2
MC00378|POU5F1,0.9821317008871149,POU5F1
MC00354|Neurod1,0.9835264912254594,Neurod1
MS00597|PROP1,0.9913344531768388,PROP1
MS00405|ARX,0.991511145074631,ARX
UP00114|Homez,0.9924740123072321,Homez
UP00218|Dbx2,0.9926910834202831,Dbx2
MS00093|Pknox2,0.9954271434864816,Pknox2
MS00094|TGIF1,0.9970058916101857,TGIF1
MS00091|PKNOX1,0.9971682552369803,PKNOX1
MS00095|TGIF2LX,0.9993146473126419,TGIF2LX
