Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
KLF15,M01714;4.41E-09,,,,
PAX5,MC00332;8.02E-09,MA0014;1.39E-07,M00143;2.11E-05,,
BRCA1,MC00299;2.39E-08,,,,
DEAF1,M01002;2.75E-08,,,,
Tcfap2c,UP00087;5.34E-08,,,,
E2F1,MC00182;7.32E-08,MS00815;5.00E-06,,,
ETV3,MC00160;7.67E-08,,,,
Egr3,MS00789;7.89E-08,,,,
E2f3,MC00510;8.49E-08,,,,
ZBTB33,MC00418;8.89E-08,M01119;1.33E-02,,,
ZBTB7B,MS00312;1.15E-07,M01175;1.40E-05,,,
ZIC1,M00448;1.61E-07,MS00334;1.31E-06,UP00102;4.16E-06,,
ZIC2,M00449;2.12E-07,UP00057;1.21E-05,,,
Tcfap2a,MS00239;2.26E-07,MS00240;2.78E-07,MS00241;3.32E-06,,
TFAP2B,MS00228;2.30E-07,MS00229;3.09E-06,MS00230;2.30E-05,,
Tcfap2b,UP00010;2.52E-07,,,,
ETV1,MC00427;2.63E-07,,,,
HINFP1,MS00079;3.11E-07,MS00090;3.85E-07,,,
TEAD2,M00695;3.68E-07,,,,
PAX8,M00717;3.75E-07,,,,
ZNF143,MC00391;4.35E-07,,,,
E2f4,MC00158;4.91E-07,,,,
ZIC3,MS00346;5.64E-07,,,,
GABPB1,M00341;5.64E-07,,,,
XBP1,UP00330;7.56E-07,MS00342;1.88E-03,,,
ZBTB6,M00085;8.96E-07,,,,
E2F2,UP00001;8.96E-07,MS00712;1.63E-01,,,
ZNF711,MC00477;1.10E-06,,,,
EGR3,MS00567;1.14E-06,,,,
PLAGL1,UP00088;1.18E-06,,,,
Zscan10,M01742;1.26E-06,,,,
TFAP2C,MC00374;1.29E-06,,,,
EGR4,MS00678;1.34E-06,,,,
Ovol2,M01104;1.45E-06,,,,
KLF13,MS00124;1.49E-06,,,,
PAX3,M00327;1.60E-06,MS00119;9.61E-01,,,
Tcfap2e,UP00028;1.80E-06,,,,
Zfp161,UP00065;1.86E-06,,,,
RUNX2,MS00173;1.92E-06,MS00174;5.16E-05,MC00215;3.33E-02,,
Zic3,MS00523;1.97E-06,UP00006;6.59E-06,,,
E2F1::TFDP2,M00737;1.99E-06,,,,
ZBTB7C,MS00323;2.12E-06,,,,
EGR1,MC00320;2.32E-06,,,,
TFAP2A,MS00227;2.40E-06,MC00530;9.21E-06,,,
PATZ1,M00491;2.44E-06,,,,
PAX4,M00373;2.52E-06,M00378;7.55E-05,MS00121;7.76E-01,,
ETV6,MS00021;2.82E-06,,,,
Etv6,UP00418;2.99E-06,,,,
E2F4,MC00523;3.69E-06,,,,
SP8,MS00246;3.97E-06,,,,
E2F3,UP00003;4.00E-06,MS00734;7.33E-02,,,
ZNF589,M01109;4.19E-06,,,,
Klf7,UP00093;4.30E-06,,,,
SREBF2,M01177;4.36E-06,MS00281;3.48E-01,,,
PLAG1,MA0163;4.40E-06,,,,
GCM1,MS00048;4.51E-06,MS00047;1.66E-03,,,
KLF14,MS00135;4.62E-06,,,,
NR2C2,MC00509;4.65E-06,MS00651;1.42E-02,,,
E2F1::TFDP1,M00736;4.80E-06,,,,
ZNF219,M01122;4.84E-06,,,,
SP2,M01783;5.76E-06,,,,
ZBTB7A,MC00376;5.81E-06,MS00301;1.03E-05,M01100;1.30E-05,,
ELK4,MC00207;6.59E-06,,,,
Nkx1-1,M01334;7.35E-06,,,,
EGR2,MC00319;7.70E-06,,,,
Spdef,UP00038;9.07E-06,,,,
Rfx2,MS00171;1.03E-05,MS00170;1.59E-01,,,
ZIC4,MS00357;1.04E-05,,,,
Rfx1,MC00144;1.12E-05,,,,
ETV5,MS00019;1.20E-05,,,,
ELF1,MC00457;1.25E-05,,,,
WT1,M01118;1.36E-05,,,,
Egr2,MC00430;1.37E-05,,,,
AHR,M00139;1.39E-05,,,,
Rara,MC00252;1.39E-05,MS00698;4.06E-01,,,
Tbx3,MC00221;1.40E-05,,,,
MTF1,M01243;1.47E-05,MS00725;4.07E-05,,,
GABPA,MC00367;1.56E-05,,,,
RREB1,MA0073;1.57E-05,,,,
Osr2,UP00052;1.98E-05,,,,
Zfx,MC00328;2.08E-05,,,,
Zfp281,UP00021;2.11E-05,,,,
SP3,M00665;2.14E-05,MS00223;3.65E-05,,,
ELF4,MS00834;2.15E-05,,,,
FOXN1,M00332;2.20E-05,,,,
TFCP2L1,M01592;2.43E-05,,,,
GLIS2,MS00035;2.44E-05,,,,
GCM2,MS00050;2.65E-05,,,,
E4F1,M00694;2.69E-05,,,,
ERF,MS00846;2.81E-05,,,,
E2F6,MC00254;3.18E-05,M01252;1.90E-03,,,
NFKB2,MS00111;3.25E-05,,,,
HES1,M01009;3.28E-05,,,,
ESRRG,MS00638;3.42E-05,,,,
VDR,M00444;3.50E-05,MC00412;7.75E-04,M00961;9.04E-04,,
Tfcp2,MC00518;3.52E-05,,,,
Glis2,UP00024;3.65E-05,,,,
ETV4,MS00018;3.76E-05,,,,
STAT6,M00500;4.28E-05,,,,
CENPB,MS00534;4.28E-05,,,,
Klf4,MC00109;4.28E-05,,,,
ETS1,MS00851;4.91E-05,MC00278;2.13E-03,,,
SP4,MS00235;5.05E-05,,,,
FLI1,MS00027;5.19E-05,MC00398;3.85E-03,,,
RFX3,MC00203;5.30E-05,,,,
Elf5,MS00022;5.54E-05,,,,
ELK1,MC00206;5.70E-05,,,,
SP1,MS00212;6.11E-05,MC00113;3.52E-04,,,
HMGN1,MC00502;6.16E-05,,,,
Pax5,MC00257;6.42E-05,,,,
SMAD4,M00733;7.09E-05,MC00392;4.69E-02,,,
DMBX1,MS00433;7.76E-05,,,,
ELF2,UP00404;8.98E-05,,,,
Zbtb3,UP00031;9.10E-05,,,,
GLIS1,MS00024;9.36E-05,,,,
CREB3L1,MS00304;1.10E-04,,,,
Gm5454,UP00423;1.10E-04,,,,
NR0B1,M01248;1.13E-04,,,,
Sfpi1,UP00085;1.20E-04,MC00180;2.24E-01,MC00395;2.24E-01,,
GLI1,M01037;1.21E-04,,,,
MGA,MS00188;1.22E-04,MS00186;5.40E-02,,,
Klf12,MS00157;1.24E-04,,,,
ESR2,MC00333;1.52E-04,,,,
GMEB2,MS00182;1.55E-04,MS00183;4.92E-04,MS00721;4.50E-03,,
Klf1,MC00110;1.64E-04,,,,
PAX2,MS00118;1.84E-04,M00486;5.36E-04,MA0067;9.72E-04,,
ATF4,M00514;1.86E-04,MS00293;1.61E-01,,,
ERG,MC00168;1.86E-04,MS00848;1.47E-03,,,
Rest,MC00125;1.94E-04,,,,
Osr1,UP00027;2.02E-04,,,,
Gmeb1,UP00084;2.11E-04,,,,
