,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
47414|GABPA,0.0006443233543452726,Homo sapiens,GABPA,tf,Jurkat,T Lymphocyte,Blood,1
46341|REST,0.0012910996257012456,Homo sapiens,REST,tf,SK-N-SH,Neuroblastoma cell,Brain,1
45874|JUN,0.0015622423252910239,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1
2078|JUN,0.0015622423252910239,Homo sapiens,JUN,tf,K562,Erythroblast,Bone Marrow,1
42220|STAT3,0.001604956915218345,Homo sapiens,STAT3,tf,U-2932,B Lymphocyte,None,1
36314|RELA,0.001955624667589125,Homo sapiens,RELA,tf,GM19099,Lymphoblastoid,Blood,1
56953|SPI1,0.00210552329407115,Homo sapiens,SPI1,predicted transcription factor,RS4,B Lymphocyte,None,1
46038|MXI1,0.0022073131609138684,Homo sapiens,MXI1,tf,SK-N-SH,Neuroblastoma cell,Brain,1
77261|ZNF597,0.002386912520479182,Homo sapiens,ZNF597,tf,GM12878,B Lymphocyte,Blood,1
4940|RELA,0.003069506563713046,Homo sapiens,RELA,tf,GM19193,Lymphoblastoid,Blood,1
44433|TAL1,0.0034468395493331906,Homo sapiens,TAL1,tf,None,None,Cord blood,1
46135|SP1,0.0036416262785449655,Homo sapiens,SP1,predicted chromatin regulator,GM12878,B Lymphocyte,Blood,1
72366|TCF4,0.003981744603274993,Homo sapiens,TCF4,tf,Gen2.2,Plasmacytoid dendritic cell,None,1
64734|IKZF1,0.004041118153290068,Homo sapiens,IKZF1,tf,GM12878,B Lymphocyte,Blood,1
69615|CDK7,0.004061084748254291,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1
45679|RELA,0.004162248327938259,Homo sapiens,RELA,tf,GM19193,Lymphoblastoid,Blood,1
45871|ATF1,0.004224023080076667,Homo sapiens,ATF1,tf,K562,Erythroblast,Bone Marrow,1
43592|CDK7,0.0043927832967245945,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1
45674|RELA,0.004501293317413268,Homo sapiens,RELA,tf,GM18951,Lymphoblastoid,Blood,1
45676|RELA,0.004589818010365517,Homo sapiens,RELA,tf,GM19099,Lymphoblastoid,Blood,1
33526|ESR1,0.004748481352446773,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
45641|RELA,0.004771542433403698,Homo sapiens,RELA,tf,GM12878,B Lymphocyte,Blood,1
46183|SIN3A,0.004771542433403698,Homo sapiens,SIN3A,tf,H1,Embryonic Stem Cell,Embryo,1
45903|RCOR1,0.005381480878223702,Homo sapiens,RCOR1,both predicted transcription factor and chromatin regulator,K562,Erythroblast,Bone Marrow,1
46345|TAF1,0.0055642477799821635,Homo sapiens,TAF1,tf,SK-N-SH,Neuroblastoma cell,Brain,1
45866|MXI1,0.005590802524007708,Homo sapiens,MXI1,tf,IMR90,Fibroblast,Lung,1
45656|EBF1,0.005725271733266229,Homo sapiens,EBF1,tf,GM12878,B Lymphocyte,Blood,1
45774|MXI1,0.0061460628029286635,Homo sapiens,MXI1,tf,HeLa-S3,Epithelium,Cervix,1
75042|TP53,0.006175065847620227,Homo sapiens,TP53,predicted transcription factor,MDA-MB-231,None,Breast,1
47413|GABPA,0.006351643575830494,Homo sapiens,GABPA,tf,Jurkat,T Lymphocyte,Blood,1
37169|MYC,0.006502190531534177,Homo sapiens,MYC,tf,MM1.S,B Lymphocyte,Blood,1
36303|RELA,0.006624891791958031,Homo sapiens,RELA,tf,GM19099,Lymphoblastoid,Blood,1
46338|REST,0.006687006622974663,Homo sapiens,REST,tf,PFSK-1,Neuron,Brain,1
34565|SPI1,0.006876450418356332,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0
42481|STAG1,0.0072027365259576485,Homo sapiens,STAG1,not sure,GM19239,Lymphoblastoid,Blood,1
43110|MED1,0.007337027158485054,Homo sapiens,MED1,predicted transcription factor,CUTLL1,T Lymphocyte,Blood,1
53297|ERG,0.007473519940672409,Homo sapiens,ERG,other,TSU-1621-MT,None,None,1
564|VDR,0.007612244821123971,Homo sapiens,VDR,tf,GM10861,Lymphocyte,Blood,1
46117|ETS1,0.007717771475331534,Homo sapiens,ETS1,tf,GM12878,B Lymphocyte,Blood,1
69767|BRD4,0.007717771475331534,Homo sapiens,BRD4,cr,MV4;11,Leukemia Cell,Blood,1
45737|GTF2F1,0.007896512120976504,Homo sapiens,GTF2F1,tf,HeLa-S3,Epithelium,Cervix,1
46360|SIN3A,0.00800549540525858,Homo sapiens,SIN3A,tf,SK-N-SH,Neuroblastoma cell,Brain,1
4960|RELA,0.008042115889294583,Homo sapiens,RELA,tf,GM10847,Lymphoblastoid,Blood,1
