,coefficients,cell_line,cell_type,tissue
62043,0.6577803012401469,K562,Erythroblast,Bone Marrow
1821,-0.592961094548311,IMR90,Fibroblast,Lung
61977,0.5735107701640307,IMR90,Fibroblast,Lung
61907,0.2563277524823346,,,
59496,-0.234178140615689,,,Fetal Heart
57459,-0.18738394296797667,K562,Erythroblast,Bone Marrow
51201,-0.1403222266897557,GM18519,Lymphoblastoid,
57465,-0.11404923184233678,K562,Erythroblast,Bone Marrow
51188,-0.09991748642490547,GM19131,Lymphoblastoid,
57453,-0.0404846394821304,K562,Erythroblast,Bone Marrow
