,coefficients,cell_line,cell_type,tissue
51646,-0.7753747788820446,,Stromal Cell,
63927,0.6135491380758513,A549,Epithelium,
64049,0.5558927900243151,HAP-1,,
44921,-0.5120472579635456,GM12878,Lymphoblastoid,Blood
44908,0.45684166315295743,,Haematopoietic Progenitor Cell,Blood
64337,-0.4364432801272545,K562,Erythroblast,
41104,-0.4286451334629055,,Fibroblast,Periodontal Ligament
64393,0.30793784398803836,,,Heart
3151,0.28112985288964387,,Epithelium,Kidney
44911,-0.23063752387260134,CMK,Megakaryocyte,Blood
