Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
EGR1,46126;5.14E-10,46298;1.89E-07,46214;3.74E-07,46319;1.40E-02,46086;1.47E-01
NFE2,67768;1.06E-09,50381;1.71E-08,39357;8.03E-08,33294;5.70E-01,63878;8.34E-01
BRD4,36299;3.25E-09,69773;7.69E-09,69770;1.22E-08,75562;3.42E-08,40217;4.68E-08
POLR2AphosphoS5,63406;3.38E-09,63407;2.41E-08,64761;2.17E-04,64760;1.00E+00,
CREB1,56047;4.51E-09,46141;3.65E-07,56050;6.15E-07,67718;9.18E-07,56051;1.10E-06
BCL3,63002;4.94E-09,64914;8.82E-08,62932;1.60E-07,64102;3.53E-07,64913;3.89E-07
CDK7,40055;8.59E-09,43592;9.67E-08,69615;1.05E-07,40053;1.98E-06,43739;5.98E-01
ETS1,43097;1.08E-08,37945;2.70E-06,46278;6.02E-06,72625;7.92E-06,1938;1.58E-04
CDK9,33123;1.28E-08,40227;2.27E-06,69879;2.65E-06,74308;5.37E-06,33888;8.14E-06
HEY1,7527;1.91E-08,7341;3.96E-08,42664;1.00E+00,,
RELA,5389;2.06E-08,4939;1.10E-06,4974;1.38E-06,36314;1.47E-06,5388;3.63E-06
KDM5B,47267;2.56E-08,45390;2.42E-07,8791;2.83E-07,47283;1.28E-06,47276;3.91E-06
ERG,53296;3.58E-08,37583;1.08E-07,33458;4.48E-07,37639;1.36E-06,37633;3.41E-06
KMT2A,77486;3.65E-08,73708;1.74E-07,73710;4.68E-06,73707;6.71E-06,73715;3.86E-04
SP1,46060;3.98E-08,46135;1.68E-07,70812;7.98E-07,70814;1.22E-06,46215;1.72E-06
MAX,33175;4.02E-08,33194;9.66E-08,45778;1.45E-07,45749;1.63E-07,38119;1.63E-07
E2F1,44325;4.57E-08,75043;8.31E-08,44324;1.26E-07,44320;1.41E-07,2280;2.11E-07
TAF1,46282;4.92E-08,46258;1.87E-07,46196;3.17E-07,46197;8.12E-06,46221;1.00E+00
SPI1,50878;5.84E-08,53299;1.93E-07,53298;5.27E-07,46272;3.07E-05,67927;1.27E-04
MAZ,74571;5.93E-08,45788;4.37E-07,45924;6.76E-07,45867;9.76E-07,45761;1.46E-05
RUNX1,37638;6.04E-08,49536;3.47E-07,55493;3.47E-07,72352;6.81E-07,72094;8.17E-07
JUND,46232;6.10E-08,46191;1.65E-07,46213;9.80E-07,7488;6.71E-06,38758;8.93E-05
GATA1,39352;6.67E-08,38797;1.83E-01,67773;2.21E-01,8408;4.67E-01,46026;5.73E-01
GABPA,63207;7.78E-08,46237;4.81E-07,56046;8.21E-07,56045;2.85E-06,63208;6.53E-06
TBP,45684;8.02E-08,45881;1.93E-07,45791;5.70E-07,45781;2.12E-06,50163;2.33E-06
FLI1,37057;8.94E-08,37056;9.47E-08,72360;2.38E-07,5443;2.55E-06,53301;3.77E-05
SIN3A,46236;9.04E-08,46208;3.83E-07,46327;1.40E-04,46057;9.76E-01,64868;9.95E-01
KLF1,39350;9.31E-08,64685;1.09E-03,65188;1.09E-03,64686;2.82E-02,63869;5.78E-01
