,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
34565|SPI1,1.704521783407444e-09,Homo sapiens,SPI1,predicted transcription factor,None,Macrophage,None,0,SPI1
69456|TP53,3.4467058073213166e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1,TP53
2121|RUNX1,2.0900712992808215e-07,Homo sapiens,RUNX1,tf,K562,Erythroblast,Bone Marrow,1,RUNX1
49977|BRD4,3.3915903019175405e-06,Homo sapiens,BRD4,cr,90-8TL,Schwann Cell,Brain,1,BRD4
47328|FOXA1,4.983232841489187e-06,Homo sapiens,FOXA1,tf,DU145,Epithelium,Prostate,1,FOXA1
55730|GATA1,6.691488214867338e-06,Homo sapiens,GATA1,tf,K562,Erythroblast,Bone Marrow,1,GATA1
55895|T,9.71830171787724e-06,Homo sapiens,T,tf,None,Fibroblast,None,1,T
49861|ELF1,1.2545041799545261e-05,Homo sapiens,ELF1,tf,SK-N-MC,None,Brain,1,ELF1
44433|TAL1,1.3672918751174886e-05,Homo sapiens,TAL1,tf,None,None,Cord blood,1,TAL1
52681|FOXA2,2.1018053769880232e-05,Homo sapiens,FOXA2,tf,CyT49,Embryonic Stem Cell,Embryo,1,FOXA2
68051|NFKB1,2.1332103233428887e-05,Homo sapiens,NFKB1,tf,L1236,Hodgkin Lymphoma Cell,None,1,NFKB1
37623|MYH11,2.674146565821983e-05,Homo sapiens,MYH11,not sure,ME-1,Leukemia Cell,None,1,MYH11
43305|CDK6,2.8770163185446368e-05,Homo sapiens,CDK6,predicted transcription factor,None,None,None,1,CDK6
1741|FOS,4.351680003717791e-05,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1,FOS
50434|ELK3,4.351680003717791e-05,Homo sapiens,ELK3,tf,None,Endothelial Cell,Umbilical Vein,1,ELK3
49869|GABPA,4.922650218273569e-05,Homo sapiens,GABPA,tf,SK-N-MC,None,Brain,1,GABPA
56127|APOBEC3B,5.409233294684375e-05,Homo sapiens,APOBEC3B,other,MCF-7,Epithelium,Breast,1,APOBEC3B
71748|SOX4,6.224928351916167e-05,Homo sapiens,SOX4,tf,None,Fibroblast,Fetal Lung,1,SOX4
46129|EBF1,6.521671214447774e-05,Homo sapiens,EBF1,tf,GM12878,B Lymphocyte,Blood,1,EBF1
56667|HOXB13,8.178557216228057e-05,Homo sapiens,HOXB13,tf,LHSAR,Epithelium,Prostate,1,HOXB13
70752|MYC,8.562132689436372e-05,Homo sapiens,MYC,tf,LNCaP,None,LNCaP cells,1,MYC
57640|IKZF1,8.881109572095829e-05,Homo sapiens,IKZF1,tf,Nalm6,B cell precursor,Blood,1,IKZF1
48994|AFF4,9.003581203474655e-05,Homo sapiens,AFF4,tf,HeLa,Epithelium,Cervix,1,AFF4
37936|ETS1,9.3805924842022e-05,Homo sapiens,ETS1,tf,None,Endothelial Cell,Umbilical Vein,1,ETS1
40164|RUNX1T1,9.8168771078711e-05,Homo sapiens,RUNX1T1,tf,Kasumi-1,Myeloblast,Blood,1,RUNX1T1
73720|CREBBP,0.00010459788532902368,Homo sapiens,CREBBP,cr,None,B Lymphocyte,Tonsil,1,CREBBP
50112|MAFB,0.00010844710719546492,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
44876|5HMC,0.00011812865464113335,Homo sapiens,5HMC,other,None,Erythroid Cell,None,1,5HMC
65147|EGR2,0.00012026764372868206,Homo sapiens,EGR2,tf,HEK293,Epithelium,Embryonic Kidney,1,EGR2
39359|SMAD3,0.0001240985559319973,Homo sapiens,SMAD3,tf,LX2,Hepatic Stellate Cell,None,1,SMAD3
36245|FLI1,0.0001257751626155836,Homo sapiens,FLI1,tf,None,Haematopoietic Progenitor Cell,Blood,1,FLI1
8770|CHD1,0.00013035056181969317,Homo sapiens,CHD1,predicted chromatin regulator,K562,Erythroblast,Bone Marrow,1,CHD1
48638|SPIB,0.00013210621925989485,Homo sapiens,SPIB,tf,OCI-Ly3,B Lymphocyte,Bone Marrow,1,SPIB
70816|SP1,0.00013269634791715084,Homo sapiens,SP1,predicted chromatin regulator,HCT-116,Colon cancer cell,Colon,1,SP1
67748|GATA2,0.00013448159582739905,Homo sapiens,GATA2,tf,LNCaP,Epithelium,Prostate,1,GATA2
48636|IRF4,0.00014185016724726547,Homo sapiens,IRF4,predicted transcription factor,OCI-Ly3,B Lymphocyte,Bone Marrow,1,IRF4
