Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
HSF4,MS00060;1.33E-05,,,,
HOXA3,UP00391;4.32E-05,,,,
RUNX1,M00082;5.25E-05,MC00312;4.19E-01,,,
MYBL1,MS00100;5.87E-05,MS00097;7.16E-04,,,
ETV2,MS00016;8.45E-05,,,,
MYBL2,MS00103;1.48E-04,MS00105;6.16E-04,MS00102;6.42E-02,,
SPIB,MA0081;1.97E-04,MS00039;2.84E-02,,,
HMBOX1,MS00472;2.34E-04,,,,
BARHL1,UP00166;2.57E-04,,,,
PDX1,MS00589;3.07E-04,MS00588;4.35E-02,,,
Mybl1,UP00081;3.95E-04,,,,
Hoxd1,UP00140;4.49E-04,,,,
TP53,MC00359;4.76E-04,,,,
BATF,MC00411;5.07E-04,,,,
POU2F1,UP00254;5.15E-04,MS00132;4.89E-02,MC00288;1.03E-01,MS00131;2.62E-01,
MYB,UP00092;5.58E-04,,,,
Trp63,M01656;5.82E-04,,,,
Etv6,UP00418;6.01E-04,,,,
VSX1,MS00626;6.76E-04,,,,
POU4F1,MS00148;7.78E-04,,,,
HOXC4,UP00113;8.66E-04,,,,
Hsf1,MC00368;9.43E-04,,,,
Creb3l2,MS00311;9.54E-04,,,,
TFCP2,MS00579;9.60E-04,M00072;2.14E-01,,,
MAF,M00648;1.02E-03,M00983;1.97E-02,,,
POU3F2,MS00140;1.36E-03,UP00128;4.78E-03,MS00141;4.15E-01,,
Alx1,MS00406;1.44E-03,MS00407;7.26E-02,,,
SMAD3,UP00000;1.48E-03,MS00080;1.17E-01,MC00503;1.62E-01,,
POU4F2,MS00149;1.53E-03,,,,
RARA,UP00048;1.53E-03,,,,
SMAD1,M00792;1.54E-03,M01590;5.60E-02,,,
Hmbox1,UP00161;1.68E-03,,,,
DLX4,MS00430;1.89E-03,,,,
SRF,MC00355;1.92E-03,,,,
VAX2,MS00621;2.07E-03,,,,
HOXA5,UP00189;2.23E-03,,,,
CENPB,MS00534;2.26E-03,,,,
HOXC8,UP00242;2.27E-03,,,,
Rhox11,MS00611;2.33E-03,UP00193;9.39E-02,,,
HMGA1,M00750;2.34E-03,M01010;8.47E-02,,,
NR2E1,MS00652;2.50E-03,MS00653;4.41E-02,,,
SP1,MC00113;2.60E-03,MS00212;4.96E-02,,,
NKX2-5,UP00249;2.62E-03,M00241;3.45E-01,,,
Elf5,MS00022;2.64E-03,,,,
Fli1,MC00129;2.65E-03,,,,
Irf4,UP00018;2.76E-03,MC00190;4.55E-03,,,
PAX6,UP00224;2.88E-03,MS00125;2.70E-01,M00979;5.52E-01,,
Meox2,MS00563;2.90E-03,,,,
SHOX2,MS00613;2.91E-03,,,,
ATF7,MS00294;2.92E-03,,,,
HSF2,MS00059;2.97E-03,,,,
Evx2,UP00132;2.99E-03,,,,
ESRRG,MS00638;3.16E-03,,,,
Elk3,MS00023;3.20E-03,,,,
VDR,M00961;3.38E-03,MC00412;1.81E-02,M00444;6.19E-02,,
HOXC5,UP00252;3.42E-03,,,,
Irx3,MS00532;3.46E-03,UP00223;3.46E-02,,,
RUNX2,MS00174;3.48E-03,MS00173;1.25E-02,MC00215;3.25E-01,,
Pax7,UP00248;3.52E-03,MC00258;2.70E-02,,,
GRHL1,MS00556;3.57E-03,,,,
TEAD3,MS00221;3.61E-03,MS00222;2.92E-02,,,
Vax1,UP00215;3.64E-03,,,,
GBX1,MS00459;3.64E-03,,,,
HOXA4,UP00196;3.69E-03,M00640;1.95E-01,,,
HOMEZ,MS00055;3.71E-03,,,,
Hoxd9,MS00525;3.72E-03,MS00524;1.13E-01,,,
ELK1,MC00206;4.00E-03,,,,
PPARG,MC00142;4.01E-03,MA0066;1.00E-01,,,
ELF5,MS00838;4.17E-03,,,,
ETS1,MS00851;4.27E-03,MC00278;1.66E-02,,,
Hoxa11,MS00514;4.42E-03,MS00515;1.82E-01,,,
Jund,MC00154;4.47E-03,,,,
IRX6,UP00150;4.53E-03,,,,
BARHL2,UP00145;4.66E-03,MS00414;8.77E-03,MS00416;3.99E-02,,
Uncx,MS00619;4.80E-03,MS00618;6.22E-02,,,
Obox5,M01480;4.81E-03,,,,
Nkx1-1,M01334;4.87E-03,,,,
Lhx8,UP00184;4.89E-03,MS00550;3.39E-02,MS00548;6.48E-02,MS00549;1.13E-01,
MAFG,MS00327;5.11E-03,,,,
DLX2,UP00126;5.16E-03,MS00428;2.51E-02,,,
ELF1,MC00457;5.18E-03,,,,
Batf,MC00508;5.28E-03,,,,
NR0B1,M01248;5.36E-03,,,,
POU1F1,MS00129;5.39E-03,UP00158;1.90E-02,MS00130;1.77E-01,,
VAX1,MS00620;5.43E-03,,,,
ISX,MS00531;5.46E-03,,,,
NFATC4,M01734;5.49E-03,,,,
Creb5,MS00313;5.73E-03,,,,
JDP2,MS00320;5.83E-03,MS00319;3.99E-02,,,
Hoxb7,UP00206;5.87E-03,,,,
ZNF306,MS00401;5.90E-03,,,,
CEBPA,M00159;5.91E-03,MC00273;1.60E-01,,,
LHX9,MS00541;5.93E-03,MS00542;3.04E-02,,,
Hoxc6,UP00260;5.93E-03,,,,
HOXB13,MS00489;5.98E-03,MS00488;4.65E-01,,,
EMX2,MS00443;6.03E-03,MS00444;9.21E-02,,,
Sfpi1,UP00085;6.09E-03,MC00395;9.30E-03,MC00180;9.30E-03,,
SHOX,MS00614;6.12E-03,,,,
Shox2,MS00615;6.18E-03,,,,
Nfya,MC00191;6.22E-03,,,,
IRX2,UP00236;6.34E-03,MS00526;1.50E-01,,,
Gfi1b,MC00293;6.43E-03,,,,
HSF1,MC00289;6.62E-03,MA0319;1.05E-02,,,
ERG,MS00848;6.73E-03,MC00168;2.82E-02,,,
Myb,MC00408;6.94E-03,,,,
ETV4,MS00018;7.13E-03,,,,
FEV,MS00025;7.23E-03,,,,
JUND,MC00456;7.23E-03,,,,
ELK3,MS00844;7.32E-03,,,,
PAX4,MS00121;7.42E-03,M00373;1.16E-01,M00378;1.79E-01,,
HINFP1,MS00079;7.55E-03,MS00090;7.19E-02,,,
IRF3,UP00086;7.55E-03,,,,
Nr2f2,UP00009;7.64E-03,,,,
POU6F2,MS00155;7.65E-03,,,,
FOSL1,MC00351;7.74E-03,,,,
FOXL1,MS00373;7.86E-03,MS00372;8.12E-02,,,
IRF9,MS00073;7.88E-03,,,,
NFYA,MC00364;8.05E-03,,,,
ETV3,MC00160;8.13E-03,,,,
IRF4,MC00227;8.31E-03,MS00065;9.71E-03,,,
ATF4,MS00293;8.36E-03,M00514;1.06E-01,,,
HSFY2,MS00062;8.66E-03,MS00061;2.81E-01,,,
DLX3,MS00429;8.67E-03,,,,
Dlx1,MS00439;8.80E-03,,,,
GMEB2,MS00183;9.13E-03,MS00182;9.16E-03,MS00721;1.44E-01,,
FLI1,MC00398;9.15E-03,MS00027;9.19E-03,,,
UBP1,M00644;9.27E-03,,,,
Spi1,MC00506;9.30E-03,,,,
Zbtb3,UP00031;9.32E-03,,,,
UNCX,MS00617;9.39E-03,MS00616;7.03E-02,,,
TFAP2B,MS00229;9.46E-03,MS00228;5.14E-02,MS00230;4.77E-01,,
HBP1,UP00055;9.95E-03,,,,
HOXD8,MS00513;1.00E-02,,,,
ZNF217,M01306;1.01E-02,,,,
PITX1,MS00595;1.04E-02,,,,
TEAD1,MS00220;1.04E-02,MS00219;3.23E-02,,,
HOXA10,MS00480;1.06E-02,MS00481;3.74E-01,,,
Zfp105,UP00037;1.07E-02,,,,
KLF13,MS00124;1.07E-02,,,,
E2F8,MS00739;1.08E-02,,,,
HOXA13,MS00485;1.08E-02,MS00484;3.98E-01,,,
Arx,UP00152;1.09E-02,MS00409;7.39E-02,,,
HOXA6,UP00182;1.11E-02,,,,
EN1,MS00446;1.11E-02,MS00449;9.42E-02,,,
ZNF282,MS00729;1.11E-02,,,,
HOXA7,UP00164;1.13E-02,M01108;5.92E-01,,,
MEOX1,MS00551;1.17E-02,,,,
E2F1::TFDP1,M00736;1.19E-02,,,,
SATB1,M01723;1.22E-02,,,,
Tcfcp2l1,MA0145;1.23E-02,,,,
GBX2,MS00460;1.23E-02,MS00461;1.81E-01,,,
FOXG1,MS00360;1.25E-02,MS00361;2.48E-01,,,
Hoxd10,UP00121;1.26E-02,,,,
ATF1,UP00020;1.28E-02,,,,
HOXB5,UP00214;1.29E-02,MS00493;4.55E-02,,,
ELK4,MC00207;1.30E-02,,,,
Jun,MC00349;1.30E-02,,,,
HNF1B,M01425;1.32E-02,MS00478;2.84E-02,M00646;8.95E-01,,
CPEB1,MS00732;1.34E-02,,,,
Srf,MC00329;1.35E-02,,,,
Prrx2,MS00604;1.35E-02,,,,
Lhx4,MS00547;1.36E-02,,,,
POU6F1,M00465;1.36E-02,M01479;8.14E-01,,,
IRF6,UP00011;1.36E-02,,,,
PRRX1,MS00599;1.36E-02,MS00602;3.23E-01,,,
MSX2,MS00561;1.37E-02,,,,
MEF2C,MC00231;1.37E-02,,,,
POU3F1,MS00139;1.39E-02,M00133;2.14E-02,MS00138;8.80E-02,,
FOS,MC00330;1.40E-02,,,,
LHX6,MS00539;1.41E-02,MS00540;2.57E-01,,,
SIX1,UP00192;1.41E-02,,,,
E2F6,M01252;1.41E-02,MC00254;9.95E-02,,,
Bbx,UP00012;1.42E-02,,,,
Rfx1,MC00144;1.42E-02,,,,
PAX1,M00326;1.42E-02,MS00117;1.00E-01,M00808;3.25E-01,,
HOXC13,MS00505;1.46E-02,MS00504;2.46E-01,,,
Nkx2-6,UP00147;1.47E-02,,,,
POU3F4,MS00147;1.47E-02,UP00105;2.71E-02,MS00145;4.73E-02,,
Yy2,M01694;1.49E-02,,,,
GATA6,MC00117;1.49E-02,,,,
E2F4,MC00523;1.49E-02,,,,
POU3F3,MS00143;1.55E-02,MS00142;5.58E-02,MS00144;2.68E-01,,
Pou3f3,UP00211;1.59E-02,,,,
NOTO,MS00578;1.62E-02,,,,
AIRE,M00999;1.65E-02,,,,
Smad2/3,MC00146;1.66E-02,,,,
OTX2,MS00585;1.68E-02,,,,
DLX6,MS00432;1.69E-02,,,,
Ctcf,MC00187;1.70E-02,,,,
MTF1,M01243;1.74E-02,MS00725;3.17E-02,,,
ARNT,MC00262;1.75E-02,,,,
Rhox6,M01435;1.77E-02,,,,
POU2F3,MS00137;1.77E-02,MS00136;5.74E-02,,,
GSX2,M01326;1.81E-02,MS00466;8.47E-02,,,
EHF,MS00778;1.82E-02,,,,
Isl2,UP00170;1.83E-02,,,,
SOX21,MS00757;1.84E-02,MS00759;3.39E-02,MS00755;4.44E-01,,
AHR,M00139;1.84E-02,,,,
IRF8,MS00072;1.84E-02,,,,
ZBTB49,MS00727;1.87E-02,,,,
TEAD2,M00695;1.88E-02,,,,
PAX3,M00327;1.89E-02,MS00119;1.30E-01,,,
Zfp161,UP00065;1.90E-02,,,,
Sox3,MS00805;1.91E-02,MS00803;6.19E-01,,,
E2F1::TFDP2,M00737;1.91E-02,,,,
SOX9,MS00780;1.92E-02,MS00785;1.06E-01,MS00052;2.98E-01,,
ISL1,M01127;1.93E-02,,,,
Bsx,UP00138;1.93E-02,,,,
Hoxc10,MS00517;1.94E-02,MS00518;3.86E-01,,,
Hoxb4,UP00144;1.94E-02,MC00136;6.69E-02,,,
Pou3f1,UP00129;1.96E-02,,,,
MIXL1,MS00555;2.01E-02,,,,
GABPA,MC00367;2.04E-02,,,,
ALX1,M00416;2.05E-02,M01453;2.67E-02,,,
ETV7,M00678;2.06E-02,,,,
Tfcp2,MC00518;2.07E-02,,,,
ZIC2,M00449;2.07E-02,UP00057;2.04E-01,,,
CDC5L,M00478;2.10E-02,,,,
BACH2,M00490;2.12E-02,,,,
DEAF1,M01002;2.12E-02,,,,
HOXD12,MS00836;2.15E-02,MS00837;1.96E-01,,,
