,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
77079|ZNF605,0.024893317139091757,Homo sapiens,ZNF605,other,293T,None,None,1,ZNF605
63303|ZBTB11,0.025094133177384258,Homo sapiens,ZBTB11,,K562,Erythroblast,Bone Marrow,1,ZBTB11
45905|CHD2,0.025499840344630542,Homo sapiens,CHD2,cr,K562,Erythroblast,Bone Marrow,1,CHD2
69800|NR1H3,0.025773352078965615,Homo sapiens,NR1H3,tf,HT29,colorectal adenocarcinoma,None,1,NR1H3
47599|GATA6,0.025911026057859617,Homo sapiens,GATA6,tf,AGS,Epithelium,Stomach,1,GATA6
34392|MECP2,0.025980093455686262,Homo sapiens,MECP2,cr,IMR90,Fibroblast,Lung,1,MECP2
45693|CTBP2,0.02604931479493015,Homo sapiens,CTBP2,tf,H1,Embryonic Stem Cell,Embryo,1,CTBP2
38174|EBNA3,0.02653819572277446,Homo sapiens,EBNA3,other,Mutu III,B Lymphocyte,None,1,EBNA3
47601|KLF5,0.026750050497479125,Homo sapiens,KLF5,tf,KATO III,None,Stomach,1,KLF5
49493|CDK7,0.02696331577713862,Homo sapiens,CDK7,predicted transcription factor,Jurkat,T Lymphocyte,Blood,1,CDK7
64144|NFRKB,0.02710627962897096,Homo sapiens,NFRKB,,K562,Erythroblast,Bone Marrow,1,NFRKB
77173|ZNF141,0.02710627962897096,Homo sapiens,ZNF141,tf,293T,None,None,1,ZNF141
74116|RUNX2,0.027830619230806233,Homo sapiens,RUNX2,tf,MCF-7,None,None,1,RUNX2
48824|MBD2,0.027977405507550884,Homo sapiens,MBD2,cr,MCF-7,Epithelium,Breast,1,MBD2
35528|BCOR,0.028198793485722608,Homo sapiens,BCOR,both predicted transcription factor and chromatin regulator,OCI-Ly1,B cell lymphoma,Bone Marrow,1,BCOR
65111|SP4,0.028721041306009356,Homo sapiens,SP4,tf,HEK293,Epithelium,Embryonic Kidney,1,SP4
63525|ZFP2,0.028796300576940093,Homo sapiens,ZFP2,,HEK293,Epithelium,Embryonic Kidney,1,ZFP2
65106|ZNF384,0.0290989790568252,Homo sapiens,ZNF384,tf,HEK293,Epithelium,Embryonic Kidney,1,ZNF384
76415|PMEL,0.029712268399554407,Homo sapiens,PMEL,other,None,None,None,1,PMEL
38784|RFX1,0.030022912365429092,Homo sapiens,RFX1,tf,LoVo,None,Colon,1,RFX1
46294|CEBPD,0.03025765863917545,Homo sapiens,CEBPD,tf,K562,Erythroblast,Bone Marrow,1,CEBPD
63686|ZBTB8A,0.030811320051626283,Homo sapiens,ZBTB8A,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB8A
50372|SUZ12,0.03097104071109645,Homo sapiens,SUZ12,cr,None,Proerythroblast,Fetal Liver,1,SUZ12
46109|BATF,0.03113144594289795,Homo sapiens,BATF,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,BATF
76403|RELB,0.031454318479168936,Homo sapiens,RELB,tf,GM12878,Lymphoblastoid,None,1,RELB
56818|NR2F1,0.031943813843526625,Homo sapiens,NR2F1,tf,None,Neural crest cell,Cranial,1,NR2F1
77519|H3K18me1,0.031943813843526625,Homo sapiens,H3K18me1,,U2OS,None,Bone,1,H3K18me1
46301|PML,0.03345017184685558,Homo sapiens,PML,tf,K562,Erythroblast,Bone Marrow,1,PML
45779|SMARCB1,0.03362109719598327,Homo sapiens,SMARCB1,cr,HeLa-S3,Epithelium,Cervix,1,SMARCB1
46186|BCL11A,0.03370682905582231,Homo sapiens,BCL11A,predicted transcription factor,H1,Embryonic Stem Cell,Embryo,1,BCL11A
36026|HIRA,0.03387883246633865,Homo sapiens,HIRA,predicted transcription factor,None,Epithelium,Cervix,1,HIRA
33678|TBX21,0.034138190772498384,Homo sapiens,TBX21,tf,None,Th1,None,1,TBX21
77448|H2AFX,0.035103172624416236,Homo sapiens,H2AFX,predicted chromatin regulator,IMR90,Fibroblast,Lung,1,H2AFX
46139|ZEB1,0.035103172624416236,Homo sapiens,ZEB1,tf,GM12878,B Lymphocyte,Blood,1,ZEB1
4585|STAT4,0.035191997211131865,Homo sapiens,STAT4,tf,None,Lymphocyte,Blood,0,STAT4
62529|ZNF175,0.036090423917302016,Homo sapiens,ZNF175,,K562,Erythroblast,Bone Marrow,1,ZNF175
64917|CBX1,0.036090423917302016,Homo sapiens,CBX1,cr,K562,Erythroblast,Bone Marrow,1,CBX1
64348|ZNF644,0.036090423917302016,Homo sapiens,ZNF644,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF644
76282|EHF,0.036090423917302016,Homo sapiens,EHF,tf,None,Epithelium,None,1,EHF
45958|ZNF263,0.036455014772745035,Homo sapiens,ZNF263,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,ZNF263
77144|ZNF287,0.03710029820462205,Homo sapiens,ZNF287,tf,293T,None,None,1,ZNF287
50456|AUTS2,0.03728636996002327,Homo sapiens,AUTS2,not sure,293T-Rex,None,None,1,AUTS2
54612|TEAD1,0.03747320342923148,Homo sapiens,TEAD1,tf,SF268,None,None,1,TEAD1
64009|ZNF589,0.0382281971228374,Homo sapiens,ZNF589,,K562,Erythroblast,Bone Marrow,1,ZNF589
46289|TAF7,0.038610319752805135,Homo sapiens,TAF7,predicted transcription factor,K562,Erythroblast,Bone Marrow,1,TAF7
63151|SRSF3,0.03899554902785298,Homo sapiens,SRSF3,,K562,Erythroblast,Bone Marrow,0,SRSF3
52549|SOX10,0.03928652000790097,Homo sapiens,SOX10,tf,501-Mel,Melanoma Cell,None,1,SOX10
38653|MED12,0.039383902050443134,Homo sapiens,MED12,predicted transcription factor,LoVo,None,Colon,1,MED12
70759|OGT,0.03957925531351965,Homo sapiens,OGT,other,HEK293,HEK 293 Cell Line,None,1,OGT
5888|LIN9,0.04056787472646518,Homo sapiens,LIN9,not sure,HeLa,Epithelium,Cervix,1,LIN9
64649|ZNF639,0.04137312239286845,Homo sapiens,ZNF639,tf,K562,Erythroblast,Bone Marrow,1,ZNF639
