,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
45979|TCF7L2,0.011753929846490152,Homo sapiens,TCF7L2,tf,MCF-7,Epithelium,Breast,1
55491|STAT5,0.011773003706595841,Homo sapiens,STAT5,tf,MV4-11,Macrophage,Blood,1
34318|MYC,0.011820795297380726,Homo sapiens,MYC,tf,HEK293T,Epithelium,Embryonic Kidney,1
64092|KLF8,0.011843952967359461,Homo sapiens,KLF8,,HEK293,Epithelium,Embryonic Kidney,1
64801|BCL3,0.011845211286822366,Homo sapiens,BCL3,tf,A549,Epithelium,Lung,1
55563|MEF2B,0.011871326833631068,Homo sapiens,MEF2B,tf,None,B Lymphocyte,None,1
50107|CHRM2,0.011881555913439978,Homo sapiens,CHRM2,predicted chromatin regulator,U937,None,Pleura,1
46313|REST,0.011906141367550693,Homo sapiens,REST,tf,MCF-7,Epithelium,Breast,1
74139|FOXA1,0.0119149176181913,Homo sapiens,FOXA1,tf,T47D,None,Breast,1
53979|PR,0.011917867123085846,Homo sapiens,PR,predicted transcription factor,T47D,Epithelium,Mammary Gland,1
52299|TP63,0.011931437573007242,Homo sapiens,TP63,predicted transcription factor,None,Keratinocyte,None,1
4610|TAL1,0.011943005832898923,Homo sapiens,TAL1,tf,None,Proerythroblast,Bone Marrow,1
38474|ESR1,0.011947682728270237,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,0
38737|MED1,0.011950697492333184,Homo sapiens,MED1,predicted transcription factor,LoVo,None,Colon,1
44321|E2F1,0.011955716317032128,Homo sapiens,E2F1,tf,LNCaP,Epithelium,Prostate,0
64016|CEBPB,0.01196279422013835,Homo sapiens,CEBPB,tf,A549,Epithelium,Lung,1
37133|HSF1,0.011984136589564542,Homo sapiens,HSF1,tf,HT29,Epithelium,Colon,0
53991|ESR1,0.011989255635003637,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
43065|BRD4,0.01199563241379703,Homo sapiens,BRD4,cr,HEK293T,Epithelium,Embryonic Kidney,1
68399|AR,0.01200035603929428,Homo sapiens,AR,tf,C4-2B,Epithelium,Prostate,1
63029|MBD2,0.012016690486297388,Homo sapiens,MBD2,cr,K562,Erythroblast,Bone Marrow,1
64739|ZBTB33,0.012027458367313726,Homo sapiens,ZBTB33,tf,K562,Erythroblast,Bone Marrow,1
63533|CEBPB,0.01203004527752638,Homo sapiens,CEBPB,tf,K562,Erythroblast,Bone Marrow,1
53992|ESR1,0.012128001930886367,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
74115|ESR1,0.01213011448847151,Homo sapiens,ESR1,tf,None,Patient,None,1
5667|AR,0.012166397143802354,Homo sapiens,AR,tf,VCS2,Epithelium,Prostate,1
69812|NELFE,0.012181593862378715,Homo sapiens,NELFE,not sure,MCF-7,Human Breast Cancer Cell,Breast,1
76817|NEUROG2,0.012196690225029228,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1
71225|AR,0.012244783622056998,Homo sapiens,AR,tf,LNCaP,Epithelium,Prostate,1
45965|MYC,0.012254126683659106,Homo sapiens,MYC,tf,K562,Erythroblast,Bone Marrow,1
48096|AR,0.012263229792393027,Homo sapiens,AR,tf,PC-3,Epithelium,Prostate,1
69880|CDK9,0.012291335301229278,Homo sapiens,CDK9,tf,None,Th2,None,1
73453|T,0.01233277917422343,Homo sapiens,T,tf,None,Th1,None,1
76100|ESR1,0.012345043202077355,Homo sapiens,ESR1,tf,MCF-7,None,Mammary Gland,1
54573|HSF1,0.012349392084489874,Homo sapiens,HSF1,tf,U2OS,None,Bone,1
4118|HDAC1,0.012400110618359217,Homo sapiens,HDAC1,cr,None,T Lymphocyte,Blood,1
35840|CTCF,0.012407857997675797,Homo sapiens,CTCF,tf,NHEK,Keratinocyte,Skin,1
8090|CTCF,0.012407857997675797,Homo sapiens,CTCF,tf,NHEK,Keratinocyte,Skin,1
65106|ZNF384,0.012454965740400115,Homo sapiens,ZNF384,tf,HEK293,Epithelium,Embryonic Kidney,1
42334|CTCF,0.012459456928535118,Homo sapiens,CTCF,tf,GM12892,Lymphoblastoid,Blood,1
45746|MAFK,0.012468052496834137,Homo sapiens,MAFK,tf,HeLa-S3,Epithelium,Cervix,1
55669|PAF1,0.012491885542189385,Homo sapiens,PAF1,not sure,HCT-116,None,Colon,1
46200|ZBTB33,0.012492996548887914,Homo sapiens,ZBTB33,tf,HCT-116,None,Colon,1
2896|SMC1A,0.012507276765356679,Homo sapiens,SMC1A,predicted chromatin regulator,V6.5,Embryonic Stem Cell,None,0
42900|RELA,0.012522747798587697,Homo sapiens,RELA,tf,AC16,Cardiomyocyte,None,1
4492|PPARG,0.0125597332917195,Homo sapiens,PPARG,tf,SGBS,Adipocyte,Adipose,1
45647|IKZF1,0.012603686908138345,Homo sapiens,IKZF1,tf,GM12878,B Lymphocyte,Blood,1
44576|AR,0.012670920033315658,Homo sapiens,AR,tf,VCaP,Epithelium,Prostate,1
45676|RELA,0.012686523597361388,Homo sapiens,RELA,tf,GM19099,Lymphoblastoid,Blood,1
38289|MAX,0.012690736739455866,Homo sapiens,MAX,tf,H128,Epithelium,Lung,1
64798|CREM,0.012693661140863843,Homo sapiens,CREM,tf,HepG2,Epithelium,Liver,1
63346|ZBTB33,0.012715166338800765,Homo sapiens,ZBTB33,tf,None,None,Liver,1
