Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
TP53,69456;1.12E-11,69457;8.97E-10,52090;4.84E-09,52091;3.64E-08,52092;3.91E-08
TAL1,50393;1.51E-09,44433;1.24E-07,72356;3.94E-06,50382;8.57E-06,44435;1.37E-05
FLI1,49882;1.51E-09,5443;3.98E-06,36245;2.37E-05,5439;2.88E-05,53301;1.16E-04
PR,41377;1.51E-09,68966;1.72E-06,68977;6.92E-06,41375;1.92E-04,68967;2.81E-04
SPI1,34565;2.30E-09,34929;3.39E-08,55739;7.86E-08,68823;1.62E-07,46272;1.76E-07
HOXB13,56668;3.71E-08,56667;4.99E-08,56666;6.18E-06,56664;3.43E-03,56663;2.55E-02
NFKB1,68051;5.78E-08,68048;2.00E-05,42698;3.58E-01,76400;3.59E-01,76401;6.06E-01
NR3C1,46052;5.87E-08,68229;1.01E-05,41737;1.17E-04,37100;2.51E-04,68223;2.58E-04
RUNX1,2121;8.68E-08,73446;1.55E-07,73449;1.62E-05,34568;3.63E-05,72358;6.64E-05
FOXA1,47329;8.68E-08,70108;1.67E-07,67731;2.25E-07,71214;3.39E-07,47328;3.55E-07
BRD4,49977;9.15E-08,68711;1.65E-07,69870;1.37E-06,36301;1.38E-06,36300;6.94E-06
T,55895;1.01E-07,73454;7.28E-04,69884;3.21E-03,38670;7.35E-03,53302;9.47E-03
ESR1,68974;1.40E-07,68976;7.82E-06,74399;2.01E-05,36819;3.32E-05,33487;7.91E-05
MYH11,37623;1.45E-07,37589;1.23E-05,37608;5.65E-03,37625;5.69E-03,
BCL3,64802;1.58E-07,62934;2.21E-06,63002;2.24E-06,64101;3.75E-06,64103;6.63E-06
SOX4,71748;1.92E-07,71747;9.56E-06,71746;7.01E-04,47591;3.22E-01,38749;3.75E-01
MAZ,74571;3.00E-07,45788;1.08E-03,45761;1.32E-03,45924;2.46E-03,65115;2.85E-03
CCNT2,45895;3.50E-07,,,,
MXI1,45866;4.15E-07,46038;1.39E-03,45774;8.01E-03,45810;7.82E-02,45633;8.08E-02
CREBBP,42637;4.23E-07,2748;6.71E-05,73720;7.26E-05,3038;5.27E-04,73721;6.81E-04
TBP,50163;4.86E-07,45781;1.56E-06,45881;3.46E-05,45791;7.07E-05,37584;4.53E-04
PHF8,1309;7.07E-07,93;5.82E-06,45239;9.08E-06,8818;9.08E-06,45411;3.00E-05
ELF1,46355;7.85E-07,65014;3.46E-06,49870;1.37E-05,49861;2.29E-05,46266;4.15E-05
FAIRE,52153;8.89E-07,37580;9.40E-05,36031;4.58E-04,37605;6.94E-04,52158;8.15E-04
GATA2,67748;1.01E-06,67746;4.65E-05,46032;1.12E-04,1743;1.21E-04,67743;1.43E-04
POLR2B,36356;1.02E-06,9216;6.57E-05,,,
CDK6,43305;1.09E-06,,,,
FOS,1741;1.11E-06,1740;1.96E-05,45853;2.47E-05,45772;7.13E-05,1991;3.73E-03
