,0,TF
MC00416|Rbfox2,0.11045379494501702,Rbfox2
UP00231|NKX2-2,0.11061118647399847,NKX2-2
MC00325|Gata2,0.11089709767300661,Gata2
MC00295|Esr1,0.11091827621325351,Esr1
MC00280|NR4A1,0.1122336254707541,NR4A1
MS00491|HOXB2,0.11249902432702907,HOXB2
MS00381|FOXO4,0.11261057668956269,FOXO4
MS00593|PHOX2B,0.11325774755271092,PHOX2B
MS00586|Otx1,0.11391267474134406,Otx1
MC00125|Rest,0.11402654043829583,Rest
M00491|PATZ1,0.1165421545093946,PATZ1
MC00192|ZNF263,0.1176105196365751,ZNF263
MS00047|GCM1,0.11778213135712517,GCM1
MS00106|NFAT5,0.11805326503880702,NFAT5
MC00178|Nkx2-5,0.1183480856595631,Nkx2-5
MC00321|JUN,0.1201342802294654,JUN
MS00046|GLIS3,0.12117236347925231,GLIS3
MS00134|POU2F2,0.12150025016836613,POU2F2
M00454|ARID5B,0.12177123536829251,ARID5B
MS00299|CEBPD,0.12237735568756226,CEBPD
MC00223|SMAD2/3,0.1223786446866459,SMAD2/3
UP00207|HOXB9,0.12273185121353819,HOXB9
MS00235|SP4,0.12356754084575398,SP4
MC00452|STAT5B,0.12446591567604039,STAT5B
M00085|ZBTB6,0.12460372120656871,ZBTB6
MC00328|Zfx,0.12824344494403342,Zfx
UP00263|Hoxb8,0.12902040706115955,Hoxb8
MS00678|EGR4,0.12971552534604253,EGR4
MS00679|ONECUT2,0.12998457549430786,ONECUT2
MS00455|EVX2,0.13188653205674633,EVX2
UP00084|Gmeb1,0.13363248896168564,Gmeb1
MC00505|POLR2B,0.13537354531512646,POLR2B
MC00461|Max,0.13821813307015243,Max
MC00418|ZBTB33,0.1404230028593221,ZBTB33
M00155|NR2F2,0.14070827364519492,NR2F2
MC00134|Ppara,0.14138040333734025,Ppara
M01112|RBPJ,0.1420391999714685,RBPJ
MC00128|CTCF,0.1427646320076166,CTCF
MS00834|ELF4,0.1430027181480552,ELF4
M01483|Dbx1,0.14324680697849937,Dbx1
MC00299|BRCA1,0.14389180984904548,BRCA1
M01596|GLI3,0.1465246573095211,GLI3
MS00705|Rarg,0.14773460167307298,Rarg
MC00373|Mxi1,0.148428906374267,Mxi1
MC00474|BCL11A,0.14868764133676635,BCL11A
UP00168|Hoxd8,0.14939698158663056,Hoxd8
MS00375|FOXO1,0.15025337366745714,FOXO1
MS00694|RXRG,0.15763876066022603,RXRG
MS00316|Dbp,0.1577408202268072,Dbp
UP00010|Tcfap2b,0.15817487322969878,Tcfap2b
MS00218|T,0.15946294273468434,T
MC00260|Pax3,0.15960804633116893,Pax3
MA0030|FOXF2,0.1596602066396084,FOXF2
UP00091|SOX5,0.16214394694330553,SOX5
MS00454|EVX1,0.16220546903501412,EVX1
UP00078|ARID3A,0.162891817759229,ARID3A
MS00829|ESRRA,0.1631126824570937,ESRRA
MS00057|HIC2,0.16324980238942757,HIC2
MS00390|ZNF238,0.1633995585026967,ZNF238
MC00162|LMO2,0.16427709866799178,LMO2
MS00308|CREB3,0.16900139128144614,CREB3
MS00115|NFIX,0.16949735128692564,NFIX
MS00246|SP8,0.1698868045910842,SP8
UP00095|Zfp691,0.16998559029253194,Zfp691
M00420|MEIS1::HOXA9,0.17047741485110776,MEIS1::HOXA9
UP00088|PLAGL1,0.171097190592492,PLAGL1
MS00475|HMX3,0.17168221007811763,HMX3
UP00030|Sox11,0.1723658392347868,Sox11
MS00011|BCL6B,0.1731436401368524,BCL6B
MC00394|MYC,0.17409981680571981,MYC
UP00114|Homez,0.17417412249703695,Homez
MC00344|Hnf4a,0.17613980804673904,Hnf4a
UP00259|HOXB6,0.1780706621089378,HOXB6
MS00245|BHLHA15,0.17845816007574616,BHLHA15
MS00371|FOXK1,0.1790315077815745,FOXK1
M01004|IKZF2,0.17964248966666369,IKZF2
MC00320|EGR1,0.1812583827272823,EGR1
M00294|Foxf1a,0.1844890306665858,Foxf1a
MS00252|Bhlhb2,0.1887480465270276,Bhlhb2
MS00253|CLOCK,0.18922030201846718,CLOCK
UP00238|Nkx6-3,0.18940285757806502,Nkx6-3
MS00269|MYF6,0.1904167647036609,MYF6
UP00112|Gsc,0.19201255967438258,Gsc
MS00668|Nr2e1,0.1925968250907555,Nr2e1
MS00770|SOX7,0.19621407554602122,SOX7
MS00317|HLF,0.19894064839884368,HLF
MC00104|Foxa1,0.20056382497027989,Foxa1
MC00374|TFAP2C,0.20418814980220315,TFAP2C
M01149|Dmrta1,0.204723236132973,Dmrta1
MS00445|ZNF740,0.20773115957019406,ZNF740
MS00265|MLXIPL,0.20950977983333474,MLXIPL
MS00091|PKNOX1,0.21247935215022423,PKNOX1
UP00041|Foxj1,0.2186123760464813,Foxj1
MS00054|Tcf7,0.2194196545461674,Tcf7
MC00193|RELA,0.21944170231741908,RELA
MS00708|Rxrb,0.220302507009043,Rxrb
M01268|NR1H4,0.22307536469494055,NR1H4
MC00205|Stat5a,0.2232240970002315,Stat5a
MS00609|RHOXF1,0.23086102061928657,RHOXF1
MS00465|GSX1,0.23215554908280955,GSX1
UP00159|SIX2,0.2327073549642816,SIX2
MS00258|HEY1,0.23290357861705505,HEY1
MS00033|SPDEF,0.237582593252361,SPDEF
MS00288|TFE3,0.23791682645553613,TFE3
MC00157|Tead4,0.23813268318670414,Tead4
M01075|ZBTB16,0.2396464121673404,ZBTB16
MS00512|Zfp740,0.24068395049356275,Zfp740
MC00276|EOMES,0.24283451452176555,EOMES
MS00744|SOX10,0.24384651234039106,SOX10
MS00024|GLIS1,0.24607820422418883,GLIS1
MC00475|Nfic,0.24620074280890247,Nfic
MS00128|PAX9,0.24740783931120797,PAX9
MS00126|PAX7,0.25259542365313126,PAX7
MC00224|EPAS1,0.2529643921425754,EPAS1
MC00335|ESR1,0.2552799250551003,ESR1
UP00082|Zfp187,0.25540830376829515,Zfp187
MS00224|TEAD4,0.2594892420238248,TEAD4
MS00094|TGIF1,0.26134125189943663,TGIF1
UP00004|Sox14,0.2616153994261766,Sox14
MC00217|FOXA2,0.2635652819141818,FOXA2
MC00402|Hoxc9,0.26661267772694386,Hoxc9
MS00690|ONECUT3,0.26982816912577257,ONECUT3
MS00248|BHLHB3,0.27124057410755126,BHLHB3
M00222|TCF3,0.27206598822646616,TCF3
M01650|NR2E3,0.2735288516404978,NR2E3
MS00425|CDX1,0.27427759153716647,CDX1
MS00380|FOXO3,0.2765543894848717,FOXO3
MC00455|Cdx2,0.27942684412920976,Cdx2
MS00192|TBX15,0.28145314964976437,TBX15
MS00811|RARB,0.2814576956362092,RARB
M01364|Obox2,0.285901070892921,Obox2
MC00453|STAT5A,0.2906868074542446,STAT5A
M01081|ZNF628,0.2914705434739462,ZNF628
MC00309|TCF7L2,0.2939757629291372,TCF7L2
MS00101|Hic1,0.29750066909594197,Hic1
MS00571|NKX2-8,0.29916719873201714,NKX2-8
UP00096|SOX13,0.30470167124087005,SOX13
MS00256|HES7,0.3047308510927546,HES7
MS00665|NR4A2,0.3054162334458579,NR4A2
MS00520|Hoxd13,0.30705675138297617,Hoxd13
UP00177|Hoxd12,0.30728677302472795,Hoxd12
MC00430|Egr2,0.31147858254061284,Egr2
MS00087|Meis2,0.31375987738526934,Meis2
M00706|GTF2I,0.3156022213447574,GTF2I
MC00132|TP73,0.32560952640174423,TP73
MS00748|SOX14,0.32901396845303915,SOX14
MC00413|Runx1,0.3301182455146889,Runx1
MS00474|HMX2,0.33076592735964033,HMX2
UP00056|RFX4,0.3308473045577639,RFX4
MS00146|KLF16,0.3324948661487098,KLF16
M01466|Obox3,0.3362991227951702,Obox3
MC00439|TP63,0.3373178434451391,TP63
MC00119|GATA3,0.34177444176012695,GATA3
MC00407|Myc,0.34669486222355383,Myc
M01282|PPARA,0.3482951692871234,PPARA
MS00179|SCRT1,0.35157906318970905,SCRT1
MS00270|Mlx,0.3540861105596511,Mlx
MS00271|NEUROD2,0.35918315097574754,NEUROD2
MS00709|THRA,0.35943818173440556,THRA
MS00323|ZBTB7C,0.36054633439416234,ZBTB7C
UP00035|HIC1,0.3636970876862207,HIC1
MS00564|Msx3,0.3651891875970843,Msx3
MC00165|Pdx1,0.3697311240593168,Pdx1
MC00124|MAX,0.3747411193839158,MAX
MC00348|STAT1,0.37606481432038275,STAT1
MC00151|SPI1,0.3773076315175668,SPI1
MS00247|BHLHB2,0.378942505316764,BHLHB2
UP00027|Osr1,0.38279607987471986,Osr1
MC00305|Sox6,0.3921658933637056,Sox6
M01177|SREBF2,0.4078142761596304,SREBF2
MS00168|PRDM1,0.4113104435372369,PRDM1
UP00155|Hmx2,0.41275836360893814,Hmx2
MA0017|NR2F1,0.4161488107995055,NR2F1
MS00386|FOXO6,0.4242868963588431,FOXO6
MC00473|ATF3,0.4248697700358314,ATF3
M01151|Dmrtc2,0.4282229063352836,Dmrtc2
MA0386|TBP,0.42945584806233794,TBP
UP00045|MAFB,0.43655122447484995,MAFB
MS00041|Spic,0.43823614536771793,Spic
MS00092|PKNOX2,0.43939090703045514,PKNOX2
MS00582|OTX1,0.4504626836470482,OTX1
UP00051|Sox8,0.45140342970456127,Sox8
MS00051|LEF1,0.4576602645080635,LEF1
MA0103|ZEB1,0.4743114559779803,ZEB1
MS00718|Tp53,0.4777194412386414,Tp53
M01450|Obox1,0.48066281768964314,Obox1
M00062|IRF1,0.4845551776562952,IRF1
MC00369|Myod1,0.4870099948518535,Myod1
MC00304|FOXH1,0.49018779151726855,FOXH1
MC00111|Bcl6,0.5024847384758229,Bcl6
UP00101|Sox12,0.5033255342708618,Sox12
UP00052|Osr2,0.5084349804805377,Osr2
MS00276|OLIG1,0.5099391302992413,OLIG1
MS00045|GATA5,0.5120136856968984,GATA5
MS00255|HES5,0.5153160435076728,HES5
MC00341|Olig2,0.5197639894770849,Olig2
MC00389|CDX2,0.5315857083022991,CDX2
MS00473|HMX1,0.5323153889312624,HMX1
MS00289|TFEB,0.532932885035685,TFEB
M01262|TBX18,0.5390813835184709,TBX18
MS00731|ZNF713,0.5402448860980307,ZNF713
MC00219|TCF4,0.5418854727631996,TCF4
MS00272|NEUROG2,0.5464380778733103,NEUROG2
MS00260|HEY2,0.5465015476228621,HEY2
MS00267|MNT,0.5605974712197659,MNT
M01132|SF1,0.5631833398932918,SF1
MS00250|BHLHE23,0.5702574518012675,BHLHE23
MS00667|ONECUT1,0.5744572125976619,ONECUT1
UP00120|Lbx2,0.5832993324008848,Lbx2
MS00820|NFIA,0.5875574798668943,NFIA
MS00338|NRL,0.5883148387894201,NRL
MC00281|PBX3,0.5940453099742399,PBX3
MS00750|SOX15,0.599677245223772,SOX15
MS00490|ZSCAN4,0.6020102786862271,ZSCAN4
MS00264|MESP1,0.6209511691301786,MESP1
MS00244|Atoh1,0.6322062824072228,Atoh1
MS00753|SOX18,0.6323183871106222,SOX18
UP00197|HOXC9,0.6339923816913,HOXC9
MS00700|Rarb,0.6424074574576262,Rarb
MS00096|TGIF2,0.6497135464753659,TGIF2
M01728|NR2F6,0.653547820463567,NR2F6
MC00352|Nr5a2,0.6537706729275674,Nr5a2
M01709|MAFA,0.6549793319830548,MAFA
MS00669|Nr2f6,0.6628137283385409,Nr2f6
MS00202|TBX20,0.6656834850826083,TBX20
MC00265|Tcf3,0.6751626437875218,Tcf3
MA0161|NFIC,0.6773985795103863,NFIC
UP00075|Sox15,0.6794958104227262,Sox15
MC00370|Npas4,0.6862869678404071,Npas4
MS00191|TBR1,0.694958020689864,TBR1
MS00692|RXRB,0.6953849561383806,RXRB
MS00337|NFIL3,0.700354192188921,NFIL3
MC00248|USF1,0.7026745337916616,USF1
MA0152|NFATC2,0.7038970289331046,NFATC2
MC00524|Nr1d1,0.7046716574474277,Nr1d1
MS00412|ZNF410,0.7122487379212223,ZNF410
MS00266|MLX,0.7144894189144967,MLX
M01295|ATF5,0.7208769589539242,ATF5
MS00808|TFEC,0.728854512887471,TFEC
MA0116|Zfp423,0.732117283813897,Zfp423
MS00251|BHLHE41,0.7324619673641442,BHLHE41
MS00282|Srebf1,0.7414599327509097,Srebf1
MS00053|TCF7L1,0.7733853130126808,TCF7L1
MS00194|TBX19,0.791654372883447,TBX19
MS00300|CEBPE,0.8203219847058407,CEBPE
M01445|Obox6,0.8298643040538716,Obox6
MC00169|Usf2,0.8436481378988496,Usf2
MS00249|BHLHE22,0.8598661422991027,BHLHE22
MS00641|Esrra,0.8642355996370339,Esrra
MS00093|Pknox2,0.8653727768290344,Pknox2
M01195|TBX22,0.8727913126823884,TBX22
MS00114|NFIB,0.8751544219579875,NFIB
MC00126|TCF12,0.8860957548796232,TCF12
MS00634|CUX2,0.8873576679439797,CUX2
MS00095|TGIF2LX,0.8905979531758286,TGIF2LX
MC00471|Rxra,0.892783788139815,Rxra
MS00287|TFAP4,0.9076011191482205,TFAP4
M01722|RORB,0.9084575056465315,RORB
MS00083|MEIS2,0.9175247881834516,MEIS2
UP00044|Mafk,0.9272820256943789,Mafk
M00220|SREBF1,0.9275853393209615,SREBF1
MC00354|Neurod1,0.9406166726632795,Neurod1
M00964|NR1I2,0.9436074477819567,NR1I2
MC00211|NFATC1,0.9439957969867636,NFATC1
M00433|Hmx3,0.9467726245418508,Hmx3
M00483|ATF6,0.9498857355266936,ATF6
M00712|MYOG,0.9564541353423912,MYOG
MS00254|FIGLA,0.9595979229032164,FIGLA
MC00511|Rxrg,0.9674520431016129,Rxrg
MS00261|ID4,0.9828766287902422,ID4
MS00201|SNAI2,0.9835423763077724,SNAI2
MA0130|ZNF354C,0.9906699523041739,ZNF354C
UP00034|Sox7,0.9916728490733502,Sox7
MC00507|Meis1,0.9926101264215038,Meis1
MS00197|TBX1,0.9982276522633342,TBX1
MC00195|Myf5,0.9995903901287903,Myf5
