,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
45897|ARID3A,0.10919178390212425,Homo sapiens,ARID3A,tf,K562,Erythroblast,Bone Marrow,1,ARID3A
4598|STAT6,0.1097958224387271,Homo sapiens,STAT6,tf,None,T Lymphocyte,Cord blood,1,STAT6
70228|DNMT3A,0.1098925686895581,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
62879|SMARCE1,0.11110607527543531,Homo sapiens,SMARCE1,,K562,Erythroblast,Bone Marrow,1,SMARCE1
77084|ZNF570,0.11119261945043174,Homo sapiens,ZNF570,tf,293T,None,None,1,ZNF570
41423|SFPQ,0.11176320874774165,Homo sapiens,SFPQ,not sure,LNCaP,Epithelium,Prostate,0,SFPQ
2654|PAX3,0.11181043948703268,Homo sapiens,PAX3,tf,Rh4,None,Muscle,1,PAX3
58061|ZNF165,0.1126747160867741,Homo sapiens,ZNF165,tf,WHIM12,Epithelium,Breast,0,ZNF165
47087|EPAS1,0.11302618310308754,Homo sapiens,EPAS1,tf,None,Macrophage,None,0,EPAS1
77049|ZNF74,0.11326658566822584,Homo sapiens,ZNF74,tf,293T,None,None,0,ZNF74
65139|ZBTB42,0.1133259434551196,Homo sapiens,ZBTB42,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB42
46239|HNF4G,0.11347847473601291,Homo sapiens,HNF4G,predicted transcription factor,HepG2,Epithelium,Liver,1,HNF4G
77165|ZNF182,0.11449583915334821,Homo sapiens,ZNF182,tf,293T,None,None,1,ZNF182
77120|ZNF441,0.11501834665365357,Homo sapiens,ZNF441,tf,293T,None,None,1,ZNF441
77149|ZNF282,0.11725860109242492,Homo sapiens,ZNF282,tf,293T,None,None,1,ZNF282
65091|ZNF41,0.11733460440487153,Homo sapiens,ZNF41,,HEK293,Epithelium,Embryonic Kidney,1,ZNF41
62680|CREB3,0.11745834650185794,Homo sapiens,CREB3,tf,K562,Erythroblast,Bone Marrow,1,CREB3
58186|BANF1,0.11890171248282311,Homo sapiens,BANF1,other,None,Keratinocyte,None,1,BANF1
56850|KRAB,0.1195720009620686,Homo sapiens,KRAB,other,K562,Erythroblast,Bone Marrow,1,KRAB
77054|ZNF716,0.11977688516498791,Homo sapiens,ZNF716,tf,293T,None,None,1,ZNF716
72942|TBX5,0.12110525696034835,Homo sapiens,TBX5,tf,None,Cardiomyocyte,None,1,TBX5
35569|SFMBT1,0.12197563158573738,Homo sapiens,SFMBT1,other,HeLa-S3,Epithelium,Cervix,0,SFMBT1
77128|ZNF425,0.12227605434225869,Homo sapiens,ZNF425,other,293T,None,None,1,ZNF425
64320|DPF2,0.12255849833303573,Homo sapiens,DPF2,,K562,Erythroblast,Bone Marrow,1,DPF2
74663|ZNF18,0.12313989166850747,Homo sapiens,ZNF18,,K562,Erythroblast,Bone Marrow,1,ZNF18
45799|PPARGC1A,0.12390834042267534,Homo sapiens,PPARGC1A,tf,HepG2,Epithelium,Liver,1,PPARGC1A
38826|ZIC2,0.1268575708734231,Homo sapiens,ZIC2,tf,LoVo,None,Colon,0,ZIC2
64374|ZNF740,0.12692268698117876,Homo sapiens,ZNF740,,K562,Erythroblast,Bone Marrow,1,ZNF740
77158|ZNF222,0.12796264111494104,Homo sapiens,ZNF222,other,293T,None,None,1,ZNF222
46144|MEF2C,0.12870969782068203,Homo sapiens,MEF2C,predicted transcription factor,GM12878,B Lymphocyte,Blood,1,MEF2C
38822|HOXA7,0.12972645808557565,Homo sapiens,HOXA7,tf,LoVo,None,Colon,0,HOXA7
44098|FOXP3,0.1302334543741847,Homo sapiens,FOXP3,tf,None,T Lymphocyte,Blood,1,FOXP3
65063|ZNF574,0.13202519622512326,Homo sapiens,ZNF574,,HEK293,Epithelium,Embryonic Kidney,1,ZNF574
65057|TGIF2,0.13218187096572187,Homo sapiens,TGIF2,tf,HepG2,Epithelium,Liver,1,TGIF2
62513|ID3,0.13384103430221583,Homo sapiens,ID3,tf,K562,Erythroblast,Bone Marrow,1,ID3
55540|RAG1,0.1345152766885977,Homo sapiens,RAG1,cr,Ramos,Thymocyte,None,1,RAG1
38824|MNT,0.13463305508703083,Homo sapiens,MNT,tf,LoVo,None,Colon,1,MNT
