Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
Klf4,MC00109;3.51E-11,,,,
SP1,MS00212;4.71E-10,MC00113;1.27E-02,,,
Klf1,MC00110;5.59E-10,,,,
SP4,MS00235;2.43E-09,,,,
Egr2,MC00430;2.87E-09,,,,
Tcfap2c,UP00087;3.02E-09,,,,
Ovol2,M01104;1.07E-08,,,,
EGR2,MC00319;1.10E-08,,,,
EGR1,MC00320;1.16E-08,,,,
Klf7,UP00093;1.30E-08,,,,
PAX4,M00373;1.56E-08,M00378;5.54E-07,MS00121;3.58E-02,,
SP3,M00665;1.63E-08,MS00223;9.42E-08,,,
E2F1::TFDP1,M00736;2.46E-08,,,,
EGR4,MS00678;2.61E-08,,,,
NR2C2,MC00509;2.64E-08,MS00651;2.63E-05,,,
E2F1::TFDP2,M00737;2.65E-08,,,,
Zfx,MC00328;3.16E-08,,,,
KLF15,M01714;3.53E-08,,,,
PLAG1,MA0163;3.62E-08,,,,
PLAGL1,UP00088;4.26E-08,,,,
TFAP2A,MC00530;4.63E-08,MS00227;1.52E-06,,,
HES1,M01009;4.81E-08,,,,
Zscan10,M01742;4.90E-08,,,,
KLF16,MS00146;6.16E-08,,,,
HNF1B,M00646;6.25E-08,M01425;8.52E-02,MS00478;9.38E-01,,
EGR3,MS00567;7.25E-08,,,,
ZNF740,MS00445;7.33E-08,,,,
PAX3,M00327;8.49E-08,MS00119;8.69E-01,,,
VDR,M00961;8.79E-08,M00444;2.42E-05,MC00412;2.84E-05,,
GCM2,MS00050;9.16E-08,,,,
ZFP42,M01744;9.58E-08,,,,
ATF2,M00179;1.08E-07,,,,
ZBTB7B,M01175;1.16E-07,MS00312;5.60E-04,,,
Rara,MC00252;1.35E-07,MS00698;1.09E-01,,,
Egr3,MS00789;1.52E-07,,,,
BRCA1,MC00299;1.61E-07,,,,
RUNX2,MS00174;1.69E-07,MS00173;9.58E-07,MC00215;1.44E-02,,
Stat3,MC00140;1.74E-07,,,,
ZBTB7A,MC00376;2.08E-07,MS00301;3.21E-06,M01100;1.05E-05,,
PATZ1,M00491;2.09E-07,,,,
CREB3,MS00308;2.10E-07,,,,
Tbx21,MC00356;2.14E-07,,,,
PAX5,MC00332;2.22E-07,M00143;3.93E-07,MA0014;9.90E-06,,
E2f4,MC00158;2.24E-07,,,,
Zfp740,MS00512;2.25E-07,,,,
Spdef,UP00038;2.44E-07,,,,
Zfp281,UP00021;2.49E-07,,,,
PAX2,MS00118;2.56E-07,M00486;6.83E-05,MA0067;1.13E-04,,
Tcfap2b,UP00010;2.89E-07,,,,
TP53,MC00359;3.08E-07,,,,
Etv5,UP00412;3.08E-07,,,,
MAF,M00648;3.21E-07,M00983;4.93E-03,,,
XBP1,MS00342;3.65E-07,UP00330;2.11E-06,,,
Tcfap2e,UP00028;3.82E-07,,,,
TEAD2,M00695;3.99E-07,,,,
E2f3,MC00510;4.07E-07,,,,
Tcfap2a,MS00240;4.17E-07,MS00241;4.35E-07,MS00239;1.08E-05,,
E2F6,MC00254;4.36E-07,M01252;1.85E-02,,,
NR1H3,M00647;4.92E-07,,,,
