,coefficients,cell_line,cell_type,tissue
45467,0.627534601623396,NHDF-Ad,Fibroblast,Skin
49978,0.4536013760531468,90-8TL,Schwann Cell,Brain
33479,-0.4421230367992917,,Endothelial Cell,Umbilical Vein
41929,-0.3179934513883323,MDA-MB-231,Epithelium,Mammary Gland
62176,0.3150005506627336,,Hematopoietic Stem Cell,Liver
61842,0.21092814107501018,,,
61838,0.1563256751117317,A375,Melanoma Cell,
33473,0.13515708642050844,,Endothelial Cell,Umbilical Vein
3338,-0.08810465108963159,,Stromal Cell,Adipose
44385,0.08675798753296246,,Endothelial Cell,Umbilical Vein
