,coefficients,cell_line,cell_type,tissue
40596,1.977961317489044,,Fibroblast,Skin
40886,-1.6584049890229313,NHDF-neo,Fibroblast,Skin
45044,-1.4427445769982978,NHDF-Ad,Fibroblast,Skin
45046,1.2969453458496005,NHDF-neo,Fibroblast,Skin
40695,0.9580883473321884,,Fibroblast,Foreskin
44997,-0.7638681811085739,,Fibroblast,Pulmonary Artery
40600,0.5723880735142133,,Epithelium,Mammary Gland
42145,0.32081528985465424,,,Fetal Skin Biceps Right
42144,0.07815838861689453,,,Fetal Skin Upper Back
45043,-0.036514793929176344,NHDF-Ad,Fibroblast,Skin
