Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
TP53,69456;8.32E-19,69457;3.03E-18,52092;9.47E-08,75042;3.21E-06,52091;8.48E-06
BRD4,49977;1.70E-14,49980;7.53E-14,57808;2.87E-12,73526;6.76E-11,57809;5.68E-10
CTCF,45570;1.87E-13,46373;2.53E-11,3056;4.20E-11,45567;4.71E-11,45707;1.83E-10
BMI1,49267;5.71E-13,49259;4.11E-03,32785;1.11E-01,32777;2.86E-01,50014;3.02E-01
MAZ,45867;1.56E-12,45761;3.98E-05,45924;1.36E-04,65115;1.56E-04,45788;2.16E-04
WDR5,52434;2.59E-12,71281;1.81E-11,71280;1.15E-09,52436;4.67E-07,49877;1.97E-06
TFAP2A,56819;3.26E-12,56820;4.71E-11,56821;5.33E-11,2401;1.86E-07,2402;2.22E-06
MED1,49484;3.78E-12,53593;3.87E-11,58639;5.99E-08,58334;6.28E-08,53594;8.42E-08
E2F1,75043;8.94E-12,2278;1.55E-07,2279;3.90E-07,2283;9.25E-06,45754;2.12E-05
MYC,59542;1.02E-11,56427;1.02E-11,33720;4.94E-10,46008;1.98E-09,49277;2.53E-09
STAG1,2393;1.22E-11,2395;2.19E-09,2397;2.19E-09,2398;8.02E-09,2396;6.73E-08
KLF11,50412;1.26E-11,50413;1.49E-07,50414;1.61E-07,50415;4.01E-05,42728;5.19E-01
CEBPB,54126;5.09E-11,54127;6.71E-11,54125;4.17E-09,45861;9.57E-09,71242;1.19E-06
TCF21,52495;5.57E-11,52496;7.72E-10,52498;2.35E-06,52497;1.97E-04,
SCML2,49266;6.90E-11,49257;1.13E-03,50013;1.32E-01,50020;2.05E-01,50016;3.93E-01
POLR2B,36356;1.03E-10,9216;1.11E-04,,,
EZH2,50380;1.58E-10,74684;7.74E-04,8663;3.88E-03,50379;5.83E-03,41825;7.53E-03
GTF2B,36362;2.82E-10,71925;1.58E-06,45932;1.65E-06,56982;2.38E-06,56961;3.47E-06
FOS,45853;3.23E-10,1741;1.34E-08,46007;2.02E-07,46004;7.08E-06,45999;7.64E-06
RAD21,46366;3.40E-10,46041;1.20E-09,2387;1.80E-09,56056;4.08E-09,46325;1.93E-08
DAXX,54104;5.47E-10,54105;5.58E-06,,,
JUND,46036;5.54E-10,45743;7.57E-09,45696;4.02E-06,49242;7.81E-06,46351;9.19E-06
BHLHE40,64946;6.03E-10,64945;4.87E-08,45632;6.15E-05,45557;2.43E-04,45916;1.04E-03
MYOD1,36075;6.11E-10,36077;1.48E-06,75839;4.97E-04,42734;4.09E-01,
ETS1,72625;7.58E-10,37945;3.97E-08,72626;1.07E-04,72623;2.05E-04,49243;2.86E-04
GTF2F1,45737;9.92E-10,45878;2.29E-04,45683;5.15E-04,,
FOSL2,54241;1.15E-09,46346;2.91E-06,63829;1.89E-05,63081;5.42E-05,63984;5.46E-05
TFAP2C,9508;1.55E-09,39978;1.80E-08,2403;1.42E-07,9507;1.42E-07,9510;1.83E-07
BATF,74668;1.87E-09,46109;1.98E-03,48626;6.07E-02,48621;1.15E-01,
TFAP4,74432;2.78E-09,62715;3.81E-06,74431;2.86E-04,62716;1.34E-01,
MAX,46349;3.52E-09,33197;2.61E-08,46070;2.87E-08,45749;3.32E-08,38119;3.32E-08
ESR1,54030;3.76E-09,54033;2.27E-08,54031;1.02E-06,52611;1.05E-06,54083;1.10E-06
FOXP2,46333;4.46E-09,46340;1.07E-02,42659;1.00E+00,,
TAF1,46345;5.05E-09,46196;3.02E-07,46221;1.25E-06,46334;4.05E-06,46282;2.90E-05
RFX5,45730;5.34E-09,46037;1.27E-03,45649;4.33E-03,45893;1.06E-02,45863;1.76E-02
NR2F1,56817;5.35E-09,56818;9.13E-06,64996;2.39E-04,35628;7.54E-03,64997;4.32E-02
KAT2B,45742;6.75E-09,45635;3.66E-07,4418;1.88E-04,45418;5.04E-04,8788;5.04E-04
