,pval,species,factor,factor_type,cell_line,cell_type,tissue,qc
69457|TP53,2.5456459412407337e-10,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
69456|TP53,2.6062167713356893e-08,Homo sapiens,TP53,predicted transcription factor,None,None,Foreskin,1
53593|MED1,1.2467281130341922e-07,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
49484|MED1,3.458532012966036e-07,Homo sapiens,MED1,predicted transcription factor,None,Myoblast,None,1
45853|FOS,4.4989329754034927e-07,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1
59542|MYC,4.7164413261123116e-07,Homo sapiens,MYC,tf,IMEC,Epithelium,Breast,1
56427|MYC,4.7164413261123116e-07,Homo sapiens,MYC,tf,None,Epithelium,Breast,1
52495|TCF21,5.334238972089301e-07,Homo sapiens,TCF21,tf,None,None,Coronary artery smooth muscle,1
59375|ESR1,3.660071514782656e-06,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
1741|FOS,4.11286297842556e-06,Homo sapiens,FOS,tf,None,Endothelial Cell,Umbilical Vein,1
76811|NEUROG2,4.9342401673308035e-06,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1
49266|SCML2,5.322290284697918e-06,Homo sapiens,SCML2,tf,293T-Rex,None,None,1
72625|ETS1,5.375003787254677e-06,Homo sapiens,ETS1,tf,None,Endothelial Cell,Umbilical Vein,1
46356|RXRA,5.796028365797964e-06,Homo sapiens,RXRA,tf,SK-N-SH,Neuroblastoma cell,Brain,1
43165|NR2F2,7.495029887383055e-06,Homo sapiens,NR2F2,tf,None,Stromal Cell,None,1
51750|FOXP1,1.0234100527885716e-05,Homo sapiens,FOXP1,tf,LNCaP,Epithelium,Prostate,1
53592|MED1,1.6064052376938877e-05,Homo sapiens,MED1,predicted transcription factor,None,Adipocyte,None,1
50412|KLF11,1.7149308381943338e-05,Homo sapiens,KLF11,tf,hMADS-3,Adipocyte,Adipose,1
2401|TFAP2A,2.0456949376037053e-05,Homo sapiens,TFAP2A,predicted transcription factor,MCF-7,Epithelium,Breast,1
59374|ESR1,2.155521191785373e-05,Homo sapiens,ESR1,tf,MCF-7,Epithelium,Breast,1
54125|CEBPB,2.1888729201156507e-05,Homo sapiens,CEBPB,tf,None,Mesenchymal Stem Cell,None,1
74668|BATF,2.1888729201156507e-05,Homo sapiens,BATF,predicted transcription factor,GM12878,B Lymphocyte,Blood,1
74432|TFAP4,2.2432558232112138e-05,Homo sapiens,TFAP4,,SNU175,Colorectal cancer cell line,None,1
76818|NEUROG2,2.47387140493233e-05,Homo sapiens,NEUROG2,tf,None,Fibroblast,Fetal Lung,1
