,0,TF
MS00267|MNT,1.1175841972709447e-08,MNT
MS00304|CREB3L1,1.2193898885433575e-08,CREB3L1
M00500|STAT6,1.3169618791106348e-08,STAT6
MC00203|RFX3,1.4109297176040084e-08,RFX3
MA0131|HINFP,1.4382267730042954e-08,HINFP
UP00413|Elf4,1.5910238215391897e-08,Elf4
M01728|NR2F6,1.5997058519472793e-08,NR2F6
MS00296|BATF3,1.6228745429339872e-08,BATF3
MC00124|MAX,1.6474715720352052e-08,MAX
MS00124|KLF13,1.739869966122556e-08,KLF13
MC00224|EPAS1,1.8572325805225237e-08,EPAS1
M01002|DEAF1,1.89045157298336e-08,DEAF1
MC00342|YY1,2.187381839556843e-08,YY1
MC00518|Tfcp2,2.2301922707148293e-08,Tfcp2
MC00362|Arntl,2.2598795929543082e-08,Arntl
UP00003|E2F3,2.3130847031521082e-08,E2F3
MC00207|ELK4,2.3754843778905438e-08,ELK4
MC00523|E2F4,2.4569988405012953e-08,E2F4
M00467|ZNF423,2.5001043784387122e-08,ZNF423
UP00020|ATF1,2.6019931795007693e-08,ATF1
UP00404|ELF2,2.743375140040555e-08,ELF2
MS00829|ESRRA,2.7491401931829498e-08,ESRRA
UP00094|Zfp128,2.772027774048398e-08,Zfp128
UP00048|RARA,2.957595533332206e-08,RARA
MA0116|Zfp423,3.068298586577722e-08,Zfp423
MS00423|ZNF524,3.0741584446093486e-08,ZNF524
MS00021|ETV6,3.0857093561074184e-08,ETV6
MS00025|FEV,3.211458339279499e-08,FEV
MS00111|NFKB2,3.276883933503656e-08,NFKB2
MS00844|ELK3,3.306541337703412e-08,ELK3
MS00694|RXRG,3.46720381188241e-08,RXRG
M01118|WT1,3.6675229291724115e-08,WT1
M01733|MZF1,3.680644527791744e-08,MZF1
M00792|SMAD1,4.1177671695835016e-08,SMAD1
M00332|FOXN1,4.1828020693513244e-08,FOXN1
MS00046|GLIS3,4.185942269911185e-08,GLIS3
MS00243|Ascl2,4.239315207777987e-08,Ascl2
MC00335|ESR1,4.331568768155181e-08,ESR1
M00072|TFCP2,4.354202739685022e-08,TFCP2
M01596|GLI3,5.002724825984401e-08,GLI3
UP00084|Gmeb1,5.0996723098225704e-08,Gmeb1
MC00174|REST,5.424844526018354e-08,REST
MC00262|ARNT,5.555685410273049e-08,ARNT
MC00128|CTCF,5.622908328139952e-08,CTCF
UP00024|Glis2,5.890747042366362e-08,Glis2
MS00255|HES5,6.069315669538071e-08,HES5
MC00273|CEBPA,6.710332916806425e-08,CEBPA
MS00851|ETS1,6.727513395636733e-08,ETS1
UP00001|E2F2,7.344481100409815e-08,E2F2
MC00355|SRF,7.923644890363438e-08,SRF
MS00128|PAX9,8.23978883359453e-08,PAX9
M01109|ZNF589,8.345352552234535e-08,ZNF589
MC00160|ETV3,8.380961703363896e-08,ETV3
MA0155|INSM1,9.617850837388268e-08,INSM1
MS00346|ZIC3,1.015500734529737e-07,ZIC3
UP00000|SMAD3,1.0178737892978824e-07,SMAD3
MC00407|Myc,1.0345480122199168e-07,Myc
MC00532|Mycn,1.0407065851699414e-07,Mycn
MC00394|MYC,1.0538915029208762e-07,MYC
M01243|MTF1,1.0704287420895852e-07,MTF1
MS00115|NFIX,1.1066295310764835e-07,NFIX
MS00274|NHLH1,1.1466342844735812e-07,NHLH1
MC00125|Rest,1.449354867611182e-07,Rest
MC00475|Nfic,1.4540801910010796e-07,Nfic
