,0,TF
MS00551|MEOX1,0.18791336657842855,MEOX1
UP00120|Lbx2,0.18854778986932433,Lbx2
M00420|MEIS1::HOXA9,0.18915537374236238,MEIS1::HOXA9
MS00516|Hoxa2,0.19187716312611486,Hoxa2
MS00556|GRHL1,0.19397804689935474,GRHL1
MS00730|ZNF435,0.2021342164526766,ZNF435
MS00731|ZNF713,0.2047121560911071,ZNF713
M00624|DBP,0.21521144490971697,DBP
MS00053|TCF7L1,0.21766497401691415,TCF7L1
UP00112|Gsc,0.2263758595197023,Gsc
MS00496|HOXC10,0.22783742175215516,HOXC10
UP00125|PITX2,0.23160904234886234,PITX2
UP00132|Evx2,0.23895649329070642,Evx2
MS00450|EN2,0.24105488190976773,EN2
MS00414|BARHL2,0.24498651882635222,BARHL2
MS00497|HOXC11,0.2528136913501844,HOXC11
M01127|ISL1,0.2536583423864987,ISL1
MC00411|BATF,0.25414737594685904,BATF
MC00111|Bcl6,0.2551342049578927,Bcl6
MS00153|POU5F1P1,0.25703568554804945,POU5F1P1
MC00104|Foxa1,0.2648482628801119,Foxa1
MS00443|EMX2,0.2767980077023305,EMX2
M00632|GATA4,0.284951950458338,GATA4
MS00466|GSX2,0.28799543887157375,GSX2
UP00107|Nkx2-4,0.28889091455052,Nkx2-4
UP00261|LHX4,0.2906831399793244,LHX4
MS00521|Hoxd3,0.2933609514358934,Hoxd3
MC00120|GATA1,0.2992014583381833,GATA1
MS00439|Dlx1,0.29926864519759155,Dlx1
MS00485|HOXA13,0.30230429934434344,HOXA13
MS00245|BHLHA15,0.30381618037760194,BHLHA15
MS00429|DLX3,0.31090799458665874,DLX3
MS00402|ALX3,0.3164726957593925,ALX3
M01262|TBX18,0.31942217342296536,TBX18
MS00359|FOXD3,0.32708463870244164,FOXD3
MS00626|VSX1,0.3372640125222049,VSX1
MS00051|LEF1,0.3375001602135298,LEF1
MS00464|GSC,0.3459223531587572,GSC
MS00011|BCL6B,0.3512679888146557,BCL6B
MC00325|Gata2,0.35127462643798285,Gata2
MS00555|MIXL1,0.3532252913433555,MIXL1
MS00467|Gbx1,0.353400547240273,Gbx1
MS00472|HMBOX1,0.35595535410545764,HMBOX1
MS00072|IRF8,0.3606664376213008,IRF8
MS00054|Tcf7,0.36413407711751955,Tcf7
MS00552|MEOX2,0.36657976996996816,MEOX2
M01081|ZNF628,0.37123316460141687,ZNF628
MS00527|IRX5,0.37220877208042064,IRX5
MS00452|ESX1,0.37307736625676796,ESX1
UP00231|NKX2-2,0.3735505270339585,NKX2-2
UP00207|HOXB9,0.37365325551623885,HOXB9
MS00367|FOXJ3,0.3850296055089074,FOXJ3
UP00071|Sox21,0.38578882108350493,Sox21
UP00185|PBX1,0.39130541961235826,PBX1
MS00513|HOXD8,0.3989472268038241,HOXD8
MS00811|RARB,0.40101029903084956,RARB
UP00243|Isx,0.4016456553501673,Isx
MS00455|EVX2,0.402155057694579,EVX2
MS00510|HOXD13,0.4038769072550538,HOXD13
MC00162|LMO2,0.4056948051850374,LMO2
MS00599|PRRX1,0.40601684953565276,PRRX1
MS00506|HOXD11,0.40864975329596764,HOXD11
M01480|Obox5,0.4143787852205183,Obox5
MS00613|SHOX2,0.42528768059411237,SHOX2
UP00197|HOXC9,0.4262156412924367,HOXC9
M01479|POU6F1,0.42686185485436223,POU6F1
MS00045|GATA5,0.4312803105980755,GATA5
M01722|RORB,0.43363784047555853,RORB
MC00453|STAT5A,0.43562907931867345,STAT5A
MS00465|GSX1,0.4373785735585817,GSX1
MC00105|Foxa2,0.4394342135034912,Foxa2
MS00794|Sox10,0.44364925080846496,Sox10
MS00144|POU3F3,0.4562150713145132,POU3F3
MS00454|EVX1,0.4604756648840109,EVX1
MS00520|Hoxd13,0.46048538994755484,Hoxd13
M01075|ZBTB16,0.46340599724530906,ZBTB16
MC00324|Gata4,0.46371041007858993,Gata4
MS00489|HOXB13,0.4647610196098223,HOXB13
UP00194|IRX4,0.4658546458420567,IRX4
MS00486|HOXA1,0.47538280194967697,HOXA1
UP00391|HOXA3,0.4776380217322731,HOXA3
MS00151|POU4F3,0.4802786764474044,POU4F3
UP00186|MEIS1,0.4810213479172796,MEIS1
MS00460|GBX2,0.4949134231286283,GBX2
MA0108|TBP,0.49585946391624713,TBP
MS00406|Alx1,0.5042606469330722,Alx1
MC00118|GATA2,0.5055400746561076,GATA2
MC00402|Hoxc9,0.5069197243118413,Hoxc9
MC00416|Rbfox2,0.5084294998814849,Rbfox2
MC00311|FOXA1,0.5095435283832916,FOXA1
UP00030|Sox11,0.5129238643570385,Sox11
MS00619|Uncx,0.5149599756871855,Uncx
MS00055|HOMEZ,0.5165364362944339,HOMEZ
M00454|ARID5B,0.5176808082681059,ARID5B
UP00150|IRX6,0.5239144070012915,IRX6
MS00141|POU3F2,0.5260156837049538,POU3F2
UP00241|HOXD3,0.5520212589689728,HOXD3
MS00505|HOXC13,0.5526662247768221,HOXC13
MS00463|GSC2,0.556758624309446,GSC2
MC00303|Sox2,0.5600528186757964,Sox2
MS00269|MYF6,0.569019523924903,MYF6
MS00690|ONECUT3,0.5710416610443064,ONECUT3
MS00605|RAXL1,0.5751142018569915,RAXL1
MS00609|RHOXF1,0.5792335073917545,RHOXF1
MC00205|Stat5a,0.5796760002494442,Stat5a
MS00421|Barhl1,0.5861484167978002,Barhl1
UP00043|Bcl6b,0.5868041416323055,Bcl6b
MS00130|POU1F1,0.5895128994332283,POU1F1
MS00617|UNCX,0.59079369402047,UNCX
UP00242|HOXC8,0.5950718615560133,HOXC8
UP00161|Hmbox1,0.5997199989413153,Hmbox1
MS00134|POU2F2,0.6035535332712225,POU2F2
MC00326|Gata3,0.6037572530520745,Gata3
MS00428|DLX2,0.6109128969510644,DLX2
UP00187|ALX4,0.61620639520404,ALX4
MS00805|Sox3,0.6220139132146776,Sox3
MS00430|DLX4,0.6249163645180585,DLX4
MS00316|Dbp,0.6263439236890009,Dbp
MC00504|Scx,0.629578464881419,Scx
UP00189|HOXA5,0.6299298498415835,HOXA5
MS00531|ISX,0.6360708661335073,ISX
MS00770|SOX7,0.6371052992110604,SOX7
MS00540|LHX6,0.6386147917428455,LHX6
UP00263|Hoxb8,0.6387749480944542,Hoxb8
MS00469|Gbx2,0.6423188500146897,Gbx2
MS00083|MEIS2,0.6506905483255576,MEIS2
MS00665|NR4A2,0.6529467135368457,NR4A2
M00640|HOXA4,0.6568981673844432,HOXA4
MS00603|PRRX2,0.6572914603593834,PRRX2
MS00836|HOXD12,0.6584520327125245,HOXD12
MS00578|NOTO,0.664707024894684,NOTO
MS00536|LHX2,0.6665819791667164,LHX2
MS00517|Hoxc10,0.6669255339138034,Hoxc10
MA0365|RFX1,0.6699198459181712,RFX1
MS00427|DLX1,0.6712534814785089,DLX1
UP00113|HOXC4,0.6721465440504137,HOXC4
MC00211|NFATC1,0.6723142085931363,NFATC1
UP00137|Hoxb3,0.6804125704149813,Hoxb3
M01734|NFATC4,0.6838591706561209,NFATC4
MA0152|NFATC2,0.6861219584935776,NFATC2
UP00238|Nkx6-3,0.6867664817572819,Nkx6-3
UP00044|Mafk,0.6868675853294794,Mafk
MC00514|Cbfa2t2,0.6874423996295441,Cbfa2t2
MS00614|SHOX,0.6878788884670097,SHOX
MS00440|Dlx2,0.6892612078757471,Dlx2
UP00139|Nkx1-2,0.6950977546259116,Nkx1-2
MC00119|GATA3,0.6966626136850159,GATA3
MS00191|TBR1,0.6994893784993762,TBR1
MS00615|Shox2,0.7007452761508042,Shox2
MS00280|OLIG3,0.7038476512379315,OLIG3
UP00004|Sox14,0.7068395264049405,Sox14
MC00389|CDX2,0.7118497551437754,CDX2
M01694|Yy2,0.7131175042751748,Yy2
MS00785|SOX9,0.7157487426112839,SOX9
M01399|Hlx,0.7164353903093671,Hlx
MS00541|LHX9,0.7179874726879503,LHX9
MS00432|DLX6,0.718031171838398,DLX6
MS00075|MEF2B,0.7183401492961767,MEF2B
MS00557|MNX1,0.7271479207882641,MNX1
MC00178|Nkx2-5,0.7382795570144058,Nkx2-5
MS00667|ONECUT1,0.7386385553221257,ONECUT1
UP00211|Pou3f3,0.7409873955457185,Pou3f3
MS00585|OTX2,0.7499332464993701,OTX2
MS00418|BARX1,0.7650913254696559,BARX1
M01004|IKZF2,0.7713156097193239,IKZF2
MS00372|FOXL1,0.7716578276930125,FOXL1
MS00502|HOXC12,0.7730829037006209,HOXC12
MS00679|ONECUT2,0.7734491267445229,ONECUT2
MS00356|FOXD2,0.7744269574386842,FOXD2
MS00132|POU2F1,0.7859430298002738,POU2F1
MS00351|FOXC1,0.7893576332257619,FOXC1
MS00559|MSX1,0.795542934342437,MSX1
M01146|DMRT1,0.7958708328637694,DMRT1
MS00250|BHLHE23,0.7966565217872524,BHLHE23
MC00455|Cdx2,0.7969249431669869,Cdx2
MS00753|SOX18,0.7995600386381256,SOX18
MS00624|VENTX,0.803154712845731,VENTX
MS00628|Vsx1,0.8046940969391772,Vsx1
MS00438|DUXA,0.8057968492698422,DUXA
MS00318|Hlf,0.8140214484699577,Hlf
MS00076|MEF2D,0.8155333147403877,MEF2D
UP00248|Pax7,0.8204374190076023,Pax7
MS00732|CPEB1,0.8319066102381946,CPEB1
MS00564|Msx3,0.8349491210586552,Msx3
UP00213|HOXA9,0.8353613284826581,HOXA9
M00478|CDC5L,0.8366460170762879,CDC5L
MS00561|MSX2,0.8415454386156023,MSX2
MC00474|BCL11A,0.841570606996182,BCL11A
MS00588|PDX1,0.8441970640697394,PDX1
MS00604|Prrx2,0.8453121699999636,Prrx2
MS00148|POU4F1,0.8507180615177184,POU4F1
MS00277|OLIG2,0.856029362487041,OLIG2
UP00138|Bsx,0.8568000018393713,Bsx
MS00033|SPDEF,0.8569755708426902,SPDEF
UP00215|Vax1,0.8625962886399431,Vax1
UP00023|Sox30,0.8689038570448389,Sox30
MS00425|CDX1,0.8726322259096435,CDX1
MS00492|HOXB3,0.8749590493948136,HOXB3
MS00581|Nkx6-1,0.88327696126327,Nkx6-1
MS00137|POU2F3,0.88363291553723,POU2F3
MS00354|FOXC2,0.8857172140544488,FOXC2
MA0125|Nobox,0.8864886594362894,Nobox
MS00771|SOX8,0.8875492834596949,SOX8
MC00226|Nanog,0.8942260736093394,Nanog
MC00217|FOXA2,0.8980526458072283,FOXA2
M01147|DMRT2,0.8980915559828275,DMRT2
MS00606|RAX,0.9049701180432521,RAX
MS00431|DLX5,0.9050429919881462,DLX5
M01453|ALX1,0.906494051926455,ALX1
MS00149|POU4F2,0.9106297396058134,POU4F2
MS00543|LMX1A,0.9141448821666671,LMX1A
MS00366|FOXJ2,0.9159115199920945,FOXJ2
MS00575|NKX6-1,0.9188061614968289,NKX6-1
UP00182|HOXA6,0.9208120011425676,HOXA6
MC00231|MEF2C,0.9236571446442674,MEF2C
MC00327|Gata1,0.9259243753680247,Gata1
MS00577|NKX6-2,0.9268619120942541,NKX6-2
MC00117|GATA6,0.9270182186047377,GATA6
UP00260|Hoxc6,0.9289519370372331,Hoxc6
UP00175|Lhx9,0.9344153295919146,Lhx9
MS00362|FOXI1,0.9397750035314141,FOXI1
MS00437|DRGX,0.9409205884537422,DRGX
M01435|Rhox6,0.9462300606129419,Rhox6
MC00269|SOX2,0.9469292374119105,SOX2
MS00627|VSX2,0.9469522210258374,VSX2
MS00563|Meox2,0.9505471954931504,Meox2
UP00212|LHX5,0.9506087876638412,LHX5
MS00126|PAX7,0.9506528268502161,PAX7
UP00252|HOXC5,0.9523783357729606,HOXC5
UP00041|Foxj1,0.9526374509447533,Foxj1
UP00078|ARID3A,0.9530787524721729,ARID3A
UP00012|Bbx,0.9535265096403959,Bbx
UP00166|BARHL1,0.956291796961894,BARHL1
MS00595|PITX1,0.9580966561417906,PITX1
MS00276|OLIG1,0.9592070369756267,OLIG1
MS00547|Lhx4,0.9626759934606706,Lhx4
MS00797|Sox17,0.9637642606624598,Sox17
MS00802|Sox1,0.9644915730119779,Sox1
UP00169|LMX1B,0.967976354837133,LMX1B
M01149|Dmrta1,0.969273028434234,Dmrta1
UP00130|LHX3,0.9706309516324679,LHX3
MS00249|BHLHE22,0.9712095857287719,BHLHE22
M00294|Foxf1a,0.9744602732367257,Foxf1a
UP00140|Hoxd1,0.9747740271858095,Hoxd1
UP00244|TLX2,0.9750921232307028,TLX2
MC00233|Pou5f1,0.9758818522414028,Pou5f1
MS00476|HNF1A,0.9761115763768196,HNF1A
MS00470|HESX1,0.9770152493973282,HESX1
MS00591|PHOX2A,0.9776547226728425,PHOX2A
MA0030|FOXF2,0.9820743981352905,FOXF2
MA0040|Foxq1,0.984085448663212,Foxq1
M01150|Dmrta2,0.9856766405299435,Dmrta2
UP00064|Sox18,0.9865554275362308,Sox18
MC00501|FOXP1,0.9867463976670605,FOXP1
MS00728|ZNF232,0.9873346957611049,ZNF232
UP00170|Isl2,0.989395907349676,Isl2
UP00237|Otp,0.9895309927061249,Otp
UP00262|Lhx1,0.989701380726044,Lhx1
MS00408|Alx4,0.9900835637109693,Alx4
UP00206|Hoxb7,0.9901250430036732,Hoxb7
M01230|ZNF333,0.9905184747146275,ZNF333
MS00593|PHOX2B,0.99052417766604,PHOX2B
MS00634|CUX2,0.9910542046365052,CUX2
MS00620|VAX1,0.9918802037637553,VAX1
MS00145|POU3F4,0.9918830196827121,POU3F4
MC00260|Pax3,0.9919547028173624,Pax3
M01108|HOXA7,0.9921893062832753,HOXA7
UP00080|Gata5,0.9934194667463478,Gata5
UP00152|Arx,0.9939285352774575,Arx
MC00146|Smad2/3,0.9939329297423393,Smad2/3
UP00091|SOX5,0.9941170031775367,SOX5
UP00082|Zfp187,0.9942404827645669,Zfp187
UP00037|Zfp105,0.9951592213822944,Zfp105
MS00621|VAX2,0.9955060085468553,VAX2
MA0031|FOXD1,0.9955701133686773,FOXD1
MC00165|Pdx1,0.9959617350198642,Pdx1
UP00096|SOX13,0.9965301855118281,SOX13
MS00596|PITX3,0.9966130423825037,PITX3
M01483|Dbx1,0.996862272180063,Dbx1
MC00378|POU5F1,0.9970793742679035,POU5F1
MS00424|CART1,0.9977215790557294,CART1
UP00034|Sox7,0.9978239630136346,Sox7
UP00101|Sox12,0.9978982438938598,Sox12
MS00155|POU6F2,0.9979482852487755,POU6F2
MS00787|SRY,0.9981007361881453,SRY
M01723|SATB1,0.9981570964885255,SATB1
UP00129|Pou3f1,0.9983645745320098,Pou3f1
UP00168|Hoxd8,0.9987077354517465,Hoxd8
MS00597|PROP1,0.9989358555798664,PROP1
MS00750|SOX15,0.9993452312087678,SOX15
M01148|DMRT3,0.9994356949677977,DMRT3
UP00151|BARX2,0.9995171553832354,BARX2
UP00075|Sox15,0.9998182990730482,Sox15
MS00388|Foxc1,0.9998833987751998,Foxc1
UP00055|HBP1,0.9998968538015807,HBP1
MS00405|ARX,0.999903834639148,ARX
MS00748|SOX14,0.9999287221002008,SOX14
UP00218|Dbx2,0.9999633732976577,Dbx2
UP00051|Sox8,0.9999909388316118,Sox8
UP00121|Hoxd10,0.9999960479868267,Hoxd10
