,coefficients,cell_line,cell_type,tissue
55768,-0.43194359873684834,ALL-SIL,T Lymphocyte,
61858,0.39634562251157074,,,Brain
1822,0.35794570067288745,IMR90,Fibroblast,Lung
1821,-0.2574582505653817,IMR90,Fibroblast,Lung
49978,0.21688204088108923,90-8TL,Schwann Cell,Brain
43209,0.19839068799532214,,,Pancreatic Islet
43120,-0.19555641309116442,OCI-Ly3,B Lymphocyte,Bone Marrow
8402,0.18427917445920255,HCC1954,Epithelium,Mammary Gland
57453,-0.05458209747175605,K562,Erythroblast,Bone Marrow
44385,0.037768739739513224,,Endothelial Cell,Umbilical Vein
42335,0.010250065011734508,GM12892,Lymphoblastoid,Blood
