Transcription Factor,1st Sample p-value,2nd Sample p-value,3rd Sample p-value,4th Sample p-value,5th Sample p-value
HES2,64928;1.31E-12,64963;6.50E-12,62645;3.00E-11,63542;1.36E-10,64835;1.82E-10
CEBPB,71243;5.47E-12,64280;5.18E-11,54126;4.93E-10,71242;1.61E-09,54127;1.74E-09
NR3C1,64472;7.13E-11,64863;3.50E-10,70947;1.04E-09,64473;3.68E-09,64862;5.24E-09
AR,56670;5.69E-10,56669;5.76E-09,48096;7.29E-07,48097;5.69E-06,70143;5.79E-06
SMAD3,39365;3.10E-09,1084;2.17E-05,71283;3.03E-04,39359;9.78E-04,71282;4.50E-03
TEAD1,56542;3.62E-09,54611;2.03E-07,54612;1.68E-06,56535;5.13E-06,71236;5.31E-03
FOSL2,63829;6.48E-09,63298;2.36E-08,62627;7.15E-08,62626;1.25E-07,62718;2.76E-07
CEBPA,3006;1.65E-08,41167;1.51E-06,8444;4.21E-04,1374;1.17E-03,1375;1.18E-03
CHRM2,52574;1.87E-08,52573;9.27E-04,56276;2.15E-01,34675;4.01E-01,34677;4.92E-01
FOS,46005;1.99E-08,46007;6.68E-08,1740;2.05E-07,45853;3.20E-06,46004;3.82E-06
JARID2,41824;2.64E-08,41797;1.54E-07,41816;1.79E-04,41812;5.13E-04,41820;6.18E-04
FOXA1,71213;3.52E-08,46067;7.13E-08,6571;7.71E-08,73190;3.24E-06,56665;3.50E-06
YAP1,54676;4.15E-08,55513;5.81E-08,54675;1.69E-07,55512;2.63E-06,55292;3.59E-04
GATA2,1743;5.86E-08,45852;8.67E-08,67749;5.26E-07,1742;5.92E-07,67748;2.25E-06
EZH2,41809;6.05E-08,41817;2.69E-06,41825;1.21E-05,41794;3.80E-04,41798;3.98E-03
RELA,68226;1.08E-07,68225;3.80E-07,1336;7.97E-07,1335;2.03E-04,48071;3.41E-04
JUN,67573;2.09E-07,45744;8.84E-07,56634;1.28E-05,52500;2.78E-05,45848;3.57E-05
TP63,58189;2.31E-07,41284;3.80E-07,52301;7.72E-07,71029;7.74E-07,58190;2.33E-06
CEBPZ,38846;3.34E-07,45805;5.86E-01,63355;7.04E-01,63354;9.94E-01,
MAML3,76421;3.83E-07,76419;3.28E-04,76422;5.47E-03,76420;2.70E-02,
LHX2,50899;4.62E-07,38679;5.35E-01,,,
SMARCA4,72125;4.77E-07,72119;8.81E-03,72109;1.24E-02,34390;2.04E-02,34389;3.92E-02
GATA3,33150;5.98E-07,46361;6.35E-07,33129;7.90E-07,33148;2.18E-06,33144;9.47E-06
FOXO1,54243;8.46E-07,75851;9.64E-02,58301;2.28E-01,75853;2.98E-01,75852;4.94E-01
NEUROG2,76815;1.30E-06,76818;1.43E-05,76819;3.07E-05,76817;3.20E-05,76816;5.70E-05
CALU,76279;1.32E-06,76278;9.19E-05,,,
HOXB13,56666;1.58E-06,56667;3.80E-05,56668;1.31E-04,56663;2.59E-03,56664;4.66E-02
PR,39770;1.62E-06,54021;3.71E-05,33571;5.33E-05,33569;2.77E-04,53983;2.86E-04
TAL1,44433;1.86E-06,44435;4.34E-06,9199;2.45E-02,37596;6.38E-02,37390;7.07E-02
MEF2B,53873;3.37E-06,53874;3.68E-04,53878;7.10E-03,53877;1.15E-02,53876;4.46E-02
GATA6,47599;5.28E-06,51481;9.27E-06,362;1.89E-04,47432;4.63E-04,47433;6.27E-04
CDK8,43638;5.62E-06,43642;3.34E-01,57165;4.67E-01,56371;5.89E-01,57167;6.25E-01
STAT3,46002;5.91E-06,34236;1.63E-05,45771;4.04E-05,45997;7.11E-05,46006;2.99E-02
SNAI2,48338;8.27E-06,48337;9.93E-06,48331;1.22E-04,48332;2.31E-04,48342;2.14E-03
RNF2,5603;9.48E-06,1079;3.46E-04,41490;5.96E-03,5770;1.23E-02,5768;4.22E-02
TP73,6543;9.58E-06,6546;4.34E-04,6544;4.34E-03,6545;2.12E-02,74649;3.73E-01
SMAD4,1086;1.30E-05,47582;2.47E-04,47581;1.53E-01,38693;5.25E-01,74675;5.65E-01
OTX2,50896;1.30E-05,74345;7.51E-04,74361;1.46E-03,51524;5.68E-03,74362;1.05E-02
IGF1R,397;1.31E-05,,,,
CTCF,50989;1.97E-05,45708;4.86E-05,64047;1.14E-04,38204;1.25E-04,38188;1.58E-04
ZSCAN5B,77240;2.03E-05,77238;1.90E-03,77237;1.67E-02,77239;2.59E-01,
TEAD4,41391;2.04E-05,46348;7.99E-04,56543;1.85E-03,46075;2.01E-03,41389;2.08E-03
ESR1,33520;2.16E-05,33509;2.37E-05,46374;2.84E-05,33495;3.02E-05,36106;4.56E-05
SUZ12,38163;2.19E-05,34336;2.75E-03,46019;8.21E-02,8823;9.96E-02,45233;9.96E-02
NIPBL,71869;2.68E-05,71872;2.77E-02,71878;4.22E-02,71866;4.42E-02,71875;1.86E-01
GATA4,51463;2.80E-05,51471;1.53E-04,51465;1.83E-04,47594;3.35E-04,51466;4.76E-04
HOXA13,38678;3.20E-05,42719;6.04E-01,,,
ATF3,32784;3.29E-05,68464;1.78E-02,46055;7.12E-02,68460;9.61E-02,64076;1.77E-01
BRD4,67805;4.44E-05,54332;7.96E-05,73510;1.66E-03,40217;2.13E-03,54333;2.92E-03
RCOR1,45869;4.91E-05,48801;2.15E-02,45777;1.05E-01,35580;3.93E-01,35565;4.92E-01
NR2F2,43165;5.82E-05,50976;2.28E-02,46309;3.49E-02,36804;8.39E-02,50972;1.08E-01
HSF4,38644;6.59E-05,,,,
TCF7L1,70803;7.58E-05,70802;4.70E-02,9194;9.85E-02,70804;2.26E-01,40166;3.11E-01
SMARCC1,72110;7.77E-05,72101;5.23E-04,72099;7.81E-03,45732;8.13E-02,1346;8.13E-02
NFE2L2,62958;7.84E-05,62959;1.20E-02,38910;1.95E-01,64298;2.19E-01,38913;2.56E-01
CEBPG,62691;8.93E-05,62690;1.97E-04,64052;1.10E-02,64053;3.02E-02,38690;4.31E-01
CREBBP,50402;9.12E-05,2749;2.48E-04,2748;3.07E-04,2750;6.39E-03,50403;3.42E-02
HIF1A,49446;9.16E-05,49447;2.88E-03,58172;2.05E-02,44489;2.21E-01,9496;2.34E-01
KDM2B,58062;9.78E-05,58086;2.06E-04,58083;1.37E-03,58081;2.61E-02,58079;2.66E-02
SMAD2/3,1080;9.90E-05,1083;2.72E-02,1081;4.30E-02,1082;2.72E-01,51567;2.96E-01
RAD21,45757;1.05E-04,45862;9.04E-04,56037;9.12E-04,46366;1.05E-03,56041;1.74E-03
FOXO3,34350;1.08E-04,74682;3.16E-01,74680;3.65E-01,38806;4.13E-01,39906;5.29E-01
JUND,52501;1.20E-04,45743;2.45E-04,46351;4.72E-04,5925;8.06E-03,45828;3.13E-02
PIAS1,71209;1.33E-04,51052;1.31E-02,71210;1.46E-02,55356;2.08E-02,51051;2.09E-02
ATF4,54129;1.69E-04,64175;1.33E-01,64176;1.36E-01,55516;1.59E-01,55517;2.14E-01
POLR3G,45642;1.72E-04,45896;2.15E-03,2754;7.19E-03,1330;9.20E-03,1952;1.09E-02
POLR3A,691;1.72E-04,2109;2.15E-03,1329;7.13E-03,4487;7.50E-01,45927;7.89E-01
PBX3,56901;1.74E-04,46358;9.95E-03,46121;2.29E-01,46082;6.56E-01,42859;1.00E+00
SMC3,62504;1.97E-04,62505;1.24E-03,45759;4.91E-03,41382;2.35E-02,45816;3.49E-02
PPARG,50409;2.13E-04,4494;6.24E-04,69796;1.22E-03,4495;1.25E-03,69795;1.51E-03
POLR3D,1869;2.38E-04,36361;5.83E-04,68066;1.82E-03,36363;1.98E-03,68065;7.41E-03
EPAS1,5516;2.59E-04,47096;1.23E-01,47095;1.30E-01,47087;1.72E-01,47088;2.91E-01
598-SKD,55220;3.01E-04,55218;3.20E-03,49467;2.21E-01,55219;3.17E-01,49468;3.71E-01
FOXA2,37366;3.34E-04,52681;2.05E-03,55322;2.18E-03,55321;2.41E-03,52683;2.44E-03
MAX,33197;3.78E-04,45778;6.78E-04,46070;4.04E-03,45749;1.25E-02,38119;1.25E-02
5MC,70101;3.90E-04,55284;2.87E-01,55287;4.41E-01,55289;9.75E-01,
TCF21,52497;3.96E-04,52496;7.31E-04,52495;1.10E-03,52498;8.46E-02,
TERT,76879;4.00E-04,76882;1.78E-03,76885;4.01E-03,76884;4.66E-03,76886;1.11E-02
PROX1,74485;4.14E-04,74488;8.17E-02,49669;1.39E-01,,
RUNX2,5373;4.42E-04,74117;1.00E-01,74116;1.31E-01,74546;1.75E-01,
TRIM28,52087;4.47E-04,49606;1.55E-01,72552;2.21E-01,49609;2.45E-01,49608;4.13E-01
VDR,39364;4.79E-04,39367;2.40E-01,5451;2.55E-01,70542;2.79E-01,50117;2.91E-01
BRF1,45931;5.31E-04,45766;9.98E-03,1197;3.38E-02,1797;2.95E-01,
PAF1,55676;5.55E-04,36352;2.11E-01,36344;2.28E-01,36343;5.21E-01,55682;8.24E-01
SPI1,67927;5.74E-04,55397;6.89E-04,55390;9.26E-04,67928;1.18E-03,55389;3.69E-03
HLF,63809;6.16E-04,63808;1.05E-03,,,
TET2,70099;6.23E-04,70097;3.73E-03,70100;6.49E-02,67858;1.74E-01,70093;1.77E-01
LMNA,34444;6.38E-04,72793;1.45E-02,56292;1.41E-01,72795;2.96E-01,56290;3.63E-01
AHR,33035;7.13E-04,,,,
