,0,TF
MS00638|ESRRG,0.0004174664963628727,ESRRG
M00468|KLF12,0.000436309565841168,KLF12
MS00504|HOXC13,0.0004420918187853397,HOXC13
MC00121|Cebpb,0.0004631531330907793,Cebpb
UP00018|Irf4,0.0004634632127819723,Irf4
M01118|WT1,0.00047030027795565474,WT1
M01247|NANOG,0.0004704897509119784,NANOG
MS00727|ZBTB49,0.0004963239244286165,ZBTB49
MS00061|HSFY2,0.0005086830065911954,HSFY2
MS00247|BHLHB2,0.0005159981983489794,BHLHB2
MS00725|MTF1,0.0005389110148082333,MTF1
MC00394|MYC,0.0005493126074562512,MYC
M01248|NR0B1,0.0005535710776139087,NR0B1
M00632|GATA4,0.0005648866270346786,GATA4
MS00111|NFKB2,0.0005671343406372772,NFKB2
MC00523|E2F4,0.0005789989205985504,E2F4
MC00154|Jund,0.0005836667436181894,Jund
MC00142|PPARG,0.0006073058313034955,PPARG
MC00349|Jun,0.0006094586357249653,Jun
MS00789|Egr3,0.000624227791669678,Egr3
MS00334|ZIC1,0.0006309495558677626,ZIC1
MS00730|ZNF435,0.0006597330848554665,ZNF435
M00085|ZBTB6,0.0006604594665279392,ZBTB6
MS00285|TCF4,0.0006801757384523731,TCF4
M00378|PAX4,0.0007092576801492496,PAX4
MS00710|THRB,0.0007211757215859012,THRB
M00993|TAL1,0.0007237888326513581,TAL1
MS00470|HESX1,0.0007392443867135543,HESX1
MC00281|PBX3,0.000758797318187507,PBX3
M00695|TEAD2,0.0007842473353972886,TEAD2
MC00342|YY1,0.0007875451161459239,YY1
MS00528|ISL2,0.0007903531371590347,ISL2
UP00028|Tcfap2e,0.0007908512957832636,Tcfap2e
UP00040|Irf5,0.0007996089263435162,Irf5
MC00502|HMGN1,0.0008112334101802809,HMGN1
MS00717|Tp53,0.000843839608851793,Tp53
MC00407|Myc,0.0008452729338031446,Myc
MA0116|Zfp423,0.000863019665727644,Zfp423
MS00288|TFE3,0.0008802602072723618,TFE3
MA0014|PAX5,0.0008861166348882232,PAX5
MC00351|FOSL1,0.0008878157615603797,FOSL1
MC00170|PGR,0.0008879835555301514,PGR
UP00065|Zfp161,0.0009007259408459279,Zfp161
MS00393|Foxg1,0.0009166970259912631,Foxg1
MS00267|MNT,0.000973516031711247,MNT
MC00128|CTCF,0.0009763579812310554,CTCF
MC00524|Nr1d1,0.0010113625459748732,Nr1d1
MS00362|FOXI1,0.0010143294105692492,FOXI1
MC00461|Max,0.0010272389065447225,Max
M01109|ZNF589,0.0010382864088727994,ZNF589
MC00510|E2f3,0.001049717292599643,E2f3
MS00101|Hic1,0.0010525436606382192,Hic1
M00514|ATF4,0.0010867258479889225,ATF4
MS00567|EGR3,0.0011707027132149554,EGR3
MC00248|USF1,0.0011730088445900632,USF1
MA0051|IRF2,0.0011783888987517057,IRF2
MC00124|MAX,0.0011904915962863802,MAX
MS00177|RUNX3,0.001208486288363812,RUNX3
MS00046|GLIS3,0.0012109715220135781,GLIS3
M01709|MAFA,0.0012230505603800796,MAFA
MS00270|Mlx,0.0013135618125287348,Mlx
MC00475|Nfic,0.0013249560665408457,Nfic
MC00509|NR2C2,0.0013260533421863483,NR2C2
MS00843|GLI2,0.0013446380218928367,GLI2
MS00235|SP4,0.0013527952474979056,SP4
M01783|SP2,0.0013848042134977593,SP2
UP00138|Bsx,0.0013884500467182806,Bsx
M01722|RORB,0.0013982458975891124,RORB
M01728|NR2F6,0.0014116345135461602,NR2F6
UP00056|RFX4,0.0014401260669830783,RFX4
MS00211|TBX2,0.001462771804650811,TBX2
UP00019|ZBTB12,0.0015414025861685177,ZBTB12
MS00399|Foxk1,0.001541442187570565,Foxk1
MC00330|FOS,0.0015671850233179689,FOS
MS00401|ZNF306,0.0015778781778934376,ZNF306
MS00371|FOXK1,0.0015942939223358502,FOXK1
MC00359|TP53,0.0016072780938974746,TP53
M00717|PAX8,0.0016277076489714108,PAX8
MS00606|RAX,0.0016300056966938154,RAX
MC00207|ELK4,0.0016728050917987267,ELK4
MC00250|Nkx3-1,0.0016777622026427008,Nkx3-1
MC00221|Tbx3,0.0016914333668109412,Tbx3
M00220|SREBF1,0.001737823664274108,SREBF1
MC00254|E2F6,0.001825935220542792,E2F6
MC00501|FOXP1,0.0018678169542927056,FOXP1
M00515|PPARG::RXRA,0.0018974674598885495,PPARG::RXRA
MS00268|YY2,0.001922191250455664,YY2
MC00335|ESR1,0.0019550475135885472,ESR1
UP00190|NKX2-3,0.0019831143804460876,NKX2-3
MS00331|MAFK,0.0019930426174816613,MAFK
MS00050|GCM2,0.002035857302947968,GCM2
MS00160|PROX1,0.002057990278593075,PROX1
MS00212|SP1,0.0020629589281837704,SP1
UP00048|RARA,0.0020721863304051535,RARA
MC00203|RFX3,0.0021098894083060996,RFX3
MC00391|ZNF143,0.0023131344272946425,ZNF143
M00449|ZIC2,0.0023290753166423273,ZIC2
MS00829|ESRRA,0.002364354167284455,ESRRA
MS00739|E2F8,0.0024046152663030037,E2F8
MS00265|MLXIPL,0.002428078190611509,MLXIPL
M01081|ZNF628,0.002486829689851136,ZNF628
MC00119|GATA3,0.002503909482351188,GATA3
MS00299|CEBPD,0.00253596656588333,CEBPD
M01714|KLF15,0.0025763832608158193,KLF15
MS00387|FOXP3,0.002595169711396802,FOXP3
UP00195|SIX3,0.0026054330994407715,SIX3
M01282|PPARA,0.002616006331876945,PPARA
MA0125|Nobox,0.0026250242344078886,Nobox
MS00087|Meis2,0.002654067676983819,Meis2
UP00330|XBP1,0.0027050829997491044,XBP1
UP00066|HNF4A,0.0027217640433491383,HNF4A
M01105|ZNF350,0.00272550585444533,ZNF350
MS00222|TEAD3,0.002731121780010614,TEAD3
MS00067|IRF5,0.002732161872507745,IRF5
MC00402|Hoxc9,0.0027485093698228088,Hoxc9
MC00532|Mycn,0.0027840525887191624,Mycn
MS00261|ID4,0.0027947072509305858,ID4
MS00088|Meis3,0.002812301111129515,Meis3
MC00358|Ebf1,0.0028650061975553877,Ebf1
MS00035|GLIS2,0.0028933703063414667,GLIS2
MC00227|IRF4,0.0029126862547221907,IRF4
MS00729|ZNF282,0.002920501764986185,ZNF282
MC00169|Usf2,0.0029386838366509027,Usf2
MS00460|GBX2,0.002971570162916285,GBX2
M00733|SMAD4,0.002987027547156103,SMAD4
MS00188|MGA,0.003013736055684466,MGA
MS00248|BHLHB3,0.0030145258843399243,BHLHB3
UP00091|SOX5,0.0030221481587464597,SOX5
MS00258|HEY1,0.00302620063285535,HEY1
UP00388|SIX6,0.0030716961067822827,SIX6
MC00252|Rara,0.0031074623735136836,Rara
UP00199|SIX4,0.003156315070480479,SIX4
MS00534|CENPB,0.003185198802052679,CENPB
MC00348|STAT1,0.003239291520484239,STAT1
MS00311|Creb3l2,0.0032547285562480543,Creb3l2
MS00125|PAX6,0.003355854071363257,PAX6
MC00333|ESR2,0.003367308978121278,ESR2
