,0,TF
UP00037|Zfp105,0.0842879362317944,Zfp105
MS00040|SPIC,0.08535833847487692,SPIC
MS00085|MEIS3,0.08558507086148039,MEIS3
M00433|Hmx3,0.08606066802890427,Hmx3
UP00238|Nkx6-3,0.08624301915307298,Nkx6-3
MS00403|ALX3,0.0867850844382109,ALX3
UP00166|BARHL1,0.08741977101914788,BARHL1
MS00628|Vsx1,0.08758081911627262,Vsx1
MC00355|SRF,0.0887614823864276,SRF
M01596|GLI3,0.09046538383790337,GLI3
MC00324|Gata4,0.09161626050884907,Gata4
MC00337|Ikzf3,0.09224443154123317,Ikzf3
MC00453|STAT5A,0.09328617555233928,STAT5A
MS00149|POU4F2,0.09363898576551971,POU4F2
MS00463|GSC2,0.0939425369502529,GSC2
MS00603|PRRX2,0.09400648388891383,PRRX2
MS00431|DLX5,0.09546258586364575,DLX5
MS00778|EHF,0.09683846914565931,EHF
MS00458|En2,0.09771405888290559,En2
MC00305|Sox6,0.09789700764681122,Sox6
MS00179|SCRT1,0.09842545227756444,SCRT1
M01334|Nkx1-1,0.0985734009153373,Nkx1-1
M01151|Dmrtc2,0.10179519810737465,Dmrtc2
MC00411|BATF,0.10499666559051689,BATF
MC00368|Hsf1,0.10558934200972499,Hsf1
UP00020|ATF1,0.10785779354345927,ATF1
MC00455|Cdx2,0.10873180181804123,Cdx2
MS00748|SOX14,0.10883733902541513,SOX14
UP00092|MYB,0.11060290370215305,MYB
MC00134|Ppara,0.11132565176519883,Ppara
UP00175|Lhx9,0.11152886151454197,Lhx9
MC00347|STAT4,0.11193544438091495,STAT4
MS00352|FOXC2,0.11339489892581345,FOXC2
M01480|Obox5,0.11420506859316656,Obox5
MS00366|FOXJ2,0.11449081738432199,FOXJ2
MC00105|Foxa2,0.11672704763063822,Foxa2
MC00163|Creb1,0.11772222453589389,Creb1
MC00120|GATA1,0.12150165426952157,GATA1
UP00081|Mybl1,0.12257966837443118,Mybl1
MC00385|Ets1,0.12330977303736727,Ets1
MS00151|POU4F3,0.12414622096650435,POU4F3
MC00505|POLR2B,0.12580990462038333,POLR2B
M01453|ALX1,0.12634529157027113,ALX1
MS00197|TBX1,0.12681842608464766,TBX1
MS00476|HNF1A,0.1288229434436094,HNF1A
MS00838|ELF5,0.12923066861447366,ELF5
MC00327|Gata1,0.13067663656404938,Gata1
UP00250|IRX5,0.13134999118120685,IRX5
MS00439|Dlx1,0.13170815229661564,Dlx1
MS00774|SOX8,0.13230723905739666,SOX8
MS00304|CREB3L1,0.13323749569696178,CREB3L1
UP00218|Dbx2,0.13877237850504093,Dbx2
MS00094|TGIF1,0.13909227379208008,TGIF1
MS00139|POU3F1,0.14089557945689285,POU3F1
MC00162|LMO2,0.14124964493719114,LMO2
MS00515|Hoxa11,0.1413080743002629,Hoxa11
UP00051|Sox8,0.1421328815023153,Sox8
MS00519|Hoxd13,0.1440830219898709,Hoxd13
MC00226|Nanog,0.1445074869186451,Nanog
MS00547|Lhx4,0.14477623350650282,Lhx4
MS00432|DLX6,0.14553360399218834,DLX6
MS00408|Alx4,0.14677308099932035,Alx4
UP00248|Pax7,0.14864102825155087,Pax7
UP00185|PBX1,0.14890219086953077,PBX1
MC00129|Fli1,0.14943720825604326,Fli1
MS00454|EVX1,0.14996447849084313,EVX1
M01230|ZNF333,0.151850399636926,ZNF333
M00694|E4F1,0.1523754463960308,E4F1
MC00205|Stat5a,0.15253550343777056,Stat5a
UP00164|HOXA7,0.1538169715148356,HOXA7
MS00846|ERF,0.15401775085800518,ERF
MS00011|BCL6B,0.1541808073508015,BCL6B
M00155|NR2F2,0.15803798874146485,NR2F2
MS00501|Zfp652,0.16437781146492428,Zfp652
MS00487|HOXA2,0.1676399809378174,HOXA2
MS00728|ZNF232,0.1684891909604563,ZNF232
UP00148|Hdx,0.16913901751283147,Hdx
MS00557|MNX1,0.16976444684612574,MNX1
MC00452|STAT5B,0.17202463446363686,STAT5B
UP00206|Hoxb7,0.17278869610411904,Hoxb7
MS00025|FEV,0.173262591165062,FEV
MS00336|NFE2,0.17355434593170435,NFE2
M00332|FOXN1,0.176559326358011,FOXN1
MS00076|MEF2D,0.17694907397756077,MEF2D
MS00812|ELF3,0.1812661486207184,ELF3
MS00405|ARX,0.18548075894868155,ARX
UP00252|HOXC5,0.18839063990328664,HOXC5
MS00271|NEUROD2,0.19030058593312943,NEUROD2
UP00125|PITX2,0.19040864326303408,PITX2
MS00551|MEOX1,0.1907876604210088,MEOX1
MS00433|DMBX1,0.19093978885999782,DMBX1
MS00083|MEIS2,0.19159443147112049,MEIS2
MS00412|ZNF410,0.19180567264312326,ZNF410
MS00617|UNCX,0.19239781658789432,UNCX
MC00414|Atoh1,0.1930880925499253,Atoh1
MC00504|Scx,0.19417014010675723,Scx
MS00455|EVX2,0.19480651686448713,EVX2
MS00844|ELK3,0.19606788402967346,ELK3
UP00262|Lhx1,0.19618794911371487,Lhx1
MS00144|POU3F3,0.19730112947131664,POU3F3
MS00096|TGIF2,0.19748570027859713,TGIF2
MS00018|ETV4,0.19748624875441828,ETV4
M00999|AIRE,0.19848458519960452,AIRE
UP00189|HOXA5,0.19858772535815727,HOXA5
UP00052|Osr2,0.20000975520370984,Osr2
MS00770|SOX7,0.2005558769534105,SOX7
UP00064|Sox18,0.2027801553922431,Sox18
MS00427|DLX1,0.20316746476510616,DLX1
MC00369|Myod1,0.20559060224559508,Myod1
MS00073|IRF9,0.20653733055350487,IRF9
MS00429|DLX3,0.2090256800586045,DLX3
MS00051|LEF1,0.20923011964881735,LEF1
MC00146|Smad2/3,0.2102276514442408,Smad2/3
MS00106|NFAT5,0.21032823638396986,NFAT5
MS00428|DLX2,0.21465193269312205,DLX2
MA0365|RFX1,0.21492393082846686,RFX1
M01127|ISL1,0.21512174516976668,ISL1
MS00361|FOXG1,0.21676430558296206,FOXG1
MS00614|SHOX,0.21744324896411724,SHOX
MS00540|LHX6,0.2178473149318129,LHX6
UP00207|HOXB9,0.22138605747040774,HOXB9
MS00430|DLX4,0.2229162659089536,DLX4
MS00060|HSF4,0.22924615318054298,HSF4
MS00575|NKX6-1,0.23071641279108418,NKX6-1
MS00609|RHOXF1,0.23101757899554426,RHOXF1
UP00182|HOXA6,0.23589556153419064,HOXA6
UP00012|Bbx,0.23674844839527698,Bbx
MS00315|DBP,0.23879323259434912,DBP
MS00023|Elk3,0.23890480332244451,Elk3
UP00107|Nkx2-4,0.24191429221950042,Nkx2-4
MS00788|SRY,0.242327583471029,SRY
M01207|ETS2,0.24273525436614973,ETS2
MC00289|HSF1,0.24369143513802013,HSF1
MS00525|Hoxd9,0.24485373277968622,Hoxd9
MS00317|HLF,0.2471459272368493,HLF
MC00329|Srf,0.25008245189743245,Srf
MS00254|FIGLA,0.25046492533484926,FIGLA
MS00605|RAXL1,0.2514096253755281,RAXL1
MS00626|VSX1,0.25642482544060735,VSX1
M00640|HOXA4,0.2578347446804463,HOXA4
MS00394|Foxj3,0.2596701586836875,Foxj3
MS00218|T,0.26333399920848816,T
MS00404|ALX4,0.2654160544049368,ALX4
MS00091|PKNOX1,0.2659892966293199,PKNOX1
MS00486|HOXA1,0.26668301961067903,HOXA1
M00648|MAF,0.26670604136805354,MAF
MS00536|LHX2,0.2675201784429901,LHX2
MC00474|BCL11A,0.2686790144375783,BCL11A
MS00517|Hoxc10,0.27056190982202916,Hoxc10
MS00597|PROP1,0.27092818736142643,PROP1
UP00129|Pou3f1,0.27155807558403655,Pou3f1
MS00095|TGIF2LX,0.2724238823019889,TGIF2LX
MS00295|Atf4,0.27310790372788357,Atf4
MS00132|POU2F1,0.2839696391301623,POU2F1
MS00555|MIXL1,0.287571796939459,MIXL1
UP00242|HOXC8,0.29198617723026193,HOXC8
MC00416|Rbfox2,0.2937677227249035,Rbfox2
UP00055|HBP1,0.29385896491161256,HBP1
MS00521|Hoxd3,0.2978941528160379,Hoxd3
MS00811|RARB,0.30176871897188906,RARB
MS00481|HOXA10,0.3035920793930812,HOXA10
UP00391|HOXA3,0.3036111228460926,HOXA3
MS00436|DPRX,0.30412243991613397,DPRX
MS00502|HOXC12,0.30630768665070907,HOXC12
MC00233|Pou5f1,0.307317134807547,Pou5f1
MC00165|Pdx1,0.3111605099286806,Pdx1
MC00448|Nr1h2,0.31162677319380355,Nr1h2
MS00464|GSC,0.3140004721714786,GSC
UP00071|Sox21,0.3183233958261513,Sox21
MS00753|SOX18,0.31866815502114865,SOX18
UP00213|HOXA9,0.3198208709143794,HOXA9
MS00093|Pknox2,0.3215172930943758,Pknox2
UP00155|Hmx2,0.3225654374748002,Hmx2
UP00161|Hmbox1,0.32591934749994894,Hmbox1
MC00344|Hnf4a,0.32787348832607766,Hnf4a
MS00571|NKX2-8,0.328974970837656,NKX2-8
M00678|ETV7,0.3300679816470815,ETV7
MA0040|Foxq1,0.33266988321274327,Foxq1
MC00231|MEF2C,0.33290249653959386,MEF2C
UP00243|Isx,0.3332986395493742,Isx
UP00137|Hoxb3,0.34034612030949424,Hoxb3
MS00732|CPEB1,0.3527714346545126,CPEB1
MS00794|Sox10,0.35313545735484037,Sox10
MS00618|Uncx,0.3539935887900302,Uncx
MC00118|GATA2,0.35479458712773815,GATA2
MS00657|NR2F1,0.35630743557186095,NR2F1
MS00552|MEOX2,0.36516869071407226,MEOX2
MS00318|Hlf,0.36815905109482033,Hlf
MS00249|BHLHE22,0.38022879667032594,BHLHE22
UP00212|LHX5,0.3888405371995073,LHX5
M01445|Obox6,0.3894151197443447,Obox6
MS00092|PKNOX2,0.39126540501420315,PKNOX2
MS00152|POU5F1P1,0.4018153296481535,POU5F1P1
MS00797|Sox17,0.4034759298671178,Sox17
M01004|IKZF2,0.4122564802525477,IKZF2
UP00177|Hoxd12,0.4132683056230433,Hoxd12
MS00593|PHOX2B,0.41673076858929026,PHOX2B
MS00276|OLIG1,0.4173164545876791,OLIG1
UP00113|HOXC4,0.4183470982164075,HOXC4
UP00259|HOXB6,0.41985913625117666,HOXB6
MS00245|BHLHA15,0.4203786489879531,BHLHA15
UP00114|Homez,0.4203798404421657,Homez
UP00150|IRX6,0.4233802687202869,IRX6
MS00016|ETV2,0.4236827624173294,ETV2
MS00070|IRF7,0.4288154330529719,IRF7
MS00424|CART1,0.42957084836485615,CART1
M01150|Dmrta2,0.432228909850243,Dmrta2
M00964|NR1I2,0.43354807020739816,NR1I2
MS00624|VENTX,0.4344094818234058,VENTX
MS00033|SPDEF,0.43527316554606166,SPDEF
MS00604|Prrx2,0.4441080080894434,Prrx2
MC00471|Rxra,0.4474094249947973,Rxra
M01450|Obox1,0.45969326659210574,Obox1
MS00316|Dbp,0.4648129249831281,Dbp
MS00585|OTX2,0.4653099104007429,OTX2
UP00027|Osr1,0.47148310445544905,Osr1
UP00169|LMX1B,0.4732326302100196,LMX1B
MC00276|EOMES,0.47344417240459147,EOMES
UP00004|Sox14,0.4757382528646098,Sox14
M00420|MEIS1::HOXA9,0.4849306072298192,MEIS1::HOXA9
MS00837|HOXD12,0.5011552721966988,HOXD12
MS00667|ONECUT1,0.5062761959141453,ONECUT1
UP00261|LHX4,0.5108360607451441,LHX4
M01075|ZBTB16,0.5111703905402634,ZBTB16
MS00075|MEF2B,0.517496440882026,MEF2B
MS00136|POU2F3,0.517505836716629,POU2F3
MS00563|Meox2,0.5283974769976977,Meox2
UP00237|Otp,0.5326318764029527,Otp
MC00511|Rxrg,0.5366548640897278,Rxrg
M01149|Dmrta1,0.5390086067395913,Dmrta1
UP00082|Zfp187,0.5426194375209639,Zfp187
UP00263|Hoxb8,0.5433271991342032,Hoxb8
MS00679|ONECUT2,0.5496388756486424,ONECUT2
MS00202|TBX20,0.5733185579297128,TBX20
MS00627|VSX2,0.5770687570343218,VSX2
MS00581|Nkx6-1,0.5823651520993212,Nkx6-1
MS00577|NKX6-2,0.5860618854613142,NKX6-2
M00115|CNTN2::CREB1,0.6007703098816335,CNTN2::CREB1
MS00750|SOX15,0.6059406035411723,SOX15
UP00168|Hoxd8,0.6126759405048857,Hoxd8
UP00112|Gsc,0.620691792707689,Gsc
MS00472|HMBOX1,0.6347438458285567,HMBOX1
UP00075|Sox15,0.6364042945269434,Sox15
UP00117|Hoxd11,0.6544594069085374,Hoxd11
UP00140|Hoxd1,0.6578054559203683,Hoxd1
M01146|DMRT1,0.66275786213876,DMRT1
MS00601|CUX1,0.6674359914542863,CUX1
M00478|CDC5L,0.6903658273782828,CDC5L
UP00260|Hoxc6,0.6968092249833013,Hoxc6
MS00194|TBX19,0.7018276283840867,TBX19
UP00211|Pou3f3,0.7031919277545193,Pou3f3
MS00272|NEUROG2,0.735977734437304,NEUROG2
M00454|ARID5B,0.7509728427662384,ARID5B
UP00121|Hoxd10,0.7512659217524824,Hoxd10
MS00438|DUXA,0.7564620776131247,DUXA
MS00155|POU6F2,0.7585664695132939,POU6F2
MS00192|TBX15,0.759741603423076,TBX15
UP00132|Evx2,0.7615487122680417,Evx2
UP00043|Bcl6b,0.7725455286908824,Bcl6b
MS00280|OLIG3,0.8069760626706026,OLIG3
MS00620|VAX1,0.8270162861374262,VAX1
MS00595|PITX1,0.8409484170292992,PITX1
MS00621|VAX2,0.8488796240626075,VAX2
M01147|DMRT2,0.8525228703360411,DMRT2
MS00250|BHLHE23,0.8573120539295079,BHLHE23
UP00170|Isl2,0.8584129617962782,Isl2
M01483|Dbx1,0.8788719044442265,Dbx1
UP00244|TLX2,0.8789254375253827,TLX2
MS00126|PAX7,0.8886939229473569,PAX7
MS00731|ZNF713,0.8906881564015158,ZNF713
M01148|DMRT3,0.8973201005834588,DMRT3
MS00055|HOMEZ,0.9009552046617242,HOMEZ
UP00078|ARID3A,0.9096273242366986,ARID3A
M01295|ATF5,0.9138889581107377,ATF5
MC00260|Pax3,0.9248447770158555,Pax3
M01306|ZNF217,0.9545753824414879,ZNF217
M01300|HMGA2,0.9551430018963885,HMGA2
MS00634|CUX2,0.9730464072001421,CUX2
MS00277|OLIG2,0.9868984044203334,OLIG2
